['activity_selector'], train_ini: '19:12:14.000291', train_fim: '19:15:00.555785'
['articulation_points'], train_ini: '19:15:42.048880', train_fim: '19:21:31.444216'
['bellman_ford'], train_ini: '19:22:41.751665', train_fim: '19:29:54.928347'
['bfs'], train_ini: '19:30:37.293607', train_fim: '19:37:25.052337'
['binary_search'], train_ini: '19:38:07.044612', train_fim: '19:42:43.969323'
['bridges'], train_ini: '19:43:38.964932', train_fim: '19:49:33.896395'
['bubble_sort'], train_ini: '19:50:46.252378', train_fim: '19:59:17.927371'
['dag_shortest_paths'], train_ini: '20:02:29.692693', train_fim: '20:08:50.572849'
['dfs'], train_ini: '20:09:46.985450', train_fim: '20:15:28.394165'
['dijkstra'], train_ini: '20:16:25.036270', train_fim: '20:21:28.445196'
['find_maximum_subarray_kadane'], train_ini: '20:22:14.469593', train_fim: '20:26:30.821951'
['floyd_warshall'], train_ini: '20:28:37.511268', train_fim: '20:38:31.966547'
['graham_scan'], train_ini: '20:41:18.554665', train_fim: '20:46:15.989594'
['heapsort'], train_ini: '20:47:05.677017', train_fim: '20:56:16.461983'
['insertion_sort'], train_ini: '20:57:48.312046', train_fim: '21:08:04.402601'
['jarvis_march'], train_ini: '21:09:07.673161', train_fim: '21:12:45.974366'
['kmp_matcher'], train_ini: '21:14:11.921477', train_fim: '21:22:10.839363'
['lcs_length'], train_ini: '21:33:54.490819', train_fim: '21:41:04.027836'
['matrix_chain_order'], train_ini: '21:41:48.681691', train_fim: '21:54:25.489815'
['minimum'], train_ini: '21:57:06.687433', train_fim: '22:01:01.907968'
['mst_kruskal'], train_ini: '22:04:32.359722', train_fim: '22:10:55.525578'
['mst_prim'], train_ini: '22:12:03.109499', train_fim: '22:17:06.940889'
['naive_string_matcher'], train_ini: '23:05:01.726683', train_fim: '23:09:53.404460'
['optimal_bst'], train_ini: '23:17:10.134053', train_fim: '23:26:35.065849'
['quickselect'], train_ini: '23:28:10.082363', train_fim: '23:44:33.537995'
['quicksort'], train_ini: '00:15:47.525414', train_fim: '00:24:47.204170'
['segments_intersect'], train_ini: '00:26:19.421500', train_fim: '00:29:49.357308'
['strongly_connected_components'], train_ini: '00:30:25.339870', train_fim: '00:36:53.729846'
['task_scheduling'], train_ini: '00:38:01.509213', train_fim: '00:40:49.304792'
['topological_sort'], train_ini: '00:41:31.088963', train_fim: '00:47:01.072916'

Total tempo: 3:22:02.864583
