['activity_selector'], train_ini: '13:17:10.011917', train_fim: '13:25:56.909038' 
['articulation_points'], train_ini: '13:26:50.641313', train_fim: '13:40:12.109411' 
['bellman_ford'], train_ini: '13:41:41.259670', train_fim: '13:54:29.211787' 
['bfs'], train_ini: '13:55:44.227291', train_fim: '14:06:45.784187' 
['binary_search'], train_ini: '14:07:39.936382', train_fim: '14:18:14.303602' 
['bridges'], train_ini: '14:19:26.883278', train_fim: '14:33:45.219952' 
['bubble_sort'], train_ini: '14:35:37.492940', train_fim: '14:51:37.430918' 
['dag_shortest_paths'], train_ini: '14:55:39.459663', train_fim: '15:11:04.820825' 
['dfs'], train_ini: '16:26:25.592884', train_fim: '16:38:52.272313' 
['dijkstra'], train_ini: '16:40:04.339727', train_fim: '16:52:17.122971' 
['find_maximum_subarray_kadane'], train_ini: '16:53:36.867174', train_fim: '17:06:35.970414' 
['floyd_warshall'], train_ini: '17:26:20.111023', train_fim: '17:43:28.293137' 
['graham_scan'], train_ini: '17:46:48.199501', train_fim: '17:59:05.692066' 
['heapsort'], train_ini: '18:40:38.615518', train_fim: '18:58:02.704241' 
['insertion_sort'], train_ini: '19:00:50.626594', train_fim: '19:17:41.810699' 
['jarvis_march'], train_ini: '19:19:02.094502', train_fim: '19:30:46.466482' 
['kmp_matcher'], train_ini: '19:32:55.636767', train_fim: '19:52:35.251275' 
['lcs_length'], train_ini: '20:07:50.951950', train_fim: '20:20:09.962503' 
['matrix_chain_order'], train_ini: '20:21:03.967206', train_fim: '20:38:44.877018' 
['minimum'], train_ini: '20:42:52.425336', train_fim: '20:57:42.355984' 
['mst_kruskal'], train_ini: '21:02:30.996392', train_fim: '21:15:18.005740' 
['mst_prim'], train_ini: '21:16:39.270082', train_fim: '21:28:29.971474' 
['naive_string_matcher'], train_ini: '21:29:49.361659', train_fim: '21:46:50.518367' 
['optimal_bst'], train_ini: '21:55:14.082487', train_fim: '22:11:48.120095' 
['quickselect'], train_ini: '22:13:27.327098', train_fim: '23:02:23.406150' 
['quicksort'], train_ini: '23:49:56.806604', train_fim: '00:07:14.665013' 
['segments_intersect'], train_ini: '00:09:31.025231', train_fim: '00:17:52.752866' 
['strongly_connected_components'], train_ini: '00:18:48.201547', train_fim: '00:32:43.422298' 
['task_scheduling'], train_ini: '00:34:30.133119', train_fim: '00:43:22.511031' 
['topological_sort'], train_ini: '00:44:16.665381', train_fim: '00:57:21.390302' 

Total tempo: 7:28:30.121923
