{'pi': 0.22903963414634146, 'score': 0.22903963414634146, 'examples_seen': 312, 'step': 0, 'algorithm': 'bellman_ford'},
{'pi': 0.6886432926829268, 'score': 0.6886432926829268, 'examples_seen': 8309, 'step': 50, 'algorithm': 'bellman_ford'},
{'pi': 0.7572408536585366, 'score': 0.7572408536585366, 'examples_seen': 16596, 'step': 100, 'algorithm': 'bellman_ford'},
{'pi': 0.8483231707317073, 'score': 0.8483231707317073, 'examples_seen': 24359, 'step': 150, 'algorithm': 'bellman_ford'},
{'pi': 0.8589939024390244, 'score': 0.8589939024390244, 'examples_seen': 32761, 'step': 200, 'algorithm': 'bellman_ford'},
{'pi': 0.8791920731707317, 'score': 0.8791920731707317, 'examples_seen': 40455, 'step': 250, 'algorithm': 'bellman_ford'},
{'pi': 0.8189786585365854, 'score': 0.8189786585365854, 'examples_seen': 48893, 'step': 300, 'algorithm': 'bellman_ford'},
{'pi': 0.84375, 'score': 0.84375, 'examples_seen': 57066, 'step': 350, 'algorithm': 'bellman_ford'},
{'pi': 0.8864329268292683, 'score': 0.8864329268292683, 'examples_seen': 65031, 'step': 400, 'algorithm': 'bellman_ford'},
{'pi': 0.8334603658536586, 'score': 0.8334603658536586, 'examples_seen': 73251, 'step': 450, 'algorithm': 'bellman_ford'},
{'pi': 0.8830030487804879, 'score': 0.8830030487804879, 'examples_seen': 81007, 'step': 500, 'algorithm': 'bellman_ford'},
{'pi': 0.9058689024390244, 'score': 0.9058689024390244, 'examples_seen': 89396, 'step': 550, 'algorithm': 'bellman_ford'},
{'pi': 0.9054878048780488, 'score': 0.9054878048780488, 'examples_seen': 97107, 'step': 600, 'algorithm': 'bellman_ford'},
{'pi': 0.9043445121951219, 'score': 0.9043445121951219, 'examples_seen': 105531, 'step': 650, 'algorithm': 'bellman_ford'},
{'pi': 0.8841463414634146, 'score': 0.8841463414634146, 'examples_seen': 113653, 'step': 700, 'algorithm': 'bellman_ford'},
{'pi': 0.9127286585365854, 'score': 0.9127286585365854, 'examples_seen': 121676, 'step': 750, 'algorithm': 'bellman_ford'},
{'pi': 0.9142530487804879, 'score': 0.9142530487804879, 'examples_seen': 130009, 'step': 800, 'algorithm': 'bellman_ford'},
{'pi': 0.9435975609756098, 'score': 0.9435975609756098, 'examples_seen': 137765, 'step': 850, 'algorithm': 'bellman_ford'},
{'pi': 0.8833841463414634, 'score': 0.8833841463414634, 'examples_seen': 146215, 'step': 900, 'algorithm': 'bellman_ford'},
{'pi': 0.9569359756097561, 'score': 0.9569359756097561, 'examples_seen': 153869, 'step': 950, 'algorithm': 'bellman_ford'},
{'pi': 0.9477896341463414, 'score': 0.9477896341463414, 'examples_seen': 162315, 'step': 1000, 'algorithm': 'bellman_ford'},
