{'return': 0.026123046875, 'score': 0.026123046875, 'examples_seen': 196, 'step': 0, 'algorithm': 'binary_search'},
{'return': 0.25244140625, 'score': 0.25244140625, 'examples_seen': 6134, 'step': 50, 'algorithm': 'binary_search'},
{'return': 0.370849609375, 'score': 0.370849609375, 'examples_seen': 12245, 'step': 100, 'algorithm': 'binary_search'},
{'return': 0.10009765625, 'score': 0.10009765625, 'examples_seen': 18059, 'step': 150, 'algorithm': 'binary_search'},
{'return': 0.43603515625, 'score': 0.43603515625, 'examples_seen': 24213, 'step': 200, 'algorithm': 'binary_search'},
{'return': 0.264404296875, 'score': 0.264404296875, 'examples_seen': 29937, 'step': 250, 'algorithm': 'binary_search'},
{'return': 0.2568359375, 'score': 0.2568359375, 'examples_seen': 36154, 'step': 300, 'algorithm': 'binary_search'},
{'return': 0.095947265625, 'score': 0.095947265625, 'examples_seen': 42136, 'step': 350, 'algorithm': 'binary_search'},
{'return': 0.1396484375, 'score': 0.1396484375, 'examples_seen': 48047, 'step': 400, 'algorithm': 'binary_search'},
{'return': 0.16650390625, 'score': 0.16650390625, 'examples_seen': 54166, 'step': 450, 'algorithm': 'binary_search'},
{'return': 0.13232421875, 'score': 0.13232421875, 'examples_seen': 59980, 'step': 500, 'algorithm': 'binary_search'},
{'return': 0.305908203125, 'score': 0.305908203125, 'examples_seen': 66127, 'step': 550, 'algorithm': 'binary_search'},
{'return': 0.388916015625, 'score': 0.388916015625, 'examples_seen': 71861, 'step': 600, 'algorithm': 'binary_search'},
{'return': 0.21875, 'score': 0.21875, 'examples_seen': 78056, 'step': 650, 'algorithm': 'binary_search'},
{'return': 0.43701171875, 'score': 0.43701171875, 'examples_seen': 84066, 'step': 700, 'algorithm': 'binary_search'},
{'return': 0.41943359375, 'score': 0.41943359375, 'examples_seen': 89996, 'step': 750, 'algorithm': 'binary_search'},
{'return': 0.07080078125, 'score': 0.07080078125, 'examples_seen': 96106, 'step': 800, 'algorithm': 'binary_search'},
{'return': 0.16064453125, 'score': 0.16064453125, 'examples_seen': 101915, 'step': 850, 'algorithm': 'binary_search'},
{'return': 0.501953125, 'score': 0.501953125, 'examples_seen': 108101, 'step': 900, 'algorithm': 'binary_search'},
{'return': 0.171630859375, 'score': 0.171630859375, 'examples_seen': 113820, 'step': 950, 'algorithm': 'binary_search'},
{'return': 0.4091796875, 'score': 0.4091796875, 'examples_seen': 120019, 'step': 1000, 'algorithm': 'binary_search'},
{'return': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 126023, 'step': 1050, 'algorithm': 'binary_search'},
{'return': 0.5068359375, 'score': 0.5068359375, 'examples_seen': 131932, 'step': 1100, 'algorithm': 'binary_search'},
{'return': 0.394287109375, 'score': 0.394287109375, 'examples_seen': 138043, 'step': 1150, 'algorithm': 'binary_search'},
{'return': 0.4423828125, 'score': 0.4423828125, 'examples_seen': 143827, 'step': 1200, 'algorithm': 'binary_search'},
{'return': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 149994, 'step': 1250, 'algorithm': 'binary_search'},
{'return': 0.59765625, 'score': 0.59765625, 'examples_seen': 155747, 'step': 1300, 'algorithm': 'binary_search'},
{'return': 0.548583984375, 'score': 0.548583984375, 'examples_seen': 161941, 'step': 1350, 'algorithm': 'binary_search'},
{'return': 0.55078125, 'score': 0.55078125, 'examples_seen': 167940, 'step': 1400, 'algorithm': 'binary_search'},
{'return': 0.550048828125, 'score': 0.550048828125, 'examples_seen': 173854, 'step': 1450, 'algorithm': 'binary_search'},
{'return': 0.66943359375, 'score': 0.66943359375, 'examples_seen': 179976, 'step': 1500, 'algorithm': 'binary_search'},
{'return': 0.51806640625, 'score': 0.51806640625, 'examples_seen': 185792, 'step': 1550, 'algorithm': 'binary_search'},
{'return': 0.7646484375, 'score': 0.7646484375, 'examples_seen': 191942, 'step': 1600, 'algorithm': 'binary_search'},
