{'pi': 0.7492378048780488, 'score': 0.7492378048780488, 'examples_seen': 41, 'step': 0, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.8833841463414634, 'score': 0.8833841463414634, 'examples_seen': 922, 'step': 50, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.868140243902439, 'score': 0.868140243902439, 'examples_seen': 1852, 'step': 100, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.8658536585365854, 'score': 0.8658536585365854, 'examples_seen': 2689, 'step': 150, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9024390243902439, 'score': 0.9024390243902439, 'examples_seen': 3628, 'step': 200, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9039634146341463, 'score': 0.9039634146341463, 'examples_seen': 4427, 'step': 250, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.901295731707317, 'score': 0.901295731707317, 'examples_seen': 5408, 'step': 300, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9409298780487805, 'score': 0.9409298780487805, 'examples_seen': 6322, 'step': 350, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9066310975609756, 'score': 0.9066310975609756, 'examples_seen': 7202, 'step': 400, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.7961128048780488, 'score': 0.7961128048780488, 'examples_seen': 8166, 'step': 450, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.8769054878048781, 'score': 0.8769054878048781, 'examples_seen': 9001, 'step': 500, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9485518292682927, 'score': 0.9485518292682927, 'examples_seen': 10004, 'step': 550, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.921875, 'score': 0.921875, 'examples_seen': 10835, 'step': 600, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.8757621951219512, 'score': 0.8757621951219512, 'examples_seen': 11801, 'step': 650, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9378810975609756, 'score': 0.9378810975609756, 'examples_seen': 12752, 'step': 700, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9336890243902439, 'score': 0.9336890243902439, 'examples_seen': 13622, 'step': 750, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.8986280487804879, 'score': 0.8986280487804879, 'examples_seen': 14589, 'step': 800, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9188262195121951, 'score': 0.9188262195121951, 'examples_seen': 15425, 'step': 850, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.8830030487804879, 'score': 0.8830030487804879, 'examples_seen': 16396, 'step': 900, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.930640243902439, 'score': 0.930640243902439, 'examples_seen': 17228, 'step': 950, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9310213414634146, 'score': 0.9310213414634146, 'examples_seen': 18188, 'step': 1000, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.932545731707317, 'score': 0.932545731707317, 'examples_seen': 19077, 'step': 1050, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9256859756097561, 'score': 0.9256859756097561, 'examples_seen': 19962, 'step': 1100, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9009146341463414, 'score': 0.9009146341463414, 'examples_seen': 20902, 'step': 1150, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.913109756097561, 'score': 0.913109756097561, 'examples_seen': 21785, 'step': 1200, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9375, 'score': 0.9375, 'examples_seen': 22733, 'step': 1250, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.9314024390243902, 'score': 0.9314024390243902, 'examples_seen': 23568, 'step': 1300, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.916920731707317, 'score': 0.916920731707317, 'examples_seen': 24533, 'step': 1350, 'algorithm': 'dag_shortest_paths'},
{'pi': 0.8677591463414634, 'score': 0.8677591463414634, 'examples_seen': 25460, 'step': 1400, 'algorithm': 'dag_shortest_paths'},
