{'pi': 0.05983231707317073, 'score': 0.05983231707317073, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'},
{'pi': 0.1402439024390244, 'score': 0.1402439024390244, 'examples_seen': 448, 'step': 50, 'algorithm': 'dfs'},
{'pi': 0.14710365853658536, 'score': 0.14710365853658536, 'examples_seen': 1008, 'step': 100, 'algorithm': 'dfs'},
{'pi': 0.20807926829268292, 'score': 0.20807926829268292, 'examples_seen': 1440, 'step': 150, 'algorithm': 'dfs'},
{'pi': 0.21875, 'score': 0.21875, 'examples_seen': 1984, 'step': 200, 'algorithm': 'dfs'},
{'pi': 0.21989329268292682, 'score': 0.21989329268292682, 'examples_seen': 2416, 'step': 250, 'algorithm': 'dfs'},
{'pi': 0.20541158536585366, 'score': 0.20541158536585366, 'examples_seen': 2992, 'step': 300, 'algorithm': 'dfs'},
{'pi': 0.25571646341463417, 'score': 0.25571646341463417, 'examples_seen': 3488, 'step': 350, 'algorithm': 'dfs'},
{'pi': 0.2381859756097561, 'score': 0.2381859756097561, 'examples_seen': 3952, 'step': 400, 'algorithm': 'dfs'},
{'pi': 0.22446646341463414, 'score': 0.22446646341463414, 'examples_seen': 4496, 'step': 450, 'algorithm': 'dfs'},
{'pi': 0.22789634146341464, 'score': 0.22789634146341464, 'examples_seen': 4928, 'step': 500, 'algorithm': 'dfs'},
{'pi': 0.23666158536585366, 'score': 0.23666158536585366, 'examples_seen': 5472, 'step': 550, 'algorithm': 'dfs'},
{'pi': 0.24428353658536586, 'score': 0.24428353658536586, 'examples_seen': 5952, 'step': 600, 'algorithm': 'dfs'},
{'pi': 0.26676829268292684, 'score': 0.26676829268292684, 'examples_seen': 6496, 'step': 650, 'algorithm': 'dfs'},
{'pi': 0.25190548780487804, 'score': 0.25190548780487804, 'examples_seen': 6960, 'step': 700, 'algorithm': 'dfs'},
{'pi': 0.25152439024390244, 'score': 0.25152439024390244, 'examples_seen': 7456, 'step': 750, 'algorithm': 'dfs'},
{'pi': 0.27515243902439024, 'score': 0.27515243902439024, 'examples_seen': 7968, 'step': 800, 'algorithm': 'dfs'},
{'pi': 0.2774390243902439, 'score': 0.2774390243902439, 'examples_seen': 8464, 'step': 850, 'algorithm': 'dfs'},
{'pi': 0.23094512195121952, 'score': 0.23094512195121952, 'examples_seen': 9024, 'step': 900, 'algorithm': 'dfs'},
{'pi': 0.27210365853658536, 'score': 0.27210365853658536, 'examples_seen': 9424, 'step': 950, 'algorithm': 'dfs'},
{'pi': 0.2305640243902439, 'score': 0.2305640243902439, 'examples_seen': 9952, 'step': 1000, 'algorithm': 'dfs'},
{'pi': 0.26371951219512196, 'score': 0.26371951219512196, 'examples_seen': 10464, 'step': 1050, 'algorithm': 'dfs'},
{'pi': 0.2267530487804878, 'score': 0.2267530487804878, 'examples_seen': 10960, 'step': 1100, 'algorithm': 'dfs'},
{'pi': 0.2339939024390244, 'score': 0.2339939024390244, 'examples_seen': 11536, 'step': 1150, 'algorithm': 'dfs'},
{'pi': 0.22103658536585366, 'score': 0.22103658536585366, 'examples_seen': 11968, 'step': 1200, 'algorithm': 'dfs'},
{'pi': 0.25685975609756095, 'score': 0.25685975609756095, 'examples_seen': 12496, 'step': 1250, 'algorithm': 'dfs'},
{'pi': 0.27553353658536583, 'score': 0.27553353658536583, 'examples_seen': 12944, 'step': 1300, 'algorithm': 'dfs'},
{'pi': 0.2461890243902439, 'score': 0.2461890243902439, 'examples_seen': 13472, 'step': 1350, 'algorithm': 'dfs'},
{'pi': 0.25876524390243905, 'score': 0.25876524390243905, 'examples_seen': 13984, 'step': 1400, 'algorithm': 'dfs'},
{'pi': 0.234375, 'score': 0.234375, 'examples_seen': 14480, 'step': 1450, 'algorithm': 'dfs'},
{'pi': 0.2347560975609756, 'score': 0.2347560975609756, 'examples_seen': 15008, 'step': 1500, 'algorithm': 'dfs'},
{'pi': 0.23589939024390244, 'score': 0.23589939024390244, 'examples_seen': 15472, 'step': 1550, 'algorithm': 'dfs'},
{'pi': 0.22522865853658536, 'score': 0.22522865853658536, 'examples_seen': 16000, 'step': 1600, 'algorithm': 'dfs'},
{'pi': 0.2736280487804878, 'score': 0.2736280487804878, 'examples_seen': 16432, 'step': 1650, 'algorithm': 'dfs'},
{'pi': 0.27972560975609756, 'score': 0.27972560975609756, 'examples_seen': 16976, 'step': 1700, 'algorithm': 'dfs'},
{'pi': 0.24809451219512196, 'score': 0.24809451219512196, 'examples_seen': 17520, 'step': 1750, 'algorithm': 'dfs'},
{'pi': 0.2572408536585366, 'score': 0.2572408536585366, 'examples_seen': 17984, 'step': 1800, 'algorithm': 'dfs'},
{'pi': 0.27896341463414637, 'score': 0.27896341463414637, 'examples_seen': 18512, 'step': 1850, 'algorithm': 'dfs'},
{'pi': 0.29458841463414637, 'score': 0.29458841463414637, 'examples_seen': 18960, 'step': 1900, 'algorithm': 'dfs'},
{'pi': 0.24695121951219512, 'score': 0.24695121951219512, 'examples_seen': 19520, 'step': 1950, 'algorithm': 'dfs'},
{'pi': 0.26333841463414637, 'score': 0.26333841463414637, 'examples_seen': 19952, 'step': 2000, 'algorithm': 'dfs'},
{'pi': 0.2652439024390244, 'score': 0.2652439024390244, 'examples_seen': 20512, 'step': 2050, 'algorithm': 'dfs'},
{'pi': 0.24466463414634146, 'score': 0.24466463414634146, 'examples_seen': 21008, 'step': 2100, 'algorithm': 'dfs'},
{'pi': 0.22751524390243902, 'score': 0.22751524390243902, 'examples_seen': 21504, 'step': 2150, 'algorithm': 'dfs'},
{'pi': 0.27934451219512196, 'score': 0.27934451219512196, 'examples_seen': 22016, 'step': 2200, 'algorithm': 'dfs'},
{'pi': 0.2762957317073171, 'score': 0.2762957317073171, 'examples_seen': 22464, 'step': 2250, 'algorithm': 'dfs'},
{'pi': 0.2507621951219512, 'score': 0.2507621951219512, 'examples_seen': 23024, 'step': 2300, 'algorithm': 'dfs'},
{'pi': 0.2553353658536585, 'score': 0.2553353658536585, 'examples_seen': 23472, 'step': 2350, 'algorithm': 'dfs'},
{'pi': 0.2583841463414634, 'score': 0.2583841463414634, 'examples_seen': 23968, 'step': 2400, 'algorithm': 'dfs'},
{'pi': 0.2549542682926829, 'score': 0.2549542682926829, 'examples_seen': 24528, 'step': 2450, 'algorithm': 'dfs'},
{'pi': 0.28772865853658536, 'score': 0.28772865853658536, 'examples_seen': 25008, 'step': 2500, 'algorithm': 'dfs'},
{'pi': 0.24847560975609756, 'score': 0.24847560975609756, 'examples_seen': 25536, 'step': 2550, 'algorithm': 'dfs'},
{'pi': 0.3086890243902439, 'score': 0.3086890243902439, 'examples_seen': 25968, 'step': 2600, 'algorithm': 'dfs'},
{'pi': 0.2541920731707317, 'score': 0.2541920731707317, 'examples_seen': 26496, 'step': 2650, 'algorithm': 'dfs'},
{'pi': 0.3201219512195122, 'score': 0.3201219512195122, 'examples_seen': 26928, 'step': 2700, 'algorithm': 'dfs'},
{'pi': 0.28315548780487804, 'score': 0.28315548780487804, 'examples_seen': 27520, 'step': 2750, 'algorithm': 'dfs'},
{'pi': 0.3132621951219512, 'score': 0.3132621951219512, 'examples_seen': 28016, 'step': 2800, 'algorithm': 'dfs'},
{'pi': 0.2602896341463415, 'score': 0.2602896341463415, 'examples_seen': 28496, 'step': 2850, 'algorithm': 'dfs'},
{'pi': 0.3273628048780488, 'score': 0.3273628048780488, 'examples_seen': 29024, 'step': 2900, 'algorithm': 'dfs'},
{'pi': 0.30373475609756095, 'score': 0.30373475609756095, 'examples_seen': 29456, 'step': 2950, 'algorithm': 'dfs'},
{'pi': 0.3044969512195122, 'score': 0.3044969512195122, 'examples_seen': 30000, 'step': 3000, 'algorithm': 'dfs'},
{'pi': 0.2740091463414634, 'score': 0.2740091463414634, 'examples_seen': 30448, 'step': 3050, 'algorithm': 'dfs'},
{'pi': 0.31440548780487804, 'score': 0.31440548780487804, 'examples_seen': 30992, 'step': 3100, 'algorithm': 'dfs'},
{'pi': 0.33460365853658536, 'score': 0.33460365853658536, 'examples_seen': 31504, 'step': 3150, 'algorithm': 'dfs'},
{'pi': 0.34260670731707316, 'score': 0.34260670731707316, 'examples_seen': 32016, 'step': 3200, 'algorithm': 'dfs'},
{'pi': 0.28315548780487804, 'score': 0.28315548780487804, 'examples_seen': 32544, 'step': 3250, 'algorithm': 'dfs'},
{'pi': 0.31059451219512196, 'score': 0.31059451219512196, 'examples_seen': 32976, 'step': 3300, 'algorithm': 'dfs'},
{'pi': 0.30640243902439024, 'score': 0.30640243902439024, 'examples_seen': 33520, 'step': 3350, 'algorithm': 'dfs'},
{'pi': 0.3098323170731707, 'score': 0.3098323170731707, 'examples_seen': 33952, 'step': 3400, 'algorithm': 'dfs'},
{'pi': 0.3075457317073171, 'score': 0.3075457317073171, 'examples_seen': 34496, 'step': 3450, 'algorithm': 'dfs'},
{'pi': 0.31440548780487804, 'score': 0.31440548780487804, 'examples_seen': 35040, 'step': 3500, 'algorithm': 'dfs'},
{'pi': 0.34222560975609756, 'score': 0.34222560975609756, 'examples_seen': 35520, 'step': 3550, 'algorithm': 'dfs'},
{'pi': 0.3235518292682927, 'score': 0.3235518292682927, 'examples_seen': 36032, 'step': 3600, 'algorithm': 'dfs'},
{'pi': 0.32964939024390244, 'score': 0.32964939024390244, 'examples_seen': 36480, 'step': 3650, 'algorithm': 'dfs'},
{'pi': 0.33689024390243905, 'score': 0.33689024390243905, 'examples_seen': 37024, 'step': 3700, 'algorithm': 'dfs'},
{'pi': 0.31859756097560976, 'score': 0.31859756097560976, 'examples_seen': 37456, 'step': 3750, 'algorithm': 'dfs'},
{'pi': 0.29039634146341464, 'score': 0.29039634146341464, 'examples_seen': 38064, 'step': 3800, 'algorithm': 'dfs'},
{'pi': 0.3323170731707317, 'score': 0.3323170731707317, 'examples_seen': 38512, 'step': 3850, 'algorithm': 'dfs'},
{'pi': 0.2618140243902439, 'score': 0.2618140243902439, 'examples_seen': 38992, 'step': 3900, 'algorithm': 'dfs'},
{'pi': 0.3205030487804878, 'score': 0.3205030487804878, 'examples_seen': 39520, 'step': 3950, 'algorithm': 'dfs'},
{'pi': 0.24657012195121952, 'score': 0.24657012195121952, 'examples_seen': 40016, 'step': 4000, 'algorithm': 'dfs'},
{'pi': 0.3208841463414634, 'score': 0.3208841463414634, 'examples_seen': 40528, 'step': 4050, 'algorithm': 'dfs'},
{'pi': 0.2728658536585366, 'score': 0.2728658536585366, 'examples_seen': 41008, 'step': 4100, 'algorithm': 'dfs'},
{'pi': 0.3128810975609756, 'score': 0.3128810975609756, 'examples_seen': 41504, 'step': 4150, 'algorithm': 'dfs'},
{'pi': 0.3083079268292683, 'score': 0.3083079268292683, 'examples_seen': 42032, 'step': 4200, 'algorithm': 'dfs'},
{'pi': 0.2842987804878049, 'score': 0.2842987804878049, 'examples_seen': 42512, 'step': 4250, 'algorithm': 'dfs'},
{'pi': 0.2972560975609756, 'score': 0.2972560975609756, 'examples_seen': 43056, 'step': 4300, 'algorithm': 'dfs'},
{'pi': 0.3822408536585366, 'score': 0.3822408536585366, 'examples_seen': 43488, 'step': 4350, 'algorithm': 'dfs'},
{'pi': 0.3307926829268293, 'score': 0.3307926829268293, 'examples_seen': 44032, 'step': 4400, 'algorithm': 'dfs'},
