{'in_hull': 0.35450516986706054, 'score': 0.35450516986706054, 'examples_seen': 16, 'step': 0, 'algorithm': 'jarvis_march'},
{'in_hull': 0.4226029455966336, 'score': 0.4226029455966336, 'examples_seen': 264, 'step': 50, 'algorithm': 'jarvis_march'},
{'in_hull': 0.44107452339688036, 'score': 0.44107452339688036, 'examples_seen': 583, 'step': 100, 'algorithm': 'jarvis_march'},
{'in_hull': 0.6072013093289689, 'score': 0.6072013093289689, 'examples_seen': 831, 'step': 150, 'algorithm': 'jarvis_march'},
{'in_hull': 0.580015026296018, 'score': 0.580015026296018, 'examples_seen': 1164, 'step': 200, 'algorithm': 'jarvis_march'},
{'in_hull': 0.7244224422442244, 'score': 0.7244224422442244, 'examples_seen': 1443, 'step': 250, 'algorithm': 'jarvis_march'},
{'in_hull': 0.657428791377983, 'score': 0.657428791377983, 'examples_seen': 1778, 'step': 300, 'algorithm': 'jarvis_march'},
{'in_hull': 0.5293489861259338, 'score': 0.5293489861259338, 'examples_seen': 2095, 'step': 350, 'algorithm': 'jarvis_march'},
{'in_hull': 0.7632468996617813, 'score': 0.7632468996617813, 'examples_seen': 2377, 'step': 400, 'algorithm': 'jarvis_march'},
{'in_hull': 0.7670103092783506, 'score': 0.7670103092783506, 'examples_seen': 2716, 'step': 450, 'algorithm': 'jarvis_march'},
{'in_hull': 0.781437125748503, 'score': 0.781437125748503, 'examples_seen': 2982, 'step': 500, 'algorithm': 'jarvis_march'},
{'in_hull': 0.8724919093851133, 'score': 0.8724919093851133, 'examples_seen': 3328, 'step': 550, 'algorithm': 'jarvis_march'},
{'in_hull': 0.8532110091743119, 'score': 0.8532110091743119, 'examples_seen': 3595, 'step': 600, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9143258426966291, 'score': 0.9143258426966291, 'examples_seen': 3922, 'step': 650, 'algorithm': 'jarvis_march'},
{'in_hull': 0.8765432098765432, 'score': 0.8765432098765432, 'examples_seen': 4241, 'step': 700, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9176136363636364, 'score': 0.9176136363636364, 'examples_seen': 4517, 'step': 750, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9032258064516129, 'score': 0.9032258064516129, 'examples_seen': 4864, 'step': 800, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9331476323119776, 'score': 0.9331476323119776, 'examples_seen': 5148, 'step': 850, 'algorithm': 'jarvis_march'},
{'in_hull': 0.9269340974212035, 'score': 0.9269340974212035, 'examples_seen': 5473, 'step': 900, 'algorithm': 'jarvis_march'},
