{'match': 0.0185546875, 'score': 0.0185546875, 'examples_seen': 11, 'step': 0, 'algorithm': 'kmp_matcher'},
{'match': 0.040771484375, 'score': 0.040771484375, 'examples_seen': 640, 'step': 50, 'algorithm': 'kmp_matcher'},
{'match': 0.036865234375, 'score': 0.036865234375, 'examples_seen': 1286, 'step': 100, 'algorithm': 'kmp_matcher'},
{'match': 0.03759765625, 'score': 0.03759765625, 'examples_seen': 1920, 'step': 150, 'algorithm': 'kmp_matcher'},
{'match': 0.037109375, 'score': 0.037109375, 'examples_seen': 2548, 'step': 200, 'algorithm': 'kmp_matcher'},
{'match': 0.045654296875, 'score': 0.045654296875, 'examples_seen': 3178, 'step': 250, 'algorithm': 'kmp_matcher'},
{'match': 0.046875, 'score': 0.046875, 'examples_seen': 3803, 'step': 300, 'algorithm': 'kmp_matcher'},
{'match': 0.04150390625, 'score': 0.04150390625, 'examples_seen': 4431, 'step': 350, 'algorithm': 'kmp_matcher'},
{'match': 0.045654296875, 'score': 0.045654296875, 'examples_seen': 5063, 'step': 400, 'algorithm': 'kmp_matcher'},
{'match': 0.0458984375, 'score': 0.0458984375, 'examples_seen': 5705, 'step': 450, 'algorithm': 'kmp_matcher'},
{'match': 0.06884765625, 'score': 0.06884765625, 'examples_seen': 6335, 'step': 500, 'algorithm': 'kmp_matcher'},
{'match': 0.08544921875, 'score': 0.08544921875, 'examples_seen': 6963, 'step': 550, 'algorithm': 'kmp_matcher'},
{'match': 0.12109375, 'score': 0.12109375, 'examples_seen': 7613, 'step': 600, 'algorithm': 'kmp_matcher'},
{'match': 0.082763671875, 'score': 0.082763671875, 'examples_seen': 8243, 'step': 650, 'algorithm': 'kmp_matcher'},
{'match': 0.151123046875, 'score': 0.151123046875, 'examples_seen': 8869, 'step': 700, 'algorithm': 'kmp_matcher'},
{'match': 0.152099609375, 'score': 0.152099609375, 'examples_seen': 9501, 'step': 750, 'algorithm': 'kmp_matcher'},
{'match': 0.15771484375, 'score': 0.15771484375, 'examples_seen': 10127, 'step': 800, 'algorithm': 'kmp_matcher'},
{'match': 0.163330078125, 'score': 0.163330078125, 'examples_seen': 10759, 'step': 850, 'algorithm': 'kmp_matcher'},
{'match': 0.116943359375, 'score': 0.116943359375, 'examples_seen': 11388, 'step': 900, 'algorithm': 'kmp_matcher'},
{'match': 0.165283203125, 'score': 0.165283203125, 'examples_seen': 12021, 'step': 950, 'algorithm': 'kmp_matcher'},
{'match': 0.170654296875, 'score': 0.170654296875, 'examples_seen': 12650, 'step': 1000, 'algorithm': 'kmp_matcher'},
{'match': 0.170654296875, 'score': 0.170654296875, 'examples_seen': 13285, 'step': 1050, 'algorithm': 'kmp_matcher'},
