{'pi': 0.23132621951219512, 'score': 0.23132621951219512, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'},
{'pi': 0.4809451219512195, 'score': 0.4809451219512195, 'examples_seen': 1745, 'step': 50, 'algorithm': 'mst_prim'},
{'pi': 0.618140243902439, 'score': 0.618140243902439, 'examples_seen': 3522, 'step': 100, 'algorithm': 'mst_prim'},
{'pi': 0.6150914634146342, 'score': 0.6150914634146342, 'examples_seen': 5070, 'step': 150, 'algorithm': 'mst_prim'},
{'pi': 0.6196646341463414, 'score': 0.6196646341463414, 'examples_seen': 6852, 'step': 200, 'algorithm': 'mst_prim'},
{'pi': 0.5278201219512195, 'score': 0.5278201219512195, 'examples_seen': 8368, 'step': 250, 'algorithm': 'mst_prim'},
{'pi': 0.4809451219512195, 'score': 0.4809451219512195, 'examples_seen': 10165, 'step': 300, 'algorithm': 'mst_prim'},
{'pi': 0.515625, 'score': 0.515625, 'examples_seen': 11846, 'step': 350, 'algorithm': 'mst_prim'},
{'pi': 0.5080030487804879, 'score': 0.5080030487804879, 'examples_seen': 13496, 'step': 400, 'algorithm': 'mst_prim'},
{'pi': 0.6036585365853658, 'score': 0.6036585365853658, 'examples_seen': 15236, 'step': 450, 'algorithm': 'mst_prim'},
{'pi': 0.5838414634146342, 'score': 0.5838414634146342, 'examples_seen': 16787, 'step': 500, 'algorithm': 'mst_prim'},
{'pi': 0.6425304878048781, 'score': 0.6425304878048781, 'examples_seen': 18606, 'step': 550, 'algorithm': 'mst_prim'},
{'pi': 0.6528201219512195, 'score': 0.6528201219512195, 'examples_seen': 20106, 'step': 600, 'algorithm': 'mst_prim'},
{'pi': 0.6859756097560976, 'score': 0.6859756097560976, 'examples_seen': 21957, 'step': 650, 'algorithm': 'mst_prim'},
{'pi': 0.6421493902439024, 'score': 0.6421493902439024, 'examples_seen': 23609, 'step': 700, 'algorithm': 'mst_prim'},
{'pi': 0.7076981707317073, 'score': 0.7076981707317073, 'examples_seen': 25254, 'step': 750, 'algorithm': 'mst_prim'},
{'pi': 0.6516768292682927, 'score': 0.6516768292682927, 'examples_seen': 26987, 'step': 800, 'algorithm': 'mst_prim'},
{'pi': 0.756859756097561, 'score': 0.756859756097561, 'examples_seen': 28513, 'step': 850, 'algorithm': 'mst_prim'},
{'pi': 0.7358993902439024, 'score': 0.7358993902439024, 'examples_seen': 30365, 'step': 900, 'algorithm': 'mst_prim'},
{'pi': 0.666920731707317, 'score': 0.666920731707317, 'examples_seen': 31846, 'step': 950, 'algorithm': 'mst_prim'},
{'pi': 0.6875, 'score': 0.6875, 'examples_seen': 33654, 'step': 1000, 'algorithm': 'mst_prim'},
{'pi': 0.6875, 'score': 0.6875, 'examples_seen': 35307, 'step': 1050, 'algorithm': 'mst_prim'},
{'pi': 0.7942073170731707, 'score': 0.7942073170731707, 'examples_seen': 36932, 'step': 1100, 'algorithm': 'mst_prim'},
{'pi': 0.7751524390243902, 'score': 0.7751524390243902, 'examples_seen': 38686, 'step': 1150, 'algorithm': 'mst_prim'},
{'pi': 0.770579268292683, 'score': 0.770579268292683, 'examples_seen': 40241, 'step': 1200, 'algorithm': 'mst_prim'},
{'pi': 0.7088414634146342, 'score': 0.7088414634146342, 'examples_seen': 42033, 'step': 1250, 'algorithm': 'mst_prim'},
{'pi': 0.7355182926829268, 'score': 0.7355182926829268, 'examples_seen': 43532, 'step': 1300, 'algorithm': 'mst_prim'},
{'pi': 0.817454268292683, 'score': 0.817454268292683, 'examples_seen': 45328, 'step': 1350, 'algorithm': 'mst_prim'},
{'pi': 0.8128810975609756, 'score': 0.8128810975609756, 'examples_seen': 46981, 'step': 1400, 'algorithm': 'mst_prim'},
{'pi': 0.7522865853658537, 'score': 0.7522865853658537, 'examples_seen': 48624, 'step': 1450, 'algorithm': 'mst_prim'},
{'pi': 0.7660060975609756, 'score': 0.7660060975609756, 'examples_seen': 50361, 'step': 1500, 'algorithm': 'mst_prim'},
{'pi': 0.7271341463414634, 'score': 0.7271341463414634, 'examples_seen': 51877, 'step': 1550, 'algorithm': 'mst_prim'},
{'pi': 0.734375, 'score': 0.734375, 'examples_seen': 53620, 'step': 1600, 'algorithm': 'mst_prim'},
{'pi': 0.7637195121951219, 'score': 0.7637195121951219, 'examples_seen': 55134, 'step': 1650, 'algorithm': 'mst_prim'},
{'pi': 0.7195121951219512, 'score': 0.7195121951219512, 'examples_seen': 56967, 'step': 1700, 'algorithm': 'mst_prim'},
{'pi': 0.7488567073170732, 'score': 0.7488567073170732, 'examples_seen': 58624, 'step': 1750, 'algorithm': 'mst_prim'},
{'pi': 0.834984756097561, 'score': 0.834984756097561, 'examples_seen': 60241, 'step': 1800, 'algorithm': 'mst_prim'},
{'pi': 0.8170731707317073, 'score': 0.8170731707317073, 'examples_seen': 61969, 'step': 1850, 'algorithm': 'mst_prim'},
{'pi': 0.8483231707317073, 'score': 0.8483231707317073, 'examples_seen': 63531, 'step': 1900, 'algorithm': 'mst_prim'},
{'pi': 0.8185975609756098, 'score': 0.8185975609756098, 'examples_seen': 65331, 'step': 1950, 'algorithm': 'mst_prim'},
{'pi': 0.7846798780487805, 'score': 0.7846798780487805, 'examples_seen': 66820, 'step': 2000, 'algorithm': 'mst_prim'},
{'pi': 0.7983993902439024, 'score': 0.7983993902439024, 'examples_seen': 68617, 'step': 2050, 'algorithm': 'mst_prim'},
{'pi': 0.838795731707317, 'score': 0.838795731707317, 'examples_seen': 70278, 'step': 2100, 'algorithm': 'mst_prim'},
{'pi': 0.8540396341463414, 'score': 0.8540396341463414, 'examples_seen': 71936, 'step': 2150, 'algorithm': 'mst_prim'},
{'pi': 0.8239329268292683, 'score': 0.8239329268292683, 'examples_seen': 73689, 'step': 2200, 'algorithm': 'mst_prim'},
{'pi': 0.7949695121951219, 'score': 0.7949695121951219, 'examples_seen': 75247, 'step': 2250, 'algorithm': 'mst_prim'},
