{'pred': 0.06059451219512195, 'score': 0.06059451219512195, 'examples_seen': 55, 'step': 0, 'algorithm': 'quicksort'},
{'pred': 0.13567073170731708, 'score': 0.13567073170731708, 'examples_seen': 854, 'step': 50, 'algorithm': 'quicksort'},
{'pred': 0.12233231707317073, 'score': 0.12233231707317073, 'examples_seen': 1831, 'step': 100, 'algorithm': 'quicksort'},
{'pred': 0.18559451219512196, 'score': 0.18559451219512196, 'examples_seen': 2634, 'step': 150, 'algorithm': 'quicksort'},
{'pred': 0.20121951219512196, 'score': 0.20121951219512196, 'examples_seen': 3649, 'step': 200, 'algorithm': 'quicksort'},
{'pred': 0.2339939024390244, 'score': 0.2339939024390244, 'examples_seen': 4434, 'step': 250, 'algorithm': 'quicksort'},
{'pred': 0.22522865853658536, 'score': 0.22522865853658536, 'examples_seen': 5440, 'step': 300, 'algorithm': 'quicksort'},
{'pred': 0.14329268292682926, 'score': 0.14329268292682926, 'examples_seen': 6408, 'step': 350, 'algorithm': 'quicksort'},
{'pred': 0.19474085365853658, 'score': 0.19474085365853658, 'examples_seen': 7250, 'step': 400, 'algorithm': 'quicksort'},
{'pred': 0.2930640243902439, 'score': 0.2930640243902439, 'examples_seen': 8229, 'step': 450, 'algorithm': 'quicksort'},
{'pred': 0.16158536585365854, 'score': 0.16158536585365854, 'examples_seen': 9031, 'step': 500, 'algorithm': 'quicksort'},
{'pred': 0.17682926829268292, 'score': 0.17682926829268292, 'examples_seen': 10048, 'step': 550, 'algorithm': 'quicksort'},
{'pred': 0.20617378048780488, 'score': 0.20617378048780488, 'examples_seen': 10823, 'step': 600, 'algorithm': 'quicksort'},
{'pred': 0.2618140243902439, 'score': 0.2618140243902439, 'examples_seen': 11835, 'step': 650, 'algorithm': 'quicksort'},
{'pred': 0.12576219512195122, 'score': 0.12576219512195122, 'examples_seen': 12783, 'step': 700, 'algorithm': 'quicksort'},
{'pred': 0.22599085365853658, 'score': 0.22599085365853658, 'examples_seen': 13622, 'step': 750, 'algorithm': 'quicksort'},
{'pred': 0.3239329268292683, 'score': 0.3239329268292683, 'examples_seen': 14623, 'step': 800, 'algorithm': 'quicksort'},
{'pred': 0.31440548780487804, 'score': 0.31440548780487804, 'examples_seen': 15409, 'step': 850, 'algorithm': 'quicksort'},
{'pred': 0.3464176829268293, 'score': 0.3464176829268293, 'examples_seen': 16411, 'step': 900, 'algorithm': 'quicksort'},
{'pred': 0.2614329268292683, 'score': 0.2614329268292683, 'examples_seen': 17208, 'step': 950, 'algorithm': 'quicksort'},
{'pred': 0.2858231707317073, 'score': 0.2858231707317073, 'examples_seen': 18219, 'step': 1000, 'algorithm': 'quicksort'},
{'pred': 0.4927591463414634, 'score': 0.4927591463414634, 'examples_seen': 19177, 'step': 1050, 'algorithm': 'quicksort'},
{'pred': 0.2915396341463415, 'score': 0.2915396341463415, 'examples_seen': 20004, 'step': 1100, 'algorithm': 'quicksort'},
{'pred': 0.20884146341463414, 'score': 0.20884146341463414, 'examples_seen': 21015, 'step': 1150, 'algorithm': 'quicksort'},
{'pred': 0.46989329268292684, 'score': 0.46989329268292684, 'examples_seen': 21804, 'step': 1200, 'algorithm': 'quicksort'},
{'pred': 0.3708079268292683, 'score': 0.3708079268292683, 'examples_seen': 22810, 'step': 1250, 'algorithm': 'quicksort'},
{'pred': 0.3711890243902439, 'score': 0.3711890243902439, 'examples_seen': 23600, 'step': 1300, 'algorithm': 'quicksort'},
{'pred': 0.3441310975609756, 'score': 0.3441310975609756, 'examples_seen': 24606, 'step': 1350, 'algorithm': 'quicksort'},
{'pred': 0.3639481707317073, 'score': 0.3639481707317073, 'examples_seen': 25569, 'step': 1400, 'algorithm': 'quicksort'},
{'pred': 0.4794207317073171, 'score': 0.4794207317073171, 'examples_seen': 26383, 'step': 1450, 'algorithm': 'quicksort'},
{'pred': 0.4946646341463415, 'score': 0.4946646341463415, 'examples_seen': 27392, 'step': 1500, 'algorithm': 'quicksort'},
{'pred': 0.296875, 'score': 0.296875, 'examples_seen': 28179, 'step': 1550, 'algorithm': 'quicksort'},
{'pred': 0.38910060975609756, 'score': 0.38910060975609756, 'examples_seen': 29191, 'step': 1600, 'algorithm': 'quicksort'},
{'pred': 0.38376524390243905, 'score': 0.38376524390243905, 'examples_seen': 29978, 'step': 1650, 'algorithm': 'quicksort'},
{'pred': 0.31021341463414637, 'score': 0.31021341463414637, 'examples_seen': 30978, 'step': 1700, 'algorithm': 'quicksort'},
{'pred': 0.4340701219512195, 'score': 0.4340701219512195, 'examples_seen': 31954, 'step': 1750, 'algorithm': 'quicksort'},
{'pred': 0.4771341463414634, 'score': 0.4771341463414634, 'examples_seen': 32770, 'step': 1800, 'algorithm': 'quicksort'},
{'pred': 0.4455030487804878, 'score': 0.4455030487804878, 'examples_seen': 33777, 'step': 1850, 'algorithm': 'quicksort'},
{'pred': 0.3696646341463415, 'score': 0.3696646341463415, 'examples_seen': 34565, 'step': 1900, 'algorithm': 'quicksort'},
{'pred': 0.5910823170731707, 'score': 0.5910823170731707, 'examples_seen': 35579, 'step': 1950, 'algorithm': 'quicksort'},
{'pred': 0.6128048780487805, 'score': 0.6128048780487805, 'examples_seen': 36375, 'step': 2000, 'algorithm': 'quicksort'},
{'pred': 0.5461128048780488, 'score': 0.5461128048780488, 'examples_seen': 37383, 'step': 2050, 'algorithm': 'quicksort'},
{'pred': 0.2999237804878049, 'score': 0.2999237804878049, 'examples_seen': 38350, 'step': 2100, 'algorithm': 'quicksort'},
{'pred': 0.48589939024390244, 'score': 0.48589939024390244, 'examples_seen': 39179, 'step': 2150, 'algorithm': 'quicksort'},
{'pred': 0.5689786585365854, 'score': 0.5689786585365854, 'examples_seen': 40169, 'step': 2200, 'algorithm': 'quicksort'},
