{'scc_id': 0.12890625, 'score': 0.12890625, 'examples_seen': 0, 'step': 0, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 144, 'step': 50, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 288, 'step': 100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.185546875, 'score': 0.185546875, 'examples_seen': 433, 'step': 150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 575, 'step': 200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.51953125, 'score': 0.51953125, 'examples_seen': 720, 'step': 250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.62109375, 'score': 0.62109375, 'examples_seen': 865, 'step': 300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.51171875, 'score': 0.51171875, 'examples_seen': 1008, 'step': 350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.646484375, 'score': 0.646484375, 'examples_seen': 1150, 'step': 400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.435546875, 'score': 0.435546875, 'examples_seen': 1294, 'step': 450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7529296875, 'score': 0.7529296875, 'examples_seen': 1436, 'step': 500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 1580, 'step': 550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6669921875, 'score': 0.6669921875, 'examples_seen': 1725, 'step': 600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.712890625, 'score': 0.712890625, 'examples_seen': 1867, 'step': 650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.685546875, 'score': 0.685546875, 'examples_seen': 2012, 'step': 700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 2153, 'step': 750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 2296, 'step': 800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6484375, 'score': 0.6484375, 'examples_seen': 2443, 'step': 850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6552734375, 'score': 0.6552734375, 'examples_seen': 2588, 'step': 900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 2731, 'step': 950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6875, 'score': 0.6875, 'examples_seen': 2877, 'step': 1000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.68359375, 'score': 0.68359375, 'examples_seen': 3019, 'step': 1050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7578125, 'score': 0.7578125, 'examples_seen': 3164, 'step': 1100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 3308, 'step': 1150, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7421875, 'score': 0.7421875, 'examples_seen': 3450, 'step': 1200, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6455078125, 'score': 0.6455078125, 'examples_seen': 3593, 'step': 1250, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7646484375, 'score': 0.7646484375, 'examples_seen': 3737, 'step': 1300, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 3881, 'step': 1350, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 4026, 'step': 1400, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 4168, 'step': 1450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.681640625, 'score': 0.681640625, 'examples_seen': 4311, 'step': 1500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.671875, 'score': 0.671875, 'examples_seen': 4456, 'step': 1550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.603515625, 'score': 0.603515625, 'examples_seen': 4600, 'step': 1600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 4741, 'step': 1650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 4887, 'step': 1700, 'algorithm': 'strongly_connected_components'},
