{'selected': 0.42130365659777425, 'score': 0.42130365659777425, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
{'selected': 0.6742301458670988, 'score': 0.6742301458670988, 'examples_seen': 2080, 'step': 50, 'algorithm': 'activity_selector'}
{'selected': 0.6602316602316602, 'score': 0.6602316602316602, 'examples_seen': 4064, 'step': 100, 'algorithm': 'activity_selector'}
{'selected': 0.7504244482173175, 'score': 0.7504244482173175, 'examples_seen': 6016, 'step': 150, 'algorithm': 'activity_selector'}
{'selected': 0.7387387387387387, 'score': 0.7387387387387387, 'examples_seen': 8016, 'step': 200, 'algorithm': 'activity_selector'}
{'selected': 0.7615062761506275, 'score': 0.7615062761506275, 'examples_seen': 9952, 'step': 250, 'algorithm': 'activity_selector'}
{'selected': 0.7985074626865671, 'score': 0.7985074626865671, 'examples_seen': 12000, 'step': 300, 'algorithm': 'activity_selector'}
{'selected': 0.6109785202863962, 'score': 0.6109785202863962, 'examples_seen': 14032, 'step': 350, 'algorithm': 'activity_selector'}
{'selected': 0.7918367346938776, 'score': 0.7918367346938776, 'examples_seen': 16000, 'step': 400, 'algorithm': 'activity_selector'}
{'selected': 0.8461538461538461, 'score': 0.8461538461538461, 'examples_seen': 18000, 'step': 450, 'algorithm': 'activity_selector'}
{'selected': 0.8405253283302064, 'score': 0.8405253283302064, 'examples_seen': 19952, 'step': 500, 'algorithm': 'activity_selector'}
{'selected': 0.8481481481481482, 'score': 0.8481481481481482, 'examples_seen': 21920, 'step': 550, 'algorithm': 'activity_selector'}
{'selected': 0.8713235294117647, 'score': 0.8713235294117647, 'examples_seen': 23904, 'step': 600, 'algorithm': 'activity_selector'}
{'selected': 0.8356164383561644, 'score': 0.8356164383561644, 'examples_seen': 25920, 'step': 650, 'algorithm': 'activity_selector'}
{'selected': 0.8376068376068377, 'score': 0.8376068376068377, 'examples_seen': 27952, 'step': 700, 'algorithm': 'activity_selector'}
{'selected': 0.8479427549194991, 'score': 0.8479427549194991, 'examples_seen': 29936, 'step': 750, 'algorithm': 'activity_selector'}
{'selected': 0.8229166666666667, 'score': 0.8229166666666667, 'examples_seen': 31920, 'step': 800, 'algorithm': 'activity_selector'}
