I0715 08:05:00.554571 136117319849472 run.py:723] (val) algo binary_search step 0: {'return': 0.0478515625, 'score': 0.0478515625, 'examples_seen': 96, 'step': 0, 'algorithm': 'binary_search'}
I0715 08:06:08.253383 136117319849472 run.py:723] (val) algo binary_search step 50: {'return': 0.4921875, 'score': 0.4921875, 'examples_seen': 3929, 'step': 50, 'algorithm': 'binary_search'}
I0715 08:06:10.407586 136117319849472 run.py:723] (val) algo binary_search step 100: {'return': 0.561767578125, 'score': 0.561767578125, 'examples_seen': 7769, 'step': 100, 'algorithm': 'binary_search'}
I0715 08:06:12.554159 136117319849472 run.py:723] (val) algo binary_search step 150: {'return': 0.368408203125, 'score': 0.368408203125, 'examples_seen': 11585, 'step': 150, 'algorithm': 'binary_search'}
I0715 08:06:14.673175 136117319849472 run.py:723] (val) algo binary_search step 200: {'return': 0.415771484375, 'score': 0.415771484375, 'examples_seen': 15405, 'step': 200, 'algorithm': 'binary_search'}
I0715 08:06:16.801753 136117319849472 run.py:723] (val) algo binary_search step 250: {'return': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 19220, 'step': 250, 'algorithm': 'binary_search'}
I0715 08:06:18.967694 136117319849472 run.py:723] (val) algo binary_search step 300: {'return': 0.6005859375, 'score': 0.6005859375, 'examples_seen': 23101, 'step': 300, 'algorithm': 'binary_search'}
I0715 08:06:21.144536 136117319849472 run.py:723] (val) algo binary_search step 350: {'return': 0.469482421875, 'score': 0.469482421875, 'examples_seen': 26975, 'step': 350, 'algorithm': 'binary_search'}
I0715 08:06:23.275613 136117319849472 run.py:723] (val) algo binary_search step 400: {'return': 0.572509765625, 'score': 0.572509765625, 'examples_seen': 30803, 'step': 400, 'algorithm': 'binary_search'}
I0715 08:06:25.414525 136117319849472 run.py:723] (val) algo binary_search step 450: {'return': 0.37548828125, 'score': 0.37548828125, 'examples_seen': 34648, 'step': 450, 'algorithm': 'binary_search'}
I0715 08:06:27.542397 136117319849472 run.py:723] (val) algo binary_search step 500: {'return': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 38465, 'step': 500, 'algorithm': 'binary_search'}
I0715 08:06:29.697409 136117319849472 run.py:723] (val) algo binary_search step 550: {'return': 0.77783203125, 'score': 0.77783203125, 'examples_seen': 42280, 'step': 550, 'algorithm': 'binary_search'}
I0715 08:06:31.856947 136117319849472 run.py:723] (val) algo binary_search step 600: {'return': 0.749267578125, 'score': 0.749267578125, 'examples_seen': 46095, 'step': 600, 'algorithm': 'binary_search'}
I0715 08:06:34.005381 136117319849472 run.py:723] (val) algo binary_search step 650: {'return': 0.674560546875, 'score': 0.674560546875, 'examples_seen': 49987, 'step': 650, 'algorithm': 'binary_search'}
I0715 08:06:36.157897 136117319849472 run.py:723] (val) algo binary_search step 700: {'return': 0.820556640625, 'score': 0.820556640625, 'examples_seen': 53861, 'step': 700, 'algorithm': 'binary_search'}
I0715 08:06:38.293021 136117319849472 run.py:723] (val) algo binary_search step 750: {'return': 0.795654296875, 'score': 0.795654296875, 'examples_seen': 57708, 'step': 750, 'algorithm': 'binary_search'}
I0715 08:06:40.457394 136117319849472 run.py:723] (val) algo binary_search step 800: {'return': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 61556, 'step': 800, 'algorithm': 'binary_search'}
I0715 08:06:42.596609 136117319849472 run.py:723] (val) algo binary_search step 850: {'return': 0.73779296875, 'score': 0.73779296875, 'examples_seen': 65375, 'step': 850, 'algorithm': 'binary_search'}
I0715 08:06:44.746007 136117319849472 run.py:723] (val) algo binary_search step 900: {'return': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 69199, 'step': 900, 'algorithm': 'binary_search'}
I0715 08:06:46.912662 136117319849472 run.py:723] (val) algo binary_search step 950: {'return': 0.740478515625, 'score': 0.740478515625, 'examples_seen': 73009, 'step': 950, 'algorithm': 'binary_search'}
I0715 08:06:49.080738 136117319849472 run.py:723] (val) algo binary_search step 1000: {'return': 0.667236328125, 'score': 0.667236328125, 'examples_seen': 76906, 'step': 1000, 'algorithm': 'binary_search'}
I0715 08:06:51.249575 136117319849472 run.py:723] (val) algo binary_search step 1050: {'return': 0.79736328125, 'score': 0.79736328125, 'examples_seen': 80786, 'step': 1050, 'algorithm': 'binary_search'}
I0715 08:06:53.615124 136117319849472 run.py:723] (val) algo binary_search step 1100: {'return': 0.5087890625, 'score': 0.5087890625, 'examples_seen': 84624, 'step': 1100, 'algorithm': 'binary_search'}
I0715 08:06:55.712640 136117319849472 run.py:723] (val) algo binary_search step 1150: {'return': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 88449, 'step': 1150, 'algorithm': 'binary_search'}
I0715 08:06:57.863750 136117319849472 run.py:723] (val) algo binary_search step 1200: {'return': 0.68505859375, 'score': 0.68505859375, 'examples_seen': 92263, 'step': 1200, 'algorithm': 'binary_search'}
I0715 08:07:00.004119 136117319849472 run.py:723] (val) algo binary_search step 1250: {'return': 0.75341796875, 'score': 0.75341796875, 'examples_seen': 96077, 'step': 1250, 'algorithm': 'binary_search'}
