{'pred': 0.16796875, 'score': 0.16796875, 'examples_seen': 64, 'step': 0, 'algorithm': 'bubble_sort'}
{'pred': 0.349609375, 'score': 0.349609375, 'examples_seen': 1744, 'step': 50, 'algorithm': 'bubble_sort'}
{'pred': 0.42578125, 'score': 0.42578125, 'examples_seen': 3408, 'step': 100, 'algorithm': 'bubble_sort'}
{'pred': 0.3828125, 'score': 0.3828125, 'examples_seen': 5056, 'step': 150, 'algorithm': 'bubble_sort'}
{'pred': 0.4609375, 'score': 0.4609375, 'examples_seen': 6720, 'step': 200, 'algorithm': 'bubble_sort'}
{'pred': 0.322265625, 'score': 0.322265625, 'examples_seen': 8368, 'step': 250, 'algorithm': 'bubble_sort'}
{'pred': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 10176, 'step': 300, 'algorithm': 'bubble_sort'}
{'pred': 0.34375, 'score': 0.34375, 'examples_seen': 11904, 'step': 350, 'algorithm': 'bubble_sort'}
{'pred': 0.5146484375, 'score': 0.5146484375, 'examples_seen': 13568, 'step': 400, 'algorithm': 'bubble_sort'}
{'pred': 0.6298828125, 'score': 0.6298828125, 'examples_seen': 15264, 'step': 450, 'algorithm': 'bubble_sort'}
{'pred': 0.6337890625, 'score': 0.6337890625, 'examples_seen': 16912, 'step': 500, 'algorithm': 'bubble_sort'}
{'pred': 0.6142578125, 'score': 0.6142578125, 'examples_seen': 18576, 'step': 550, 'algorithm': 'bubble_sort'}
{'pred': 0.677734375, 'score': 0.677734375, 'examples_seen': 20224, 'step': 600, 'algorithm': 'bubble_sort'}
{'pred': 0.6162109375, 'score': 0.6162109375, 'examples_seen': 22016, 'step': 650, 'algorithm': 'bubble_sort'}
{'pred': 0.642578125, 'score': 0.642578125, 'examples_seen': 23728, 'step': 700, 'algorithm': 'bubble_sort'}
{'pred': 0.724609375, 'score': 0.724609375, 'examples_seen': 25408, 'step': 750, 'algorithm': 'bubble_sort'}
{'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 27088, 'step': 800, 'algorithm': 'bubble_sort'}
{'pred': 0.7197265625, 'score': 0.7197265625, 'examples_seen': 28752, 'step': 850, 'algorithm': 'bubble_sort'}
{'pred': 0.7294921875, 'score': 0.7294921875, 'examples_seen': 30432, 'step': 900, 'algorithm': 'bubble_sort'}
{'pred': 0.7412109375, 'score': 0.7412109375, 'examples_seen': 32080, 'step': 950, 'algorithm': 'bubble_sort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 33872, 'step': 1000, 'algorithm': 'bubble_sort'}
{'pred': 0.6494140625, 'score': 0.6494140625, 'examples_seen': 35568, 'step': 1050, 'algorithm': 'bubble_sort'}
{'pred': 0.83203125, 'score': 0.83203125, 'examples_seen': 37264, 'step': 1100, 'algorithm': 'bubble_sort'}
{'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 38928, 'step': 1150, 'algorithm': 'bubble_sort'}
{'pred': 0.6416015625, 'score': 0.6416015625, 'examples_seen': 40576, 'step': 1200, 'algorithm': 'bubble_sort'}
{'pred': 0.6689453125, 'score': 0.6689453125, 'examples_seen': 42240, 'step': 1250, 'algorithm': 'bubble_sort'}
{'pred': 0.63671875, 'score': 0.63671875, 'examples_seen': 43920, 'step': 1300, 'algorithm': 'bubble_sort'}
{'pred': 0.6279296875, 'score': 0.6279296875, 'examples_seen': 45712, 'step': 1350, 'algorithm': 'bubble_sort'}
{'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 47424, 'step': 1400, 'algorithm': 'bubble_sort'}
{'pred': 0.7421875, 'score': 0.7421875, 'examples_seen': 49120, 'step': 1450, 'algorithm': 'bubble_sort'}
{'pred': 0.8095703125, 'score': 0.8095703125, 'examples_seen': 50784, 'step': 1500, 'algorithm': 'bubble_sort'}
{'pred': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 52432, 'step': 1550, 'algorithm': 'bubble_sort'}
{'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 54096, 'step': 1600, 'algorithm': 'bubble_sort'}
{'pred': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 55760, 'step': 1650, 'algorithm': 'bubble_sort'}
{'pred': 0.806640625, 'score': 0.806640625, 'examples_seen': 57536, 'step': 1700, 'algorithm': 'bubble_sort'}
{'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 59264, 'step': 1750, 'algorithm': 'bubble_sort'}
{'pred': 0.828125, 'score': 0.828125, 'examples_seen': 60944, 'step': 1800, 'algorithm': 'bubble_sort'}
