I0715 08:50:09.325497 137093019534848 run.py:723] (val) algo dfs step 0: {'pi': 0.05859375, 'score': 0.05859375, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'}
I0715 08:51:54.063765 137093019534848 run.py:723] (val) algo dfs step 50: {'pi': 0.3798828125, 'score': 0.3798828125, 'examples_seen': 880, 'step': 50, 'algorithm': 'dfs'}
I0715 08:51:55.440553 137093019534848 run.py:723] (val) algo dfs step 100: {'pi': 0.4111328125, 'score': 0.4111328125, 'examples_seen': 1744, 'step': 100, 'algorithm': 'dfs'}
I0715 08:51:56.791547 137093019534848 run.py:723] (val) algo dfs step 150: {'pi': 0.39453125, 'score': 0.39453125, 'examples_seen': 2576, 'step': 150, 'algorithm': 'dfs'}
I0715 08:51:58.140656 137093019534848 run.py:723] (val) algo dfs step 200: {'pi': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 3424, 'step': 200, 'algorithm': 'dfs'}
I0715 08:51:59.503624 137093019534848 run.py:723] (val) algo dfs step 250: {'pi': 0.4111328125, 'score': 0.4111328125, 'examples_seen': 4256, 'step': 250, 'algorithm': 'dfs'}
I0715 08:52:00.878020 137093019534848 run.py:723] (val) algo dfs step 300: {'pi': 0.375, 'score': 0.375, 'examples_seen': 5152, 'step': 300, 'algorithm': 'dfs'}
I0715 08:52:02.198805 137093019534848 run.py:723] (val) algo dfs step 350: {'pi': 0.458984375, 'score': 0.458984375, 'examples_seen': 6000, 'step': 350, 'algorithm': 'dfs'}
I0715 08:52:03.584183 137093019534848 run.py:723] (val) algo dfs step 400: {'pi': 0.4287109375, 'score': 0.4287109375, 'examples_seen': 6864, 'step': 400, 'algorithm': 'dfs'}
I0715 08:52:04.942651 137093019534848 run.py:723] (val) algo dfs step 450: {'pi': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 7728, 'step': 450, 'algorithm': 'dfs'}
I0715 08:52:06.288147 137093019534848 run.py:723] (val) algo dfs step 500: {'pi': 0.453125, 'score': 0.453125, 'examples_seen': 8560, 'step': 500, 'algorithm': 'dfs'}
I0715 08:52:07.653300 137093019534848 run.py:723] (val) algo dfs step 550: {'pi': 0.435546875, 'score': 0.435546875, 'examples_seen': 9408, 'step': 550, 'algorithm': 'dfs'}
I0715 08:52:08.990948 137093019534848 run.py:723] (val) algo dfs step 600: {'pi': 0.458984375, 'score': 0.458984375, 'examples_seen': 10272, 'step': 600, 'algorithm': 'dfs'}
I0715 08:52:10.372939 137093019534848 run.py:723] (val) algo dfs step 650: {'pi': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 11152, 'step': 650, 'algorithm': 'dfs'}
I0715 08:52:11.696530 137093019534848 run.py:723] (val) algo dfs step 700: {'pi': 0.46484375, 'score': 0.46484375, 'examples_seen': 12000, 'step': 700, 'algorithm': 'dfs'}
I0715 08:52:13.033079 137093019534848 run.py:723] (val) algo dfs step 750: {'pi': 0.4921875, 'score': 0.4921875, 'examples_seen': 12880, 'step': 750, 'algorithm': 'dfs'}
I0715 08:52:14.374912 137093019534848 run.py:723] (val) algo dfs step 800: {'pi': 0.4580078125, 'score': 0.4580078125, 'examples_seen': 13728, 'step': 800, 'algorithm': 'dfs'}
I0715 08:52:15.716724 137093019534848 run.py:723] (val) algo dfs step 850: {'pi': 0.4892578125, 'score': 0.4892578125, 'examples_seen': 14576, 'step': 850, 'algorithm': 'dfs'}
I0715 08:52:17.067013 137093019534848 run.py:723] (val) algo dfs step 900: {'pi': 0.419921875, 'score': 0.419921875, 'examples_seen': 15440, 'step': 900, 'algorithm': 'dfs'}
I0715 08:52:18.448790 137093019534848 run.py:723] (val) algo dfs step 950: {'pi': 0.44140625, 'score': 0.44140625, 'examples_seen': 16272, 'step': 950, 'algorithm': 'dfs'}
I0715 08:52:19.792688 137093019534848 run.py:723] (val) algo dfs step 1000: {'pi': 0.49609375, 'score': 0.49609375, 'examples_seen': 17152, 'step': 1000, 'algorithm': 'dfs'}
I0715 08:52:21.161281 137093019534848 run.py:723] (val) algo dfs step 1050: {'pi': 0.4580078125, 'score': 0.4580078125, 'examples_seen': 18032, 'step': 1050, 'algorithm': 'dfs'}
I0715 08:52:22.467425 137093019534848 run.py:723] (val) algo dfs step 1100: {'pi': 0.509765625, 'score': 0.509765625, 'examples_seen': 18864, 'step': 1100, 'algorithm': 'dfs'}
I0715 08:52:23.788993 137093019534848 run.py:723] (val) algo dfs step 1150: {'pi': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 19744, 'step': 1150, 'algorithm': 'dfs'}
I0715 08:52:25.126873 137093019534848 run.py:723] (val) algo dfs step 1200: {'pi': 0.4658203125, 'score': 0.4658203125, 'examples_seen': 20560, 'step': 1200, 'algorithm': 'dfs'}
I0715 08:52:26.496332 137093019534848 run.py:723] (val) algo dfs step 1250: {'pi': 0.4599609375, 'score': 0.4599609375, 'examples_seen': 21440, 'step': 1250, 'algorithm': 'dfs'}
I0715 08:52:27.861353 137093019534848 run.py:723] (val) algo dfs step 1300: {'pi': 0.4326171875, 'score': 0.4326171875, 'examples_seen': 22256, 'step': 1300, 'algorithm': 'dfs'}
I0715 08:52:29.231320 137093019534848 run.py:723] (val) algo dfs step 1350: {'pi': 0.4677734375, 'score': 0.4677734375, 'examples_seen': 23136, 'step': 1350, 'algorithm': 'dfs'}
I0715 08:52:30.593860 137093019534848 run.py:723] (val) algo dfs step 1400: {'pi': 0.4619140625, 'score': 0.4619140625, 'examples_seen': 24032, 'step': 1400, 'algorithm': 'dfs'}
I0715 08:52:31.919730 137093019534848 run.py:723] (val) algo dfs step 1450: {'pi': 0.474609375, 'score': 0.474609375, 'examples_seen': 24864, 'step': 1450, 'algorithm': 'dfs'}
I0715 08:52:33.222048 137093019534848 run.py:723] (val) algo dfs step 1500: {'pi': 0.5107421875, 'score': 0.5107421875, 'examples_seen': 25744, 'step': 1500, 'algorithm': 'dfs'}
I0715 08:52:34.570622 137093019534848 run.py:723] (val) algo dfs step 1550: {'pi': 0.4658203125, 'score': 0.4658203125, 'examples_seen': 26576, 'step': 1550, 'algorithm': 'dfs'}
I0715 08:52:35.922788 137093019534848 run.py:723] (val) algo dfs step 1600: {'pi': 0.501953125, 'score': 0.501953125, 'examples_seen': 27424, 'step': 1600, 'algorithm': 'dfs'}
I0715 08:52:37.270380 137093019534848 run.py:723] (val) algo dfs step 1650: {'pi': 0.48046875, 'score': 0.48046875, 'examples_seen': 28272, 'step': 1650, 'algorithm': 'dfs'}
I0715 08:52:38.627513 137093019534848 run.py:723] (val) algo dfs step 1700: {'pi': 0.4345703125, 'score': 0.4345703125, 'examples_seen': 29152, 'step': 1700, 'algorithm': 'dfs'}
I0715 08:52:39.959112 137093019534848 run.py:723] (val) algo dfs step 1750: {'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 30016, 'step': 1750, 'algorithm': 'dfs'}
I0715 08:52:41.318214 137093019534848 run.py:723] (val) algo dfs step 1800: {'pi': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 30880, 'step': 1800, 'algorithm': 'dfs'}
I0715 08:52:42.660583 137093019534848 run.py:723] (val) algo dfs step 1850: {'pi': 0.513671875, 'score': 0.513671875, 'examples_seen': 31712, 'step': 1850, 'algorithm': 'dfs'}
