I0715 08:57:54.203623 128389015430656 run.py:723] (val) algo dijkstra step 0: {'pi': 0.52734375, 'score': 0.52734375, 'examples_seen': 84, 'step': 0, 'algorithm': 'dijkstra'}
I0715 08:59:31.682284 128389015430656 run.py:723] (val) algo dijkstra step 50: {'pi': 0.6796875, 'score': 0.6796875, 'examples_seen': 2939, 'step': 50, 'algorithm': 'dijkstra'}
I0715 08:59:33.615808 128389015430656 run.py:723] (val) algo dijkstra step 100: {'pi': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 5767, 'step': 100, 'algorithm': 'dijkstra'}
I0715 08:59:35.430107 128389015430656 run.py:723] (val) algo dijkstra step 150: {'pi': 0.8154296875, 'score': 0.8154296875, 'examples_seen': 8549, 'step': 150, 'algorithm': 'dijkstra'}
I0715 08:59:37.348497 128389015430656 run.py:723] (val) algo dijkstra step 200: {'pi': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 11356, 'step': 200, 'algorithm': 'dijkstra'}
I0715 08:59:39.239471 128389015430656 run.py:723] (val) algo dijkstra step 250: {'pi': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 14127, 'step': 250, 'algorithm': 'dijkstra'}
I0715 08:59:41.130203 128389015430656 run.py:723] (val) algo dijkstra step 300: {'pi': 0.890625, 'score': 0.890625, 'examples_seen': 17028, 'step': 300, 'algorithm': 'dijkstra'}
I0715 08:59:43.027610 128389015430656 run.py:723] (val) algo dijkstra step 350: {'pi': 0.857421875, 'score': 0.857421875, 'examples_seen': 19885, 'step': 350, 'algorithm': 'dijkstra'}
I0715 08:59:44.861868 128389015430656 run.py:723] (val) algo dijkstra step 400: {'pi': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 22716, 'step': 400, 'algorithm': 'dijkstra'}
I0715 08:59:46.730598 128389015430656 run.py:723] (val) algo dijkstra step 450: {'pi': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 25567, 'step': 450, 'algorithm': 'dijkstra'}
I0715 08:59:48.569607 128389015430656 run.py:723] (val) algo dijkstra step 500: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 28356, 'step': 500, 'algorithm': 'dijkstra'}
