I0715 09:16:51.442838 133453536179712 run.py:723] (val) algo floyd_warshall step 0: {'Pi': 0.0775146484375, 'score': 0.0775146484375, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'}
I0715 09:18:26.891546 133453536179712 run.py:723] (val) algo floyd_warshall step 50: {'Pi': 0.229736328125, 'score': 0.229736328125, 'examples_seen': 2640, 'step': 50, 'algorithm': 'floyd_warshall'}
I0715 09:18:29.195644 133453536179712 run.py:723] (val) algo floyd_warshall step 100: {'Pi': 0.26904296875, 'score': 0.26904296875, 'examples_seen': 5200, 'step': 100, 'algorithm': 'floyd_warshall'}
I0715 09:18:31.513291 133453536179712 run.py:723] (val) algo floyd_warshall step 150: {'Pi': 0.38543701171875, 'score': 0.38543701171875, 'examples_seen': 7744, 'step': 150, 'algorithm': 'floyd_warshall'}
I0715 09:18:33.821244 133453536179712 run.py:723] (val) algo floyd_warshall step 200: {'Pi': 0.53875732421875, 'score': 0.53875732421875, 'examples_seen': 10288, 'step': 200, 'algorithm': 'floyd_warshall'}
I0715 09:18:36.246007 133453536179712 run.py:723] (val) algo floyd_warshall step 250: {'Pi': 0.48602294921875, 'score': 0.48602294921875, 'examples_seen': 12816, 'step': 250, 'algorithm': 'floyd_warshall'}
I0715 09:18:38.602907 133453536179712 run.py:723] (val) algo floyd_warshall step 300: {'Pi': 0.46893310546875, 'score': 0.46893310546875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'floyd_warshall'}
I0715 09:18:40.919395 133453536179712 run.py:723] (val) algo floyd_warshall step 350: {'Pi': 0.48907470703125, 'score': 0.48907470703125, 'examples_seen': 18080, 'step': 350, 'algorithm': 'floyd_warshall'}
I0715 09:18:43.184799 133453536179712 run.py:723] (val) algo floyd_warshall step 400: {'Pi': 0.4765625, 'score': 0.4765625, 'examples_seen': 20640, 'step': 400, 'algorithm': 'floyd_warshall'}
I0715 09:18:45.426774 133453536179712 run.py:723] (val) algo floyd_warshall step 450: {'Pi': 0.56976318359375, 'score': 0.56976318359375, 'examples_seen': 23216, 'step': 450, 'algorithm': 'floyd_warshall'}
I0715 09:18:47.770239 133453536179712 run.py:723] (val) algo floyd_warshall step 500: {'Pi': 0.5340576171875, 'score': 0.5340576171875, 'examples_seen': 25744, 'step': 500, 'algorithm': 'floyd_warshall'}
I0715 09:18:50.097625 133453536179712 run.py:723] (val) algo floyd_warshall step 550: {'Pi': 0.59527587890625, 'score': 0.59527587890625, 'examples_seen': 28288, 'step': 550, 'algorithm': 'floyd_warshall'}
I0715 09:18:52.486600 133453536179712 run.py:723] (val) algo floyd_warshall step 600: {'Pi': 0.561767578125, 'score': 0.561767578125, 'examples_seen': 30832, 'step': 600, 'algorithm': 'floyd_warshall'}
I0715 09:18:54.803118 133453536179712 run.py:723] (val) algo floyd_warshall step 650: {'Pi': 0.47967529296875, 'score': 0.47967529296875, 'examples_seen': 33456, 'step': 650, 'algorithm': 'floyd_warshall'}
I0715 09:18:57.139686 133453536179712 run.py:723] (val) algo floyd_warshall step 700: {'Pi': 0.588623046875, 'score': 0.588623046875, 'examples_seen': 36080, 'step': 700, 'algorithm': 'floyd_warshall'}
I0715 09:18:59.419264 133453536179712 run.py:723] (val) algo floyd_warshall step 750: {'Pi': 0.5635986328125, 'score': 0.5635986328125, 'examples_seen': 38640, 'step': 750, 'algorithm': 'floyd_warshall'}
I0715 09:19:01.708464 133453536179712 run.py:723] (val) algo floyd_warshall step 800: {'Pi': 0.55255126953125, 'score': 0.55255126953125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'floyd_warshall'}
I0715 09:19:03.993320 133453536179712 run.py:723] (val) algo floyd_warshall step 850: {'Pi': 0.5521240234375, 'score': 0.5521240234375, 'examples_seen': 43760, 'step': 850, 'algorithm': 'floyd_warshall'}
I0715 09:19:06.327035 133453536179712 run.py:723] (val) algo floyd_warshall step 900: {'Pi': 0.56103515625, 'score': 0.56103515625, 'examples_seen': 46320, 'step': 900, 'algorithm': 'floyd_warshall'}
I0715 09:19:08.755610 133453536179712 run.py:723] (val) algo floyd_warshall step 950: {'Pi': 0.56591796875, 'score': 0.56591796875, 'examples_seen': 48832, 'step': 950, 'algorithm': 'floyd_warshall'}
I0715 09:19:11.085635 133453536179712 run.py:723] (val) algo floyd_warshall step 1000: {'Pi': 0.56866455078125, 'score': 0.56866455078125, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'floyd_warshall'}
I0715 09:19:13.384205 133453536179712 run.py:723] (val) algo floyd_warshall step 1050: {'Pi': 0.59930419921875, 'score': 0.59930419921875, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'floyd_warshall'}
