I0715 09:35:04.438043 124715881965056 run.py:723] (val) algo heapsort step 0: {'pred': 0.1015625, 'score': 0.1015625, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'}
I0715 09:36:52.308507 124715881965056 run.py:723] (val) algo heapsort step 50: {'pred': 0.3173828125, 'score': 0.3173828125, 'examples_seen': 784, 'step': 50, 'algorithm': 'heapsort'}
I0715 09:36:55.564655 124715881965056 run.py:723] (val) algo heapsort step 100: {'pred': 0.376953125, 'score': 0.376953125, 'examples_seen': 1548, 'step': 100, 'algorithm': 'heapsort'}
I0715 09:36:58.842464 124715881965056 run.py:723] (val) algo heapsort step 150: {'pred': 0.251953125, 'score': 0.251953125, 'examples_seen': 2335, 'step': 150, 'algorithm': 'heapsort'}
I0715 09:37:02.038962 124715881965056 run.py:723] (val) algo heapsort step 200: {'pred': 0.458984375, 'score': 0.458984375, 'examples_seen': 3091, 'step': 200, 'algorithm': 'heapsort'}
I0715 09:37:05.300560 124715881965056 run.py:723] (val) algo heapsort step 250: {'pred': 0.423828125, 'score': 0.423828125, 'examples_seen': 3867, 'step': 250, 'algorithm': 'heapsort'}
I0715 09:37:08.551126 124715881965056 run.py:723] (val) algo heapsort step 300: {'pred': 0.42578125, 'score': 0.42578125, 'examples_seen': 4661, 'step': 300, 'algorithm': 'heapsort'}
I0715 09:37:11.783363 124715881965056 run.py:723] (val) algo heapsort step 350: {'pred': 0.376953125, 'score': 0.376953125, 'examples_seen': 5440, 'step': 350, 'algorithm': 'heapsort'}
I0715 09:37:15.032558 124715881965056 run.py:723] (val) algo heapsort step 400: {'pred': 0.4248046875, 'score': 0.4248046875, 'examples_seen': 6224, 'step': 400, 'algorithm': 'heapsort'}
I0715 09:37:18.263593 124715881965056 run.py:723] (val) algo heapsort step 450: {'pred': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 6995, 'step': 450, 'algorithm': 'heapsort'}
I0715 09:37:21.852956 124715881965056 run.py:723] (val) algo heapsort step 500: {'pred': 0.443359375, 'score': 0.443359375, 'examples_seen': 7754, 'step': 500, 'algorithm': 'heapsort'}
