I0715 10:13:41.357544 135459720447488 run.py:723] (val) algo kmp_matcher step 0: {'match': 0.032958984375, 'score': 0.032958984375, 'examples_seen': 15, 'step': 0, 'algorithm': 'kmp_matcher'}
I0715 10:13:45.085455 135459720447488 run.py:723] (val) algo kmp_matcher step 50: {'match': 0.14453125, 'score': 0.14453125, 'examples_seen': 850, 'step': 50, 'algorithm': 'kmp_matcher'}
I0715 10:13:48.822696 135459720447488 run.py:723] (val) algo kmp_matcher step 100: {'match': 0.108154296875, 'score': 0.108154296875, 'examples_seen': 1677, 'step': 100, 'algorithm': 'kmp_matcher'}
I0715 10:13:52.529824 135459720447488 run.py:723] (val) algo kmp_matcher step 150: {'match': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 2534, 'step': 150, 'algorithm': 'kmp_matcher'}
I0715 10:13:56.231028 135459720447488 run.py:723] (val) algo kmp_matcher step 200: {'match': 0.1171875, 'score': 0.1171875, 'examples_seen': 3395, 'step': 200, 'algorithm': 'kmp_matcher'}
I0715 10:13:59.921182 135459720447488 run.py:723] (val) algo kmp_matcher step 250: {'match': 0.11572265625, 'score': 0.11572265625, 'examples_seen': 4240, 'step': 250, 'algorithm': 'kmp_matcher'}
I0715 10:14:03.607403 135459720447488 run.py:723] (val) algo kmp_matcher step 300: {'match': 0.11328125, 'score': 0.11328125, 'examples_seen': 5090, 'step': 300, 'algorithm': 'kmp_matcher'}
I0715 10:14:07.298888 135459720447488 run.py:723] (val) algo kmp_matcher step 350: {'match': 0.153076171875, 'score': 0.153076171875, 'examples_seen': 5932, 'step': 350, 'algorithm': 'kmp_matcher'}
I0715 10:14:11.002280 135459720447488 run.py:723] (val) algo kmp_matcher step 400: {'match': 0.389404296875, 'score': 0.389404296875, 'examples_seen': 6763, 'step': 400, 'algorithm': 'kmp_matcher'}
I0715 10:14:14.708920 135459720447488 run.py:723] (val) algo kmp_matcher step 450: {'match': 0.251220703125, 'score': 0.251220703125, 'examples_seen': 7613, 'step': 450, 'algorithm': 'kmp_matcher'}
I0715 10:14:18.398571 135459720447488 run.py:723] (val) algo kmp_matcher step 500: {'match': 0.39013671875, 'score': 0.39013671875, 'examples_seen': 8457, 'step': 500, 'algorithm': 'kmp_matcher'}
I0715 10:14:22.110810 135459720447488 run.py:723] (val) algo kmp_matcher step 550: {'match': 0.392333984375, 'score': 0.392333984375, 'examples_seen': 9277, 'step': 550, 'algorithm': 'kmp_matcher'}
I0715 10:14:25.833877 135459720447488 run.py:723] (val) algo kmp_matcher step 600: {'match': 0.527587890625, 'score': 0.527587890625, 'examples_seen': 10135, 'step': 600, 'algorithm': 'kmp_matcher'}
I0715 10:14:29.529475 135459720447488 run.py:723] (val) algo kmp_matcher step 650: {'match': 0.458251953125, 'score': 0.458251953125, 'examples_seen': 10984, 'step': 650, 'algorithm': 'kmp_matcher'}
I0715 10:14:33.223634 135459720447488 run.py:723] (val) algo kmp_matcher step 700: {'match': 0.65771484375, 'score': 0.65771484375, 'examples_seen': 11832, 'step': 700, 'algorithm': 'kmp_matcher'}
I0715 10:14:36.932018 135459720447488 run.py:723] (val) algo kmp_matcher step 750: {'match': 0.675048828125, 'score': 0.675048828125, 'examples_seen': 12678, 'step': 750, 'algorithm': 'kmp_matcher'}
I0715 10:14:40.651908 135459720447488 run.py:723] (val) algo kmp_matcher step 800: {'match': 0.608154296875, 'score': 0.608154296875, 'examples_seen': 13522, 'step': 800, 'algorithm': 'kmp_matcher'}
I0715 10:14:44.355914 135459720447488 run.py:723] (val) algo kmp_matcher step 850: {'match': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 14360, 'step': 850, 'algorithm': 'kmp_matcher'}
I0715 10:14:48.065949 135459720447488 run.py:723] (val) algo kmp_matcher step 900: {'match': 0.78125, 'score': 0.78125, 'examples_seen': 15200, 'step': 900, 'algorithm': 'kmp_matcher'}
I0715 10:14:51.770340 135459720447488 run.py:723] (val) algo kmp_matcher step 950: {'match': 0.71826171875, 'score': 0.71826171875, 'examples_seen': 16031, 'step': 950, 'algorithm': 'kmp_matcher'}
I0715 10:14:55.467911 135459720447488 run.py:723] (val) algo kmp_matcher step 1000: {'match': 0.829833984375, 'score': 0.829833984375, 'examples_seen': 16877, 'step': 1000, 'algorithm': 'kmp_matcher'}
I0715 10:14:59.161573 135459720447488 run.py:723] (val) algo kmp_matcher step 1050: {'match': 0.732421875, 'score': 0.732421875, 'examples_seen': 17719, 'step': 1050, 'algorithm': 'kmp_matcher'}
I0715 10:15:02.873204 135459720447488 run.py:723] (val) algo kmp_matcher step 1100: {'match': 0.81787109375, 'score': 0.81787109375, 'examples_seen': 18561, 'step': 1100, 'algorithm': 'kmp_matcher'}
I0715 10:15:06.569843 135459720447488 run.py:723] (val) algo kmp_matcher step 1150: {'match': 0.86083984375, 'score': 0.86083984375, 'examples_seen': 19420, 'step': 1150, 'algorithm': 'kmp_matcher'}
I0715 10:15:10.276412 135459720447488 run.py:723] (val) algo kmp_matcher step 1200: {'match': 0.794189453125, 'score': 0.794189453125, 'examples_seen': 20257, 'step': 1200, 'algorithm': 'kmp_matcher'}
I0715 10:15:13.963228 135459720447488 run.py:723] (val) algo kmp_matcher step 1250: {'match': 0.86669921875, 'score': 0.86669921875, 'examples_seen': 21105, 'step': 1250, 'algorithm': 'kmp_matcher'}
I0715 10:15:17.818234 135459720447488 run.py:723] (val) algo kmp_matcher step 1300: {'match': 0.872314453125, 'score': 0.872314453125, 'examples_seen': 21944, 'step': 1300, 'algorithm': 'kmp_matcher'}
I0715 10:15:21.533915 135459720447488 run.py:723] (val) algo kmp_matcher step 1350: {'match': 0.86279296875, 'score': 0.86279296875, 'examples_seen': 22800, 'step': 1350, 'algorithm': 'kmp_matcher'}
I0715 10:15:25.262378 135459720447488 run.py:723] (val) algo kmp_matcher step 1400: {'match': 0.962646484375, 'score': 0.962646484375, 'examples_seen': 23642, 'step': 1400, 'algorithm': 'kmp_matcher'}
I0715 10:15:28.959031 135459720447488 run.py:723] (val) algo kmp_matcher step 1450: {'match': 0.888671875, 'score': 0.888671875, 'examples_seen': 24494, 'step': 1450, 'algorithm': 'kmp_matcher'}
I0715 10:15:32.645192 135459720447488 run.py:723] (val) algo kmp_matcher step 1500: {'match': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 25334, 'step': 1500, 'algorithm': 'kmp_matcher'}
I0715 10:15:36.340803 135459720447488 run.py:723] (val) algo kmp_matcher step 1550: {'match': 0.91796875, 'score': 0.91796875, 'examples_seen': 26173, 'step': 1550, 'algorithm': 'kmp_matcher'}
I0715 10:15:40.051167 135459720447488 run.py:723] (val) algo kmp_matcher step 1600: {'match': 0.891845703125, 'score': 0.891845703125, 'examples_seen': 27021, 'step': 1600, 'algorithm': 'kmp_matcher'}
I0715 10:15:43.741641 135459720447488 run.py:723] (val) algo kmp_matcher step 1650: {'match': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 27864, 'step': 1650, 'algorithm': 'kmp_matcher'}
I0715 10:15:47.426629 135459720447488 run.py:723] (val) algo kmp_matcher step 1700: {'match': 0.88720703125, 'score': 0.88720703125, 'examples_seen': 28701, 'step': 1700, 'algorithm': 'kmp_matcher'}
I0715 10:15:51.133589 135459720447488 run.py:723] (val) algo kmp_matcher step 1750: {'match': 0.911865234375, 'score': 0.911865234375, 'examples_seen': 29542, 'step': 1750, 'algorithm': 'kmp_matcher'}
I0715 10:15:54.876085 135459720447488 run.py:723] (val) algo kmp_matcher step 1800: {'match': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 30375, 'step': 1800, 'algorithm': 'kmp_matcher'}
I0715 10:15:58.582743 135459720447488 run.py:723] (val) algo kmp_matcher step 1850: {'match': 0.964599609375, 'score': 0.964599609375, 'examples_seen': 31226, 'step': 1850, 'algorithm': 'kmp_matcher'}
I0715 10:16:02.332163 135459720447488 run.py:723] (val) algo kmp_matcher step 1900: {'match': 0.951416015625, 'score': 0.951416015625, 'examples_seen': 32069, 'step': 1900, 'algorithm': 'kmp_matcher'}
I0715 10:16:06.031527 135459720447488 run.py:723] (val) algo kmp_matcher step 1950: {'match': 0.905029296875, 'score': 0.905029296875, 'examples_seen': 32914, 'step': 1950, 'algorithm': 'kmp_matcher'}
I0715 10:16:09.743996 135459720447488 run.py:723] (val) algo kmp_matcher step 2000: {'match': 0.921142578125, 'score': 0.921142578125, 'examples_seen': 33752, 'step': 2000, 'algorithm': 'kmp_matcher'}
I0715 10:16:13.440456 135459720447488 run.py:723] (val) algo kmp_matcher step 2050: {'match': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 34598, 'step': 2050, 'algorithm': 'kmp_matcher'}
I0715 10:16:17.159860 135459720447488 run.py:723] (val) algo kmp_matcher step 2100: {'match': 0.926025390625, 'score': 0.926025390625, 'examples_seen': 35446, 'step': 2100, 'algorithm': 'kmp_matcher'}
I0715 10:16:20.881276 135459720447488 run.py:723] (val) algo kmp_matcher step 2150: {'match': 0.970458984375, 'score': 0.970458984375, 'examples_seen': 36280, 'step': 2150, 'algorithm': 'kmp_matcher'}
I0715 10:16:24.626198 135459720447488 run.py:723] (val) algo kmp_matcher step 2200: {'match': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 37130, 'step': 2200, 'algorithm': 'kmp_matcher'}
I0715 10:16:28.331232 135459720447488 run.py:723] (val) algo kmp_matcher step 2250: {'match': 0.93359375, 'score': 0.93359375, 'examples_seen': 37970, 'step': 2250, 'algorithm': 'kmp_matcher'}
I0715 10:16:32.040231 135459720447488 run.py:723] (val) algo kmp_matcher step 2300: {'match': 0.960693359375, 'score': 0.960693359375, 'examples_seen': 38807, 'step': 2300, 'algorithm': 'kmp_matcher'}
I0715 10:16:35.755361 135459720447488 run.py:723] (val) algo kmp_matcher step 2350: {'match': 0.945556640625, 'score': 0.945556640625, 'examples_seen': 39662, 'step': 2350, 'algorithm': 'kmp_matcher'}
I0715 10:16:39.470173 135459720447488 run.py:723] (val) algo kmp_matcher step 2400: {'match': 0.966796875, 'score': 0.966796875, 'examples_seen': 40496, 'step': 2400, 'algorithm': 'kmp_matcher'}
