I0715 11:19:58.006843 139071426848256 run.py:723] (val) algo mst_prim step 0: {'pi': 0.48828125, 'score': 0.48828125, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
I0715 11:21:35.336586 139071426848256 run.py:723] (val) algo mst_prim step 50: {'pi': 0.61328125, 'score': 0.61328125, 'examples_seen': 2939, 'step': 50, 'algorithm': 'mst_prim'}
I0715 11:21:37.297696 139071426848256 run.py:723] (val) algo mst_prim step 100: {'pi': 0.7724609375, 'score': 0.7724609375, 'examples_seen': 5767, 'step': 100, 'algorithm': 'mst_prim'}
I0715 11:21:39.130532 139071426848256 run.py:723] (val) algo mst_prim step 150: {'pi': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 8549, 'step': 150, 'algorithm': 'mst_prim'}
I0715 11:21:41.090175 139071426848256 run.py:723] (val) algo mst_prim step 200: {'pi': 0.7509765625, 'score': 0.7509765625, 'examples_seen': 11356, 'step': 200, 'algorithm': 'mst_prim'}
I0715 11:21:43.003188 139071426848256 run.py:723] (val) algo mst_prim step 250: {'pi': 0.712890625, 'score': 0.712890625, 'examples_seen': 14127, 'step': 250, 'algorithm': 'mst_prim'}
I0715 11:21:44.913263 139071426848256 run.py:723] (val) algo mst_prim step 300: {'pi': 0.736328125, 'score': 0.736328125, 'examples_seen': 17028, 'step': 300, 'algorithm': 'mst_prim'}
I0715 11:21:46.818207 139071426848256 run.py:723] (val) algo mst_prim step 350: {'pi': 0.755859375, 'score': 0.755859375, 'examples_seen': 19885, 'step': 350, 'algorithm': 'mst_prim'}
I0715 11:21:48.703155 139071426848256 run.py:723] (val) algo mst_prim step 400: {'pi': 0.70703125, 'score': 0.70703125, 'examples_seen': 22716, 'step': 400, 'algorithm': 'mst_prim'}
I0715 11:21:50.593971 139071426848256 run.py:723] (val) algo mst_prim step 450: {'pi': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 25567, 'step': 450, 'algorithm': 'mst_prim'}
I0715 11:21:52.480648 139071426848256 run.py:723] (val) algo mst_prim step 500: {'pi': 0.8056640625, 'score': 0.8056640625, 'examples_seen': 28356, 'step': 500, 'algorithm': 'mst_prim'}
I0715 11:21:54.346861 139071426848256 run.py:723] (val) algo mst_prim step 550: {'pi': 0.837890625, 'score': 0.837890625, 'examples_seen': 31141, 'step': 550, 'algorithm': 'mst_prim'}
I0715 11:21:56.282769 139071426848256 run.py:723] (val) algo mst_prim step 600: {'pi': 0.880859375, 'score': 0.880859375, 'examples_seen': 33957, 'step': 600, 'algorithm': 'mst_prim'}
