{'selected': 0.42130365659777425, 'score': 0.42130365659777425, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
{'selected': 0.6666666666666667, 'score': 0.6666666666666667, 'examples_seen': 2080, 'step': 50, 'algorithm': 'activity_selector'}
{'selected': 0.682261208576998, 'score': 0.682261208576998, 'examples_seen': 4064, 'step': 100, 'algorithm': 'activity_selector'}
{'selected': 0.7321131447587355, 'score': 0.7321131447587355, 'examples_seen': 6016, 'step': 150, 'algorithm': 'activity_selector'}
{'selected': 0.7895652173913044, 'score': 0.7895652173913044, 'examples_seen': 8016, 'step': 200, 'algorithm': 'activity_selector'}
{'selected': 0.7561436672967865, 'score': 0.7561436672967865, 'examples_seen': 9952, 'step': 250, 'algorithm': 'activity_selector'}
{'selected': 0.7458866544789763, 'score': 0.7458866544789763, 'examples_seen': 12000, 'step': 300, 'algorithm': 'activity_selector'}
{'selected': 0.49035812672176304, 'score': 0.49035812672176304, 'examples_seen': 14032, 'step': 350, 'algorithm': 'activity_selector'}
{'selected': 0.8446069469835465, 'score': 0.8446069469835465, 'examples_seen': 16000, 'step': 400, 'algorithm': 'activity_selector'}
{'selected': 0.8666666666666667, 'score': 0.8666666666666667, 'examples_seen': 18000, 'step': 450, 'algorithm': 'activity_selector'}
{'selected': 0.8298611111111112, 'score': 0.8298611111111112, 'examples_seen': 19952, 'step': 500, 'algorithm': 'activity_selector'}
{'selected': 0.8013816925734024, 'score': 0.8013816925734024, 'examples_seen': 21920, 'step': 550, 'algorithm': 'activity_selector'}
{'selected': 0.8832684824902725, 'score': 0.8832684824902725, 'examples_seen': 23904, 'step': 600, 'algorithm': 'activity_selector'}
{'selected': 0.8476357267950964, 'score': 0.8476357267950964, 'examples_seen': 25920, 'step': 650, 'algorithm': 'activity_selector'}
{'selected': 0.8341880341880342, 'score': 0.8341880341880342, 'examples_seen': 27952, 'step': 700, 'algorithm': 'activity_selector'}
{'selected': 0.8759124087591241, 'score': 0.8759124087591241, 'examples_seen': 29936, 'step': 750, 'algorithm': 'activity_selector'}
{'selected': 0.7973856209150326, 'score': 0.7973856209150326, 'examples_seen': 31920, 'step': 800, 'algorithm': 'activity_selector'}
{'selected': 0.9080459770114943, 'score': 0.9080459770114943, 'examples_seen': 33904, 'step': 850, 'algorithm': 'activity_selector'}
{'selected': 0.8702290076335878, 'score': 0.8702290076335878, 'examples_seen': 35856, 'step': 900, 'algorithm': 'activity_selector'}
{'selected': 0.8660194174757281, 'score': 0.8660194174757281, 'examples_seen': 37808, 'step': 950, 'algorithm': 'activity_selector'}
{'selected': 0.8664259927797834, 'score': 0.8664259927797834, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'activity_selector'}
{'selected': 0.8721804511278195, 'score': 0.8721804511278195, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'activity_selector'}
{'selected': 0.8587570621468927, 'score': 0.8587570621468927, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'activity_selector'}
{'selected': 0.9197080291970804, 'score': 0.9197080291970804, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'activity_selector'}
{'selected': 0.9398496240601504, 'score': 0.9398496240601504, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'activity_selector'}
{'selected': 0.8649789029535866, 'score': 0.8649789029535866, 'examples_seen': 49808, 'step': 1250, 'algorithm': 'activity_selector'}
{'selected': 0.87984496124031, 'score': 0.87984496124031, 'examples_seen': 51760, 'step': 1300, 'algorithm': 'activity_selector'}
{'selected': 0.9016100178890876, 'score': 0.9016100178890876, 'examples_seen': 53792, 'step': 1350, 'algorithm': 'activity_selector'}
{'selected': 0.8854368932038835, 'score': 0.8854368932038835, 'examples_seen': 55824, 'step': 1400, 'algorithm': 'activity_selector'}
{'selected': 0.9304174950298212, 'score': 0.9304174950298212, 'examples_seen': 57792, 'step': 1450, 'algorithm': 'activity_selector'}
{'selected': 0.9294755877034359, 'score': 0.9294755877034359, 'examples_seen': 59792, 'step': 1500, 'algorithm': 'activity_selector'}
{'selected': 0.8953488372093024, 'score': 0.8953488372093024, 'examples_seen': 61744, 'step': 1550, 'algorithm': 'activity_selector'}
{'selected': 0.8793774319066148, 'score': 0.8793774319066148, 'examples_seen': 63712, 'step': 1600, 'algorithm': 'activity_selector'}
{'selected': 0.9245647969052225, 'score': 0.9245647969052225, 'examples_seen': 65712, 'step': 1650, 'algorithm': 'activity_selector'}
{'selected': 0.9228007181328546, 'score': 0.9228007181328546, 'examples_seen': 67712, 'step': 1700, 'algorithm': 'activity_selector'}
{'selected': 0.8972972972972973, 'score': 0.8972972972972973, 'examples_seen': 69744, 'step': 1750, 'algorithm': 'activity_selector'}
{'selected': 0.8983364140480592, 'score': 0.8983364140480592, 'examples_seen': 71728, 'step': 1800, 'algorithm': 'activity_selector'}
{'selected': 0.9158512720156555, 'score': 0.9158512720156555, 'examples_seen': 73712, 'step': 1850, 'algorithm': 'activity_selector'}
{'selected': 0.9413988657844992, 'score': 0.9413988657844992, 'examples_seen': 75712, 'step': 1900, 'algorithm': 'activity_selector'}
{'selected': 0.9613899613899615, 'score': 0.9613899613899615, 'examples_seen': 77664, 'step': 1950, 'algorithm': 'activity_selector'}
{'selected': 0.9576923076923077, 'score': 0.9576923076923077, 'examples_seen': 79632, 'step': 2000, 'algorithm': 'activity_selector'}
{'selected': 0.9242424242424241, 'score': 0.9242424242424241, 'examples_seen': 81680, 'step': 2050, 'algorithm': 'activity_selector'}
{'selected': 0.8710359408033826, 'score': 0.8710359408033826, 'examples_seen': 83680, 'step': 2100, 'algorithm': 'activity_selector'}
{'selected': 0.8637992831541218, 'score': 0.8637992831541218, 'examples_seen': 85680, 'step': 2150, 'algorithm': 'activity_selector'}
{'selected': 0.9236641221374047, 'score': 0.9236641221374047, 'examples_seen': 87664, 'step': 2200, 'algorithm': 'activity_selector'}
{'selected': 0.95703125, 'score': 0.95703125, 'examples_seen': 89632, 'step': 2250, 'algorithm': 'activity_selector'}
{'selected': 0.9577981651376147, 'score': 0.9577981651376147, 'examples_seen': 91616, 'step': 2300, 'algorithm': 'activity_selector'}
{'selected': 0.9570093457943926, 'score': 0.9570093457943926, 'examples_seen': 93568, 'step': 2350, 'algorithm': 'activity_selector'}
{'selected': 0.9359223300970874, 'score': 0.9359223300970874, 'examples_seen': 95600, 'step': 2400, 'algorithm': 'activity_selector'}
{'selected': 0.9063829787234042, 'score': 0.9063829787234042, 'examples_seen': 97632, 'step': 2450, 'algorithm': 'activity_selector'}
{'selected': 0.9252525252525251, 'score': 0.9252525252525251, 'examples_seen': 99600, 'step': 2500, 'algorithm': 'activity_selector'}
{'selected': 0.9340866290018832, 'score': 0.9340866290018832, 'examples_seen': 101600, 'step': 2550, 'algorithm': 'activity_selector'}
{'selected': 0.9483747609942638, 'score': 0.9483747609942638, 'examples_seen': 103568, 'step': 2600, 'algorithm': 'activity_selector'}
{'selected': 0.9581056466302368, 'score': 0.9581056466302368, 'examples_seen': 105520, 'step': 2650, 'algorithm': 'activity_selector'}
{'selected': 0.9, 'score': 0.9, 'examples_seen': 107520, 'step': 2700, 'algorithm': 'activity_selector'}
{'selected': 0.9104477611940298, 'score': 0.9104477611940298, 'examples_seen': 109520, 'step': 2750, 'algorithm': 'activity_selector'}
{'selected': 0.9540229885057471, 'score': 0.9540229885057471, 'examples_seen': 111552, 'step': 2800, 'algorithm': 'activity_selector'}
{'selected': 0.9251968503937008, 'score': 0.9251968503937008, 'examples_seen': 113552, 'step': 2850, 'algorithm': 'activity_selector'}
{'selected': 0.9548872180451128, 'score': 0.9548872180451128, 'examples_seen': 115520, 'step': 2900, 'algorithm': 'activity_selector'}
{'selected': 0.9169960474308301, 'score': 0.9169960474308301, 'examples_seen': 117520, 'step': 2950, 'algorithm': 'activity_selector'}
{'selected': 0.933572710951526, 'score': 0.933572710951526, 'examples_seen': 119456, 'step': 3000, 'algorithm': 'activity_selector'}
{'selected': 0.9340866290018833, 'score': 0.9340866290018833, 'examples_seen': 121424, 'step': 3050, 'algorithm': 'activity_selector'}
{'selected': 0.8791208791208791, 'score': 0.8791208791208791, 'examples_seen': 123472, 'step': 3100, 'algorithm': 'activity_selector'}
{'selected': 0.9328214971209213, 'score': 0.9328214971209213, 'examples_seen': 125472, 'step': 3150, 'algorithm': 'activity_selector'}
{'selected': 0.9828571428571429, 'score': 0.9828571428571429, 'examples_seen': 127488, 'step': 3200, 'algorithm': 'activity_selector'}
{'selected': 0.9645669291338581, 'score': 0.9645669291338581, 'examples_seen': 129456, 'step': 3250, 'algorithm': 'activity_selector'}
{'selected': 0.9638095238095239, 'score': 0.9638095238095239, 'examples_seen': 131424, 'step': 3300, 'algorithm': 'activity_selector'}
{'selected': 0.9545454545454545, 'score': 0.9545454545454545, 'examples_seen': 133408, 'step': 3350, 'algorithm': 'activity_selector'}
{'selected': 0.9333333333333335, 'score': 0.9333333333333335, 'examples_seen': 135360, 'step': 3400, 'algorithm': 'activity_selector'}
{'selected': 0.9539594843462247, 'score': 0.9539594843462247, 'examples_seen': 137392, 'step': 3450, 'algorithm': 'activity_selector'}
{'selected': 0.965931863727455, 'score': 0.965931863727455, 'examples_seen': 139424, 'step': 3500, 'algorithm': 'activity_selector'}
{'selected': 0.953125, 'score': 0.953125, 'examples_seen': 141408, 'step': 3550, 'algorithm': 'activity_selector'}
{'selected': 0.9633911368015413, 'score': 0.9633911368015413, 'examples_seen': 143392, 'step': 3600, 'algorithm': 'activity_selector'}
