{'is_cut': 0.06829268292682926, 'score': 0.06829268292682926, 'examples_seen': 16, 'step': 0, 'algorithm': 'articulation_points'}
{'is_cut': 0.0, 'score': 0.0, 'examples_seen': 799, 'step': 50, 'algorithm': 'articulation_points'}
{'is_cut': 0.03076923076923077, 'score': 0.03076923076923077, 'examples_seen': 1592, 'step': 100, 'algorithm': 'articulation_points'}
{'is_cut': 0.42066420664206644, 'score': 0.42066420664206644, 'examples_seen': 2372, 'step': 150, 'algorithm': 'articulation_points'}
{'is_cut': 0.15568862275449102, 'score': 0.15568862275449102, 'examples_seen': 3158, 'step': 200, 'algorithm': 'articulation_points'}
{'is_cut': 0.4931506849315068, 'score': 0.4931506849315068, 'examples_seen': 3938, 'step': 250, 'algorithm': 'articulation_points'}
{'is_cut': 0.46527777777777773, 'score': 0.46527777777777773, 'examples_seen': 4758, 'step': 300, 'algorithm': 'articulation_points'}
{'is_cut': 0.4392523364485981, 'score': 0.4392523364485981, 'examples_seen': 5564, 'step': 350, 'algorithm': 'articulation_points'}
{'is_cut': 0.3305084745762712, 'score': 0.3305084745762712, 'examples_seen': 6361, 'step': 400, 'algorithm': 'articulation_points'}
{'is_cut': 0.6144927536231886, 'score': 0.6144927536231886, 'examples_seen': 7144, 'step': 450, 'algorithm': 'articulation_points'}
{'is_cut': 0.4744525547445256, 'score': 0.4744525547445256, 'examples_seen': 7922, 'step': 500, 'algorithm': 'articulation_points'}
{'is_cut': 0.5928338762214984, 'score': 0.5928338762214984, 'examples_seen': 8709, 'step': 550, 'algorithm': 'articulation_points'}
{'is_cut': 0.6335403726708074, 'score': 0.6335403726708074, 'examples_seen': 9489, 'step': 600, 'algorithm': 'articulation_points'}
{'is_cut': 0.37788018433179726, 'score': 0.37788018433179726, 'examples_seen': 10303, 'step': 650, 'algorithm': 'articulation_points'}
{'is_cut': 0.4411764705882353, 'score': 0.4411764705882353, 'examples_seen': 11121, 'step': 700, 'algorithm': 'articulation_points'}
{'is_cut': 0.4607329842931937, 'score': 0.4607329842931937, 'examples_seen': 11916, 'step': 750, 'algorithm': 'articulation_points'}
{'is_cut': 0.449438202247191, 'score': 0.449438202247191, 'examples_seen': 12693, 'step': 800, 'algorithm': 'articulation_points'}
{'is_cut': 0.504, 'score': 0.504, 'examples_seen': 13478, 'step': 850, 'algorithm': 'articulation_points'}
{'is_cut': 0.5836065573770491, 'score': 0.5836065573770491, 'examples_seen': 14261, 'step': 900, 'algorithm': 'articulation_points'}
{'is_cut': 0.5319148936170213, 'score': 0.5319148936170213, 'examples_seen': 15044, 'step': 950, 'algorithm': 'articulation_points'}
{'is_cut': 0.7197802197802198, 'score': 0.7197802197802198, 'examples_seen': 15862, 'step': 1000, 'algorithm': 'articulation_points'}
{'is_cut': 0.41880341880341876, 'score': 0.41880341880341876, 'examples_seen': 16666, 'step': 1050, 'algorithm': 'articulation_points'}
{'is_cut': 0.44545454545454544, 'score': 0.44545454545454544, 'examples_seen': 17456, 'step': 1100, 'algorithm': 'articulation_points'}
{'is_cut': 0.513888888888889, 'score': 0.513888888888889, 'examples_seen': 18236, 'step': 1150, 'algorithm': 'articulation_points'}
{'is_cut': 0.6076923076923076, 'score': 0.6076923076923076, 'examples_seen': 19020, 'step': 1200, 'algorithm': 'articulation_points'}
{'is_cut': 0.6135458167330677, 'score': 0.6135458167330677, 'examples_seen': 19803, 'step': 1250, 'algorithm': 'articulation_points'}
{'is_cut': 0.624561403508772, 'score': 0.624561403508772, 'examples_seen': 20574, 'step': 1300, 'algorithm': 'articulation_points'}
{'is_cut': 0.6038961038961038, 'score': 0.6038961038961038, 'examples_seen': 21402, 'step': 1350, 'algorithm': 'articulation_points'}
{'is_cut': 0.6228373702422145, 'score': 0.6228373702422145, 'examples_seen': 22205, 'step': 1400, 'algorithm': 'articulation_points'}
{'is_cut': 0.527687296416938, 'score': 0.527687296416938, 'examples_seen': 22992, 'step': 1450, 'algorithm': 'articulation_points'}
{'is_cut': 0.5442176870748299, 'score': 0.5442176870748299, 'examples_seen': 23790, 'step': 1500, 'algorithm': 'articulation_points'}
{'is_cut': 0.5907172995780591, 'score': 0.5907172995780591, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'articulation_points'}
{'is_cut': 0.5751633986928104, 'score': 0.5751633986928104, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'articulation_points'}
{'is_cut': 0.5527272727272727, 'score': 0.5527272727272727, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'articulation_points'}
{'is_cut': 0.5309090909090909, 'score': 0.5309090909090909, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'articulation_points'}
{'is_cut': 0.6458333333333334, 'score': 0.6458333333333334, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'articulation_points'}
{'is_cut': 0.5690376569037657, 'score': 0.5690376569037657, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'articulation_points'}
{'is_cut': 0.6509803921568628, 'score': 0.6509803921568628, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'articulation_points'}
{'is_cut': 0.47236180904522607, 'score': 0.47236180904522607, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'articulation_points'}
{'is_cut': 0.679245283018868, 'score': 0.679245283018868, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'articulation_points'}
{'is_cut': 0.5270758122743683, 'score': 0.5270758122743683, 'examples_seen': 31704, 'step': 2000, 'algorithm': 'articulation_points'}
{'is_cut': 0.47111111111111115, 'score': 0.47111111111111115, 'examples_seen': 32518, 'step': 2050, 'algorithm': 'articulation_points'}
{'is_cut': 0.5851528384279475, 'score': 0.5851528384279475, 'examples_seen': 33326, 'step': 2100, 'algorithm': 'articulation_points'}
{'is_cut': 0.5843621399176955, 'score': 0.5843621399176955, 'examples_seen': 34120, 'step': 2150, 'algorithm': 'articulation_points'}
{'is_cut': 0.4318181818181818, 'score': 0.4318181818181818, 'examples_seen': 34907, 'step': 2200, 'algorithm': 'articulation_points'}
{'is_cut': 0.5892857142857143, 'score': 0.5892857142857143, 'examples_seen': 35693, 'step': 2250, 'algorithm': 'articulation_points'}
{'is_cut': 0.5724137931034483, 'score': 0.5724137931034483, 'examples_seen': 36463, 'step': 2300, 'algorithm': 'articulation_points'}
{'is_cut': 0.6175115207373272, 'score': 0.6175115207373272, 'examples_seen': 37253, 'step': 2350, 'algorithm': 'articulation_points'}
{'is_cut': 0.6563706563706563, 'score': 0.6563706563706563, 'examples_seen': 38065, 'step': 2400, 'algorithm': 'articulation_points'}
{'is_cut': 0.5737051792828685, 'score': 0.5737051792828685, 'examples_seen': 38870, 'step': 2450, 'algorithm': 'articulation_points'}
{'is_cut': 0.6870748299319728, 'score': 0.6870748299319728, 'examples_seen': 39671, 'step': 2500, 'algorithm': 'articulation_points'}
{'is_cut': 0.6472491909385113, 'score': 0.6472491909385113, 'examples_seen': 40461, 'step': 2550, 'algorithm': 'articulation_points'}
{'is_cut': 0.639344262295082, 'score': 0.639344262295082, 'examples_seen': 41238, 'step': 2600, 'algorithm': 'articulation_points'}
{'is_cut': 0.5630252100840337, 'score': 0.5630252100840337, 'examples_seen': 42028, 'step': 2650, 'algorithm': 'articulation_points'}
{'is_cut': 0.6666666666666666, 'score': 0.6666666666666666, 'examples_seen': 42801, 'step': 2700, 'algorithm': 'articulation_points'}
{'is_cut': 0.5919003115264797, 'score': 0.5919003115264797, 'examples_seen': 43618, 'step': 2750, 'algorithm': 'articulation_points'}
{'is_cut': 0.6722689075630253, 'score': 0.6722689075630253, 'examples_seen': 44419, 'step': 2800, 'algorithm': 'articulation_points'}
{'is_cut': 0.6572438162544171, 'score': 0.6572438162544171, 'examples_seen': 45215, 'step': 2850, 'algorithm': 'articulation_points'}
{'is_cut': 0.6763636363636364, 'score': 0.6763636363636364, 'examples_seen': 46006, 'step': 2900, 'algorithm': 'articulation_points'}
{'is_cut': 0.6520376175548589, 'score': 0.6520376175548589, 'examples_seen': 46798, 'step': 2950, 'algorithm': 'articulation_points'}
{'is_cut': 0.6458923512747876, 'score': 0.6458923512747876, 'examples_seen': 47573, 'step': 3000, 'algorithm': 'articulation_points'}
{'is_cut': 0.5570469798657718, 'score': 0.5570469798657718, 'examples_seen': 48348, 'step': 3050, 'algorithm': 'articulation_points'}
{'is_cut': 0.7184986595174263, 'score': 0.7184986595174263, 'examples_seen': 49166, 'step': 3100, 'algorithm': 'articulation_points'}
{'is_cut': 0.7492625368731565, 'score': 0.7492625368731565, 'examples_seen': 49966, 'step': 3150, 'algorithm': 'articulation_points'}
{'is_cut': 0.6112956810631229, 'score': 0.6112956810631229, 'examples_seen': 50766, 'step': 3200, 'algorithm': 'articulation_points'}
{'is_cut': 0.7019498607242339, 'score': 0.7019498607242339, 'examples_seen': 51550, 'step': 3250, 'algorithm': 'articulation_points'}
{'is_cut': 0.6854460093896714, 'score': 0.6854460093896714, 'examples_seen': 52341, 'step': 3300, 'algorithm': 'articulation_points'}
{'is_cut': 0.6823529411764705, 'score': 0.6823529411764705, 'examples_seen': 53125, 'step': 3350, 'algorithm': 'articulation_points'}
{'is_cut': 0.7761194029850746, 'score': 0.7761194029850746, 'examples_seen': 53899, 'step': 3400, 'algorithm': 'articulation_points'}
{'is_cut': 0.7538461538461538, 'score': 0.7538461538461538, 'examples_seen': 54732, 'step': 3450, 'algorithm': 'articulation_points'}
{'is_cut': 0.628158844765343, 'score': 0.628158844765343, 'examples_seen': 55530, 'step': 3500, 'algorithm': 'articulation_points'}
{'is_cut': 0.761904761904762, 'score': 0.761904761904762, 'examples_seen': 56331, 'step': 3550, 'algorithm': 'articulation_points'}
{'is_cut': 0.7492063492063492, 'score': 0.7492063492063492, 'examples_seen': 57113, 'step': 3600, 'algorithm': 'articulation_points'}
{'is_cut': 0.7, 'score': 0.7, 'examples_seen': 57901, 'step': 3650, 'algorithm': 'articulation_points'}
{'is_cut': 0.7217125382262997, 'score': 0.7217125382262997, 'examples_seen': 58688, 'step': 3700, 'algorithm': 'articulation_points'}
{'is_cut': 0.728813559322034, 'score': 0.728813559322034, 'examples_seen': 59466, 'step': 3750, 'algorithm': 'articulation_points'}
{'is_cut': 0.7434210526315789, 'score': 0.7434210526315789, 'examples_seen': 60287, 'step': 3800, 'algorithm': 'articulation_points'}
{'is_cut': 0.7732558139534883, 'score': 0.7732558139534883, 'examples_seen': 61091, 'step': 3850, 'algorithm': 'articulation_points'}
{'is_cut': 0.7360594795539033, 'score': 0.7360594795539033, 'examples_seen': 61882, 'step': 3900, 'algorithm': 'articulation_points'}
{'is_cut': 0.7486338797814207, 'score': 0.7486338797814207, 'examples_seen': 62670, 'step': 3950, 'algorithm': 'articulation_points'}
{'is_cut': 0.6541353383458647, 'score': 0.6541353383458647, 'examples_seen': 63455, 'step': 4000, 'algorithm': 'articulation_points'}
{'is_cut': 0.7491408934707904, 'score': 0.7491408934707904, 'examples_seen': 64233, 'step': 4050, 'algorithm': 'articulation_points'}
{'is_cut': 0.7272727272727272, 'score': 0.7272727272727272, 'examples_seen': 65016, 'step': 4100, 'algorithm': 'articulation_points'}
{'is_cut': 0.6885245901639343, 'score': 0.6885245901639343, 'examples_seen': 65832, 'step': 4150, 'algorithm': 'articulation_points'}
{'is_cut': 0.7454545454545454, 'score': 0.7454545454545454, 'examples_seen': 66636, 'step': 4200, 'algorithm': 'articulation_points'}
{'is_cut': 0.6849315068493151, 'score': 0.6849315068493151, 'examples_seen': 67428, 'step': 4250, 'algorithm': 'articulation_points'}
{'is_cut': 0.6406926406926408, 'score': 0.6406926406926408, 'examples_seen': 68211, 'step': 4300, 'algorithm': 'articulation_points'}
{'is_cut': 0.6465753424657533, 'score': 0.6465753424657533, 'examples_seen': 68994, 'step': 4350, 'algorithm': 'articulation_points'}
{'is_cut': 0.7229729729729729, 'score': 0.7229729729729729, 'examples_seen': 69775, 'step': 4400, 'algorithm': 'articulation_points'}
{'is_cut': 0.7650602409638554, 'score': 0.7650602409638554, 'examples_seen': 70558, 'step': 4450, 'algorithm': 'articulation_points'}
{'is_cut': 0.77992277992278, 'score': 0.77992277992278, 'examples_seen': 71376, 'step': 4500, 'algorithm': 'articulation_points'}
