{'pi': 0.5791015625, 'score': 0.5791015625, 'examples_seen': 154, 'step': 0, 'algorithm': 'bfs'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 6141, 'step': 50, 'algorithm': 'bfs'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 12109, 'step': 100, 'algorithm': 'bfs'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 17996, 'step': 150, 'algorithm': 'bfs'}
{'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 23947, 'step': 200, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 29856, 'step': 250, 'algorithm': 'bfs'}
{'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 35867, 'step': 300, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 41918, 'step': 350, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 47909, 'step': 400, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 53904, 'step': 450, 'algorithm': 'bfs'}
{'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 59841, 'step': 500, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 65752, 'step': 550, 'algorithm': 'bfs'}
{'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 71692, 'step': 600, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 77740, 'step': 650, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 83753, 'step': 700, 'algorithm': 'bfs'}
{'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 89759, 'step': 750, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 95685, 'step': 800, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 101629, 'step': 850, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 107598, 'step': 900, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 113479, 'step': 950, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 119518, 'step': 1000, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 125463, 'step': 1050, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 131446, 'step': 1100, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 137380, 'step': 1150, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 143332, 'step': 1200, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 149311, 'step': 1250, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 155183, 'step': 1300, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 161256, 'step': 1350, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 167269, 'step': 1400, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 173263, 'step': 1450, 'algorithm': 'bfs'}
{'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 179266, 'step': 1500, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 185182, 'step': 1550, 'algorithm': 'bfs'}
{'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 191117, 'step': 1600, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 197064, 'step': 1650, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 203152, 'step': 1700, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 209170, 'step': 1750, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 215146, 'step': 1800, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 221156, 'step': 1850, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 227154, 'step': 1900, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 233027, 'step': 1950, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 238942, 'step': 2000, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 245016, 'step': 2050, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 250993, 'step': 2100, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 256997, 'step': 2150, 'algorithm': 'bfs'}
{'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 262904, 'step': 2200, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 268867, 'step': 2250, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 274815, 'step': 2300, 'algorithm': 'bfs'}
{'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 280754, 'step': 2350, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 286844, 'step': 2400, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 292875, 'step': 2450, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 298865, 'step': 2500, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 304830, 'step': 2550, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 310780, 'step': 2600, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 316660, 'step': 2650, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 322588, 'step': 2700, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 328602, 'step': 2750, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 334613, 'step': 2800, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 340593, 'step': 2850, 'algorithm': 'bfs'}
{'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 346562, 'step': 2900, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 352493, 'step': 2950, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 358374, 'step': 3000, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 364271, 'step': 3050, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 370336, 'step': 3100, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 376325, 'step': 3150, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 382314, 'step': 3200, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 388274, 'step': 3250, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 394205, 'step': 3300, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 400138, 'step': 3350, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 406028, 'step': 3400, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 412088, 'step': 3450, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 418140, 'step': 3500, 'algorithm': 'bfs'}
{'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 424145, 'step': 3550, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 430113, 'step': 3600, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 436016, 'step': 3650, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 441945, 'step': 3700, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 447801, 'step': 3750, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 453834, 'step': 3800, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 459840, 'step': 3850, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 465830, 'step': 3900, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 471794, 'step': 3950, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 477684, 'step': 4000, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 483682, 'step': 4050, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 489647, 'step': 4100, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 495677, 'step': 4150, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 501663, 'step': 4200, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 507682, 'step': 4250, 'algorithm': 'bfs'}
{'pi': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 513631, 'step': 4300, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 519556, 'step': 4350, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 525486, 'step': 4400, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 531423, 'step': 4450, 'algorithm': 'bfs'}
{'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 537498, 'step': 4500, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 543463, 'step': 4550, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 549413, 'step': 4600, 'algorithm': 'bfs'}
