{'return': 0.0478515625, 'score': 0.0478515625, 'examples_seen': 96, 'step': 0, 'algorithm': 'binary_search'}
{'return': 0.546142578125, 'score': 0.546142578125, 'examples_seen': 3929, 'step': 50, 'algorithm': 'binary_search'}
{'return': 0.4306640625, 'score': 0.4306640625, 'examples_seen': 7769, 'step': 100, 'algorithm': 'binary_search'}
{'return': 0.70947265625, 'score': 0.70947265625, 'examples_seen': 11585, 'step': 150, 'algorithm': 'binary_search'}
{'return': 0.608154296875, 'score': 0.608154296875, 'examples_seen': 15405, 'step': 200, 'algorithm': 'binary_search'}
{'return': 0.631103515625, 'score': 0.631103515625, 'examples_seen': 19220, 'step': 250, 'algorithm': 'binary_search'}
{'return': 0.491455078125, 'score': 0.491455078125, 'examples_seen': 23101, 'step': 300, 'algorithm': 'binary_search'}
{'return': 0.741455078125, 'score': 0.741455078125, 'examples_seen': 26975, 'step': 350, 'algorithm': 'binary_search'}
{'return': 0.72119140625, 'score': 0.72119140625, 'examples_seen': 30803, 'step': 400, 'algorithm': 'binary_search'}
{'return': 0.4697265625, 'score': 0.4697265625, 'examples_seen': 34648, 'step': 450, 'algorithm': 'binary_search'}
{'return': 0.662841796875, 'score': 0.662841796875, 'examples_seen': 38465, 'step': 500, 'algorithm': 'binary_search'}
{'return': 0.72705078125, 'score': 0.72705078125, 'examples_seen': 42280, 'step': 550, 'algorithm': 'binary_search'}
{'return': 0.733642578125, 'score': 0.733642578125, 'examples_seen': 46095, 'step': 600, 'algorithm': 'binary_search'}
{'return': 0.598388671875, 'score': 0.598388671875, 'examples_seen': 49987, 'step': 650, 'algorithm': 'binary_search'}
{'return': 0.82568359375, 'score': 0.82568359375, 'examples_seen': 53861, 'step': 700, 'algorithm': 'binary_search'}
{'return': 0.54736328125, 'score': 0.54736328125, 'examples_seen': 57708, 'step': 750, 'algorithm': 'binary_search'}
{'return': 0.51025390625, 'score': 0.51025390625, 'examples_seen': 61556, 'step': 800, 'algorithm': 'binary_search'}
{'return': 0.695068359375, 'score': 0.695068359375, 'examples_seen': 65375, 'step': 850, 'algorithm': 'binary_search'}
{'return': 0.798583984375, 'score': 0.798583984375, 'examples_seen': 69199, 'step': 900, 'algorithm': 'binary_search'}
{'return': 0.771728515625, 'score': 0.771728515625, 'examples_seen': 73009, 'step': 950, 'algorithm': 'binary_search'}
{'return': 0.795166015625, 'score': 0.795166015625, 'examples_seen': 76906, 'step': 1000, 'algorithm': 'binary_search'}
{'return': 0.61474609375, 'score': 0.61474609375, 'examples_seen': 80786, 'step': 1050, 'algorithm': 'binary_search'}
{'return': 0.676025390625, 'score': 0.676025390625, 'examples_seen': 84624, 'step': 1100, 'algorithm': 'binary_search'}
{'return': 0.608642578125, 'score': 0.608642578125, 'examples_seen': 88449, 'step': 1150, 'algorithm': 'binary_search'}
{'return': 0.787353515625, 'score': 0.787353515625, 'examples_seen': 92263, 'step': 1200, 'algorithm': 'binary_search'}
{'return': 0.734375, 'score': 0.734375, 'examples_seen': 96077, 'step': 1250, 'algorithm': 'binary_search'}
{'return': 0.753173828125, 'score': 0.753173828125, 'examples_seen': 99908, 'step': 1300, 'algorithm': 'binary_search'}
{'return': 0.781494140625, 'score': 0.781494140625, 'examples_seen': 103790, 'step': 1350, 'algorithm': 'binary_search'}
{'return': 0.84716796875, 'score': 0.84716796875, 'examples_seen': 107671, 'step': 1400, 'algorithm': 'binary_search'}
{'return': 0.732421875, 'score': 0.732421875, 'examples_seen': 111509, 'step': 1450, 'algorithm': 'binary_search'}
{'return': 0.78369140625, 'score': 0.78369140625, 'examples_seen': 115364, 'step': 1500, 'algorithm': 'binary_search'}
{'return': 0.71875, 'score': 0.71875, 'examples_seen': 119178, 'step': 1550, 'algorithm': 'binary_search'}
{'return': 0.84521484375, 'score': 0.84521484375, 'examples_seen': 122997, 'step': 1600, 'algorithm': 'binary_search'}
{'return': 0.8193359375, 'score': 0.8193359375, 'examples_seen': 126829, 'step': 1650, 'algorithm': 'binary_search'}
{'return': 0.818115234375, 'score': 0.818115234375, 'examples_seen': 130709, 'step': 1700, 'algorithm': 'binary_search'}
{'return': 0.80224609375, 'score': 0.80224609375, 'examples_seen': 134592, 'step': 1750, 'algorithm': 'binary_search'}
{'return': 0.782470703125, 'score': 0.782470703125, 'examples_seen': 138441, 'step': 1800, 'algorithm': 'binary_search'}
{'return': 0.589111328125, 'score': 0.589111328125, 'examples_seen': 142294, 'step': 1850, 'algorithm': 'binary_search'}
{'return': 0.79296875, 'score': 0.79296875, 'examples_seen': 146105, 'step': 1900, 'algorithm': 'binary_search'}
{'return': 0.818115234375, 'score': 0.818115234375, 'examples_seen': 149913, 'step': 1950, 'algorithm': 'binary_search'}
{'return': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 153743, 'step': 2000, 'algorithm': 'binary_search'}
{'return': 0.820068359375, 'score': 0.820068359375, 'examples_seen': 157638, 'step': 2050, 'algorithm': 'binary_search'}
{'return': 0.83447265625, 'score': 0.83447265625, 'examples_seen': 161536, 'step': 2100, 'algorithm': 'binary_search'}
{'return': 0.813232421875, 'score': 0.813232421875, 'examples_seen': 165370, 'step': 2150, 'algorithm': 'binary_search'}
{'return': 0.69873046875, 'score': 0.69873046875, 'examples_seen': 169201, 'step': 2200, 'algorithm': 'binary_search'}
{'return': 0.776123046875, 'score': 0.776123046875, 'examples_seen': 173028, 'step': 2250, 'algorithm': 'binary_search'}
{'return': 0.875244140625, 'score': 0.875244140625, 'examples_seen': 176837, 'step': 2300, 'algorithm': 'binary_search'}
{'return': 0.80029296875, 'score': 0.80029296875, 'examples_seen': 180652, 'step': 2350, 'algorithm': 'binary_search'}
{'return': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 184537, 'step': 2400, 'algorithm': 'binary_search'}
{'return': 0.87158203125, 'score': 0.87158203125, 'examples_seen': 188423, 'step': 2450, 'algorithm': 'binary_search'}
{'return': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 192254, 'step': 2500, 'algorithm': 'binary_search'}
{'return': 0.759765625, 'score': 0.759765625, 'examples_seen': 196090, 'step': 2550, 'algorithm': 'binary_search'}
{'return': 0.7578125, 'score': 0.7578125, 'examples_seen': 199901, 'step': 2600, 'algorithm': 'binary_search'}
{'return': 0.878173828125, 'score': 0.878173828125, 'examples_seen': 203721, 'step': 2650, 'algorithm': 'binary_search'}
{'return': 0.906005859375, 'score': 0.906005859375, 'examples_seen': 207530, 'step': 2700, 'algorithm': 'binary_search'}
{'return': 0.83203125, 'score': 0.83203125, 'examples_seen': 211422, 'step': 2750, 'algorithm': 'binary_search'}
{'return': 0.832763671875, 'score': 0.832763671875, 'examples_seen': 215308, 'step': 2800, 'algorithm': 'binary_search'}
{'return': 0.840576171875, 'score': 0.840576171875, 'examples_seen': 219137, 'step': 2850, 'algorithm': 'binary_search'}
{'return': 0.82666015625, 'score': 0.82666015625, 'examples_seen': 222989, 'step': 2900, 'algorithm': 'binary_search'}
{'return': 0.82177734375, 'score': 0.82177734375, 'examples_seen': 226818, 'step': 2950, 'algorithm': 'binary_search'}
{'return': 0.870849609375, 'score': 0.870849609375, 'examples_seen': 230626, 'step': 3000, 'algorithm': 'binary_search'}
{'return': 0.897705078125, 'score': 0.897705078125, 'examples_seen': 234455, 'step': 3050, 'algorithm': 'binary_search'}
{'return': 0.769775390625, 'score': 0.769775390625, 'examples_seen': 238331, 'step': 3100, 'algorithm': 'binary_search'}
{'return': 0.79296875, 'score': 0.79296875, 'examples_seen': 242216, 'step': 3150, 'algorithm': 'binary_search'}
{'return': 0.794921875, 'score': 0.794921875, 'examples_seen': 246053, 'step': 3200, 'algorithm': 'binary_search'}
{'return': 0.826416015625, 'score': 0.826416015625, 'examples_seen': 249892, 'step': 3250, 'algorithm': 'binary_search'}
{'return': 0.829833984375, 'score': 0.829833984375, 'examples_seen': 253710, 'step': 3300, 'algorithm': 'binary_search'}
{'return': 0.898193359375, 'score': 0.898193359375, 'examples_seen': 257531, 'step': 3350, 'algorithm': 'binary_search'}
{'return': 0.88720703125, 'score': 0.88720703125, 'examples_seen': 261352, 'step': 3400, 'algorithm': 'binary_search'}
{'return': 0.905029296875, 'score': 0.905029296875, 'examples_seen': 265239, 'step': 3450, 'algorithm': 'binary_search'}
{'return': 0.828857421875, 'score': 0.828857421875, 'examples_seen': 269107, 'step': 3500, 'algorithm': 'binary_search'}
{'return': 0.931396484375, 'score': 0.931396484375, 'examples_seen': 272954, 'step': 3550, 'algorithm': 'binary_search'}
{'return': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 276792, 'step': 3600, 'algorithm': 'binary_search'}
{'return': 0.89208984375, 'score': 0.89208984375, 'examples_seen': 280598, 'step': 3650, 'algorithm': 'binary_search'}
{'return': 0.8369140625, 'score': 0.8369140625, 'examples_seen': 284416, 'step': 3700, 'algorithm': 'binary_search'}
{'return': 0.875244140625, 'score': 0.875244140625, 'examples_seen': 288238, 'step': 3750, 'algorithm': 'binary_search'}
{'return': 0.8369140625, 'score': 0.8369140625, 'examples_seen': 292124, 'step': 3800, 'algorithm': 'binary_search'}
{'return': 0.849365234375, 'score': 0.849365234375, 'examples_seen': 296010, 'step': 3850, 'algorithm': 'binary_search'}
{'return': 0.853759765625, 'score': 0.853759765625, 'examples_seen': 299853, 'step': 3900, 'algorithm': 'binary_search'}
{'return': 0.798583984375, 'score': 0.798583984375, 'examples_seen': 303687, 'step': 3950, 'algorithm': 'binary_search'}
{'return': 0.8984375, 'score': 0.8984375, 'examples_seen': 307501, 'step': 4000, 'algorithm': 'binary_search'}
{'return': 0.9169921875, 'score': 0.9169921875, 'examples_seen': 311310, 'step': 4050, 'algorithm': 'binary_search'}
{'return': 0.885986328125, 'score': 0.885986328125, 'examples_seen': 315113, 'step': 4100, 'algorithm': 'binary_search'}
{'return': 0.827880859375, 'score': 0.827880859375, 'examples_seen': 319004, 'step': 4150, 'algorithm': 'binary_search'}
{'return': 0.919921875, 'score': 0.919921875, 'examples_seen': 322874, 'step': 4200, 'algorithm': 'binary_search'}
{'return': 0.81640625, 'score': 0.81640625, 'examples_seen': 326714, 'step': 4250, 'algorithm': 'binary_search'}
{'return': 0.906494140625, 'score': 0.906494140625, 'examples_seen': 330562, 'step': 4300, 'algorithm': 'binary_search'}
{'return': 0.88671875, 'score': 0.88671875, 'examples_seen': 334375, 'step': 4350, 'algorithm': 'binary_search'}
{'return': 0.89892578125, 'score': 0.89892578125, 'examples_seen': 338190, 'step': 4400, 'algorithm': 'binary_search'}
{'return': 0.8603515625, 'score': 0.8603515625, 'examples_seen': 342022, 'step': 4450, 'algorithm': 'binary_search'}
{'return': 0.867431640625, 'score': 0.867431640625, 'examples_seen': 345912, 'step': 4500, 'algorithm': 'binary_search'}
{'return': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 349784, 'step': 4550, 'algorithm': 'binary_search'}
{'return': 0.89453125, 'score': 0.89453125, 'examples_seen': 353623, 'step': 4600, 'algorithm': 'binary_search'}
{'return': 0.853515625, 'score': 0.853515625, 'examples_seen': 357470, 'step': 4650, 'algorithm': 'binary_search'}
{'return': 0.89404296875, 'score': 0.89404296875, 'examples_seen': 361283, 'step': 4700, 'algorithm': 'binary_search'}
{'return': 0.876708984375, 'score': 0.876708984375, 'examples_seen': 365094, 'step': 4750, 'algorithm': 'binary_search'}
{'return': 0.898681640625, 'score': 0.898681640625, 'examples_seen': 368928, 'step': 4800, 'algorithm': 'binary_search'}
{'return': 0.89599609375, 'score': 0.89599609375, 'examples_seen': 372805, 'step': 4850, 'algorithm': 'binary_search'}
{'return': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 376682, 'step': 4900, 'algorithm': 'binary_search'}
{'return': 0.78955078125, 'score': 0.78955078125, 'examples_seen': 380524, 'step': 4950, 'algorithm': 'binary_search'}
{'return': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 384359, 'step': 5000, 'algorithm': 'binary_search'}
{'return': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 388186, 'step': 5050, 'algorithm': 'binary_search'}
{'return': 0.88671875, 'score': 0.88671875, 'examples_seen': 392003, 'step': 5100, 'algorithm': 'binary_search'}
{'return': 0.906982421875, 'score': 0.906982421875, 'examples_seen': 395831, 'step': 5150, 'algorithm': 'binary_search'}
{'return': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 399719, 'step': 5200, 'algorithm': 'binary_search'}
{'return': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 403606, 'step': 5250, 'algorithm': 'binary_search'}
{'return': 0.8662109375, 'score': 0.8662109375, 'examples_seen': 407447, 'step': 5300, 'algorithm': 'binary_search'}
{'return': 0.90966796875, 'score': 0.90966796875, 'examples_seen': 411276, 'step': 5350, 'algorithm': 'binary_search'}
{'return': 0.87841796875, 'score': 0.87841796875, 'examples_seen': 415094, 'step': 5400, 'algorithm': 'binary_search'}
{'return': 0.896728515625, 'score': 0.896728515625, 'examples_seen': 418911, 'step': 5450, 'algorithm': 'binary_search'}
{'return': 0.828857421875, 'score': 0.828857421875, 'examples_seen': 422725, 'step': 5500, 'algorithm': 'binary_search'}
{'return': 0.853271484375, 'score': 0.853271484375, 'examples_seen': 426617, 'step': 5550, 'algorithm': 'binary_search'}
{'return': 0.841064453125, 'score': 0.841064453125, 'examples_seen': 430493, 'step': 5600, 'algorithm': 'binary_search'}
{'return': 0.82080078125, 'score': 0.82080078125, 'examples_seen': 434320, 'step': 5650, 'algorithm': 'binary_search'}
{'return': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 438151, 'step': 5700, 'algorithm': 'binary_search'}
{'return': 0.890380859375, 'score': 0.890380859375, 'examples_seen': 441971, 'step': 5750, 'algorithm': 'binary_search'}
{'return': 0.899169921875, 'score': 0.899169921875, 'examples_seen': 445792, 'step': 5800, 'algorithm': 'binary_search'}
{'return': 0.906494140625, 'score': 0.906494140625, 'examples_seen': 449622, 'step': 5850, 'algorithm': 'binary_search'}
{'return': 0.83837890625, 'score': 0.83837890625, 'examples_seen': 453499, 'step': 5900, 'algorithm': 'binary_search'}
{'return': 0.90380859375, 'score': 0.90380859375, 'examples_seen': 457369, 'step': 5950, 'algorithm': 'binary_search'}
{'return': 0.917236328125, 'score': 0.917236328125, 'examples_seen': 461201, 'step': 6000, 'algorithm': 'binary_search'}
{'return': 0.845703125, 'score': 0.845703125, 'examples_seen': 465026, 'step': 6050, 'algorithm': 'binary_search'}
{'return': 0.927490234375, 'score': 0.927490234375, 'examples_seen': 468843, 'step': 6100, 'algorithm': 'binary_search'}
{'return': 0.826171875, 'score': 0.826171875, 'examples_seen': 472644, 'step': 6150, 'algorithm': 'binary_search'}
{'return': 0.90771484375, 'score': 0.90771484375, 'examples_seen': 476479, 'step': 6200, 'algorithm': 'binary_search'}
{'return': 0.919189453125, 'score': 0.919189453125, 'examples_seen': 480348, 'step': 6250, 'algorithm': 'binary_search'}
{'return': 0.903076171875, 'score': 0.903076171875, 'examples_seen': 484234, 'step': 6300, 'algorithm': 'binary_search'}
{'return': 0.89013671875, 'score': 0.89013671875, 'examples_seen': 488071, 'step': 6350, 'algorithm': 'binary_search'}
{'return': 0.761962890625, 'score': 0.761962890625, 'examples_seen': 491916, 'step': 6400, 'algorithm': 'binary_search'}
{'return': 0.907470703125, 'score': 0.907470703125, 'examples_seen': 495734, 'step': 6450, 'algorithm': 'binary_search'}
{'return': 0.88134765625, 'score': 0.88134765625, 'examples_seen': 499545, 'step': 6500, 'algorithm': 'binary_search'}
{'return': 0.85546875, 'score': 0.85546875, 'examples_seen': 503363, 'step': 6550, 'algorithm': 'binary_search'}
{'return': 0.86474609375, 'score': 0.86474609375, 'examples_seen': 507255, 'step': 6600, 'algorithm': 'binary_search'}
{'return': 0.818603515625, 'score': 0.818603515625, 'examples_seen': 511130, 'step': 6650, 'algorithm': 'binary_search'}
{'return': 0.83984375, 'score': 0.83984375, 'examples_seen': 514969, 'step': 6700, 'algorithm': 'binary_search'}
{'return': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 518810, 'step': 6750, 'algorithm': 'binary_search'}
{'return': 0.935791015625, 'score': 0.935791015625, 'examples_seen': 522639, 'step': 6800, 'algorithm': 'binary_search'}
{'return': 0.909912109375, 'score': 0.909912109375, 'examples_seen': 526449, 'step': 6850, 'algorithm': 'binary_search'}
{'return': 0.90576171875, 'score': 0.90576171875, 'examples_seen': 530272, 'step': 6900, 'algorithm': 'binary_search'}
{'return': 0.933837890625, 'score': 0.933837890625, 'examples_seen': 534159, 'step': 6950, 'algorithm': 'binary_search'}
{'return': 0.874267578125, 'score': 0.874267578125, 'examples_seen': 538025, 'step': 7000, 'algorithm': 'binary_search'}
{'return': 0.857666015625, 'score': 0.857666015625, 'examples_seen': 541866, 'step': 7050, 'algorithm': 'binary_search'}
{'return': 0.900390625, 'score': 0.900390625, 'examples_seen': 545706, 'step': 7100, 'algorithm': 'binary_search'}
{'return': 0.899658203125, 'score': 0.899658203125, 'examples_seen': 549512, 'step': 7150, 'algorithm': 'binary_search'}
{'return': 0.932861328125, 'score': 0.932861328125, 'examples_seen': 553331, 'step': 7200, 'algorithm': 'binary_search'}
{'return': 0.933837890625, 'score': 0.933837890625, 'examples_seen': 557148, 'step': 7250, 'algorithm': 'binary_search'}
{'return': 0.90234375, 'score': 0.90234375, 'examples_seen': 561032, 'step': 7300, 'algorithm': 'binary_search'}
{'return': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 564894, 'step': 7350, 'algorithm': 'binary_search'}
