I0715 21:26:57.219741 139361375352320 run.py:722] (val) algo bridges step 0: {'is_bridge': 0.0, 'score': 0.0, 'examples_seen': 16, 'step': 0, 'algorithm': 'bridges'}
I0715 21:28:48.688814 139361375352320 run.py:722] (val) algo bridges step 50: {'is_bridge': 0.6857798165137614, 'score': 0.6857798165137614, 'examples_seen': 799, 'step': 50, 'algorithm': 'bridges'}
I0715 21:28:50.301502 139361375352320 run.py:722] (val) algo bridges step 100: {'is_bridge': 0.6585200271554651, 'score': 0.6585200271554651, 'examples_seen': 1592, 'step': 100, 'algorithm': 'bridges'}
I0715 21:28:51.952374 139361375352320 run.py:722] (val) algo bridges step 150: {'is_bridge': 0.6779661016949152, 'score': 0.6779661016949152, 'examples_seen': 2372, 'step': 150, 'algorithm': 'bridges'}
I0715 21:28:53.527747 139361375352320 run.py:722] (val) algo bridges step 200: {'is_bridge': 0.657997399219766, 'score': 0.657997399219766, 'examples_seen': 3158, 'step': 200, 'algorithm': 'bridges'}
I0715 21:28:55.178223 139361375352320 run.py:722] (val) algo bridges step 250: {'is_bridge': 0.7571337983512998, 'score': 0.7571337983512998, 'examples_seen': 3938, 'step': 250, 'algorithm': 'bridges'}
I0715 21:28:56.799560 139361375352320 run.py:722] (val) algo bridges step 300: {'is_bridge': 0.7145510835913313, 'score': 0.7145510835913313, 'examples_seen': 4758, 'step': 300, 'algorithm': 'bridges'}
I0715 21:28:58.393343 139361375352320 run.py:722] (val) algo bridges step 350: {'is_bridge': 0.6532951289398281, 'score': 0.6532951289398281, 'examples_seen': 5564, 'step': 350, 'algorithm': 'bridges'}
I0715 21:28:59.977978 139361375352320 run.py:722] (val) algo bridges step 400: {'is_bridge': 0.698501872659176, 'score': 0.698501872659176, 'examples_seen': 6361, 'step': 400, 'algorithm': 'bridges'}
I0715 21:29:01.577200 139361375352320 run.py:722] (val) algo bridges step 450: {'is_bridge': 0.7386900742741391, 'score': 0.7386900742741391, 'examples_seen': 7144, 'step': 450, 'algorithm': 'bridges'}
I0715 21:29:03.177583 139361375352320 run.py:722] (val) algo bridges step 500: {'is_bridge': 0.7773144286905755, 'score': 0.7773144286905755, 'examples_seen': 7922, 'step': 500, 'algorithm': 'bridges'}
I0715 21:29:04.809136 139361375352320 run.py:722] (val) algo bridges step 550: {'is_bridge': 0.8013605442176872, 'score': 0.8013605442176872, 'examples_seen': 8709, 'step': 550, 'algorithm': 'bridges'}
I0715 21:29:06.468962 139361375352320 run.py:722] (val) algo bridges step 600: {'is_bridge': 0.7979651162790697, 'score': 0.7979651162790697, 'examples_seen': 9489, 'step': 600, 'algorithm': 'bridges'}
I0715 21:29:08.020148 139361375352320 run.py:722] (val) algo bridges step 650: {'is_bridge': 0.7548005908419498, 'score': 0.7548005908419498, 'examples_seen': 10303, 'step': 650, 'algorithm': 'bridges'}
I0715 21:29:09.627054 139361375352320 run.py:722] (val) algo bridges step 700: {'is_bridge': 0.7426376440460947, 'score': 0.7426376440460947, 'examples_seen': 11121, 'step': 700, 'algorithm': 'bridges'}
I0715 21:29:11.155516 139361375352320 run.py:722] (val) algo bridges step 750: {'is_bridge': 0.7582139848357203, 'score': 0.7582139848357203, 'examples_seen': 11916, 'step': 750, 'algorithm': 'bridges'}
I0715 21:29:12.697434 139361375352320 run.py:722] (val) algo bridges step 800: {'is_bridge': 0.7536, 'score': 0.7536, 'examples_seen': 12693, 'step': 800, 'algorithm': 'bridges'}
