{'pi': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 41, 'step': 0, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.8515625, 'score': 0.8515625, 'examples_seen': 1530, 'step': 50, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 2997, 'step': 100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.87109375, 'score': 0.87109375, 'examples_seen': 4450, 'step': 150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.8876953125, 'score': 0.8876953125, 'examples_seen': 5904, 'step': 200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.900390625, 'score': 0.900390625, 'examples_seen': 7402, 'step': 250, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.896484375, 'score': 0.896484375, 'examples_seen': 8928, 'step': 300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.892578125, 'score': 0.892578125, 'examples_seen': 10426, 'step': 350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 11895, 'step': 400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 13359, 'step': 450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 14816, 'step': 500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 16276, 'step': 550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.953125, 'score': 0.953125, 'examples_seen': 17743, 'step': 600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 19222, 'step': 650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.8984375, 'score': 0.8984375, 'examples_seen': 20708, 'step': 700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 22198, 'step': 750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 23647, 'step': 800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 25116, 'step': 850, 'algorithm': 'dag_shortest_paths'}
