I0715 22:19:05.917127 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 0: {'start': 0.0, 'end': 0.087890625, 'score': 0.0439453125, 'examples_seen': 80, 'step': 0, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:22.930983 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 50: {'start': 0.43994140625, 'end': 0.49853515625, 'score': 0.46923828125, 'examples_seen': 2640, 'step': 50, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:24.973351 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 100: {'start': 0.57177734375, 'end': 0.48974609375, 'score': 0.53076171875, 'examples_seen': 5200, 'step': 100, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:27.018240 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 150: {'start': 0.6328125, 'end': 0.5478515625, 'score': 0.59033203125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:29.045041 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 200: {'start': 0.7119140625, 'end': 0.52880859375, 'score': 0.620361328125, 'examples_seen': 10288, 'step': 200, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:31.114380 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 250: {'start': 0.7626953125, 'end': 0.60400390625, 'score': 0.683349609375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:33.195028 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 300: {'start': 0.75048828125, 'end': 0.55419921875, 'score': 0.65234375, 'examples_seen': 15472, 'step': 300, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:35.244845 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 350: {'start': 0.70263671875, 'end': 0.56787109375, 'score': 0.63525390625, 'examples_seen': 18080, 'step': 350, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:37.273743 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 400: {'start': 0.8095703125, 'end': 0.69482421875, 'score': 0.752197265625, 'examples_seen': 20640, 'step': 400, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:39.325103 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 450: {'start': 0.7939453125, 'end': 0.5830078125, 'score': 0.6884765625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:41.353376 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 500: {'start': 0.81201171875, 'end': 0.70654296875, 'score': 0.75927734375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:43.365639 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 550: {'start': 0.77001953125, 'end': 0.5712890625, 'score': 0.670654296875, 'examples_seen': 28288, 'step': 550, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:45.393585 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 600: {'start': 0.78955078125, 'end': 0.74462890625, 'score': 0.76708984375, 'examples_seen': 30832, 'step': 600, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:47.450433 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 650: {'start': 0.76806640625, 'end': 0.765625, 'score': 0.766845703125, 'examples_seen': 33456, 'step': 650, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:49.468247 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 700: {'start': 0.791015625, 'end': 0.79541015625, 'score': 0.793212890625, 'examples_seen': 36080, 'step': 700, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:51.488692 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 750: {'start': 0.8154296875, 'end': 0.75830078125, 'score': 0.786865234375, 'examples_seen': 38640, 'step': 750, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:53.498693 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 800: {'start': 0.83935546875, 'end': 0.77783203125, 'score': 0.80859375, 'examples_seen': 41216, 'step': 800, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:55.514452 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 850: {'start': 0.7900390625, 'end': 0.70166015625, 'score': 0.745849609375, 'examples_seen': 43760, 'step': 850, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:57.522555 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 900: {'start': 0.8193359375, 'end': 0.82177734375, 'score': 0.820556640625, 'examples_seen': 46320, 'step': 900, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:20:59.550359 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 950: {'start': 0.8603515625, 'end': 0.82080078125, 'score': 0.840576171875, 'examples_seen': 48832, 'step': 950, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:01.604980 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1000: {'start': 0.8623046875, 'end': 0.83447265625, 'score': 0.848388671875, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:03.655903 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1050: {'start': 0.86669921875, 'end': 0.7001953125, 'score': 0.783447265625, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:05.672798 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1100: {'start': 0.73095703125, 'end': 0.71875, 'score': 0.724853515625, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:07.695381 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1150: {'start': 0.87744140625, 'end': 0.7978515625, 'score': 0.837646484375, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:09.703506 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1200: {'start': 0.8671875, 'end': 0.85546875, 'score': 0.861328125, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:11.723954 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1250: {'start': 0.82763671875, 'end': 0.8125, 'score': 0.820068359375, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:13.730285 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1300: {'start': 0.87158203125, 'end': 0.88427734375, 'score': 0.8779296875, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:15.788421 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1350: {'start': 0.87548828125, 'end': 0.87353515625, 'score': 0.87451171875, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:17.816300 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1400: {'start': 0.87939453125, 'end': 0.84814453125, 'score': 0.86376953125, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:19.809815 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1450: {'start': 0.8359375, 'end': 0.86962890625, 'score': 0.852783203125, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:21.813478 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1500: {'start': 0.87255859375, 'end': 0.849609375, 'score': 0.861083984375, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:23.832195 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1550: {'start': 0.88525390625, 'end': 0.74462890625, 'score': 0.81494140625, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:25.830249 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1600: {'start': 0.900390625, 'end': 0.81298828125, 'score': 0.856689453125, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:27.837607 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1650: {'start': 0.86279296875, 'end': 0.86474609375, 'score': 0.86376953125, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:29.894474 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1700: {'start': 0.90283203125, 'end': 0.8896484375, 'score': 0.896240234375, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:31.940895 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1750: {'start': 0.880859375, 'end': 0.8232421875, 'score': 0.85205078125, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:33.964620 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1800: {'start': 0.85546875, 'end': 0.84521484375, 'score': 0.850341796875, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:35.981060 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1850: {'start': 0.86376953125, 'end': 0.88818359375, 'score': 0.8759765625, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:37.975824 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1900: {'start': 0.912109375, 'end': 0.89013671875, 'score': 0.901123046875, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:39.986982 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 1950: {'start': 0.89453125, 'end': 0.86328125, 'score': 0.87890625, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:42.006896 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2000: {'start': 0.91455078125, 'end': 0.87646484375, 'score': 0.8955078125, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:44.060987 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2050: {'start': 0.8779296875, 'end': 0.88525390625, 'score': 0.881591796875, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:46.088306 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2100: {'start': 0.88623046875, 'end': 0.87158203125, 'score': 0.87890625, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:48.096355 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2150: {'start': 0.89208984375, 'end': 0.91455078125, 'score': 0.9033203125, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:50.143283 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2200: {'start': 0.8662109375, 'end': 0.7548828125, 'score': 0.810546875, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:52.160012 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2250: {'start': 0.8818359375, 'end': 0.84326171875, 'score': 0.862548828125, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:54.176410 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2300: {'start': 0.91064453125, 'end': 0.900390625, 'score': 0.905517578125, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:56.220359 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2350: {'start': 0.88427734375, 'end': 0.88525390625, 'score': 0.884765625, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:21:58.270612 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2400: {'start': 0.8974609375, 'end': 0.912109375, 'score': 0.90478515625, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:00.317074 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2450: {'start': 0.91796875, 'end': 0.89111328125, 'score': 0.904541015625, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:02.343090 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2500: {'start': 0.9228515625, 'end': 0.91455078125, 'score': 0.918701171875, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:04.385643 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2550: {'start': 0.89990234375, 'end': 0.896484375, 'score': 0.898193359375, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:06.413856 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2600: {'start': 0.87451171875, 'end': 0.87841796875, 'score': 0.87646484375, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:08.440591 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2650: {'start': 0.9267578125, 'end': 0.89453125, 'score': 0.91064453125, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:10.461836 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2700: {'start': 0.8876953125, 'end': 0.85107421875, 'score': 0.869384765625, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:12.531473 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2750: {'start': 0.908203125, 'end': 0.9033203125, 'score': 0.90576171875, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:14.577182 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2800: {'start': 0.9013671875, 'end': 0.8759765625, 'score': 0.888671875, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:16.606859 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2850: {'start': 0.89306640625, 'end': 0.919921875, 'score': 0.906494140625, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:18.859651 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2900: {'start': 0.89208984375, 'end': 0.912109375, 'score': 0.902099609375, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:20.882643 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 2950: {'start': 0.8955078125, 'end': 0.86083984375, 'score': 0.878173828125, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:22.905961 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3000: {'start': 0.919921875, 'end': 0.8740234375, 'score': 0.89697265625, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:24.930348 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3050: {'start': 0.900390625, 'end': 0.890625, 'score': 0.8955078125, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:26.987502 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3100: {'start': 0.91455078125, 'end': 0.8857421875, 'score': 0.900146484375, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:29.039526 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3150: {'start': 0.91162109375, 'end': 0.89599609375, 'score': 0.90380859375, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:31.058368 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3200: {'start': 0.919921875, 'end': 0.88427734375, 'score': 0.902099609375, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:33.093099 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3250: {'start': 0.83837890625, 'end': 0.8251953125, 'score': 0.831787109375, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:35.098405 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3300: {'start': 0.92431640625, 'end': 0.87060546875, 'score': 0.8974609375, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:37.130215 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3350: {'start': 0.90087890625, 'end': 0.91015625, 'score': 0.905517578125, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:39.162497 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3400: {'start': 0.92529296875, 'end': 0.91259765625, 'score': 0.9189453125, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:41.227175 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3450: {'start': 0.9287109375, 'end': 0.896484375, 'score': 0.91259765625, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:43.282358 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3500: {'start': 0.88818359375, 'end': 0.8330078125, 'score': 0.860595703125, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:45.306395 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3550: {'start': 0.92333984375, 'end': 0.8935546875, 'score': 0.908447265625, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:47.337863 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3600: {'start': 0.91650390625, 'end': 0.85595703125, 'score': 0.88623046875, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:49.338234 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3650: {'start': 0.904296875, 'end': 0.9013671875, 'score': 0.90283203125, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:51.355204 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3700: {'start': 0.91796875, 'end': 0.8896484375, 'score': 0.90380859375, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:53.376337 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3750: {'start': 0.9091796875, 'end': 0.8583984375, 'score': 0.8837890625, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:55.437075 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3800: {'start': 0.9130859375, 'end': 0.849609375, 'score': 0.88134765625, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:57.497091 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3850: {'start': 0.93994140625, 'end': 0.89794921875, 'score': 0.9189453125, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:22:59.535207 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3900: {'start': 0.91064453125, 'end': 0.92041015625, 'score': 0.91552734375, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:23:01.567212 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 3950: {'start': 0.9267578125, 'end': 0.8984375, 'score': 0.91259765625, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:23:03.567717 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 4000: {'start': 0.9287109375, 'end': 0.912109375, 'score': 0.92041015625, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:23:05.584060 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 4050: {'start': 0.9091796875, 'end': 0.9287109375, 'score': 0.9189453125, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'find_maximum_subarray_kadane'}
I0715 22:23:07.596120 125399828469248 run.py:722] (val) algo find_maximum_subarray_kadane step 4100: {'start': 0.892578125, 'end': 0.91650390625, 'score': 0.904541015625, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'find_maximum_subarray_kadane'}
