I0715 22:29:15.414802 134048692930048 run.py:722] (val) algo graham_scan step 0: {'in_hull': 0.44968944099378877, 'score': 0.44968944099378877, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
I0715 22:30:47.482754 134048692930048 run.py:722] (val) algo graham_scan step 50: {'in_hull': 0.7136150234741784, 'score': 0.7136150234741784, 'examples_seen': 1549, 'step': 50, 'algorithm': 'graham_scan'}
I0715 22:30:48.710581 134048692930048 run.py:722] (val) algo graham_scan step 100: {'in_hull': 0.5911602209944752, 'score': 0.5911602209944752, 'examples_seen': 3035, 'step': 100, 'algorithm': 'graham_scan'}
I0715 22:30:49.922729 134048692930048 run.py:722] (val) algo graham_scan step 150: {'in_hull': 0.7198007471980075, 'score': 0.7198007471980075, 'examples_seen': 4498, 'step': 150, 'algorithm': 'graham_scan'}
I0715 22:30:51.170345 134048692930048 run.py:722] (val) algo graham_scan step 200: {'in_hull': 0.8260405549626467, 'score': 0.8260405549626467, 'examples_seen': 5976, 'step': 200, 'algorithm': 'graham_scan'}
I0715 22:30:52.426662 134048692930048 run.py:722] (val) algo graham_scan step 250: {'in_hull': 0.8891235480464624, 'score': 0.8891235480464624, 'examples_seen': 7443, 'step': 250, 'algorithm': 'graham_scan'}
I0715 22:30:53.698670 134048692930048 run.py:722] (val) algo graham_scan step 300: {'in_hull': 0.8957915831663326, 'score': 0.8957915831663326, 'examples_seen': 8960, 'step': 300, 'algorithm': 'graham_scan'}
I0715 22:30:54.934188 134048692930048 run.py:722] (val) algo graham_scan step 350: {'in_hull': 0.920940170940171, 'score': 0.920940170940171, 'examples_seen': 10476, 'step': 350, 'algorithm': 'graham_scan'}
I0715 22:30:56.161650 134048692930048 run.py:722] (val) algo graham_scan step 400: {'in_hull': 0.869140625, 'score': 0.869140625, 'examples_seen': 11956, 'step': 400, 'algorithm': 'graham_scan'}
I0715 22:30:57.360786 134048692930048 run.py:722] (val) algo graham_scan step 450: {'in_hull': 0.9303322615219722, 'score': 0.9303322615219722, 'examples_seen': 13446, 'step': 450, 'algorithm': 'graham_scan'}
I0715 22:30:58.595707 134048692930048 run.py:722] (val) algo graham_scan step 500: {'in_hull': 0.9285714285714286, 'score': 0.9285714285714286, 'examples_seen': 14906, 'step': 500, 'algorithm': 'graham_scan'}
I0715 22:30:59.820404 134048692930048 run.py:722] (val) algo graham_scan step 550: {'in_hull': 0.8954248366013072, 'score': 0.8954248366013072, 'examples_seen': 16387, 'step': 550, 'algorithm': 'graham_scan'}
I0715 22:31:01.052465 134048692930048 run.py:722] (val) algo graham_scan step 600: {'in_hull': 0.9482576557550157, 'score': 0.9482576557550157, 'examples_seen': 17849, 'step': 600, 'algorithm': 'graham_scan'}
I0715 22:31:02.280907 134048692930048 run.py:722] (val) algo graham_scan step 650: {'in_hull': 0.9473684210526315, 'score': 0.9473684210526315, 'examples_seen': 19364, 'step': 650, 'algorithm': 'graham_scan'}
I0715 22:31:03.482682 134048692930048 run.py:722] (val) algo graham_scan step 700: {'in_hull': 0.9111338100102144, 'score': 0.9111338100102144, 'examples_seen': 20869, 'step': 700, 'algorithm': 'graham_scan'}
