I0715 23:08:50.652536 130777306789376 run.py:722] (val) algo jarvis_march step 0: {'in_hull': 0.4866023579849946, 'score': 0.4866023579849946, 'examples_seen': 16, 'step': 0, 'algorithm': 'jarvis_march'}
I0715 23:10:06.958697 130777306789376 run.py:722] (val) algo jarvis_march step 50: {'in_hull': 0.7181153533712428, 'score': 0.7181153533712428, 'examples_seen': 582, 'step': 50, 'algorithm': 'jarvis_march'}
I0715 23:10:07.974190 130777306789376 run.py:722] (val) algo jarvis_march step 100: {'in_hull': 0.7683720930232558, 'score': 0.7683720930232558, 'examples_seen': 1131, 'step': 100, 'algorithm': 'jarvis_march'}
I0715 23:10:08.937227 130777306789376 run.py:722] (val) algo jarvis_march step 150: {'in_hull': 0.7510548523206751, 'score': 0.7510548523206751, 'examples_seen': 1695, 'step': 150, 'algorithm': 'jarvis_march'}
I0715 23:10:09.978567 130777306789376 run.py:722] (val) algo jarvis_march step 200: {'in_hull': 0.8213961922030825, 'score': 0.8213961922030825, 'examples_seen': 2243, 'step': 200, 'algorithm': 'jarvis_march'}
I0715 23:10:10.996350 130777306789376 run.py:722] (val) algo jarvis_march step 250: {'in_hull': 0.8244734202607824, 'score': 0.8244734202607824, 'examples_seen': 2810, 'step': 250, 'algorithm': 'jarvis_march'}
I0715 23:10:12.019872 130777306789376 run.py:722] (val) algo jarvis_march step 300: {'in_hull': 0.8815261044176708, 'score': 0.8815261044176708, 'examples_seen': 3410, 'step': 300, 'algorithm': 'jarvis_march'}
I0715 23:10:13.032212 130777306789376 run.py:722] (val) algo jarvis_march step 350: {'in_hull': 0.9059656218402427, 'score': 0.9059656218402427, 'examples_seen': 3991, 'step': 350, 'algorithm': 'jarvis_march'}
I0715 23:10:14.018528 130777306789376 run.py:722] (val) algo jarvis_march step 400: {'in_hull': 0.8661233993015135, 'score': 0.8661233993015135, 'examples_seen': 4548, 'step': 400, 'algorithm': 'jarvis_march'}
I0715 23:10:15.028392 130777306789376 run.py:722] (val) algo jarvis_march step 450: {'in_hull': 0.91118800461361, 'score': 0.91118800461361, 'examples_seen': 5114, 'step': 450, 'algorithm': 'jarvis_march'}
I0715 23:10:16.028709 130777306789376 run.py:722] (val) algo jarvis_march step 500: {'in_hull': 0.8760162601626017, 'score': 0.8760162601626017, 'examples_seen': 5674, 'step': 500, 'algorithm': 'jarvis_march'}
I0715 23:10:17.052562 130777306789376 run.py:722] (val) algo jarvis_march step 550: {'in_hull': 0.9147609147609148, 'score': 0.9147609147609148, 'examples_seen': 6244, 'step': 550, 'algorithm': 'jarvis_march'}
I0715 23:10:18.123195 130777306789376 run.py:722] (val) algo jarvis_march step 600: {'in_hull': 0.9354497354497354, 'score': 0.9354497354497354, 'examples_seen': 6814, 'step': 600, 'algorithm': 'jarvis_march'}
I0715 23:10:19.111779 130777306789376 run.py:722] (val) algo jarvis_march step 650: {'in_hull': 0.9420765027322404, 'score': 0.9420765027322404, 'examples_seen': 7412, 'step': 650, 'algorithm': 'jarvis_march'}
I0715 23:10:20.127719 130777306789376 run.py:722] (val) algo jarvis_march step 700: {'in_hull': 0.9318413021363174, 'score': 0.9318413021363174, 'examples_seen': 7991, 'step': 700, 'algorithm': 'jarvis_march'}
I0715 23:10:21.143870 130777306789376 run.py:722] (val) algo jarvis_march step 750: {'in_hull': 0.9379760609357998, 'score': 0.9379760609357998, 'examples_seen': 8563, 'step': 750, 'algorithm': 'jarvis_march'}
I0715 23:10:22.143664 130777306789376 run.py:722] (val) algo jarvis_march step 800: {'in_hull': 0.9304812834224598, 'score': 0.9304812834224598, 'examples_seen': 9123, 'step': 800, 'algorithm': 'jarvis_march'}
I0715 23:10:23.097350 130777306789376 run.py:722] (val) algo jarvis_march step 850: {'in_hull': 0.93558606124604, 'score': 0.93558606124604, 'examples_seen': 9691, 'step': 850, 'algorithm': 'jarvis_march'}
I0715 23:10:24.110934 130777306789376 run.py:722] (val) algo jarvis_march step 900: {'in_hull': 0.9605122732123799, 'score': 0.9605122732123799, 'examples_seen': 10253, 'step': 900, 'algorithm': 'jarvis_march'}
