I0715 23:14:50.506327 137270677620224 run.py:722] (val) algo kmp_matcher step 0: {'match': 0.032958984375, 'score': 0.032958984375, 'examples_seen': 15, 'step': 0, 'algorithm': 'kmp_matcher'}
I0715 23:14:54.254338 137270677620224 run.py:722] (val) algo kmp_matcher step 50: {'match': 0.14453125, 'score': 0.14453125, 'examples_seen': 850, 'step': 50, 'algorithm': 'kmp_matcher'}
I0715 23:14:57.963978 137270677620224 run.py:722] (val) algo kmp_matcher step 100: {'match': 0.108154296875, 'score': 0.108154296875, 'examples_seen': 1677, 'step': 100, 'algorithm': 'kmp_matcher'}
I0715 23:15:01.665638 137270677620224 run.py:722] (val) algo kmp_matcher step 150: {'match': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 2534, 'step': 150, 'algorithm': 'kmp_matcher'}
I0715 23:15:05.333555 137270677620224 run.py:722] (val) algo kmp_matcher step 200: {'match': 0.1171875, 'score': 0.1171875, 'examples_seen': 3395, 'step': 200, 'algorithm': 'kmp_matcher'}
I0715 23:15:09.014319 137270677620224 run.py:722] (val) algo kmp_matcher step 250: {'match': 0.11572265625, 'score': 0.11572265625, 'examples_seen': 4240, 'step': 250, 'algorithm': 'kmp_matcher'}
I0715 23:15:12.689721 137270677620224 run.py:722] (val) algo kmp_matcher step 300: {'match': 0.11328125, 'score': 0.11328125, 'examples_seen': 5090, 'step': 300, 'algorithm': 'kmp_matcher'}
I0715 23:15:16.356297 137270677620224 run.py:722] (val) algo kmp_matcher step 350: {'match': 0.153076171875, 'score': 0.153076171875, 'examples_seen': 5932, 'step': 350, 'algorithm': 'kmp_matcher'}
I0715 23:15:20.036505 137270677620224 run.py:722] (val) algo kmp_matcher step 400: {'match': 0.389404296875, 'score': 0.389404296875, 'examples_seen': 6763, 'step': 400, 'algorithm': 'kmp_matcher'}
I0715 23:15:23.744504 137270677620224 run.py:722] (val) algo kmp_matcher step 450: {'match': 0.251220703125, 'score': 0.251220703125, 'examples_seen': 7613, 'step': 450, 'algorithm': 'kmp_matcher'}
I0715 23:15:27.416948 137270677620224 run.py:722] (val) algo kmp_matcher step 500: {'match': 0.39013671875, 'score': 0.39013671875, 'examples_seen': 8457, 'step': 500, 'algorithm': 'kmp_matcher'}
I0715 23:15:31.093101 137270677620224 run.py:722] (val) algo kmp_matcher step 550: {'match': 0.392333984375, 'score': 0.392333984375, 'examples_seen': 9277, 'step': 550, 'algorithm': 'kmp_matcher'}
I0715 23:15:34.807775 137270677620224 run.py:722] (val) algo kmp_matcher step 600: {'match': 0.527587890625, 'score': 0.527587890625, 'examples_seen': 10135, 'step': 600, 'algorithm': 'kmp_matcher'}
I0715 23:15:38.527848 137270677620224 run.py:722] (val) algo kmp_matcher step 650: {'match': 0.458251953125, 'score': 0.458251953125, 'examples_seen': 10984, 'step': 650, 'algorithm': 'kmp_matcher'}
I0715 23:15:42.220002 137270677620224 run.py:722] (val) algo kmp_matcher step 700: {'match': 0.65771484375, 'score': 0.65771484375, 'examples_seen': 11832, 'step': 700, 'algorithm': 'kmp_matcher'}
I0715 23:15:45.943437 137270677620224 run.py:722] (val) algo kmp_matcher step 750: {'match': 0.675048828125, 'score': 0.675048828125, 'examples_seen': 12678, 'step': 750, 'algorithm': 'kmp_matcher'}
I0715 23:15:49.657394 137270677620224 run.py:722] (val) algo kmp_matcher step 800: {'match': 0.608154296875, 'score': 0.608154296875, 'examples_seen': 13522, 'step': 800, 'algorithm': 'kmp_matcher'}
I0715 23:15:53.363034 137270677620224 run.py:722] (val) algo kmp_matcher step 850: {'match': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 14360, 'step': 850, 'algorithm': 'kmp_matcher'}
I0715 23:15:57.073827 137270677620224 run.py:722] (val) algo kmp_matcher step 900: {'match': 0.78125, 'score': 0.78125, 'examples_seen': 15200, 'step': 900, 'algorithm': 'kmp_matcher'}
I0715 23:16:00.760012 137270677620224 run.py:722] (val) algo kmp_matcher step 950: {'match': 0.71826171875, 'score': 0.71826171875, 'examples_seen': 16031, 'step': 950, 'algorithm': 'kmp_matcher'}
I0715 23:16:04.454015 137270677620224 run.py:722] (val) algo kmp_matcher step 1000: {'match': 0.829833984375, 'score': 0.829833984375, 'examples_seen': 16877, 'step': 1000, 'algorithm': 'kmp_matcher'}
I0715 23:16:08.163313 137270677620224 run.py:722] (val) algo kmp_matcher step 1050: {'match': 0.732421875, 'score': 0.732421875, 'examples_seen': 17719, 'step': 1050, 'algorithm': 'kmp_matcher'}
I0715 23:16:11.845172 137270677620224 run.py:722] (val) algo kmp_matcher step 1100: {'match': 0.81787109375, 'score': 0.81787109375, 'examples_seen': 18561, 'step': 1100, 'algorithm': 'kmp_matcher'}
I0715 23:16:15.518759 137270677620224 run.py:722] (val) algo kmp_matcher step 1150: {'match': 0.86083984375, 'score': 0.86083984375, 'examples_seen': 19420, 'step': 1150, 'algorithm': 'kmp_matcher'}
I0715 23:16:19.238863 137270677620224 run.py:722] (val) algo kmp_matcher step 1200: {'match': 0.794189453125, 'score': 0.794189453125, 'examples_seen': 20257, 'step': 1200, 'algorithm': 'kmp_matcher'}
I0715 23:16:22.941234 137270677620224 run.py:722] (val) algo kmp_matcher step 1250: {'match': 0.86669921875, 'score': 0.86669921875, 'examples_seen': 21105, 'step': 1250, 'algorithm': 'kmp_matcher'}
I0715 23:16:26.775816 137270677620224 run.py:722] (val) algo kmp_matcher step 1300: {'match': 0.872314453125, 'score': 0.872314453125, 'examples_seen': 21944, 'step': 1300, 'algorithm': 'kmp_matcher'}
I0715 23:16:30.495826 137270677620224 run.py:722] (val) algo kmp_matcher step 1350: {'match': 0.86279296875, 'score': 0.86279296875, 'examples_seen': 22800, 'step': 1350, 'algorithm': 'kmp_matcher'}
I0715 23:16:34.230975 137270677620224 run.py:722] (val) algo kmp_matcher step 1400: {'match': 0.962646484375, 'score': 0.962646484375, 'examples_seen': 23642, 'step': 1400, 'algorithm': 'kmp_matcher'}
I0715 23:16:37.958790 137270677620224 run.py:722] (val) algo kmp_matcher step 1450: {'match': 0.888671875, 'score': 0.888671875, 'examples_seen': 24494, 'step': 1450, 'algorithm': 'kmp_matcher'}
I0715 23:16:41.663800 137270677620224 run.py:722] (val) algo kmp_matcher step 1500: {'match': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 25334, 'step': 1500, 'algorithm': 'kmp_matcher'}
I0715 23:16:45.386442 137270677620224 run.py:722] (val) algo kmp_matcher step 1550: {'match': 0.91796875, 'score': 0.91796875, 'examples_seen': 26173, 'step': 1550, 'algorithm': 'kmp_matcher'}
I0715 23:16:49.097083 137270677620224 run.py:722] (val) algo kmp_matcher step 1600: {'match': 0.891845703125, 'score': 0.891845703125, 'examples_seen': 27021, 'step': 1600, 'algorithm': 'kmp_matcher'}
I0715 23:16:52.803961 137270677620224 run.py:722] (val) algo kmp_matcher step 1650: {'match': 0.8837890625, 'score': 0.8837890625, 'examples_seen': 27864, 'step': 1650, 'algorithm': 'kmp_matcher'}
I0715 23:16:56.537003 137270677620224 run.py:722] (val) algo kmp_matcher step 1700: {'match': 0.88720703125, 'score': 0.88720703125, 'examples_seen': 28701, 'step': 1700, 'algorithm': 'kmp_matcher'}
I0715 23:17:00.235872 137270677620224 run.py:722] (val) algo kmp_matcher step 1750: {'match': 0.911865234375, 'score': 0.911865234375, 'examples_seen': 29542, 'step': 1750, 'algorithm': 'kmp_matcher'}
I0715 23:17:03.971084 137270677620224 run.py:722] (val) algo kmp_matcher step 1800: {'match': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 30375, 'step': 1800, 'algorithm': 'kmp_matcher'}
I0715 23:17:07.681543 137270677620224 run.py:722] (val) algo kmp_matcher step 1850: {'match': 0.964599609375, 'score': 0.964599609375, 'examples_seen': 31226, 'step': 1850, 'algorithm': 'kmp_matcher'}
I0715 23:17:11.418750 137270677620224 run.py:722] (val) algo kmp_matcher step 1900: {'match': 0.951416015625, 'score': 0.951416015625, 'examples_seen': 32069, 'step': 1900, 'algorithm': 'kmp_matcher'}
I0715 23:17:15.108633 137270677620224 run.py:722] (val) algo kmp_matcher step 1950: {'match': 0.905029296875, 'score': 0.905029296875, 'examples_seen': 32914, 'step': 1950, 'algorithm': 'kmp_matcher'}
I0715 23:17:18.794849 137270677620224 run.py:722] (val) algo kmp_matcher step 2000: {'match': 0.921142578125, 'score': 0.921142578125, 'examples_seen': 33752, 'step': 2000, 'algorithm': 'kmp_matcher'}
I0715 23:17:22.509046 137270677620224 run.py:722] (val) algo kmp_matcher step 2050: {'match': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 34598, 'step': 2050, 'algorithm': 'kmp_matcher'}
I0715 23:17:26.224474 137270677620224 run.py:722] (val) algo kmp_matcher step 2100: {'match': 0.926025390625, 'score': 0.926025390625, 'examples_seen': 35446, 'step': 2100, 'algorithm': 'kmp_matcher'}
I0715 23:17:29.943898 137270677620224 run.py:722] (val) algo kmp_matcher step 2150: {'match': 0.970458984375, 'score': 0.970458984375, 'examples_seen': 36280, 'step': 2150, 'algorithm': 'kmp_matcher'}
I0715 23:17:33.665939 137270677620224 run.py:722] (val) algo kmp_matcher step 2200: {'match': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 37130, 'step': 2200, 'algorithm': 'kmp_matcher'}
I0715 23:17:37.377598 137270677620224 run.py:722] (val) algo kmp_matcher step 2250: {'match': 0.93359375, 'score': 0.93359375, 'examples_seen': 37970, 'step': 2250, 'algorithm': 'kmp_matcher'}
I0715 23:17:41.087961 137270677620224 run.py:722] (val) algo kmp_matcher step 2300: {'match': 0.960693359375, 'score': 0.960693359375, 'examples_seen': 38807, 'step': 2300, 'algorithm': 'kmp_matcher'}
I0715 23:17:44.793697 137270677620224 run.py:722] (val) algo kmp_matcher step 2350: {'match': 0.945556640625, 'score': 0.945556640625, 'examples_seen': 39662, 'step': 2350, 'algorithm': 'kmp_matcher'}
I0715 23:17:48.509606 137270677620224 run.py:722] (val) algo kmp_matcher step 2400: {'match': 0.966796875, 'score': 0.966796875, 'examples_seen': 40496, 'step': 2400, 'algorithm': 'kmp_matcher'}
I0715 23:17:52.222086 137270677620224 run.py:722] (val) algo kmp_matcher step 2450: {'match': 0.96142578125, 'score': 0.96142578125, 'examples_seen': 41335, 'step': 2450, 'algorithm': 'kmp_matcher'}
I0715 23:17:55.935745 137270677620224 run.py:722] (val) algo kmp_matcher step 2500: {'match': 0.961181640625, 'score': 0.961181640625, 'examples_seen': 42168, 'step': 2500, 'algorithm': 'kmp_matcher'}
I0715 23:17:59.644428 137270677620224 run.py:722] (val) algo kmp_matcher step 2550: {'match': 0.849365234375, 'score': 0.849365234375, 'examples_seen': 43016, 'step': 2550, 'algorithm': 'kmp_matcher'}
I0715 23:18:03.346425 137270677620224 run.py:722] (val) algo kmp_matcher step 2600: {'match': 0.92333984375, 'score': 0.92333984375, 'examples_seen': 43857, 'step': 2600, 'algorithm': 'kmp_matcher'}
I0715 23:18:07.072211 137270677620224 run.py:722] (val) algo kmp_matcher step 2650: {'match': 0.955322265625, 'score': 0.955322265625, 'examples_seen': 44700, 'step': 2650, 'algorithm': 'kmp_matcher'}
I0715 23:18:10.782360 137270677620224 run.py:722] (val) algo kmp_matcher step 2700: {'match': 0.83935546875, 'score': 0.83935546875, 'examples_seen': 45549, 'step': 2700, 'algorithm': 'kmp_matcher'}
I0715 23:18:14.487112 137270677620224 run.py:722] (val) algo kmp_matcher step 2750: {'match': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 46395, 'step': 2750, 'algorithm': 'kmp_matcher'}
I0715 23:18:18.195081 137270677620224 run.py:722] (val) algo kmp_matcher step 2800: {'match': 0.953369140625, 'score': 0.953369140625, 'examples_seen': 47240, 'step': 2800, 'algorithm': 'kmp_matcher'}
I0715 23:18:21.894972 137270677620224 run.py:722] (val) algo kmp_matcher step 2850: {'match': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 48079, 'step': 2850, 'algorithm': 'kmp_matcher'}
I0715 23:18:25.604912 137270677620224 run.py:722] (val) algo kmp_matcher step 2900: {'match': 0.924072265625, 'score': 0.924072265625, 'examples_seen': 48930, 'step': 2900, 'algorithm': 'kmp_matcher'}
I0715 23:18:29.316607 137270677620224 run.py:722] (val) algo kmp_matcher step 2950: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 49769, 'step': 2950, 'algorithm': 'kmp_matcher'}
I0715 23:18:33.068810 137270677620224 run.py:722] (val) algo kmp_matcher step 3000: {'match': 0.967041015625, 'score': 0.967041015625, 'examples_seen': 50618, 'step': 3000, 'algorithm': 'kmp_matcher'}
I0715 23:18:36.772424 137270677620224 run.py:722] (val) algo kmp_matcher step 3050: {'match': 0.938232421875, 'score': 0.938232421875, 'examples_seen': 51445, 'step': 3050, 'algorithm': 'kmp_matcher'}
I0715 23:18:40.493242 137270677620224 run.py:722] (val) algo kmp_matcher step 3100: {'match': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 52292, 'step': 3100, 'algorithm': 'kmp_matcher'}
I0715 23:18:44.226262 137270677620224 run.py:722] (val) algo kmp_matcher step 3150: {'match': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 53143, 'step': 3150, 'algorithm': 'kmp_matcher'}
I0715 23:18:47.940702 137270677620224 run.py:722] (val) algo kmp_matcher step 3200: {'match': 0.96337890625, 'score': 0.96337890625, 'examples_seen': 53984, 'step': 3200, 'algorithm': 'kmp_matcher'}
I0715 23:18:51.649281 137270677620224 run.py:722] (val) algo kmp_matcher step 3250: {'match': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 54836, 'step': 3250, 'algorithm': 'kmp_matcher'}
I0715 23:18:55.357266 137270677620224 run.py:722] (val) algo kmp_matcher step 3300: {'match': 0.94287109375, 'score': 0.94287109375, 'examples_seen': 55677, 'step': 3300, 'algorithm': 'kmp_matcher'}
I0715 23:18:59.059851 137270677620224 run.py:722] (val) algo kmp_matcher step 3350: {'match': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 56525, 'step': 3350, 'algorithm': 'kmp_matcher'}
I0715 23:19:02.757282 137270677620224 run.py:722] (val) algo kmp_matcher step 3400: {'match': 0.928955078125, 'score': 0.928955078125, 'examples_seen': 57384, 'step': 3400, 'algorithm': 'kmp_matcher'}
I0715 23:19:06.481978 137270677620224 run.py:722] (val) algo kmp_matcher step 3450: {'match': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 58253, 'step': 3450, 'algorithm': 'kmp_matcher'}
I0715 23:19:10.195187 137270677620224 run.py:722] (val) algo kmp_matcher step 3500: {'match': 0.907470703125, 'score': 0.907470703125, 'examples_seen': 59103, 'step': 3500, 'algorithm': 'kmp_matcher'}
I0715 23:19:13.922993 137270677620224 run.py:722] (val) algo kmp_matcher step 3550: {'match': 0.941650390625, 'score': 0.941650390625, 'examples_seen': 59943, 'step': 3550, 'algorithm': 'kmp_matcher'}
I0715 23:19:17.631352 137270677620224 run.py:722] (val) algo kmp_matcher step 3600: {'match': 0.953857421875, 'score': 0.953857421875, 'examples_seen': 60789, 'step': 3600, 'algorithm': 'kmp_matcher'}
I0715 23:19:21.329642 137270677620224 run.py:722] (val) algo kmp_matcher step 3650: {'match': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 61627, 'step': 3650, 'algorithm': 'kmp_matcher'}
I0715 23:19:25.031292 137270677620224 run.py:722] (val) algo kmp_matcher step 3700: {'match': 0.95751953125, 'score': 0.95751953125, 'examples_seen': 62469, 'step': 3700, 'algorithm': 'kmp_matcher'}
I0715 23:19:28.735703 137270677620224 run.py:722] (val) algo kmp_matcher step 3750: {'match': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 63306, 'step': 3750, 'algorithm': 'kmp_matcher'}
I0715 23:19:32.441920 137270677620224 run.py:722] (val) algo kmp_matcher step 3800: {'match': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 64149, 'step': 3800, 'algorithm': 'kmp_matcher'}
I0715 23:19:36.151128 137270677620224 run.py:722] (val) algo kmp_matcher step 3850: {'match': 0.84521484375, 'score': 0.84521484375, 'examples_seen': 65000, 'step': 3850, 'algorithm': 'kmp_matcher'}
I0715 23:19:39.850250 137270677620224 run.py:722] (val) algo kmp_matcher step 3900: {'match': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 65853, 'step': 3900, 'algorithm': 'kmp_matcher'}
