I0715 23:43:00.056048 135181243684352 run.py:722] (val) algo matrix_chain_order step 0: {'s': 0.16259765625, 'score': 0.16259765625, 'examples_seen': 128, 'step': 0, 'algorithm': 'matrix_chain_order'}
I0715 23:44:33.659050 135181243684352 run.py:722] (val) algo matrix_chain_order step 50: {'s': 0.66790771484375, 'score': 0.66790771484375, 'examples_seen': 4218, 'step': 50, 'algorithm': 'matrix_chain_order'}
I0715 23:44:37.555495 135181243684352 run.py:722] (val) algo matrix_chain_order step 100: {'s': 0.72796630859375, 'score': 0.72796630859375, 'examples_seen': 8294, 'step': 100, 'algorithm': 'matrix_chain_order'}
I0715 23:44:41.411463 135181243684352 run.py:722] (val) algo matrix_chain_order step 150: {'s': 0.798095703125, 'score': 0.798095703125, 'examples_seen': 12355, 'step': 150, 'algorithm': 'matrix_chain_order'}
I0715 23:44:45.114146 135181243684352 run.py:722] (val) algo matrix_chain_order step 200: {'s': 0.82147216796875, 'score': 0.82147216796875, 'examples_seen': 16408, 'step': 200, 'algorithm': 'matrix_chain_order'}
I0715 23:44:49.205107 135181243684352 run.py:722] (val) algo matrix_chain_order step 250: {'s': 0.85650634765625, 'score': 0.85650634765625, 'examples_seen': 20456, 'step': 250, 'algorithm': 'matrix_chain_order'}
I0715 23:44:52.869016 135181243684352 run.py:722] (val) algo matrix_chain_order step 300: {'s': 0.8607177734375, 'score': 0.8607177734375, 'examples_seen': 24737, 'step': 300, 'algorithm': 'matrix_chain_order'}
I0715 23:44:56.678289 135181243684352 run.py:722] (val) algo matrix_chain_order step 350: {'s': 0.86199951171875, 'score': 0.86199951171875, 'examples_seen': 28894, 'step': 350, 'algorithm': 'matrix_chain_order'}
I0715 23:45:00.633379 135181243684352 run.py:722] (val) algo matrix_chain_order step 400: {'s': 0.879638671875, 'score': 0.879638671875, 'examples_seen': 32991, 'step': 400, 'algorithm': 'matrix_chain_order'}
I0715 23:45:04.350353 135181243684352 run.py:722] (val) algo matrix_chain_order step 450: {'s': 0.90966796875, 'score': 0.90966796875, 'examples_seen': 37073, 'step': 450, 'algorithm': 'matrix_chain_order'}
I0715 23:45:08.200788 135181243684352 run.py:722] (val) algo matrix_chain_order step 500: {'s': 0.9034423828125, 'score': 0.9034423828125, 'examples_seen': 41130, 'step': 500, 'algorithm': 'matrix_chain_order'}
I0715 23:45:12.162703 135181243684352 run.py:722] (val) algo matrix_chain_order step 550: {'s': 0.9022216796875, 'score': 0.9022216796875, 'examples_seen': 45165, 'step': 550, 'algorithm': 'matrix_chain_order'}
I0715 23:45:16.102312 135181243684352 run.py:722] (val) algo matrix_chain_order step 600: {'s': 0.91510009765625, 'score': 0.91510009765625, 'examples_seen': 49209, 'step': 600, 'algorithm': 'matrix_chain_order'}
I0715 23:45:19.739875 135181243684352 run.py:722] (val) algo matrix_chain_order step 650: {'s': 0.9068603515625, 'score': 0.9068603515625, 'examples_seen': 53487, 'step': 650, 'algorithm': 'matrix_chain_order'}
I0715 23:45:23.458197 135181243684352 run.py:722] (val) algo matrix_chain_order step 700: {'s': 0.904541015625, 'score': 0.904541015625, 'examples_seen': 57638, 'step': 700, 'algorithm': 'matrix_chain_order'}
I0715 23:45:27.242196 135181243684352 run.py:722] (val) algo matrix_chain_order step 750: {'s': 0.92926025390625, 'score': 0.92926025390625, 'examples_seen': 61733, 'step': 750, 'algorithm': 'matrix_chain_order'}
I0715 23:45:30.852291 135181243684352 run.py:722] (val) algo matrix_chain_order step 800: {'s': 0.93414306640625, 'score': 0.93414306640625, 'examples_seen': 65801, 'step': 800, 'algorithm': 'matrix_chain_order'}
I0715 23:45:34.554422 135181243684352 run.py:722] (val) algo matrix_chain_order step 850: {'s': 0.92193603515625, 'score': 0.92193603515625, 'examples_seen': 69859, 'step': 850, 'algorithm': 'matrix_chain_order'}
I0715 23:45:38.408334 135181243684352 run.py:722] (val) algo matrix_chain_order step 900: {'s': 0.9410400390625, 'score': 0.9410400390625, 'examples_seen': 73922, 'step': 900, 'algorithm': 'matrix_chain_order'}
I0715 23:45:42.419919 135181243684352 run.py:722] (val) algo matrix_chain_order step 950: {'s': 0.9493408203125, 'score': 0.9493408203125, 'examples_seen': 77968, 'step': 950, 'algorithm': 'matrix_chain_order'}
I0715 23:45:46.028876 135181243684352 run.py:722] (val) algo matrix_chain_order step 1000: {'s': 0.9439697265625, 'score': 0.9439697265625, 'examples_seen': 82246, 'step': 1000, 'algorithm': 'matrix_chain_order'}
I0715 23:45:49.647614 135181243684352 run.py:722] (val) algo matrix_chain_order step 1050: {'s': 0.955322265625, 'score': 0.955322265625, 'examples_seen': 86410, 'step': 1050, 'algorithm': 'matrix_chain_order'}
I0715 23:45:53.257080 135181243684352 run.py:722] (val) algo matrix_chain_order step 1100: {'s': 0.9609375, 'score': 0.9609375, 'examples_seen': 90511, 'step': 1100, 'algorithm': 'matrix_chain_order'}
I0715 23:45:56.994431 135181243684352 run.py:722] (val) algo matrix_chain_order step 1150: {'s': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 94587, 'step': 1150, 'algorithm': 'matrix_chain_order'}
I0715 23:46:00.714674 135181243684352 run.py:722] (val) algo matrix_chain_order step 1200: {'s': 0.9622802734375, 'score': 0.9622802734375, 'examples_seen': 98650, 'step': 1200, 'algorithm': 'matrix_chain_order'}
I0715 23:46:04.694158 135181243684352 run.py:722] (val) algo matrix_chain_order step 1250: {'s': 0.95819091796875, 'score': 0.95819091796875, 'examples_seen': 102701, 'step': 1250, 'algorithm': 'matrix_chain_order'}
I0715 23:46:08.496357 135181243684352 run.py:722] (val) algo matrix_chain_order step 1300: {'s': 0.96484375, 'score': 0.96484375, 'examples_seen': 106754, 'step': 1300, 'algorithm': 'matrix_chain_order'}
