{'in_mst': 0.3429852419204184, 'score': 0.3429852419204184, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6155218554861731, 'score': 0.6155218554861731, 'examples_seen': 4391, 'step': 50, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5642432556012803, 'score': 0.5642432556012803, 'examples_seen': 8479, 'step': 100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5130260521042084, 'score': 0.5130260521042084, 'examples_seen': 12607, 'step': 150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5798270893371757, 'score': 0.5798270893371757, 'examples_seen': 16654, 'step': 200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5407011289364231, 'score': 0.5407011289364231, 'examples_seen': 20657, 'step': 250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6792452830188679, 'score': 0.6792452830188679, 'examples_seen': 24913, 'step': 300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.553211009174312, 'score': 0.553211009174312, 'examples_seen': 29115, 'step': 350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6039856923863055, 'score': 0.6039856923863055, 'examples_seen': 33291, 'step': 400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5665280665280664, 'score': 0.5665280665280664, 'examples_seen': 37323, 'step': 450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6, 'score': 0.6, 'examples_seen': 41441, 'step': 500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5600448933782268, 'score': 0.5600448933782268, 'examples_seen': 45561, 'step': 550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6351851851851852, 'score': 0.6351851851851852, 'examples_seen': 49670, 'step': 600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5759113982464237, 'score': 0.5759113982464237, 'examples_seen': 53982, 'step': 650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6231707317073171, 'score': 0.6231707317073171, 'examples_seen': 58197, 'step': 700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6194594594594596, 'score': 0.6194594594594596, 'examples_seen': 62281, 'step': 750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5338120885697187, 'score': 0.5338120885697187, 'examples_seen': 66331, 'step': 800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6680277664352798, 'score': 0.6680277664352798, 'examples_seen': 70296, 'step': 850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6371115173674587, 'score': 0.6371115173674587, 'examples_seen': 74389, 'step': 900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6753371868978806, 'score': 0.6753371868978806, 'examples_seen': 78478, 'step': 950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6149553571428571, 'score': 0.6149553571428571, 'examples_seen': 82731, 'step': 1000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.44473007712082263, 'score': 0.44473007712082263, 'examples_seen': 86984, 'step': 1050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5445026178010471, 'score': 0.5445026178010471, 'examples_seen': 91118, 'step': 1100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6860236220472441, 'score': 0.6860236220472441, 'examples_seen': 95345, 'step': 1150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6918976545842217, 'score': 0.6918976545842217, 'examples_seen': 99323, 'step': 1200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.5862279098110909, 'score': 0.5862279098110909, 'examples_seen': 103404, 'step': 1250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6847662141779789, 'score': 0.6847662141779789, 'examples_seen': 107531, 'step': 1300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6625829504849413, 'score': 0.6625829504849413, 'examples_seen': 111837, 'step': 1350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.641408751334045, 'score': 0.641408751334045, 'examples_seen': 116034, 'step': 1400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6218097447795823, 'score': 0.6218097447795823, 'examples_seen': 120162, 'step': 1450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7210424710424711, 'score': 0.7210424710424711, 'examples_seen': 124318, 'step': 1500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.676056338028169, 'score': 0.676056338028169, 'examples_seen': 128428, 'step': 1550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6210762331838565, 'score': 0.6210762331838565, 'examples_seen': 132489, 'step': 1600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6017076845806129, 'score': 0.6017076845806129, 'examples_seen': 136542, 'step': 1650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7108366086468276, 'score': 0.7108366086468276, 'examples_seen': 140866, 'step': 1700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.6971428571428572, 'score': 0.6971428571428572, 'examples_seen': 145068, 'step': 1750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7213530655391119, 'score': 0.7213530655391119, 'examples_seen': 149195, 'step': 1800, 'algorithm': 'mst_kruskal'}
