I0716 00:30:14.799217 136599232906752 run.py:722] (val) algo naive_string_matcher step 0: {'match': 0.042724609375, 'score': 0.042724609375, 'examples_seen': 26, 'step': 0, 'algorithm': 'naive_string_matcher'}
I0716 00:30:16.836502 136599232906752 run.py:722] (val) algo naive_string_matcher step 50: {'match': 0.314697265625, 'score': 0.314697265625, 'examples_seen': 1160, 'step': 50, 'algorithm': 'naive_string_matcher'}
I0716 00:30:18.867346 136599232906752 run.py:722] (val) algo naive_string_matcher step 100: {'match': 0.34716796875, 'score': 0.34716796875, 'examples_seen': 2312, 'step': 100, 'algorithm': 'naive_string_matcher'}
I0716 00:30:20.867471 136599232906752 run.py:722] (val) algo naive_string_matcher step 150: {'match': 0.417236328125, 'score': 0.417236328125, 'examples_seen': 3487, 'step': 150, 'algorithm': 'naive_string_matcher'}
I0716 00:30:22.889411 136599232906752 run.py:722] (val) algo naive_string_matcher step 200: {'match': 0.62744140625, 'score': 0.62744140625, 'examples_seen': 4640, 'step': 200, 'algorithm': 'naive_string_matcher'}
I0716 00:30:24.882452 136599232906752 run.py:722] (val) algo naive_string_matcher step 250: {'match': 0.772705078125, 'score': 0.772705078125, 'examples_seen': 5786, 'step': 250, 'algorithm': 'naive_string_matcher'}
I0716 00:30:26.886090 136599232906752 run.py:722] (val) algo naive_string_matcher step 300: {'match': 0.5234375, 'score': 0.5234375, 'examples_seen': 6929, 'step': 300, 'algorithm': 'naive_string_matcher'}
I0716 00:30:28.897397 136599232906752 run.py:722] (val) algo naive_string_matcher step 350: {'match': 0.643798828125, 'score': 0.643798828125, 'examples_seen': 8076, 'step': 350, 'algorithm': 'naive_string_matcher'}
I0716 00:30:30.896831 136599232906752 run.py:722] (val) algo naive_string_matcher step 400: {'match': 0.74755859375, 'score': 0.74755859375, 'examples_seen': 9200, 'step': 400, 'algorithm': 'naive_string_matcher'}
I0716 00:30:32.907968 136599232906752 run.py:722] (val) algo naive_string_matcher step 450: {'match': 0.63232421875, 'score': 0.63232421875, 'examples_seen': 10369, 'step': 450, 'algorithm': 'naive_string_matcher'}
I0716 00:30:34.919293 136599232906752 run.py:722] (val) algo naive_string_matcher step 500: {'match': 0.713623046875, 'score': 0.713623046875, 'examples_seen': 11534, 'step': 500, 'algorithm': 'naive_string_matcher'}
I0716 00:30:36.899204 136599232906752 run.py:722] (val) algo naive_string_matcher step 550: {'match': 0.724609375, 'score': 0.724609375, 'examples_seen': 12683, 'step': 550, 'algorithm': 'naive_string_matcher'}
I0716 00:30:38.883079 136599232906752 run.py:722] (val) algo naive_string_matcher step 600: {'match': 0.638427734375, 'score': 0.638427734375, 'examples_seen': 13822, 'step': 600, 'algorithm': 'naive_string_matcher'}
I0716 00:30:40.849141 136599232906752 run.py:722] (val) algo naive_string_matcher step 650: {'match': 0.75390625, 'score': 0.75390625, 'examples_seen': 14973, 'step': 650, 'algorithm': 'naive_string_matcher'}
I0716 00:30:42.906066 136599232906752 run.py:722] (val) algo naive_string_matcher step 700: {'match': 0.664794921875, 'score': 0.664794921875, 'examples_seen': 16105, 'step': 700, 'algorithm': 'naive_string_matcher'}
I0716 00:30:44.953040 136599232906752 run.py:722] (val) algo naive_string_matcher step 750: {'match': 0.867919921875, 'score': 0.867919921875, 'examples_seen': 17243, 'step': 750, 'algorithm': 'naive_string_matcher'}
I0716 00:30:46.983432 136599232906752 run.py:722] (val) algo naive_string_matcher step 800: {'match': 0.887451171875, 'score': 0.887451171875, 'examples_seen': 18396, 'step': 800, 'algorithm': 'naive_string_matcher'}
I0716 00:30:49.019303 136599232906752 run.py:722] (val) algo naive_string_matcher step 850: {'match': 0.892822265625, 'score': 0.892822265625, 'examples_seen': 19560, 'step': 850, 'algorithm': 'naive_string_matcher'}
I0716 00:30:51.015764 136599232906752 run.py:722] (val) algo naive_string_matcher step 900: {'match': 0.937744140625, 'score': 0.937744140625, 'examples_seen': 20700, 'step': 900, 'algorithm': 'naive_string_matcher'}
I0716 00:30:53.025673 136599232906752 run.py:722] (val) algo naive_string_matcher step 950: {'match': 0.845458984375, 'score': 0.845458984375, 'examples_seen': 21853, 'step': 950, 'algorithm': 'naive_string_matcher'}
I0716 00:30:55.011139 136599232906752 run.py:722] (val) algo naive_string_matcher step 1000: {'match': 0.938232421875, 'score': 0.938232421875, 'examples_seen': 23016, 'step': 1000, 'algorithm': 'naive_string_matcher'}
I0716 00:30:57.036615 136599232906752 run.py:722] (val) algo naive_string_matcher step 1050: {'match': 0.90673828125, 'score': 0.90673828125, 'examples_seen': 24157, 'step': 1050, 'algorithm': 'naive_string_matcher'}
I0716 00:30:59.020641 136599232906752 run.py:722] (val) algo naive_string_matcher step 1100: {'match': 0.92919921875, 'score': 0.92919921875, 'examples_seen': 25307, 'step': 1100, 'algorithm': 'naive_string_matcher'}
I0716 00:31:01.035710 136599232906752 run.py:722] (val) algo naive_string_matcher step 1150: {'match': 0.971435546875, 'score': 0.971435546875, 'examples_seen': 26449, 'step': 1150, 'algorithm': 'naive_string_matcher'}
I0716 00:31:03.053232 136599232906752 run.py:722] (val) algo naive_string_matcher step 1200: {'match': 0.953857421875, 'score': 0.953857421875, 'examples_seen': 27616, 'step': 1200, 'algorithm': 'naive_string_matcher'}
I0716 00:31:05.055717 136599232906752 run.py:722] (val) algo naive_string_matcher step 1250: {'match': 0.91162109375, 'score': 0.91162109375, 'examples_seen': 28765, 'step': 1250, 'algorithm': 'naive_string_matcher'}
I0716 00:31:07.083668 136599232906752 run.py:722] (val) algo naive_string_matcher step 1300: {'match': 0.920654296875, 'score': 0.920654296875, 'examples_seen': 29892, 'step': 1300, 'algorithm': 'naive_string_matcher'}
I0716 00:31:09.077010 136599232906752 run.py:722] (val) algo naive_string_matcher step 1350: {'match': 0.8203125, 'score': 0.8203125, 'examples_seen': 31054, 'step': 1350, 'algorithm': 'naive_string_matcher'}
I0716 00:31:11.074849 136599232906752 run.py:722] (val) algo naive_string_matcher step 1400: {'match': 0.878662109375, 'score': 0.878662109375, 'examples_seen': 32189, 'step': 1400, 'algorithm': 'naive_string_matcher'}
I0716 00:31:13.083606 136599232906752 run.py:722] (val) algo naive_string_matcher step 1450: {'match': 0.906494140625, 'score': 0.906494140625, 'examples_seen': 33357, 'step': 1450, 'algorithm': 'naive_string_matcher'}
I0716 00:31:15.103797 136599232906752 run.py:722] (val) algo naive_string_matcher step 1500: {'match': 0.9013671875, 'score': 0.9013671875, 'examples_seen': 34484, 'step': 1500, 'algorithm': 'naive_string_matcher'}
I0716 00:31:17.092383 136599232906752 run.py:722] (val) algo naive_string_matcher step 1550: {'match': 0.941650390625, 'score': 0.941650390625, 'examples_seen': 35639, 'step': 1550, 'algorithm': 'naive_string_matcher'}
I0716 00:31:19.095021 136599232906752 run.py:722] (val) algo naive_string_matcher step 1600: {'match': 0.891357421875, 'score': 0.891357421875, 'examples_seen': 36789, 'step': 1600, 'algorithm': 'naive_string_matcher'}
I0716 00:31:21.091820 136599232906752 run.py:722] (val) algo naive_string_matcher step 1650: {'match': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 37934, 'step': 1650, 'algorithm': 'naive_string_matcher'}
I0716 00:31:23.088322 136599232906752 run.py:722] (val) algo naive_string_matcher step 1700: {'match': 0.971435546875, 'score': 0.971435546875, 'examples_seen': 39077, 'step': 1700, 'algorithm': 'naive_string_matcher'}
I0716 00:31:25.113238 136599232906752 run.py:722] (val) algo naive_string_matcher step 1750: {'match': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 40229, 'step': 1750, 'algorithm': 'naive_string_matcher'}
I0716 00:31:27.103647 136599232906752 run.py:722] (val) algo naive_string_matcher step 1800: {'match': 0.98046875, 'score': 0.98046875, 'examples_seen': 41362, 'step': 1800, 'algorithm': 'naive_string_matcher'}
I0716 00:31:29.185812 136599232906752 run.py:722] (val) algo naive_string_matcher step 1850: {'match': 0.95703125, 'score': 0.95703125, 'examples_seen': 42500, 'step': 1850, 'algorithm': 'naive_string_matcher'}
I0716 00:31:31.166451 136599232906752 run.py:722] (val) algo naive_string_matcher step 1900: {'match': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 43646, 'step': 1900, 'algorithm': 'naive_string_matcher'}
