I0716 00:52:02.858137 134993160320512 run.py:722] (val) algo quickselect step 0: {'median': 0.025146484375, 'score': 0.025146484375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
I0716 00:53:41.776847 134993160320512 run.py:722] (val) algo quickselect step 50: {'median': 0.11279296875, 'score': 0.11279296875, 'examples_seen': 1653, 'step': 50, 'algorithm': 'quickselect'}
I0716 00:53:50.682568 134993160320512 run.py:722] (val) algo quickselect step 100: {'median': 0.1025390625, 'score': 0.1025390625, 'examples_seen': 3277, 'step': 100, 'algorithm': 'quickselect'}
I0716 00:53:59.564843 134993160320512 run.py:722] (val) algo quickselect step 150: {'median': 0.10205078125, 'score': 0.10205078125, 'examples_seen': 4881, 'step': 150, 'algorithm': 'quickselect'}
I0716 00:54:08.396301 134993160320512 run.py:722] (val) algo quickselect step 200: {'median': 0.179443359375, 'score': 0.179443359375, 'examples_seen': 6472, 'step': 200, 'algorithm': 'quickselect'}
I0716 00:54:17.232994 134993160320512 run.py:722] (val) algo quickselect step 250: {'median': 0.12158203125, 'score': 0.12158203125, 'examples_seen': 8061, 'step': 250, 'algorithm': 'quickselect'}
I0716 00:54:26.063952 134993160320512 run.py:722] (val) algo quickselect step 300: {'median': 0.187255859375, 'score': 0.187255859375, 'examples_seen': 9734, 'step': 300, 'algorithm': 'quickselect'}
I0716 00:54:35.198746 134993160320512 run.py:722] (val) algo quickselect step 350: {'median': 0.154052734375, 'score': 0.154052734375, 'examples_seen': 11367, 'step': 350, 'algorithm': 'quickselect'}
I0716 00:54:44.003146 134993160320512 run.py:722] (val) algo quickselect step 400: {'median': 0.175048828125, 'score': 0.175048828125, 'examples_seen': 12963, 'step': 400, 'algorithm': 'quickselect'}
I0716 00:54:52.804749 134993160320512 run.py:722] (val) algo quickselect step 450: {'median': 0.19482421875, 'score': 0.19482421875, 'examples_seen': 14543, 'step': 450, 'algorithm': 'quickselect'}
I0716 00:55:01.646606 134993160320512 run.py:722] (val) algo quickselect step 500: {'median': 0.206298828125, 'score': 0.206298828125, 'examples_seen': 16145, 'step': 500, 'algorithm': 'quickselect'}
I0716 00:55:10.485298 134993160320512 run.py:722] (val) algo quickselect step 550: {'median': 0.204345703125, 'score': 0.204345703125, 'examples_seen': 17728, 'step': 550, 'algorithm': 'quickselect'}
I0716 00:55:19.387040 134993160320512 run.py:722] (val) algo quickselect step 600: {'median': 0.224365234375, 'score': 0.224365234375, 'examples_seen': 19323, 'step': 600, 'algorithm': 'quickselect'}
I0716 00:55:28.220458 134993160320512 run.py:722] (val) algo quickselect step 650: {'median': 0.215087890625, 'score': 0.215087890625, 'examples_seen': 21004, 'step': 650, 'algorithm': 'quickselect'}
I0716 00:55:37.067261 134993160320512 run.py:722] (val) algo quickselect step 700: {'median': 0.08984375, 'score': 0.08984375, 'examples_seen': 22632, 'step': 700, 'algorithm': 'quickselect'}
I0716 00:55:45.875715 134993160320512 run.py:722] (val) algo quickselect step 750: {'median': 0.2001953125, 'score': 0.2001953125, 'examples_seen': 24241, 'step': 750, 'algorithm': 'quickselect'}
