I0716 01:45:25.741418 135189866526208 run.py:722] (val) algo task_scheduling step 0: {'selected': 0.030513176144244102, 'score': 0.030513176144244102, 'examples_seen': 64, 'step': 0, 'algorithm': 'task_scheduling'}
I0716 01:46:33.953636 135189866526208 run.py:722] (val) algo task_scheduling step 50: {'selected': 0.8194444444444445, 'score': 0.8194444444444445, 'examples_seen': 2080, 'step': 50, 'algorithm': 'task_scheduling'}
I0716 01:46:34.979823 135189866526208 run.py:722] (val) algo task_scheduling step 100: {'selected': 0.8857938718662953, 'score': 0.8857938718662953, 'examples_seen': 4064, 'step': 100, 'algorithm': 'task_scheduling'}
I0716 01:46:36.005125 135189866526208 run.py:722] (val) algo task_scheduling step 150: {'selected': 0.8893528183716074, 'score': 0.8893528183716074, 'examples_seen': 6016, 'step': 150, 'algorithm': 'task_scheduling'}
I0716 01:46:37.030487 135189866526208 run.py:722] (val) algo task_scheduling step 200: {'selected': 0.8987435328898744, 'score': 0.8987435328898744, 'examples_seen': 8016, 'step': 200, 'algorithm': 'task_scheduling'}
I0716 01:46:38.060209 135189866526208 run.py:722] (val) algo task_scheduling step 250: {'selected': 0.9164345403899722, 'score': 0.9164345403899722, 'examples_seen': 9952, 'step': 250, 'algorithm': 'task_scheduling'}
I0716 01:46:39.095087 135189866526208 run.py:722] (val) algo task_scheduling step 300: {'selected': 0.9243816254416962, 'score': 0.9243816254416962, 'examples_seen': 12000, 'step': 300, 'algorithm': 'task_scheduling'}
I0716 01:46:40.115212 135189866526208 run.py:722] (val) algo task_scheduling step 350: {'selected': 0.9402560455192034, 'score': 0.9402560455192034, 'examples_seen': 14032, 'step': 350, 'algorithm': 'task_scheduling'}
I0716 01:46:41.149272 135189866526208 run.py:722] (val) algo task_scheduling step 400: {'selected': 0.9139167862266857, 'score': 0.9139167862266857, 'examples_seen': 16000, 'step': 400, 'algorithm': 'task_scheduling'}
I0716 01:46:42.160405 135189866526208 run.py:722] (val) algo task_scheduling step 450: {'selected': 0.9247648902821317, 'score': 0.9247648902821317, 'examples_seen': 18000, 'step': 450, 'algorithm': 'task_scheduling'}
I0716 01:46:43.159017 135189866526208 run.py:722] (val) algo task_scheduling step 500: {'selected': 0.9431137724550898, 'score': 0.9431137724550898, 'examples_seen': 19952, 'step': 500, 'algorithm': 'task_scheduling'}
I0716 01:46:44.184997 135189866526208 run.py:722] (val) algo task_scheduling step 550: {'selected': 0.8817766165904637, 'score': 0.8817766165904637, 'examples_seen': 21920, 'step': 550, 'algorithm': 'task_scheduling'}
I0716 01:46:45.187707 135189866526208 run.py:722] (val) algo task_scheduling step 600: {'selected': 0.9211119459053344, 'score': 0.9211119459053344, 'examples_seen': 23904, 'step': 600, 'algorithm': 'task_scheduling'}
I0716 01:46:46.210969 135189866526208 run.py:722] (val) algo task_scheduling step 650: {'selected': 0.9315476190476191, 'score': 0.9315476190476191, 'examples_seen': 25920, 'step': 650, 'algorithm': 'task_scheduling'}
I0716 01:46:47.223822 135189866526208 run.py:722] (val) algo task_scheduling step 700: {'selected': 0.9533678756476685, 'score': 0.9533678756476685, 'examples_seen': 27952, 'step': 700, 'algorithm': 'task_scheduling'}
I0716 01:46:48.231504 135189866526208 run.py:722] (val) algo task_scheduling step 750: {'selected': 0.9299363057324841, 'score': 0.9299363057324841, 'examples_seen': 29936, 'step': 750, 'algorithm': 'task_scheduling'}
I0716 01:46:49.241104 135189866526208 run.py:722] (val) algo task_scheduling step 800: {'selected': 0.9375, 'score': 0.9375, 'examples_seen': 31920, 'step': 800, 'algorithm': 'task_scheduling'}
I0716 01:46:50.226900 135189866526208 run.py:722] (val) algo task_scheduling step 850: {'selected': 0.9268292682926829, 'score': 0.9268292682926829, 'examples_seen': 33904, 'step': 850, 'algorithm': 'task_scheduling'}
I0716 01:46:51.255248 135189866526208 run.py:722] (val) algo task_scheduling step 900: {'selected': 0.9367859862909367, 'score': 0.9367859862909367, 'examples_seen': 35856, 'step': 900, 'algorithm': 'task_scheduling'}
I0716 01:46:52.262727 135189866526208 run.py:722] (val) algo task_scheduling step 950: {'selected': 0.9177126917712692, 'score': 0.9177126917712692, 'examples_seen': 37808, 'step': 950, 'algorithm': 'task_scheduling'}
