I0716 12:24:08.881639 140714243360256 run.py:722] (val) algo activity_selector step 0: {'selected': 0.42130365659777425, 'score': 0.42130365659777425, 'examples_seen': 64, 'step': 0, 'algorithm': 'activity_selector'}
I0716 12:25:16.040423 140714243360256 run.py:722] (val) algo activity_selector step 50: {'selected': 0.6666666666666667, 'score': 0.6666666666666667, 'examples_seen': 2080, 'step': 50, 'algorithm': 'activity_selector'}
I0716 12:25:17.071470 140714243360256 run.py:722] (val) algo activity_selector step 100: {'selected': 0.682261208576998, 'score': 0.682261208576998, 'examples_seen': 4064, 'step': 100, 'algorithm': 'activity_selector'}
I0716 12:25:18.096574 140714243360256 run.py:722] (val) algo activity_selector step 150: {'selected': 0.7321131447587355, 'score': 0.7321131447587355, 'examples_seen': 6016, 'step': 150, 'algorithm': 'activity_selector'}
I0716 12:25:19.124045 140714243360256 run.py:722] (val) algo activity_selector step 200: {'selected': 0.7895652173913044, 'score': 0.7895652173913044, 'examples_seen': 8016, 'step': 200, 'algorithm': 'activity_selector'}
I0716 12:25:20.157580 140714243360256 run.py:722] (val) algo activity_selector step 250: {'selected': 0.7561436672967865, 'score': 0.7561436672967865, 'examples_seen': 9952, 'step': 250, 'algorithm': 'activity_selector'}
I0716 12:25:21.188338 140714243360256 run.py:722] (val) algo activity_selector step 300: {'selected': 0.7458866544789763, 'score': 0.7458866544789763, 'examples_seen': 12000, 'step': 300, 'algorithm': 'activity_selector'}
I0716 12:25:22.207243 140714243360256 run.py:722] (val) algo activity_selector step 350: {'selected': 0.49035812672176304, 'score': 0.49035812672176304, 'examples_seen': 14032, 'step': 350, 'algorithm': 'activity_selector'}
I0716 12:25:23.236341 140714243360256 run.py:722] (val) algo activity_selector step 400: {'selected': 0.8446069469835465, 'score': 0.8446069469835465, 'examples_seen': 16000, 'step': 400, 'algorithm': 'activity_selector'}
I0716 12:25:24.264102 140714243360256 run.py:722] (val) algo activity_selector step 450: {'selected': 0.8666666666666667, 'score': 0.8666666666666667, 'examples_seen': 18000, 'step': 450, 'algorithm': 'activity_selector'}
I0716 12:25:25.291946 140714243360256 run.py:722] (val) algo activity_selector step 500: {'selected': 0.8298611111111112, 'score': 0.8298611111111112, 'examples_seen': 19952, 'step': 500, 'algorithm': 'activity_selector'}
I0716 12:25:26.311699 140714243360256 run.py:722] (val) algo activity_selector step 550: {'selected': 0.8013816925734024, 'score': 0.8013816925734024, 'examples_seen': 21920, 'step': 550, 'algorithm': 'activity_selector'}
I0716 12:25:27.335815 140714243360256 run.py:722] (val) algo activity_selector step 600: {'selected': 0.8832684824902725, 'score': 0.8832684824902725, 'examples_seen': 23904, 'step': 600, 'algorithm': 'activity_selector'}
I0716 12:25:28.402491 140714243360256 run.py:722] (val) algo activity_selector step 650: {'selected': 0.8476357267950964, 'score': 0.8476357267950964, 'examples_seen': 25920, 'step': 650, 'algorithm': 'activity_selector'}
I0716 12:25:29.428071 140714243360256 run.py:722] (val) algo activity_selector step 700: {'selected': 0.8341880341880342, 'score': 0.8341880341880342, 'examples_seen': 27952, 'step': 700, 'algorithm': 'activity_selector'}
I0716 12:25:30.434750 140714243360256 run.py:722] (val) algo activity_selector step 750: {'selected': 0.8759124087591241, 'score': 0.8759124087591241, 'examples_seen': 29936, 'step': 750, 'algorithm': 'activity_selector'}
