I0716 12:38:58.956633 135562045462016 run.py:722] (val) algo bellman_ford step 0: {'pi': 0.3876953125, 'score': 0.3876953125, 'examples_seen': 159, 'step': 0, 'algorithm': 'bellman_ford'}
I0716 12:40:31.561746 135562045462016 run.py:722] (val) algo bellman_ford step 50: {'pi': 0.7333984375, 'score': 0.7333984375, 'examples_seen': 5709, 'step': 50, 'algorithm': 'bellman_ford'}
I0716 12:40:34.522063 135562045462016 run.py:722] (val) algo bellman_ford step 100: {'pi': 0.734375, 'score': 0.734375, 'examples_seen': 11237, 'step': 100, 'algorithm': 'bellman_ford'}
I0716 12:40:37.510564 135562045462016 run.py:722] (val) algo bellman_ford step 150: {'pi': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 16757, 'step': 150, 'algorithm': 'bellman_ford'}
I0716 12:40:40.401873 135562045462016 run.py:722] (val) algo bellman_ford step 200: {'pi': 0.865234375, 'score': 0.865234375, 'examples_seen': 22307, 'step': 200, 'algorithm': 'bellman_ford'}
I0716 12:40:43.298622 135562045462016 run.py:722] (val) algo bellman_ford step 250: {'pi': 0.8828125, 'score': 0.8828125, 'examples_seen': 27783, 'step': 250, 'algorithm': 'bellman_ford'}
I0716 12:40:46.179915 135562045462016 run.py:722] (val) algo bellman_ford step 300: {'pi': 0.896484375, 'score': 0.896484375, 'examples_seen': 33428, 'step': 300, 'algorithm': 'bellman_ford'}
I0716 12:40:49.153382 135562045462016 run.py:722] (val) algo bellman_ford step 350: {'pi': 0.88671875, 'score': 0.88671875, 'examples_seen': 39018, 'step': 350, 'algorithm': 'bellman_ford'}
I0716 12:40:52.047024 135562045462016 run.py:722] (val) algo bellman_ford step 400: {'pi': 0.90234375, 'score': 0.90234375, 'examples_seen': 44533, 'step': 400, 'algorithm': 'bellman_ford'}
I0716 12:40:54.907956 135562045462016 run.py:722] (val) algo bellman_ford step 450: {'pi': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 49952, 'step': 450, 'algorithm': 'bellman_ford'}
I0716 12:40:57.684286 135562045462016 run.py:722] (val) algo bellman_ford step 500: {'pi': 0.93359375, 'score': 0.93359375, 'examples_seen': 55377, 'step': 500, 'algorithm': 'bellman_ford'}
I0716 12:41:00.531233 135562045462016 run.py:722] (val) algo bellman_ford step 550: {'pi': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 60807, 'step': 550, 'algorithm': 'bellman_ford'}
I0716 12:41:03.454221 135562045462016 run.py:722] (val) algo bellman_ford step 600: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 66310, 'step': 600, 'algorithm': 'bellman_ford'}
