I0716 13:03:25.085944 138795964425728 run.py:722] (val) algo binary_search step 0: {'return': 0.0478515625, 'score': 0.0478515625, 'examples_seen': 96, 'step': 0, 'algorithm': 'binary_search'}
I0716 13:04:33.842775 138795964425728 run.py:722] (val) algo binary_search step 50: {'return': 0.491455078125, 'score': 0.491455078125, 'examples_seen': 3929, 'step': 50, 'algorithm': 'binary_search'}
I0716 13:04:36.032086 138795964425728 run.py:722] (val) algo binary_search step 100: {'return': 0.54296875, 'score': 0.54296875, 'examples_seen': 7769, 'step': 100, 'algorithm': 'binary_search'}
I0716 13:04:38.174388 138795964425728 run.py:722] (val) algo binary_search step 150: {'return': 0.39599609375, 'score': 0.39599609375, 'examples_seen': 11585, 'step': 150, 'algorithm': 'binary_search'}
I0716 13:04:40.314589 138795964425728 run.py:722] (val) algo binary_search step 200: {'return': 0.750244140625, 'score': 0.750244140625, 'examples_seen': 15405, 'step': 200, 'algorithm': 'binary_search'}
I0716 13:04:42.489931 138795964425728 run.py:722] (val) algo binary_search step 250: {'return': 0.72021484375, 'score': 0.72021484375, 'examples_seen': 19220, 'step': 250, 'algorithm': 'binary_search'}
I0716 13:04:44.639505 138795964425728 run.py:722] (val) algo binary_search step 300: {'return': 0.5146484375, 'score': 0.5146484375, 'examples_seen': 23101, 'step': 300, 'algorithm': 'binary_search'}
I0716 13:04:46.820751 138795964425728 run.py:722] (val) algo binary_search step 350: {'return': 0.5302734375, 'score': 0.5302734375, 'examples_seen': 26975, 'step': 350, 'algorithm': 'binary_search'}
I0716 13:04:48.935648 138795964425728 run.py:722] (val) algo binary_search step 400: {'return': 0.409423828125, 'score': 0.409423828125, 'examples_seen': 30803, 'step': 400, 'algorithm': 'binary_search'}
I0716 13:04:51.047273 138795964425728 run.py:722] (val) algo binary_search step 450: {'return': 0.620849609375, 'score': 0.620849609375, 'examples_seen': 34648, 'step': 450, 'algorithm': 'binary_search'}
I0716 13:04:53.146031 138795964425728 run.py:722] (val) algo binary_search step 500: {'return': 0.68408203125, 'score': 0.68408203125, 'examples_seen': 38465, 'step': 500, 'algorithm': 'binary_search'}
I0716 13:04:55.265373 138795964425728 run.py:722] (val) algo binary_search step 550: {'return': 0.7177734375, 'score': 0.7177734375, 'examples_seen': 42280, 'step': 550, 'algorithm': 'binary_search'}
I0716 13:04:57.371496 138795964425728 run.py:722] (val) algo binary_search step 600: {'return': 0.77392578125, 'score': 0.77392578125, 'examples_seen': 46095, 'step': 600, 'algorithm': 'binary_search'}
I0716 13:04:59.539345 138795964425728 run.py:722] (val) algo binary_search step 650: {'return': 0.721435546875, 'score': 0.721435546875, 'examples_seen': 49987, 'step': 650, 'algorithm': 'binary_search'}
I0716 13:05:01.704438 138795964425728 run.py:722] (val) algo binary_search step 700: {'return': 0.645263671875, 'score': 0.645263671875, 'examples_seen': 53861, 'step': 700, 'algorithm': 'binary_search'}
I0716 13:05:03.841387 138795964425728 run.py:722] (val) algo binary_search step 750: {'return': 0.77734375, 'score': 0.77734375, 'examples_seen': 57708, 'step': 750, 'algorithm': 'binary_search'}
I0716 13:05:06.036177 138795964425728 run.py:722] (val) algo binary_search step 800: {'return': 0.84619140625, 'score': 0.84619140625, 'examples_seen': 61556, 'step': 800, 'algorithm': 'binary_search'}
I0716 13:05:08.193997 138795964425728 run.py:722] (val) algo binary_search step 850: {'return': 0.774658203125, 'score': 0.774658203125, 'examples_seen': 65375, 'step': 850, 'algorithm': 'binary_search'}
I0716 13:05:10.352658 138795964425728 run.py:722] (val) algo binary_search step 900: {'return': 0.748779296875, 'score': 0.748779296875, 'examples_seen': 69199, 'step': 900, 'algorithm': 'binary_search'}
I0716 13:05:12.499510 138795964425728 run.py:722] (val) algo binary_search step 950: {'return': 0.736572265625, 'score': 0.736572265625, 'examples_seen': 73009, 'step': 950, 'algorithm': 'binary_search'}
I0716 13:05:14.631808 138795964425728 run.py:722] (val) algo binary_search step 1000: {'return': 0.77490234375, 'score': 0.77490234375, 'examples_seen': 76906, 'step': 1000, 'algorithm': 'binary_search'}
I0716 13:05:16.797152 138795964425728 run.py:722] (val) algo binary_search step 1050: {'return': 0.786376953125, 'score': 0.786376953125, 'examples_seen': 80786, 'step': 1050, 'algorithm': 'binary_search'}
I0716 13:05:19.135003 138795964425728 run.py:722] (val) algo binary_search step 1100: {'return': 0.783447265625, 'score': 0.783447265625, 'examples_seen': 84624, 'step': 1100, 'algorithm': 'binary_search'}
I0716 13:05:21.267236 138795964425728 run.py:722] (val) algo binary_search step 1150: {'return': 0.595703125, 'score': 0.595703125, 'examples_seen': 88449, 'step': 1150, 'algorithm': 'binary_search'}
I0716 13:05:23.407809 138795964425728 run.py:722] (val) algo binary_search step 1200: {'return': 0.793212890625, 'score': 0.793212890625, 'examples_seen': 92263, 'step': 1200, 'algorithm': 'binary_search'}
I0716 13:05:25.528898 138795964425728 run.py:722] (val) algo binary_search step 1250: {'return': 0.763916015625, 'score': 0.763916015625, 'examples_seen': 96077, 'step': 1250, 'algorithm': 'binary_search'}
I0716 13:05:27.698862 138795964425728 run.py:722] (val) algo binary_search step 1300: {'return': 0.812744140625, 'score': 0.812744140625, 'examples_seen': 99908, 'step': 1300, 'algorithm': 'binary_search'}
I0716 13:05:29.860997 138795964425728 run.py:722] (val) algo binary_search step 1350: {'return': 0.834716796875, 'score': 0.834716796875, 'examples_seen': 103790, 'step': 1350, 'algorithm': 'binary_search'}
I0716 13:05:32.041061 138795964425728 run.py:722] (val) algo binary_search step 1400: {'return': 0.749267578125, 'score': 0.749267578125, 'examples_seen': 107671, 'step': 1400, 'algorithm': 'binary_search'}
I0716 13:05:34.171634 138795964425728 run.py:722] (val) algo binary_search step 1450: {'return': 0.802490234375, 'score': 0.802490234375, 'examples_seen': 111509, 'step': 1450, 'algorithm': 'binary_search'}
I0716 13:05:36.297973 138795964425728 run.py:722] (val) algo binary_search step 1500: {'return': 0.796630859375, 'score': 0.796630859375, 'examples_seen': 115364, 'step': 1500, 'algorithm': 'binary_search'}
