{'is_bridge': 0.0, 'score': 0.0, 'examples_seen': 16, 'step': 0, 'algorithm': 'bridges'}
{'is_bridge': 0.6857798165137614, 'score': 0.6857798165137614, 'examples_seen': 799, 'step': 50, 'algorithm': 'bridges'}
{'is_bridge': 0.6478679504814305, 'score': 0.6478679504814305, 'examples_seen': 1592, 'step': 100, 'algorithm': 'bridges'}
{'is_bridge': 0.6868304977945812, 'score': 0.6868304977945812, 'examples_seen': 2372, 'step': 150, 'algorithm': 'bridges'}
{'is_bridge': 0.6545217957059206, 'score': 0.6545217957059206, 'examples_seen': 3158, 'step': 200, 'algorithm': 'bridges'}
{'is_bridge': 0.7803138373751783, 'score': 0.7803138373751783, 'examples_seen': 3938, 'step': 250, 'algorithm': 'bridges'}
{'is_bridge': 0.6692098092643052, 'score': 0.6692098092643052, 'examples_seen': 4758, 'step': 300, 'algorithm': 'bridges'}
{'is_bridge': 0.6652298850574713, 'score': 0.6652298850574713, 'examples_seen': 5564, 'step': 350, 'algorithm': 'bridges'}
{'is_bridge': 0.7298245614035088, 'score': 0.7298245614035088, 'examples_seen': 6361, 'step': 400, 'algorithm': 'bridges'}
{'is_bridge': 0.7678062678062678, 'score': 0.7678062678062678, 'examples_seen': 7144, 'step': 450, 'algorithm': 'bridges'}
{'is_bridge': 0.756578947368421, 'score': 0.756578947368421, 'examples_seen': 7922, 'step': 500, 'algorithm': 'bridges'}
{'is_bridge': 0.7940026075619296, 'score': 0.7940026075619296, 'examples_seen': 8709, 'step': 550, 'algorithm': 'bridges'}
{'is_bridge': 0.7292746113989637, 'score': 0.7292746113989637, 'examples_seen': 9489, 'step': 600, 'algorithm': 'bridges'}
{'is_bridge': 0.7291512915129151, 'score': 0.7291512915129151, 'examples_seen': 10303, 'step': 650, 'algorithm': 'bridges'}
{'is_bridge': 0.7413572343149808, 'score': 0.7413572343149808, 'examples_seen': 11121, 'step': 700, 'algorithm': 'bridges'}
{'is_bridge': 0.7246376811594203, 'score': 0.7246376811594203, 'examples_seen': 11916, 'step': 750, 'algorithm': 'bridges'}
{'is_bridge': 0.7094155844155845, 'score': 0.7094155844155845, 'examples_seen': 12693, 'step': 800, 'algorithm': 'bridges'}
{'is_bridge': 0.77752117013087, 'score': 0.77752117013087, 'examples_seen': 13478, 'step': 850, 'algorithm': 'bridges'}
{'is_bridge': 0.7060270602706028, 'score': 0.7060270602706028, 'examples_seen': 14261, 'step': 900, 'algorithm': 'bridges'}
{'is_bridge': 0.7051671732522796, 'score': 0.7051671732522796, 'examples_seen': 15044, 'step': 950, 'algorithm': 'bridges'}
{'is_bridge': 0.8092409240924092, 'score': 0.8092409240924092, 'examples_seen': 15862, 'step': 1000, 'algorithm': 'bridges'}
{'is_bridge': 0.5290178571428572, 'score': 0.5290178571428572, 'examples_seen': 16666, 'step': 1050, 'algorithm': 'bridges'}
{'is_bridge': 0.7594501718213058, 'score': 0.7594501718213058, 'examples_seen': 17456, 'step': 1100, 'algorithm': 'bridges'}
{'is_bridge': 0.5950248756218905, 'score': 0.5950248756218905, 'examples_seen': 18236, 'step': 1150, 'algorithm': 'bridges'}
{'is_bridge': 0.7245949926362297, 'score': 0.7245949926362297, 'examples_seen': 19020, 'step': 1200, 'algorithm': 'bridges'}
{'is_bridge': 0.7000000000000001, 'score': 0.7000000000000001, 'examples_seen': 19803, 'step': 1250, 'algorithm': 'bridges'}
{'is_bridge': 0.6955201214882308, 'score': 0.6955201214882308, 'examples_seen': 20574, 'step': 1300, 'algorithm': 'bridges'}
{'is_bridge': 0.6956521739130435, 'score': 0.6956521739130435, 'examples_seen': 21402, 'step': 1350, 'algorithm': 'bridges'}
{'is_bridge': 0.8193123628383322, 'score': 0.8193123628383322, 'examples_seen': 22205, 'step': 1400, 'algorithm': 'bridges'}
{'is_bridge': 0.7399829497016197, 'score': 0.7399829497016197, 'examples_seen': 22992, 'step': 1450, 'algorithm': 'bridges'}
{'is_bridge': 0.7811158798283262, 'score': 0.7811158798283262, 'examples_seen': 23790, 'step': 1500, 'algorithm': 'bridges'}
{'is_bridge': 0.8119723714504987, 'score': 0.8119723714504987, 'examples_seen': 24579, 'step': 1550, 'algorithm': 'bridges'}
{'is_bridge': 0.8052147239263804, 'score': 0.8052147239263804, 'examples_seen': 25373, 'step': 1600, 'algorithm': 'bridges'}
{'is_bridge': 0.7971428571428572, 'score': 0.7971428571428572, 'examples_seen': 26148, 'step': 1650, 'algorithm': 'bridges'}
{'is_bridge': 0.6818181818181818, 'score': 0.6818181818181818, 'examples_seen': 26979, 'step': 1700, 'algorithm': 'bridges'}
{'is_bridge': 0.8204667863554758, 'score': 0.8204667863554758, 'examples_seen': 27790, 'step': 1750, 'algorithm': 'bridges'}
{'is_bridge': 0.6720160481444334, 'score': 0.6720160481444334, 'examples_seen': 28578, 'step': 1800, 'algorithm': 'bridges'}
{'is_bridge': 0.7605893186003684, 'score': 0.7605893186003684, 'examples_seen': 29362, 'step': 1850, 'algorithm': 'bridges'}
{'is_bridge': 0.7599660729431722, 'score': 0.7599660729431722, 'examples_seen': 30144, 'step': 1900, 'algorithm': 'bridges'}
{'is_bridge': 0.7421875, 'score': 0.7421875, 'examples_seen': 30937, 'step': 1950, 'algorithm': 'bridges'}
{'is_bridge': 0.6555863342566944, 'score': 0.6555863342566944, 'examples_seen': 31704, 'step': 2000, 'algorithm': 'bridges'}
{'is_bridge': 0.735632183908046, 'score': 0.735632183908046, 'examples_seen': 32518, 'step': 2050, 'algorithm': 'bridges'}
{'is_bridge': 0.7595356550580431, 'score': 0.7595356550580431, 'examples_seen': 33326, 'step': 2100, 'algorithm': 'bridges'}
{'is_bridge': 0.7933491686460807, 'score': 0.7933491686460807, 'examples_seen': 34120, 'step': 2150, 'algorithm': 'bridges'}
{'is_bridge': 0.7551175132676269, 'score': 0.7551175132676269, 'examples_seen': 34907, 'step': 2200, 'algorithm': 'bridges'}
{'is_bridge': 0.7458292443572129, 'score': 0.7458292443572129, 'examples_seen': 35693, 'step': 2250, 'algorithm': 'bridges'}
{'is_bridge': 0.7480798771121351, 'score': 0.7480798771121351, 'examples_seen': 36463, 'step': 2300, 'algorithm': 'bridges'}
{'is_bridge': 0.8285714285714285, 'score': 0.8285714285714285, 'examples_seen': 37253, 'step': 2350, 'algorithm': 'bridges'}
{'is_bridge': 0.7733990147783251, 'score': 0.7733990147783251, 'examples_seen': 38065, 'step': 2400, 'algorithm': 'bridges'}
{'is_bridge': 0.7579462102689486, 'score': 0.7579462102689486, 'examples_seen': 38870, 'step': 2450, 'algorithm': 'bridges'}
{'is_bridge': 0.7771929824561404, 'score': 0.7771929824561404, 'examples_seen': 39671, 'step': 2500, 'algorithm': 'bridges'}
{'is_bridge': 0.7053941908713692, 'score': 0.7053941908713692, 'examples_seen': 40461, 'step': 2550, 'algorithm': 'bridges'}
{'is_bridge': 0.7867383512544802, 'score': 0.7867383512544802, 'examples_seen': 41238, 'step': 2600, 'algorithm': 'bridges'}
{'is_bridge': 0.7810158201498751, 'score': 0.7810158201498751, 'examples_seen': 42028, 'step': 2650, 'algorithm': 'bridges'}
{'is_bridge': 0.8194640338504936, 'score': 0.8194640338504936, 'examples_seen': 42801, 'step': 2700, 'algorithm': 'bridges'}
{'is_bridge': 0.7840579710144927, 'score': 0.7840579710144927, 'examples_seen': 43618, 'step': 2750, 'algorithm': 'bridges'}
{'is_bridge': 0.7292993630573248, 'score': 0.7292993630573248, 'examples_seen': 44419, 'step': 2800, 'algorithm': 'bridges'}
{'is_bridge': 0.8019323671497585, 'score': 0.8019323671497585, 'examples_seen': 45215, 'step': 2850, 'algorithm': 'bridges'}
{'is_bridge': 0.7650643195666892, 'score': 0.7650643195666892, 'examples_seen': 46006, 'step': 2900, 'algorithm': 'bridges'}
