I0716 13:22:12.272859 134814337697280 run.py:722] (val) algo bubble_sort step 0: {'pred': 0.16796875, 'score': 0.16796875, 'examples_seen': 64, 'step': 0, 'algorithm': 'bubble_sort'}
I0716 13:23:55.443723 134814337697280 run.py:722] (val) algo bubble_sort step 50: {'pred': 0.4013671875, 'score': 0.4013671875, 'examples_seen': 1744, 'step': 50, 'algorithm': 'bubble_sort'}
I0716 13:23:59.226093 134814337697280 run.py:722] (val) algo bubble_sort step 100: {'pred': 0.375, 'score': 0.375, 'examples_seen': 3408, 'step': 100, 'algorithm': 'bubble_sort'}
I0716 13:24:02.957385 134814337697280 run.py:722] (val) algo bubble_sort step 150: {'pred': 0.4658203125, 'score': 0.4658203125, 'examples_seen': 5056, 'step': 150, 'algorithm': 'bubble_sort'}
I0716 13:24:06.750967 134814337697280 run.py:722] (val) algo bubble_sort step 200: {'pred': 0.447265625, 'score': 0.447265625, 'examples_seen': 6720, 'step': 200, 'algorithm': 'bubble_sort'}
I0716 13:24:10.502299 134814337697280 run.py:722] (val) algo bubble_sort step 250: {'pred': 0.4052734375, 'score': 0.4052734375, 'examples_seen': 8368, 'step': 250, 'algorithm': 'bubble_sort'}
I0716 13:24:14.444970 134814337697280 run.py:722] (val) algo bubble_sort step 300: {'pred': 0.42578125, 'score': 0.42578125, 'examples_seen': 10176, 'step': 300, 'algorithm': 'bubble_sort'}
I0716 13:24:18.312476 134814337697280 run.py:722] (val) algo bubble_sort step 350: {'pred': 0.546875, 'score': 0.546875, 'examples_seen': 11904, 'step': 350, 'algorithm': 'bubble_sort'}
I0716 13:24:22.096903 134814337697280 run.py:722] (val) algo bubble_sort step 400: {'pred': 0.4541015625, 'score': 0.4541015625, 'examples_seen': 13568, 'step': 400, 'algorithm': 'bubble_sort'}
I0716 13:24:25.898332 134814337697280 run.py:722] (val) algo bubble_sort step 450: {'pred': 0.6650390625, 'score': 0.6650390625, 'examples_seen': 15264, 'step': 450, 'algorithm': 'bubble_sort'}
I0716 13:24:29.689580 134814337697280 run.py:722] (val) algo bubble_sort step 500: {'pred': 0.7451171875, 'score': 0.7451171875, 'examples_seen': 16912, 'step': 500, 'algorithm': 'bubble_sort'}
I0716 13:24:33.432827 134814337697280 run.py:722] (val) algo bubble_sort step 550: {'pred': 0.6513671875, 'score': 0.6513671875, 'examples_seen': 18576, 'step': 550, 'algorithm': 'bubble_sort'}
I0716 13:24:37.214678 134814337697280 run.py:722] (val) algo bubble_sort step 600: {'pred': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 20224, 'step': 600, 'algorithm': 'bubble_sort'}
I0716 13:24:41.099231 134814337697280 run.py:722] (val) algo bubble_sort step 650: {'pred': 0.587890625, 'score': 0.587890625, 'examples_seen': 22016, 'step': 650, 'algorithm': 'bubble_sort'}
I0716 13:24:44.902887 134814337697280 run.py:722] (val) algo bubble_sort step 700: {'pred': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 23728, 'step': 700, 'algorithm': 'bubble_sort'}
