I0716 13:38:25.170624 139335303030272 run.py:722] (val) algo dag_shortest_paths step 0: {'pi': 0.7080078125, 'score': 0.7080078125, 'examples_seen': 41, 'step': 0, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:18.921053 139335303030272 run.py:722] (val) algo dag_shortest_paths step 50: {'pi': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 1530, 'step': 50, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:20.991885 139335303030272 run.py:722] (val) algo dag_shortest_paths step 100: {'pi': 0.91796875, 'score': 0.91796875, 'examples_seen': 2997, 'step': 100, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:23.075896 139335303030272 run.py:722] (val) algo dag_shortest_paths step 150: {'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 4450, 'step': 150, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:25.204215 139335303030272 run.py:722] (val) algo dag_shortest_paths step 200: {'pi': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 5904, 'step': 200, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:27.154837 139335303030272 run.py:722] (val) algo dag_shortest_paths step 250: {'pi': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 7402, 'step': 250, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:29.079646 139335303030272 run.py:722] (val) algo dag_shortest_paths step 300: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 8928, 'step': 300, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:31.197792 139335303030272 run.py:722] (val) algo dag_shortest_paths step 350: {'pi': 0.880859375, 'score': 0.880859375, 'examples_seen': 10426, 'step': 350, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:33.156930 139335303030272 run.py:722] (val) algo dag_shortest_paths step 400: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 11895, 'step': 400, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:35.223336 139335303030272 run.py:722] (val) algo dag_shortest_paths step 450: {'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 13359, 'step': 450, 'algorithm': 'dag_shortest_paths'}
I0716 13:40:37.148357 139335303030272 run.py:722] (val) algo dag_shortest_paths step 500: {'pi': 0.9375, 'score': 0.9375, 'examples_seen': 14816, 'step': 500, 'algorithm': 'dag_shortest_paths'}
