{'pi': 0.05859375, 'score': 0.05859375, 'examples_seen': 16, 'step': 0, 'algorithm': 'dfs'}
{'pi': 0.3564453125, 'score': 0.3564453125, 'examples_seen': 880, 'step': 50, 'algorithm': 'dfs'}
{'pi': 0.3837890625, 'score': 0.3837890625, 'examples_seen': 1744, 'step': 100, 'algorithm': 'dfs'}
{'pi': 0.4150390625, 'score': 0.4150390625, 'examples_seen': 2576, 'step': 150, 'algorithm': 'dfs'}
{'pi': 0.4111328125, 'score': 0.4111328125, 'examples_seen': 3424, 'step': 200, 'algorithm': 'dfs'}
{'pi': 0.4365234375, 'score': 0.4365234375, 'examples_seen': 4256, 'step': 250, 'algorithm': 'dfs'}
{'pi': 0.3720703125, 'score': 0.3720703125, 'examples_seen': 5152, 'step': 300, 'algorithm': 'dfs'}
{'pi': 0.4375, 'score': 0.4375, 'examples_seen': 6000, 'step': 350, 'algorithm': 'dfs'}
{'pi': 0.4072265625, 'score': 0.4072265625, 'examples_seen': 6864, 'step': 400, 'algorithm': 'dfs'}
{'pi': 0.4501953125, 'score': 0.4501953125, 'examples_seen': 7728, 'step': 450, 'algorithm': 'dfs'}
{'pi': 0.412109375, 'score': 0.412109375, 'examples_seen': 8560, 'step': 500, 'algorithm': 'dfs'}
{'pi': 0.4111328125, 'score': 0.4111328125, 'examples_seen': 9408, 'step': 550, 'algorithm': 'dfs'}
{'pi': 0.44140625, 'score': 0.44140625, 'examples_seen': 10272, 'step': 600, 'algorithm': 'dfs'}
{'pi': 0.5, 'score': 0.5, 'examples_seen': 11152, 'step': 650, 'algorithm': 'dfs'}
{'pi': 0.5, 'score': 0.5, 'examples_seen': 12000, 'step': 700, 'algorithm': 'dfs'}
{'pi': 0.47265625, 'score': 0.47265625, 'examples_seen': 12880, 'step': 750, 'algorithm': 'dfs'}
{'pi': 0.466796875, 'score': 0.466796875, 'examples_seen': 13728, 'step': 800, 'algorithm': 'dfs'}
{'pi': 0.5029296875, 'score': 0.5029296875, 'examples_seen': 14576, 'step': 850, 'algorithm': 'dfs'}
{'pi': 0.439453125, 'score': 0.439453125, 'examples_seen': 15440, 'step': 900, 'algorithm': 'dfs'}
{'pi': 0.4228515625, 'score': 0.4228515625, 'examples_seen': 16272, 'step': 950, 'algorithm': 'dfs'}
{'pi': 0.4931640625, 'score': 0.4931640625, 'examples_seen': 17152, 'step': 1000, 'algorithm': 'dfs'}
