I0716 14:05:35.849750 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 0: {'start': 0.0, 'end': 0.087890625, 'score': 0.0439453125, 'examples_seen': 80, 'step': 0, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:06:53.154675 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 50: {'start': 0.41650390625, 'end': 0.5029296875, 'score': 0.459716796875, 'examples_seen': 2640, 'step': 50, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:06:55.179454 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 100: {'start': 0.5859375, 'end': 0.52099609375, 'score': 0.553466796875, 'examples_seen': 5200, 'step': 100, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:06:57.223087 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 150: {'start': 0.60595703125, 'end': 0.57470703125, 'score': 0.59033203125, 'examples_seen': 7744, 'step': 150, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:06:59.253962 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 200: {'start': 0.720703125, 'end': 0.54296875, 'score': 0.6318359375, 'examples_seen': 10288, 'step': 200, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:01.304918 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 250: {'start': 0.75537109375, 'end': 0.6171875, 'score': 0.686279296875, 'examples_seen': 12816, 'step': 250, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:03.390233 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 300: {'start': 0.73095703125, 'end': 0.513671875, 'score': 0.622314453125, 'examples_seen': 15472, 'step': 300, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:05.440659 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 350: {'start': 0.685546875, 'end': 0.5986328125, 'score': 0.64208984375, 'examples_seen': 18080, 'step': 350, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:07.472503 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 400: {'start': 0.7109375, 'end': 0.6669921875, 'score': 0.68896484375, 'examples_seen': 20640, 'step': 400, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:09.507813 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 450: {'start': 0.712890625, 'end': 0.5546875, 'score': 0.6337890625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:11.546409 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 500: {'start': 0.81591796875, 'end': 0.73388671875, 'score': 0.77490234375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:13.581571 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 550: {'start': 0.7958984375, 'end': 0.79345703125, 'score': 0.794677734375, 'examples_seen': 28288, 'step': 550, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:15.629771 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 600: {'start': 0.7861328125, 'end': 0.7822265625, 'score': 0.7841796875, 'examples_seen': 30832, 'step': 600, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:17.681613 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 650: {'start': 0.77001953125, 'end': 0.80517578125, 'score': 0.78759765625, 'examples_seen': 33456, 'step': 650, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:19.729323 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 700: {'start': 0.8076171875, 'end': 0.7958984375, 'score': 0.8017578125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:21.774439 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 750: {'start': 0.78955078125, 'end': 0.78076171875, 'score': 0.78515625, 'examples_seen': 38640, 'step': 750, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:23.817899 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 800: {'start': 0.85205078125, 'end': 0.693359375, 'score': 0.772705078125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:25.832817 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 850: {'start': 0.77490234375, 'end': 0.681640625, 'score': 0.728271484375, 'examples_seen': 43760, 'step': 850, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:27.864454 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 900: {'start': 0.8486328125, 'end': 0.82080078125, 'score': 0.834716796875, 'examples_seen': 46320, 'step': 900, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:29.904876 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 950: {'start': 0.8564453125, 'end': 0.81201171875, 'score': 0.834228515625, 'examples_seen': 48832, 'step': 950, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:31.955567 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1000: {'start': 0.83203125, 'end': 0.85693359375, 'score': 0.844482421875, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:34.018110 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1050: {'start': 0.79052734375, 'end': 0.84130859375, 'score': 0.81591796875, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:36.045783 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1100: {'start': 0.88330078125, 'end': 0.88037109375, 'score': 0.8818359375, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:38.097950 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1150: {'start': 0.8720703125, 'end': 0.8349609375, 'score': 0.853515625, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:40.113827 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1200: {'start': 0.8720703125, 'end': 0.8251953125, 'score': 0.8486328125, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:42.122240 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1250: {'start': 0.81884765625, 'end': 0.72998046875, 'score': 0.7744140625, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:44.138608 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1300: {'start': 0.87109375, 'end': 0.865234375, 'score': 0.8681640625, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:46.195240 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1350: {'start': 0.8955078125, 'end': 0.8564453125, 'score': 0.8759765625, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:48.239529 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1400: {'start': 0.904296875, 'end': 0.8291015625, 'score': 0.86669921875, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:50.245815 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1450: {'start': 0.81982421875, 'end': 0.849609375, 'score': 0.834716796875, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:52.256823 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1500: {'start': 0.87158203125, 'end': 0.82470703125, 'score': 0.84814453125, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:54.283720 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1550: {'start': 0.873046875, 'end': 0.86572265625, 'score': 0.869384765625, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:56.308296 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1600: {'start': 0.90966796875, 'end': 0.8818359375, 'score': 0.895751953125, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:07:58.319885 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1650: {'start': 0.89306640625, 'end': 0.82666015625, 'score': 0.85986328125, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:08:00.377609 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1700: {'start': 0.892578125, 'end': 0.8916015625, 'score': 0.89208984375, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'find_maximum_subarray_kadane'}
I0716 14:08:02.426197 138886038054400 run.py:722] (val) algo find_maximum_subarray_kadane step 1750: {'start': 0.88916015625, 'end': 0.8203125, 'score': 0.854736328125, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'find_maximum_subarray_kadane'}
