{'Pi': 0.0775146484375, 'score': 0.0775146484375, 'examples_seen': 80, 'step': 0, 'algorithm': 'floyd_warshall'}
{'Pi': 0.23577880859375, 'score': 0.23577880859375, 'examples_seen': 2640, 'step': 50, 'algorithm': 'floyd_warshall'}
{'Pi': 0.2705078125, 'score': 0.2705078125, 'examples_seen': 5200, 'step': 100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.3934326171875, 'score': 0.3934326171875, 'examples_seen': 7744, 'step': 150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.5301513671875, 'score': 0.5301513671875, 'examples_seen': 10288, 'step': 200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.47601318359375, 'score': 0.47601318359375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.48553466796875, 'score': 0.48553466796875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.50909423828125, 'score': 0.50909423828125, 'examples_seen': 18080, 'step': 350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.54034423828125, 'score': 0.54034423828125, 'examples_seen': 20640, 'step': 400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.589111328125, 'score': 0.589111328125, 'examples_seen': 23216, 'step': 450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.5369873046875, 'score': 0.5369873046875, 'examples_seen': 25744, 'step': 500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.598876953125, 'score': 0.598876953125, 'examples_seen': 28288, 'step': 550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.5618896484375, 'score': 0.5618896484375, 'examples_seen': 30832, 'step': 600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.508544921875, 'score': 0.508544921875, 'examples_seen': 33456, 'step': 650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.59259033203125, 'score': 0.59259033203125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.5765380859375, 'score': 0.5765380859375, 'examples_seen': 38640, 'step': 750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.57745361328125, 'score': 0.57745361328125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.53997802734375, 'score': 0.53997802734375, 'examples_seen': 43760, 'step': 850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.56829833984375, 'score': 0.56829833984375, 'examples_seen': 46320, 'step': 900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.58441162109375, 'score': 0.58441162109375, 'examples_seen': 48832, 'step': 950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.574462890625, 'score': 0.574462890625, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.587890625, 'score': 0.587890625, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6033935546875, 'score': 0.6033935546875, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.57781982421875, 'score': 0.57781982421875, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.62408447265625, 'score': 0.62408447265625, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.615966796875, 'score': 0.615966796875, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.65966796875, 'score': 0.65966796875, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6002197265625, 'score': 0.6002197265625, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.62420654296875, 'score': 0.62420654296875, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6556396484375, 'score': 0.6556396484375, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6192626953125, 'score': 0.6192626953125, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.621826171875, 'score': 0.621826171875, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.652587890625, 'score': 0.652587890625, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.63897705078125, 'score': 0.63897705078125, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.673095703125, 'score': 0.673095703125, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6983642578125, 'score': 0.6983642578125, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.5894775390625, 'score': 0.5894775390625, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6563720703125, 'score': 0.6563720703125, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.65972900390625, 'score': 0.65972900390625, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68255615234375, 'score': 0.68255615234375, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7119140625, 'score': 0.7119140625, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.71185302734375, 'score': 0.71185302734375, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7030029296875, 'score': 0.7030029296875, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.685302734375, 'score': 0.685302734375, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.69720458984375, 'score': 0.69720458984375, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.6988525390625, 'score': 0.6988525390625, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68939208984375, 'score': 0.68939208984375, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.71307373046875, 'score': 0.71307373046875, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.68572998046875, 'score': 0.68572998046875, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.7523193359375, 'score': 0.7523193359375, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.704833984375, 'score': 0.704833984375, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'floyd_warshall'}
