I0716 14:26:12.428631 137316556228096 run.py:722] (val) algo graham_scan step 0: {'in_hull': 0.44968944099378877, 'score': 0.44968944099378877, 'examples_seen': 48, 'step': 0, 'algorithm': 'graham_scan'}
I0716 14:27:45.283621 137316556228096 run.py:722] (val) algo graham_scan step 50: {'in_hull': 0.7132757266300079, 'score': 0.7132757266300079, 'examples_seen': 1549, 'step': 50, 'algorithm': 'graham_scan'}
I0716 14:27:46.509307 137316556228096 run.py:722] (val) algo graham_scan step 100: {'in_hull': 0.6984126984126985, 'score': 0.6984126984126985, 'examples_seen': 3035, 'step': 100, 'algorithm': 'graham_scan'}
I0716 14:27:47.722562 137316556228096 run.py:722] (val) algo graham_scan step 150: {'in_hull': 0.7617896009673518, 'score': 0.7617896009673518, 'examples_seen': 4498, 'step': 150, 'algorithm': 'graham_scan'}
I0716 14:27:48.970925 137316556228096 run.py:722] (val) algo graham_scan step 200: {'in_hull': 0.7902665121668597, 'score': 0.7902665121668597, 'examples_seen': 5976, 'step': 200, 'algorithm': 'graham_scan'}
I0716 14:27:50.237534 137316556228096 run.py:722] (val) algo graham_scan step 250: {'in_hull': 0.8680851063829788, 'score': 0.8680851063829788, 'examples_seen': 7443, 'step': 250, 'algorithm': 'graham_scan'}
I0716 14:27:51.502709 137316556228096 run.py:722] (val) algo graham_scan step 300: {'in_hull': 0.8667883211678832, 'score': 0.8667883211678832, 'examples_seen': 8960, 'step': 300, 'algorithm': 'graham_scan'}
I0716 14:27:52.709476 137316556228096 run.py:722] (val) algo graham_scan step 350: {'in_hull': 0.8811594202898549, 'score': 0.8811594202898549, 'examples_seen': 10476, 'step': 350, 'algorithm': 'graham_scan'}
I0716 14:27:53.935251 137316556228096 run.py:722] (val) algo graham_scan step 400: {'in_hull': 0.8577114427860697, 'score': 0.8577114427860697, 'examples_seen': 11956, 'step': 400, 'algorithm': 'graham_scan'}
I0716 14:27:55.150715 137316556228096 run.py:722] (val) algo graham_scan step 450: {'in_hull': 0.8988529718456725, 'score': 0.8988529718456725, 'examples_seen': 13446, 'step': 450, 'algorithm': 'graham_scan'}
I0716 14:27:56.402079 137316556228096 run.py:722] (val) algo graham_scan step 500: {'in_hull': 0.8961748633879781, 'score': 0.8961748633879781, 'examples_seen': 14906, 'step': 500, 'algorithm': 'graham_scan'}
I0716 14:27:57.639998 137316556228096 run.py:722] (val) algo graham_scan step 550: {'in_hull': 0.9187432286023836, 'score': 0.9187432286023836, 'examples_seen': 16387, 'step': 550, 'algorithm': 'graham_scan'}
I0716 14:27:58.910480 137316556228096 run.py:722] (val) algo graham_scan step 600: {'in_hull': 0.9503695881731785, 'score': 0.9503695881731785, 'examples_seen': 17849, 'step': 600, 'algorithm': 'graham_scan'}
I0716 14:28:00.142112 137316556228096 run.py:722] (val) algo graham_scan step 650: {'in_hull': 0.9391124871001031, 'score': 0.9391124871001031, 'examples_seen': 19364, 'step': 650, 'algorithm': 'graham_scan'}
I0716 14:28:01.341247 137316556228096 run.py:722] (val) algo graham_scan step 700: {'in_hull': 0.928348909657321, 'score': 0.928348909657321, 'examples_seen': 20869, 'step': 700, 'algorithm': 'graham_scan'}
I0716 14:28:02.556401 137316556228096 run.py:722] (val) algo graham_scan step 750: {'in_hull': 0.9402985074626866, 'score': 0.9402985074626866, 'examples_seen': 22357, 'step': 750, 'algorithm': 'graham_scan'}
I0716 14:28:03.763990 137316556228096 run.py:722] (val) algo graham_scan step 800: {'in_hull': 0.9487704918032788, 'score': 0.9487704918032788, 'examples_seen': 23848, 'step': 800, 'algorithm': 'graham_scan'}
I0716 14:28:04.967739 137316556228096 run.py:722] (val) algo graham_scan step 850: {'in_hull': 0.931068931068931, 'score': 0.931068931068931, 'examples_seen': 25315, 'step': 850, 'algorithm': 'graham_scan'}
I0716 14:28:06.189013 137316556228096 run.py:722] (val) algo graham_scan step 900: {'in_hull': 0.9354497354497354, 'score': 0.9354497354497354, 'examples_seen': 26795, 'step': 900, 'algorithm': 'graham_scan'}
I0716 14:28:07.439955 137316556228096 run.py:722] (val) algo graham_scan step 950: {'in_hull': 0.9559748427672957, 'score': 0.9559748427672957, 'examples_seen': 28253, 'step': 950, 'algorithm': 'graham_scan'}
I0716 14:28:08.691859 137316556228096 run.py:722] (val) algo graham_scan step 1000: {'in_hull': 0.9551282051282051, 'score': 0.9551282051282051, 'examples_seen': 29767, 'step': 1000, 'algorithm': 'graham_scan'}
I0716 14:28:09.919718 137316556228096 run.py:722] (val) algo graham_scan step 1050: {'in_hull': 0.9254054054054054, 'score': 0.9254054054054054, 'examples_seen': 31278, 'step': 1050, 'algorithm': 'graham_scan'}
I0716 14:28:11.147408 137316556228096 run.py:722] (val) algo graham_scan step 1100: {'in_hull': 0.9634408602150538, 'score': 0.9634408602150538, 'examples_seen': 32763, 'step': 1100, 'algorithm': 'graham_scan'}
I0716 14:28:12.388764 137316556228096 run.py:722] (val) algo graham_scan step 1150: {'in_hull': 0.9372384937238494, 'score': 0.9372384937238494, 'examples_seen': 34257, 'step': 1150, 'algorithm': 'graham_scan'}
I0716 14:28:13.610673 137316556228096 run.py:722] (val) algo graham_scan step 1200: {'in_hull': 0.9292502639915523, 'score': 0.9292502639915523, 'examples_seen': 35720, 'step': 1200, 'algorithm': 'graham_scan'}
I0716 14:28:14.832382 137316556228096 run.py:722] (val) algo graham_scan step 1250: {'in_hull': 0.9495548961424333, 'score': 0.9495548961424333, 'examples_seen': 37198, 'step': 1250, 'algorithm': 'graham_scan'}
I0716 14:28:16.132846 137316556228096 run.py:722] (val) algo graham_scan step 1300: {'in_hull': 0.9673469387755101, 'score': 0.9673469387755101, 'examples_seen': 38661, 'step': 1300, 'algorithm': 'graham_scan'}
I0716 14:28:17.401272 137316556228096 run.py:722] (val) algo graham_scan step 1350: {'in_hull': 0.9352818371607518, 'score': 0.9352818371607518, 'examples_seen': 40169, 'step': 1350, 'algorithm': 'graham_scan'}
I0716 14:28:18.633583 137316556228096 run.py:722] (val) algo graham_scan step 1400: {'in_hull': 0.9393939393939394, 'score': 0.9393939393939394, 'examples_seen': 41685, 'step': 1400, 'algorithm': 'graham_scan'}
I0716 14:28:19.855655 137316556228096 run.py:722] (val) algo graham_scan step 1450: {'in_hull': 0.9427402862985685, 'score': 0.9427402862985685, 'examples_seen': 43173, 'step': 1450, 'algorithm': 'graham_scan'}
I0716 14:28:21.083591 137316556228096 run.py:722] (val) algo graham_scan step 1500: {'in_hull': 0.9456740442655935, 'score': 0.9456740442655935, 'examples_seen': 44660, 'step': 1500, 'algorithm': 'graham_scan'}
I0716 14:28:22.312429 137316556228096 run.py:722] (val) algo graham_scan step 1550: {'in_hull': 0.947799385875128, 'score': 0.947799385875128, 'examples_seen': 46133, 'step': 1550, 'algorithm': 'graham_scan'}
I0716 14:28:23.520743 137316556228096 run.py:722] (val) algo graham_scan step 1600: {'in_hull': 0.9351464435146444, 'score': 0.9351464435146444, 'examples_seen': 47603, 'step': 1600, 'algorithm': 'graham_scan'}
I0716 14:28:24.762131 137316556228096 run.py:722] (val) algo graham_scan step 1650: {'in_hull': 0.9547413793103448, 'score': 0.9547413793103448, 'examples_seen': 49068, 'step': 1650, 'algorithm': 'graham_scan'}
I0716 14:28:26.014935 137316556228096 run.py:722] (val) algo graham_scan step 1700: {'in_hull': 0.9494736842105262, 'score': 0.9494736842105262, 'examples_seen': 50579, 'step': 1700, 'algorithm': 'graham_scan'}
I0716 14:28:27.233884 137316556228096 run.py:722] (val) algo graham_scan step 1750: {'in_hull': 0.9551345962113659, 'score': 0.9551345962113659, 'examples_seen': 52102, 'step': 1750, 'algorithm': 'graham_scan'}
I0716 14:28:28.455850 137316556228096 run.py:722] (val) algo graham_scan step 1800: {'in_hull': 0.9348739495798319, 'score': 0.9348739495798319, 'examples_seen': 53576, 'step': 1800, 'algorithm': 'graham_scan'}
