{'pred': 0.1083984375, 'score': 0.1083984375, 'examples_seen': 16, 'step': 0, 'algorithm': 'heapsort'}
{'pred': 0.35546875, 'score': 0.35546875, 'examples_seen': 784, 'step': 50, 'algorithm': 'heapsort'}
{'pred': 0.4375, 'score': 0.4375, 'examples_seen': 1548, 'step': 100, 'algorithm': 'heapsort'}
{'pred': 0.4130859375, 'score': 0.4130859375, 'examples_seen': 2335, 'step': 150, 'algorithm': 'heapsort'}
{'pred': 0.4326171875, 'score': 0.4326171875, 'examples_seen': 3091, 'step': 200, 'algorithm': 'heapsort'}
{'pred': 0.4482421875, 'score': 0.4482421875, 'examples_seen': 3867, 'step': 250, 'algorithm': 'heapsort'}
{'pred': 0.4072265625, 'score': 0.4072265625, 'examples_seen': 4661, 'step': 300, 'algorithm': 'heapsort'}
{'pred': 0.455078125, 'score': 0.455078125, 'examples_seen': 5440, 'step': 350, 'algorithm': 'heapsort'}
{'pred': 0.2841796875, 'score': 0.2841796875, 'examples_seen': 6224, 'step': 400, 'algorithm': 'heapsort'}
{'pred': 0.4287109375, 'score': 0.4287109375, 'examples_seen': 6995, 'step': 450, 'algorithm': 'heapsort'}
{'pred': 0.4189453125, 'score': 0.4189453125, 'examples_seen': 7754, 'step': 500, 'algorithm': 'heapsort'}
{'pred': 0.3935546875, 'score': 0.3935546875, 'examples_seen': 8526, 'step': 550, 'algorithm': 'heapsort'}
{'pred': 0.3056640625, 'score': 0.3056640625, 'examples_seen': 9292, 'step': 600, 'algorithm': 'heapsort'}
{'pred': 0.3935546875, 'score': 0.3935546875, 'examples_seen': 10097, 'step': 650, 'algorithm': 'heapsort'}
{'pred': 0.3818359375, 'score': 0.3818359375, 'examples_seen': 10890, 'step': 700, 'algorithm': 'heapsort'}
{'pred': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 11659, 'step': 750, 'algorithm': 'heapsort'}
{'pred': 0.45703125, 'score': 0.45703125, 'examples_seen': 12433, 'step': 800, 'algorithm': 'heapsort'}
{'pred': 0.443359375, 'score': 0.443359375, 'examples_seen': 13204, 'step': 850, 'algorithm': 'heapsort'}
{'pred': 0.462890625, 'score': 0.462890625, 'examples_seen': 13958, 'step': 900, 'algorithm': 'heapsort'}
{'pred': 0.509765625, 'score': 0.509765625, 'examples_seen': 14724, 'step': 950, 'algorithm': 'heapsort'}
