{'pred': 0.251953125, 'score': 0.251953125, 'examples_seen': 80, 'step': 0, 'algorithm': 'insertion_sort'}
{'pred': 0.6015625, 'score': 0.6015625, 'examples_seen': 2640, 'step': 50, 'algorithm': 'insertion_sort'}
{'pred': 0.67578125, 'score': 0.67578125, 'examples_seen': 5200, 'step': 100, 'algorithm': 'insertion_sort'}
{'pred': 0.6318359375, 'score': 0.6318359375, 'examples_seen': 7744, 'step': 150, 'algorithm': 'insertion_sort'}
{'pred': 0.5986328125, 'score': 0.5986328125, 'examples_seen': 10288, 'step': 200, 'algorithm': 'insertion_sort'}
{'pred': 0.51953125, 'score': 0.51953125, 'examples_seen': 12816, 'step': 250, 'algorithm': 'insertion_sort'}
{'pred': 0.69921875, 'score': 0.69921875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'insertion_sort'}
{'pred': 0.509765625, 'score': 0.509765625, 'examples_seen': 18080, 'step': 350, 'algorithm': 'insertion_sort'}
{'pred': 0.591796875, 'score': 0.591796875, 'examples_seen': 20640, 'step': 400, 'algorithm': 'insertion_sort'}
{'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'insertion_sort'}
{'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 25744, 'step': 500, 'algorithm': 'insertion_sort'}
{'pred': 0.6904296875, 'score': 0.6904296875, 'examples_seen': 28288, 'step': 550, 'algorithm': 'insertion_sort'}
{'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 30832, 'step': 600, 'algorithm': 'insertion_sort'}
{'pred': 0.791015625, 'score': 0.791015625, 'examples_seen': 33456, 'step': 650, 'algorithm': 'insertion_sort'}
{'pred': 0.7939453125, 'score': 0.7939453125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'insertion_sort'}
{'pred': 0.76953125, 'score': 0.76953125, 'examples_seen': 38640, 'step': 750, 'algorithm': 'insertion_sort'}
{'pred': 0.7685546875, 'score': 0.7685546875, 'examples_seen': 41216, 'step': 800, 'algorithm': 'insertion_sort'}
{'pred': 0.7939453125, 'score': 0.7939453125, 'examples_seen': 43760, 'step': 850, 'algorithm': 'insertion_sort'}
{'pred': 0.728515625, 'score': 0.728515625, 'examples_seen': 46320, 'step': 900, 'algorithm': 'insertion_sort'}
{'pred': 0.7685546875, 'score': 0.7685546875, 'examples_seen': 48832, 'step': 950, 'algorithm': 'insertion_sort'}
{'pred': 0.70703125, 'score': 0.70703125, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'insertion_sort'}
{'pred': 0.84765625, 'score': 0.84765625, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'insertion_sort'}
{'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'insertion_sort'}
{'pred': 0.771484375, 'score': 0.771484375, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'insertion_sort'}
{'pred': 0.7783203125, 'score': 0.7783203125, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'insertion_sort'}
{'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'insertion_sort'}
{'pred': 0.8251953125, 'score': 0.8251953125, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'insertion_sort'}
{'pred': 0.892578125, 'score': 0.892578125, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'insertion_sort'}
{'pred': 0.822265625, 'score': 0.822265625, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'insertion_sort'}
{'pred': 0.859375, 'score': 0.859375, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'insertion_sort'}
{'pred': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'insertion_sort'}
{'pred': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'insertion_sort'}
{'pred': 0.8955078125, 'score': 0.8955078125, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'insertion_sort'}
{'pred': 0.8984375, 'score': 0.8984375, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'insertion_sort'}
{'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'insertion_sort'}
{'pred': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'insertion_sort'}
{'pred': 0.892578125, 'score': 0.892578125, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'insertion_sort'}
{'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'insertion_sort'}
{'pred': 0.927734375, 'score': 0.927734375, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'insertion_sort'}
{'pred': 0.912109375, 'score': 0.912109375, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'insertion_sort'}
{'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'insertion_sort'}
{'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'insertion_sort'}
{'pred': 0.935546875, 'score': 0.935546875, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'insertion_sort'}
{'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'insertion_sort'}
{'pred': 0.904296875, 'score': 0.904296875, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'insertion_sort'}
{'pred': 0.890625, 'score': 0.890625, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'insertion_sort'}
{'pred': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'insertion_sort'}
{'pred': 0.939453125, 'score': 0.939453125, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'insertion_sort'}
{'pred': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'insertion_sort'}
{'pred': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'insertion_sort'}
{'pred': 0.931640625, 'score': 0.931640625, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'insertion_sort'}
{'pred': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'insertion_sort'}
{'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'insertion_sort'}
{'pred': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'insertion_sort'}
{'pred': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'insertion_sort'}
{'pred': 0.919921875, 'score': 0.919921875, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'insertion_sort'}
{'pred': 0.8779296875, 'score': 0.8779296875, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'insertion_sort'}
{'pred': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'insertion_sort'}
{'pred': 0.8857421875, 'score': 0.8857421875, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'insertion_sort'}
{'pred': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'insertion_sort'}
{'pred': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'insertion_sort'}
{'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'insertion_sort'}
{'pred': 0.947265625, 'score': 0.947265625, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'insertion_sort'}
{'pred': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'insertion_sort'}
{'pred': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'insertion_sort'}
{'pred': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'insertion_sort'}
{'pred': 0.8583984375, 'score': 0.8583984375, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'insertion_sort'}
{'pred': 0.9609375, 'score': 0.9609375, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'insertion_sort'}
{'pred': 0.94140625, 'score': 0.94140625, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'insertion_sort'}
{'pred': 0.9453125, 'score': 0.9453125, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'insertion_sort'}
{'pred': 0.9306640625, 'score': 0.9306640625, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'insertion_sort'}
{'pred': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'insertion_sort'}
{'pred': 0.9375, 'score': 0.9375, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'insertion_sort'}
{'pred': 0.951171875, 'score': 0.951171875, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'insertion_sort'}
{'pred': 0.939453125, 'score': 0.939453125, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'insertion_sort'}
{'pred': 0.966796875, 'score': 0.966796875, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'insertion_sort'}
{'pred': 0.951171875, 'score': 0.951171875, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'insertion_sort'}
{'pred': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'insertion_sort'}
{'pred': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'insertion_sort'}
{'pred': 0.953125, 'score': 0.953125, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'insertion_sort'}
{'pred': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'insertion_sort'}
{'pred': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'insertion_sort'}
{'pred': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'insertion_sort'}
{'pred': 0.923828125, 'score': 0.923828125, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'insertion_sort'}
{'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'insertion_sort'}
{'pred': 0.974609375, 'score': 0.974609375, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'insertion_sort'}
{'pred': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'insertion_sort'}
{'pred': 0.96484375, 'score': 0.96484375, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'insertion_sort'}
{'pred': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'insertion_sort'}
{'pred': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'insertion_sort'}
{'pred': 0.958984375, 'score': 0.958984375, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'insertion_sort'}
{'pred': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'insertion_sort'}
{'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'insertion_sort'}
{'pred': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'insertion_sort'}
{'pred': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'insertion_sort'}
{'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'insertion_sort'}
{'pred': 0.951171875, 'score': 0.951171875, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'insertion_sort'}
{'pred': 0.974609375, 'score': 0.974609375, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'insertion_sort'}
{'pred': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'insertion_sort'}
{'pred': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'insertion_sort'}
{'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'insertion_sort'}
{'pred': 0.943359375, 'score': 0.943359375, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'insertion_sort'}
{'pred': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'insertion_sort'}
{'pred': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'insertion_sort'}
{'pred': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'insertion_sort'}
{'pred': 0.9453125, 'score': 0.9453125, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'insertion_sort'}
{'pred': 0.94921875, 'score': 0.94921875, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'insertion_sort'}
{'pred': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'insertion_sort'}
{'pred': 0.98828125, 'score': 0.98828125, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'insertion_sort'}
{'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'insertion_sort'}
{'pred': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'insertion_sort'}
{'pred': 0.904296875, 'score': 0.904296875, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'insertion_sort'}
{'pred': 0.921875, 'score': 0.921875, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'insertion_sort'}
{'pred': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'insertion_sort'}
{'pred': 0.947265625, 'score': 0.947265625, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'insertion_sort'}
{'pred': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'insertion_sort'}
{'pred': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'insertion_sort'}
{'pred': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'insertion_sort'}
{'pred': 0.935546875, 'score': 0.935546875, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'insertion_sort'}
{'pred': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'insertion_sort'}
{'pred': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'insertion_sort'}
{'pred': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'insertion_sort'}
{'pred': 0.90234375, 'score': 0.90234375, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'insertion_sort'}
{'pred': 0.966796875, 'score': 0.966796875, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'insertion_sort'}
{'pred': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'insertion_sort'}
{'pred': 0.9375, 'score': 0.9375, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'insertion_sort'}
{'pred': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'insertion_sort'}
{'pred': 0.93359375, 'score': 0.93359375, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'insertion_sort'}
{'pred': 0.9375, 'score': 0.9375, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'insertion_sort'}
{'pred': 0.9765625, 'score': 0.9765625, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'insertion_sort'}
{'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'insertion_sort'}
{'pred': 0.919921875, 'score': 0.919921875, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'insertion_sort'}
{'pred': 0.97265625, 'score': 0.97265625, 'examples_seen': 347280, 'step': 6750, 'algorithm': 'insertion_sort'}
{'pred': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 349824, 'step': 6800, 'algorithm': 'insertion_sort'}
{'pred': 0.96484375, 'score': 0.96484375, 'examples_seen': 352368, 'step': 6850, 'algorithm': 'insertion_sort'}
{'pred': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 354896, 'step': 6900, 'algorithm': 'insertion_sort'}
{'pred': 0.94921875, 'score': 0.94921875, 'examples_seen': 357536, 'step': 6950, 'algorithm': 'insertion_sort'}
{'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 360176, 'step': 7000, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 362720, 'step': 7050, 'algorithm': 'insertion_sort'}
{'pred': 0.966796875, 'score': 0.966796875, 'examples_seen': 365280, 'step': 7100, 'algorithm': 'insertion_sort'}
{'pred': 0.9375, 'score': 0.9375, 'examples_seen': 367824, 'step': 7150, 'algorithm': 'insertion_sort'}
{'pred': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 370368, 'step': 7200, 'algorithm': 'insertion_sort'}
{'pred': 0.970703125, 'score': 0.970703125, 'examples_seen': 372896, 'step': 7250, 'algorithm': 'insertion_sort'}
{'pred': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 375536, 'step': 7300, 'algorithm': 'insertion_sort'}
{'pred': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 378144, 'step': 7350, 'algorithm': 'insertion_sort'}
{'pred': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 380720, 'step': 7400, 'algorithm': 'insertion_sort'}
{'pred': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 383280, 'step': 7450, 'algorithm': 'insertion_sort'}
{'pred': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 385808, 'step': 7500, 'algorithm': 'insertion_sort'}
{'pred': 0.94921875, 'score': 0.94921875, 'examples_seen': 388368, 'step': 7550, 'algorithm': 'insertion_sort'}
