{'match': 0.032958984375, 'score': 0.032958984375, 'examples_seen': 15, 'step': 0, 'algorithm': 'kmp_matcher'}
{'match': 0.14453125, 'score': 0.14453125, 'examples_seen': 850, 'step': 50, 'algorithm': 'kmp_matcher'}
{'match': 0.108154296875, 'score': 0.108154296875, 'examples_seen': 1677, 'step': 100, 'algorithm': 'kmp_matcher'}
{'match': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 2534, 'step': 150, 'algorithm': 'kmp_matcher'}
{'match': 0.1171875, 'score': 0.1171875, 'examples_seen': 3395, 'step': 200, 'algorithm': 'kmp_matcher'}
{'match': 0.11572265625, 'score': 0.11572265625, 'examples_seen': 4240, 'step': 250, 'algorithm': 'kmp_matcher'}
{'match': 0.11328125, 'score': 0.11328125, 'examples_seen': 5090, 'step': 300, 'algorithm': 'kmp_matcher'}
{'match': 0.153076171875, 'score': 0.153076171875, 'examples_seen': 5932, 'step': 350, 'algorithm': 'kmp_matcher'}
{'match': 0.389404296875, 'score': 0.389404296875, 'examples_seen': 6763, 'step': 400, 'algorithm': 'kmp_matcher'}
{'match': 0.251220703125, 'score': 0.251220703125, 'examples_seen': 7613, 'step': 450, 'algorithm': 'kmp_matcher'}
{'match': 0.39013671875, 'score': 0.39013671875, 'examples_seen': 8457, 'step': 500, 'algorithm': 'kmp_matcher'}
{'match': 0.392333984375, 'score': 0.392333984375, 'examples_seen': 9277, 'step': 550, 'algorithm': 'kmp_matcher'}
{'match': 0.527587890625, 'score': 0.527587890625, 'examples_seen': 10135, 'step': 600, 'algorithm': 'kmp_matcher'}
{'match': 0.458251953125, 'score': 0.458251953125, 'examples_seen': 10984, 'step': 650, 'algorithm': 'kmp_matcher'}
{'match': 0.65771484375, 'score': 0.65771484375, 'examples_seen': 11832, 'step': 700, 'algorithm': 'kmp_matcher'}
{'match': 0.675048828125, 'score': 0.675048828125, 'examples_seen': 12678, 'step': 750, 'algorithm': 'kmp_matcher'}
{'match': 0.608154296875, 'score': 0.608154296875, 'examples_seen': 13522, 'step': 800, 'algorithm': 'kmp_matcher'}
