{'s': 0.16259765625, 'score': 0.16259765625, 'examples_seen': 128, 'step': 0, 'algorithm': 'matrix_chain_order'}
{'s': 0.67388916015625, 'score': 0.67388916015625, 'examples_seen': 4218, 'step': 50, 'algorithm': 'matrix_chain_order'}
{'s': 0.7313232421875, 'score': 0.7313232421875, 'examples_seen': 8294, 'step': 100, 'algorithm': 'matrix_chain_order'}
{'s': 0.74237060546875, 'score': 0.74237060546875, 'examples_seen': 12355, 'step': 150, 'algorithm': 'matrix_chain_order'}
{'s': 0.84259033203125, 'score': 0.84259033203125, 'examples_seen': 16408, 'step': 200, 'algorithm': 'matrix_chain_order'}
{'s': 0.8328857421875, 'score': 0.8328857421875, 'examples_seen': 20456, 'step': 250, 'algorithm': 'matrix_chain_order'}
{'s': 0.87200927734375, 'score': 0.87200927734375, 'examples_seen': 24737, 'step': 300, 'algorithm': 'matrix_chain_order'}
{'s': 0.878662109375, 'score': 0.878662109375, 'examples_seen': 28894, 'step': 350, 'algorithm': 'matrix_chain_order'}
{'s': 0.8900146484375, 'score': 0.8900146484375, 'examples_seen': 32991, 'step': 400, 'algorithm': 'matrix_chain_order'}
{'s': 0.84808349609375, 'score': 0.84808349609375, 'examples_seen': 37073, 'step': 450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9140625, 'score': 0.9140625, 'examples_seen': 41130, 'step': 500, 'algorithm': 'matrix_chain_order'}
{'s': 0.91033935546875, 'score': 0.91033935546875, 'examples_seen': 45165, 'step': 550, 'algorithm': 'matrix_chain_order'}
{'s': 0.91583251953125, 'score': 0.91583251953125, 'examples_seen': 49209, 'step': 600, 'algorithm': 'matrix_chain_order'}
{'s': 0.91180419921875, 'score': 0.91180419921875, 'examples_seen': 53487, 'step': 650, 'algorithm': 'matrix_chain_order'}
{'s': 0.90838623046875, 'score': 0.90838623046875, 'examples_seen': 57638, 'step': 700, 'algorithm': 'matrix_chain_order'}
{'s': 0.92791748046875, 'score': 0.92791748046875, 'examples_seen': 61733, 'step': 750, 'algorithm': 'matrix_chain_order'}
{'s': 0.939208984375, 'score': 0.939208984375, 'examples_seen': 65801, 'step': 800, 'algorithm': 'matrix_chain_order'}
{'s': 0.94305419921875, 'score': 0.94305419921875, 'examples_seen': 69859, 'step': 850, 'algorithm': 'matrix_chain_order'}
{'s': 0.939697265625, 'score': 0.939697265625, 'examples_seen': 73922, 'step': 900, 'algorithm': 'matrix_chain_order'}
