I0716 15:55:25.860742 128740243666432 run.py:722] (val) algo minimum step 0: {'min': 0.123046875, 'score': 0.123046875, 'examples_seen': 80, 'step': 0, 'algorithm': 'minimum'}
I0716 15:56:30.875408 128740243666432 run.py:722] (val) algo minimum step 50: {'min': 0.69775390625, 'score': 0.69775390625, 'examples_seen': 2640, 'step': 50, 'algorithm': 'minimum'}
I0716 15:56:32.638641 128740243666432 run.py:722] (val) algo minimum step 100: {'min': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 5200, 'step': 100, 'algorithm': 'minimum'}
I0716 15:56:34.370748 128740243666432 run.py:722] (val) algo minimum step 150: {'min': 0.888671875, 'score': 0.888671875, 'examples_seen': 7744, 'step': 150, 'algorithm': 'minimum'}
I0716 15:56:36.102320 128740243666432 run.py:722] (val) algo minimum step 200: {'min': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 10288, 'step': 200, 'algorithm': 'minimum'}
I0716 15:56:37.850111 128740243666432 run.py:722] (val) algo minimum step 250: {'min': 0.88037109375, 'score': 0.88037109375, 'examples_seen': 12816, 'step': 250, 'algorithm': 'minimum'}
I0716 15:56:39.594457 128740243666432 run.py:722] (val) algo minimum step 300: {'min': 0.875, 'score': 0.875, 'examples_seen': 15472, 'step': 300, 'algorithm': 'minimum'}
I0716 15:56:41.328785 128740243666432 run.py:722] (val) algo minimum step 350: {'min': 0.81884765625, 'score': 0.81884765625, 'examples_seen': 18080, 'step': 350, 'algorithm': 'minimum'}
I0716 15:56:43.047741 128740243666432 run.py:722] (val) algo minimum step 400: {'min': 0.820068359375, 'score': 0.820068359375, 'examples_seen': 20640, 'step': 400, 'algorithm': 'minimum'}
I0716 15:56:44.769293 128740243666432 run.py:722] (val) algo minimum step 450: {'min': 0.857666015625, 'score': 0.857666015625, 'examples_seen': 23216, 'step': 450, 'algorithm': 'minimum'}
I0716 15:56:46.492972 128740243666432 run.py:722] (val) algo minimum step 500: {'min': 0.947265625, 'score': 0.947265625, 'examples_seen': 25744, 'step': 500, 'algorithm': 'minimum'}
I0716 15:56:48.228480 128740243666432 run.py:722] (val) algo minimum step 550: {'min': 0.85791015625, 'score': 0.85791015625, 'examples_seen': 28288, 'step': 550, 'algorithm': 'minimum'}
I0716 15:56:49.974223 128740243666432 run.py:722] (val) algo minimum step 600: {'min': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 30832, 'step': 600, 'algorithm': 'minimum'}
I0716 15:56:51.726254 128740243666432 run.py:722] (val) algo minimum step 650: {'min': 0.90283203125, 'score': 0.90283203125, 'examples_seen': 33456, 'step': 650, 'algorithm': 'minimum'}
I0716 15:56:53.444695 128740243666432 run.py:722] (val) algo minimum step 700: {'min': 0.85986328125, 'score': 0.85986328125, 'examples_seen': 36080, 'step': 700, 'algorithm': 'minimum'}
I0716 15:56:55.169008 128740243666432 run.py:722] (val) algo minimum step 750: {'min': 0.904296875, 'score': 0.904296875, 'examples_seen': 38640, 'step': 750, 'algorithm': 'minimum'}
I0716 15:56:56.903348 128740243666432 run.py:722] (val) algo minimum step 800: {'min': 0.895751953125, 'score': 0.895751953125, 'examples_seen': 41216, 'step': 800, 'algorithm': 'minimum'}
I0716 15:56:58.616485 128740243666432 run.py:722] (val) algo minimum step 850: {'min': 0.914794921875, 'score': 0.914794921875, 'examples_seen': 43760, 'step': 850, 'algorithm': 'minimum'}
I0716 15:57:00.341336 128740243666432 run.py:722] (val) algo minimum step 900: {'min': 0.96240234375, 'score': 0.96240234375, 'examples_seen': 46320, 'step': 900, 'algorithm': 'minimum'}
I0716 15:57:02.085933 128740243666432 run.py:722] (val) algo minimum step 950: {'min': 0.910400390625, 'score': 0.910400390625, 'examples_seen': 48832, 'step': 950, 'algorithm': 'minimum'}
I0716 15:57:03.852295 128740243666432 run.py:722] (val) algo minimum step 1000: {'min': 0.855224609375, 'score': 0.855224609375, 'examples_seen': 51488, 'step': 1000, 'algorithm': 'minimum'}
I0716 15:57:05.595335 128740243666432 run.py:722] (val) algo minimum step 1050: {'min': 0.958251953125, 'score': 0.958251953125, 'examples_seen': 54080, 'step': 1050, 'algorithm': 'minimum'}
I0716 15:57:07.330071 128740243666432 run.py:722] (val) algo minimum step 1100: {'min': 0.89306640625, 'score': 0.89306640625, 'examples_seen': 56656, 'step': 1100, 'algorithm': 'minimum'}
I0716 15:57:09.066029 128740243666432 run.py:722] (val) algo minimum step 1150: {'min': 0.96728515625, 'score': 0.96728515625, 'examples_seen': 59232, 'step': 1150, 'algorithm': 'minimum'}
I0716 15:57:10.817417 128740243666432 run.py:722] (val) algo minimum step 1200: {'min': 0.92138671875, 'score': 0.92138671875, 'examples_seen': 61744, 'step': 1200, 'algorithm': 'minimum'}
I0716 15:57:12.546961 128740243666432 run.py:722] (val) algo minimum step 1250: {'min': 0.936767578125, 'score': 0.936767578125, 'examples_seen': 64304, 'step': 1250, 'algorithm': 'minimum'}
I0716 15:57:14.281694 128740243666432 run.py:722] (val) algo minimum step 1300: {'min': 0.956787109375, 'score': 0.956787109375, 'examples_seen': 66848, 'step': 1300, 'algorithm': 'minimum'}
I0716 15:57:16.024393 128740243666432 run.py:722] (val) algo minimum step 1350: {'min': 0.947265625, 'score': 0.947265625, 'examples_seen': 69472, 'step': 1350, 'algorithm': 'minimum'}
I0716 15:57:17.744035 128740243666432 run.py:722] (val) algo minimum step 1400: {'min': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 72096, 'step': 1400, 'algorithm': 'minimum'}
I0716 15:57:19.453191 128740243666432 run.py:722] (val) algo minimum step 1450: {'min': 0.965576171875, 'score': 0.965576171875, 'examples_seen': 74656, 'step': 1450, 'algorithm': 'minimum'}
I0716 15:57:21.170265 128740243666432 run.py:722] (val) algo minimum step 1500: {'min': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 77216, 'step': 1500, 'algorithm': 'minimum'}
I0716 15:57:22.902912 128740243666432 run.py:722] (val) algo minimum step 1550: {'min': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 79760, 'step': 1550, 'algorithm': 'minimum'}
I0716 15:57:24.632589 128740243666432 run.py:722] (val) algo minimum step 1600: {'min': 0.97705078125, 'score': 0.97705078125, 'examples_seen': 82304, 'step': 1600, 'algorithm': 'minimum'}
I0716 15:57:26.358219 128740243666432 run.py:722] (val) algo minimum step 1650: {'min': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 84832, 'step': 1650, 'algorithm': 'minimum'}
I0716 15:57:28.116120 128740243666432 run.py:722] (val) algo minimum step 1700: {'min': 0.980224609375, 'score': 0.980224609375, 'examples_seen': 87472, 'step': 1700, 'algorithm': 'minimum'}
I0716 15:57:29.868755 128740243666432 run.py:722] (val) algo minimum step 1750: {'min': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 90096, 'step': 1750, 'algorithm': 'minimum'}
I0716 15:57:31.604911 128740243666432 run.py:722] (val) algo minimum step 1800: {'min': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 92656, 'step': 1800, 'algorithm': 'minimum'}
I0716 15:57:33.332541 128740243666432 run.py:722] (val) algo minimum step 1850: {'min': 0.958251953125, 'score': 0.958251953125, 'examples_seen': 95232, 'step': 1850, 'algorithm': 'minimum'}
I0716 15:57:35.064651 128740243666432 run.py:722] (val) algo minimum step 1900: {'min': 0.968994140625, 'score': 0.968994140625, 'examples_seen': 97776, 'step': 1900, 'algorithm': 'minimum'}
I0716 15:57:36.792106 128740243666432 run.py:722] (val) algo minimum step 1950: {'min': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 100320, 'step': 1950, 'algorithm': 'minimum'}
I0716 15:57:38.524693 128740243666432 run.py:722] (val) algo minimum step 2000: {'min': 0.976806640625, 'score': 0.976806640625, 'examples_seen': 102848, 'step': 2000, 'algorithm': 'minimum'}
I0716 15:57:40.270182 128740243666432 run.py:722] (val) algo minimum step 2050: {'min': 0.947265625, 'score': 0.947265625, 'examples_seen': 105488, 'step': 2050, 'algorithm': 'minimum'}
I0716 15:57:42.013272 128740243666432 run.py:722] (val) algo minimum step 2100: {'min': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 108096, 'step': 2100, 'algorithm': 'minimum'}
I0716 15:57:43.759968 128740243666432 run.py:722] (val) algo minimum step 2150: {'min': 0.984375, 'score': 0.984375, 'examples_seen': 110688, 'step': 2150, 'algorithm': 'minimum'}
I0716 15:57:45.509294 128740243666432 run.py:722] (val) algo minimum step 2200: {'min': 0.924072265625, 'score': 0.924072265625, 'examples_seen': 113232, 'step': 2200, 'algorithm': 'minimum'}
I0716 15:57:47.237606 128740243666432 run.py:722] (val) algo minimum step 2250: {'min': 0.96484375, 'score': 0.96484375, 'examples_seen': 115760, 'step': 2250, 'algorithm': 'minimum'}
I0716 15:57:48.957313 128740243666432 run.py:722] (val) algo minimum step 2300: {'min': 0.972900390625, 'score': 0.972900390625, 'examples_seen': 118336, 'step': 2300, 'algorithm': 'minimum'}
I0716 15:57:50.690279 128740243666432 run.py:722] (val) algo minimum step 2350: {'min': 0.970703125, 'score': 0.970703125, 'examples_seen': 120848, 'step': 2350, 'algorithm': 'minimum'}
I0716 15:57:52.432849 128740243666432 run.py:722] (val) algo minimum step 2400: {'min': 0.973876953125, 'score': 0.973876953125, 'examples_seen': 123488, 'step': 2400, 'algorithm': 'minimum'}
I0716 15:57:54.165043 128740243666432 run.py:722] (val) algo minimum step 2450: {'min': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 126112, 'step': 2450, 'algorithm': 'minimum'}
I0716 15:57:55.899995 128740243666432 run.py:722] (val) algo minimum step 2500: {'min': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 128656, 'step': 2500, 'algorithm': 'minimum'}
I0716 15:57:57.634606 128740243666432 run.py:722] (val) algo minimum step 2550: {'min': 0.9453125, 'score': 0.9453125, 'examples_seen': 131232, 'step': 2550, 'algorithm': 'minimum'}
I0716 15:57:59.359641 128740243666432 run.py:722] (val) algo minimum step 2600: {'min': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 133760, 'step': 2600, 'algorithm': 'minimum'}
I0716 15:58:01.076143 128740243666432 run.py:722] (val) algo minimum step 2650: {'min': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 136304, 'step': 2650, 'algorithm': 'minimum'}
I0716 15:58:02.801894 128740243666432 run.py:722] (val) algo minimum step 2700: {'min': 0.939208984375, 'score': 0.939208984375, 'examples_seen': 138848, 'step': 2700, 'algorithm': 'minimum'}
I0716 15:58:04.544656 128740243666432 run.py:722] (val) algo minimum step 2750: {'min': 0.98193359375, 'score': 0.98193359375, 'examples_seen': 141488, 'step': 2750, 'algorithm': 'minimum'}
I0716 15:58:06.283501 128740243666432 run.py:722] (val) algo minimum step 2800: {'min': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 144112, 'step': 2800, 'algorithm': 'minimum'}
I0716 15:58:08.022003 128740243666432 run.py:722] (val) algo minimum step 2850: {'min': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 146672, 'step': 2850, 'algorithm': 'minimum'}
I0716 15:58:09.748281 128740243666432 run.py:722] (val) algo minimum step 2900: {'min': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'minimum'}
I0716 15:58:11.704058 128740243666432 run.py:722] (val) algo minimum step 2950: {'min': 0.961669921875, 'score': 0.961669921875, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'minimum'}
I0716 15:58:13.430793 128740243666432 run.py:722] (val) algo minimum step 3000: {'min': 0.952880859375, 'score': 0.952880859375, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'minimum'}
I0716 15:58:15.152722 128740243666432 run.py:722] (val) algo minimum step 3050: {'min': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'minimum'}
I0716 15:58:16.889383 128740243666432 run.py:722] (val) algo minimum step 3100: {'min': 0.928955078125, 'score': 0.928955078125, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'minimum'}
I0716 15:58:18.628700 128740243666432 run.py:722] (val) algo minimum step 3150: {'min': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'minimum'}
I0716 15:58:20.347598 128740243666432 run.py:722] (val) algo minimum step 3200: {'min': 0.974609375, 'score': 0.974609375, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'minimum'}
I0716 15:58:22.080349 128740243666432 run.py:722] (val) algo minimum step 3250: {'min': 0.95751953125, 'score': 0.95751953125, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'minimum'}
I0716 15:58:23.793575 128740243666432 run.py:722] (val) algo minimum step 3300: {'min': 0.914306640625, 'score': 0.914306640625, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'minimum'}
I0716 15:58:25.523075 128740243666432 run.py:722] (val) algo minimum step 3350: {'min': 0.95947265625, 'score': 0.95947265625, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'minimum'}
I0716 15:58:27.257490 128740243666432 run.py:722] (val) algo minimum step 3400: {'min': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'minimum'}
I0716 15:58:29.014830 128740243666432 run.py:722] (val) algo minimum step 3450: {'min': 0.977783203125, 'score': 0.977783203125, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'minimum'}
I0716 15:58:30.752140 128740243666432 run.py:722] (val) algo minimum step 3500: {'min': 0.967529296875, 'score': 0.967529296875, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'minimum'}
I0716 15:58:32.468710 128740243666432 run.py:722] (val) algo minimum step 3550: {'min': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'minimum'}
I0716 15:58:34.197996 128740243666432 run.py:722] (val) algo minimum step 3600: {'min': 0.949462890625, 'score': 0.949462890625, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'minimum'}
I0716 15:58:35.917376 128740243666432 run.py:722] (val) algo minimum step 3650: {'min': 0.983154296875, 'score': 0.983154296875, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'minimum'}
I0716 15:58:37.635003 128740243666432 run.py:722] (val) algo minimum step 3700: {'min': 0.96337890625, 'score': 0.96337890625, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'minimum'}
I0716 15:58:39.364388 128740243666432 run.py:722] (val) algo minimum step 3750: {'min': 0.978271484375, 'score': 0.978271484375, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'minimum'}
I0716 15:58:41.136946 128740243666432 run.py:722] (val) algo minimum step 3800: {'min': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'minimum'}
I0716 15:58:42.876566 128740243666432 run.py:722] (val) algo minimum step 3850: {'min': 0.91748046875, 'score': 0.91748046875, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'minimum'}
I0716 15:58:44.604566 128740243666432 run.py:722] (val) algo minimum step 3900: {'min': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'minimum'}
I0716 15:58:46.340011 128740243666432 run.py:722] (val) algo minimum step 3950: {'min': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'minimum'}
I0716 15:58:48.050285 128740243666432 run.py:722] (val) algo minimum step 4000: {'min': 0.973388671875, 'score': 0.973388671875, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'minimum'}
I0716 15:58:49.766424 128740243666432 run.py:722] (val) algo minimum step 4050: {'min': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'minimum'}
I0716 15:58:51.505356 128740243666432 run.py:722] (val) algo minimum step 4100: {'min': 0.98046875, 'score': 0.98046875, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'minimum'}
I0716 15:58:53.246540 128740243666432 run.py:722] (val) algo minimum step 4150: {'min': 0.983642578125, 'score': 0.983642578125, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'minimum'}
I0716 15:58:54.979907 128740243666432 run.py:722] (val) algo minimum step 4200: {'min': 0.984619140625, 'score': 0.984619140625, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'minimum'}
I0716 15:58:56.696254 128740243666432 run.py:722] (val) algo minimum step 4250: {'min': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'minimum'}
I0716 15:58:58.417845 128740243666432 run.py:722] (val) algo minimum step 4300: {'min': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'minimum'}
I0716 15:59:00.136273 128740243666432 run.py:722] (val) algo minimum step 4350: {'min': 0.986328125, 'score': 0.986328125, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'minimum'}
I0716 15:59:01.851666 128740243666432 run.py:722] (val) algo minimum step 4400: {'min': 0.961669921875, 'score': 0.961669921875, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'minimum'}
I0716 15:59:03.573051 128740243666432 run.py:722] (val) algo minimum step 4450: {'min': 0.971435546875, 'score': 0.971435546875, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'minimum'}
I0716 15:59:05.314853 128740243666432 run.py:722] (val) algo minimum step 4500: {'min': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'minimum'}
I0716 15:59:07.052709 128740243666432 run.py:722] (val) algo minimum step 4550: {'min': 0.968505859375, 'score': 0.968505859375, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'minimum'}
I0716 15:59:08.776790 128740243666432 run.py:722] (val) algo minimum step 4600: {'min': 0.977294921875, 'score': 0.977294921875, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'minimum'}
I0716 15:59:10.499972 128740243666432 run.py:722] (val) algo minimum step 4650: {'min': 0.986328125, 'score': 0.986328125, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'minimum'}
I0716 15:59:12.221722 128740243666432 run.py:722] (val) algo minimum step 4700: {'min': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'minimum'}
I0716 15:59:13.941642 128740243666432 run.py:722] (val) algo minimum step 4750: {'min': 0.973876953125, 'score': 0.973876953125, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'minimum'}
I0716 15:59:15.663564 128740243666432 run.py:722] (val) algo minimum step 4800: {'min': 0.94091796875, 'score': 0.94091796875, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'minimum'}
I0716 15:59:17.393781 128740243666432 run.py:722] (val) algo minimum step 4850: {'min': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'minimum'}
I0716 15:59:19.135627 128740243666432 run.py:722] (val) algo minimum step 4900: {'min': 0.979248046875, 'score': 0.979248046875, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'minimum'}
I0716 15:59:20.863786 128740243666432 run.py:722] (val) algo minimum step 4950: {'min': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'minimum'}
I0716 15:59:22.584024 128740243666432 run.py:722] (val) algo minimum step 5000: {'min': 0.961181640625, 'score': 0.961181640625, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'minimum'}
I0716 15:59:24.315806 128740243666432 run.py:722] (val) algo minimum step 5050: {'min': 0.986083984375, 'score': 0.986083984375, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'minimum'}
I0716 15:59:26.034707 128740243666432 run.py:722] (val) algo minimum step 5100: {'min': 0.955810546875, 'score': 0.955810546875, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'minimum'}
I0716 15:59:27.758737 128740243666432 run.py:722] (val) algo minimum step 5150: {'min': 0.968017578125, 'score': 0.968017578125, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'minimum'}
I0716 15:59:29.488345 128740243666432 run.py:722] (val) algo minimum step 5200: {'min': 0.971923828125, 'score': 0.971923828125, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'minimum'}
I0716 15:59:31.213665 128740243666432 run.py:722] (val) algo minimum step 5250: {'min': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'minimum'}
I0716 15:59:32.933279 128740243666432 run.py:722] (val) algo minimum step 5300: {'min': 0.94970703125, 'score': 0.94970703125, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'minimum'}
I0716 15:59:34.665306 128740243666432 run.py:722] (val) algo minimum step 5350: {'min': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'minimum'}
I0716 15:59:36.388318 128740243666432 run.py:722] (val) algo minimum step 5400: {'min': 0.97802734375, 'score': 0.97802734375, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'minimum'}
I0716 15:59:38.112983 128740243666432 run.py:722] (val) algo minimum step 5450: {'min': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'minimum'}
I0716 15:59:39.844784 128740243666432 run.py:722] (val) algo minimum step 5500: {'min': 0.897705078125, 'score': 0.897705078125, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'minimum'}
I0716 15:59:41.588150 128740243666432 run.py:722] (val) algo minimum step 5550: {'min': 0.966552734375, 'score': 0.966552734375, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'minimum'}
I0716 15:59:43.328385 128740243666432 run.py:722] (val) algo minimum step 5600: {'min': 0.972412109375, 'score': 0.972412109375, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'minimum'}
I0716 15:59:45.052231 128740243666432 run.py:722] (val) algo minimum step 5650: {'min': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'minimum'}
I0716 15:59:46.783729 128740243666432 run.py:722] (val) algo minimum step 5700: {'min': 0.9765625, 'score': 0.9765625, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'minimum'}
I0716 15:59:48.511535 128740243666432 run.py:722] (val) algo minimum step 5750: {'min': 0.970458984375, 'score': 0.970458984375, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'minimum'}
I0716 15:59:50.242585 128740243666432 run.py:722] (val) algo minimum step 5800: {'min': 0.944091796875, 'score': 0.944091796875, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'minimum'}
I0716 15:59:51.969530 128740243666432 run.py:722] (val) algo minimum step 5850: {'min': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'minimum'}
I0716 15:59:53.713355 128740243666432 run.py:722] (val) algo minimum step 5900: {'min': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'minimum'}
I0716 15:59:55.444136 128740243666432 run.py:722] (val) algo minimum step 5950: {'min': 0.974609375, 'score': 0.974609375, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'minimum'}
I0716 15:59:57.166765 128740243666432 run.py:722] (val) algo minimum step 6000: {'min': 0.986328125, 'score': 0.986328125, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'minimum'}
I0716 15:59:58.904219 128740243666432 run.py:722] (val) algo minimum step 6050: {'min': 0.92578125, 'score': 0.92578125, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'minimum'}
I0716 16:00:00.614323 128740243666432 run.py:722] (val) algo minimum step 6100: {'min': 0.978271484375, 'score': 0.978271484375, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'minimum'}
I0716 16:00:02.335837 128740243666432 run.py:722] (val) algo minimum step 6150: {'min': 0.978759765625, 'score': 0.978759765625, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'minimum'}
I0716 16:00:04.074606 128740243666432 run.py:722] (val) algo minimum step 6200: {'min': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'minimum'}
I0716 16:00:05.826189 128740243666432 run.py:722] (val) algo minimum step 6250: {'min': 0.970458984375, 'score': 0.970458984375, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'minimum'}
I0716 16:00:07.559640 128740243666432 run.py:722] (val) algo minimum step 6300: {'min': 0.974365234375, 'score': 0.974365234375, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'minimum'}
I0716 16:00:09.282022 128740243666432 run.py:722] (val) algo minimum step 6350: {'min': 0.958740234375, 'score': 0.958740234375, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'minimum'}
