I0716 16:04:01.751004 128490841785856 run.py:722] (val) algo mst_kruskal step 0: {'in_mst': 0.3429852419204184, 'score': 0.3429852419204184, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'}
I0716 16:05:45.317389 128490841785856 run.py:722] (val) algo mst_kruskal step 50: {'in_mst': 0.6358930112165659, 'score': 0.6358930112165659, 'examples_seen': 4391, 'step': 50, 'algorithm': 'mst_kruskal'}
I0716 16:05:48.790930 128490841785856 run.py:722] (val) algo mst_kruskal step 100: {'in_mst': 0.5396039603960396, 'score': 0.5396039603960396, 'examples_seen': 8479, 'step': 100, 'algorithm': 'mst_kruskal'}
I0716 16:05:52.055218 128490841785856 run.py:722] (val) algo mst_kruskal step 150: {'in_mst': 0.5456369107321966, 'score': 0.5456369107321966, 'examples_seen': 12607, 'step': 150, 'algorithm': 'mst_kruskal'}
I0716 16:05:55.218792 128490841785856 run.py:722] (val) algo mst_kruskal step 200: {'in_mst': 0.6311207834602829, 'score': 0.6311207834602829, 'examples_seen': 16654, 'step': 200, 'algorithm': 'mst_kruskal'}
I0716 16:05:58.486293 128490841785856 run.py:722] (val) algo mst_kruskal step 250: {'in_mst': 0.6613503455608718, 'score': 0.6613503455608718, 'examples_seen': 20657, 'step': 250, 'algorithm': 'mst_kruskal'}
I0716 16:06:01.753159 128490841785856 run.py:722] (val) algo mst_kruskal step 300: {'in_mst': 0.6256239600665559, 'score': 0.6256239600665559, 'examples_seen': 24913, 'step': 300, 'algorithm': 'mst_kruskal'}
I0716 16:06:04.997703 128490841785856 run.py:722] (val) algo mst_kruskal step 350: {'in_mst': 0.5882956878850103, 'score': 0.5882956878850103, 'examples_seen': 29115, 'step': 350, 'algorithm': 'mst_kruskal'}
I0716 16:06:08.254434 128490841785856 run.py:722] (val) algo mst_kruskal step 400: {'in_mst': 0.5782200110558319, 'score': 0.5782200110558319, 'examples_seen': 33291, 'step': 400, 'algorithm': 'mst_kruskal'}
I0716 16:06:11.428840 128490841785856 run.py:722] (val) algo mst_kruskal step 450: {'in_mst': 0.6281147155618241, 'score': 0.6281147155618241, 'examples_seen': 37323, 'step': 450, 'algorithm': 'mst_kruskal'}
I0716 16:06:14.692984 128490841785856 run.py:722] (val) algo mst_kruskal step 500: {'in_mst': 0.6262197708952059, 'score': 0.6262197708952059, 'examples_seen': 41441, 'step': 500, 'algorithm': 'mst_kruskal'}
