I0716 16:18:14.839303 123486293136896 run.py:722] (val) algo mst_prim step 0: {'pi': 0.48828125, 'score': 0.48828125, 'examples_seen': 84, 'step': 0, 'algorithm': 'mst_prim'}
I0716 16:19:52.860193 123486293136896 run.py:722] (val) algo mst_prim step 50: {'pi': 0.6123046875, 'score': 0.6123046875, 'examples_seen': 2939, 'step': 50, 'algorithm': 'mst_prim'}
I0716 16:19:54.776273 123486293136896 run.py:722] (val) algo mst_prim step 100: {'pi': 0.779296875, 'score': 0.779296875, 'examples_seen': 5767, 'step': 100, 'algorithm': 'mst_prim'}
I0716 16:19:56.592870 123486293136896 run.py:722] (val) algo mst_prim step 150: {'pi': 0.7373046875, 'score': 0.7373046875, 'examples_seen': 8549, 'step': 150, 'algorithm': 'mst_prim'}
I0716 16:19:58.545735 123486293136896 run.py:722] (val) algo mst_prim step 200: {'pi': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 11356, 'step': 200, 'algorithm': 'mst_prim'}
I0716 16:20:00.426512 123486293136896 run.py:722] (val) algo mst_prim step 250: {'pi': 0.75, 'score': 0.75, 'examples_seen': 14127, 'step': 250, 'algorithm': 'mst_prim'}
I0716 16:20:02.330777 123486293136896 run.py:722] (val) algo mst_prim step 300: {'pi': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 17028, 'step': 300, 'algorithm': 'mst_prim'}
I0716 16:20:04.226357 123486293136896 run.py:722] (val) algo mst_prim step 350: {'pi': 0.74609375, 'score': 0.74609375, 'examples_seen': 19885, 'step': 350, 'algorithm': 'mst_prim'}
I0716 16:20:06.095845 123486293136896 run.py:722] (val) algo mst_prim step 400: {'pi': 0.712890625, 'score': 0.712890625, 'examples_seen': 22716, 'step': 400, 'algorithm': 'mst_prim'}
I0716 16:20:07.972583 123486293136896 run.py:722] (val) algo mst_prim step 450: {'pi': 0.83203125, 'score': 0.83203125, 'examples_seen': 25567, 'step': 450, 'algorithm': 'mst_prim'}
I0716 16:20:09.842092 123486293136896 run.py:722] (val) algo mst_prim step 500: {'pi': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 28356, 'step': 500, 'algorithm': 'mst_prim'}
I0716 16:20:11.691975 123486293136896 run.py:722] (val) algo mst_prim step 550: {'pi': 0.78125, 'score': 0.78125, 'examples_seen': 31141, 'step': 550, 'algorithm': 'mst_prim'}
I0716 16:20:13.589982 123486293136896 run.py:722] (val) algo mst_prim step 600: {'pi': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 33957, 'step': 600, 'algorithm': 'mst_prim'}
I0716 16:20:15.450449 123486293136896 run.py:722] (val) algo mst_prim step 650: {'pi': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 36817, 'step': 650, 'algorithm': 'mst_prim'}
I0716 16:20:17.325539 123486293136896 run.py:722] (val) algo mst_prim step 700: {'pi': 0.75390625, 'score': 0.75390625, 'examples_seen': 39664, 'step': 700, 'algorithm': 'mst_prim'}
I0716 16:20:19.178214 123486293136896 run.py:722] (val) algo mst_prim step 750: {'pi': 0.83984375, 'score': 0.83984375, 'examples_seen': 42478, 'step': 750, 'algorithm': 'mst_prim'}
I0716 16:20:21.056151 123486293136896 run.py:722] (val) algo mst_prim step 800: {'pi': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 45235, 'step': 800, 'algorithm': 'mst_prim'}
I0716 16:20:22.911301 123486293136896 run.py:722] (val) algo mst_prim step 850: {'pi': 0.873046875, 'score': 0.873046875, 'examples_seen': 48042, 'step': 850, 'algorithm': 'mst_prim'}
