{'root': 0.477238321799308, 'score': 0.477238321799308, 'examples_seen': 64, 'step': 0, 'algorithm': 'optimal_bst'}
{'root': 0.5951557093425606, 'score': 0.5951557093425606, 'examples_seen': 2080, 'step': 50, 'algorithm': 'optimal_bst'}
{'root': 0.5969398788927336, 'score': 0.5969398788927336, 'examples_seen': 4064, 'step': 100, 'algorithm': 'optimal_bst'}
{'root': 0.7558931660899654, 'score': 0.7558931660899654, 'examples_seen': 6016, 'step': 150, 'algorithm': 'optimal_bst'}
{'root': 0.7693014705882353, 'score': 0.7693014705882353, 'examples_seen': 8016, 'step': 200, 'algorithm': 'optimal_bst'}
{'root': 0.810715830449827, 'score': 0.810715830449827, 'examples_seen': 9952, 'step': 250, 'algorithm': 'optimal_bst'}
{'root': 0.7965506055363322, 'score': 0.7965506055363322, 'examples_seen': 12000, 'step': 300, 'algorithm': 'optimal_bst'}
{'root': 0.8368295847750865, 'score': 0.8368295847750865, 'examples_seen': 14032, 'step': 350, 'algorithm': 'optimal_bst'}
{'root': 0.8647275086505191, 'score': 0.8647275086505191, 'examples_seen': 16000, 'step': 400, 'algorithm': 'optimal_bst'}
{'root': 0.8592668685121108, 'score': 0.8592668685121108, 'examples_seen': 18000, 'step': 450, 'algorithm': 'optimal_bst'}
{'root': 0.8669982698961938, 'score': 0.8669982698961938, 'examples_seen': 19952, 'step': 500, 'algorithm': 'optimal_bst'}
{'root': 0.8766760380622838, 'score': 0.8766760380622838, 'examples_seen': 21920, 'step': 550, 'algorithm': 'optimal_bst'}
{'root': 0.8684039792387543, 'score': 0.8684039792387543, 'examples_seen': 23904, 'step': 600, 'algorithm': 'optimal_bst'}
{'root': 0.8740268166089965, 'score': 0.8740268166089965, 'examples_seen': 25920, 'step': 650, 'algorithm': 'optimal_bst'}
{'root': 0.8815960207612457, 'score': 0.8815960207612457, 'examples_seen': 27952, 'step': 700, 'algorithm': 'optimal_bst'}
{'root': 0.8976535467128027, 'score': 0.8976535467128027, 'examples_seen': 29936, 'step': 750, 'algorithm': 'optimal_bst'}
{'root': 0.8821366782006921, 'score': 0.8821366782006921, 'examples_seen': 31920, 'step': 800, 'algorithm': 'optimal_bst'}
{'root': 0.8918685121107266, 'score': 0.8918685121107266, 'examples_seen': 33904, 'step': 850, 'algorithm': 'optimal_bst'}
{'root': 0.8822988754325259, 'score': 0.8822988754325259, 'examples_seen': 35856, 'step': 900, 'algorithm': 'optimal_bst'}
{'root': 0.8919225778546713, 'score': 0.8919225778546713, 'examples_seen': 37808, 'step': 950, 'algorithm': 'optimal_bst'}
{'root': 0.9084666955017301, 'score': 0.9084666955017301, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'optimal_bst'}
{'root': 0.8333693771626297, 'score': 0.8333693771626297, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'optimal_bst'}
{'root': 0.8850021626297578, 'score': 0.8850021626297578, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'optimal_bst'}
{'root': 0.8472102076124568, 'score': 0.8472102076124568, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'optimal_bst'}
{'root': 0.8583477508650519, 'score': 0.8583477508650519, 'examples_seen': 47808, 'step': 1200, 'algorithm': 'optimal_bst'}
