I0716 16:49:01.110013 128977844405760 run.py:722] (val) algo quickselect step 0: {'median': 0.025146484375, 'score': 0.025146484375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
I0716 16:50:39.551042 128977844405760 run.py:722] (val) algo quickselect step 50: {'median': 0.10693359375, 'score': 0.10693359375, 'examples_seen': 1653, 'step': 50, 'algorithm': 'quickselect'}
I0716 16:50:48.477846 128977844405760 run.py:722] (val) algo quickselect step 100: {'median': 0.10595703125, 'score': 0.10595703125, 'examples_seen': 3277, 'step': 100, 'algorithm': 'quickselect'}
I0716 16:50:57.321506 128977844405760 run.py:722] (val) algo quickselect step 150: {'median': 0.152587890625, 'score': 0.152587890625, 'examples_seen': 4881, 'step': 150, 'algorithm': 'quickselect'}
I0716 16:51:06.112316 128977844405760 run.py:722] (val) algo quickselect step 200: {'median': 0.18115234375, 'score': 0.18115234375, 'examples_seen': 6472, 'step': 200, 'algorithm': 'quickselect'}
I0716 16:51:14.945122 128977844405760 run.py:722] (val) algo quickselect step 250: {'median': 0.064697265625, 'score': 0.064697265625, 'examples_seen': 8061, 'step': 250, 'algorithm': 'quickselect'}
I0716 16:51:23.774819 128977844405760 run.py:722] (val) algo quickselect step 300: {'median': 0.202880859375, 'score': 0.202880859375, 'examples_seen': 9734, 'step': 300, 'algorithm': 'quickselect'}
I0716 16:51:32.920396 128977844405760 run.py:722] (val) algo quickselect step 350: {'median': 0.164794921875, 'score': 0.164794921875, 'examples_seen': 11367, 'step': 350, 'algorithm': 'quickselect'}
I0716 16:51:41.715275 128977844405760 run.py:722] (val) algo quickselect step 400: {'median': 0.197509765625, 'score': 0.197509765625, 'examples_seen': 12963, 'step': 400, 'algorithm': 'quickselect'}
I0716 16:51:50.483558 128977844405760 run.py:722] (val) algo quickselect step 450: {'median': 0.189697265625, 'score': 0.189697265625, 'examples_seen': 14543, 'step': 450, 'algorithm': 'quickselect'}
I0716 16:51:59.315542 128977844405760 run.py:722] (val) algo quickselect step 500: {'median': 0.20703125, 'score': 0.20703125, 'examples_seen': 16145, 'step': 500, 'algorithm': 'quickselect'}
I0716 16:52:08.136465 128977844405760 run.py:722] (val) algo quickselect step 550: {'median': 0.216064453125, 'score': 0.216064453125, 'examples_seen': 17728, 'step': 550, 'algorithm': 'quickselect'}
I0716 16:52:17.023887 128977844405760 run.py:722] (val) algo quickselect step 600: {'median': 0.199462890625, 'score': 0.199462890625, 'examples_seen': 19323, 'step': 600, 'algorithm': 'quickselect'}
I0716 16:52:25.794912 128977844405760 run.py:722] (val) algo quickselect step 650: {'median': 0.215087890625, 'score': 0.215087890625, 'examples_seen': 21004, 'step': 650, 'algorithm': 'quickselect'}
I0716 16:52:34.621356 128977844405760 run.py:722] (val) algo quickselect step 700: {'median': 0.194091796875, 'score': 0.194091796875, 'examples_seen': 22632, 'step': 700, 'algorithm': 'quickselect'}
I0716 16:52:43.398653 128977844405760 run.py:722] (val) algo quickselect step 750: {'median': 0.197509765625, 'score': 0.197509765625, 'examples_seen': 24241, 'step': 750, 'algorithm': 'quickselect'}
I0716 16:52:52.220152 128977844405760 run.py:722] (val) algo quickselect step 800: {'median': 0.195556640625, 'score': 0.195556640625, 'examples_seen': 25833, 'step': 800, 'algorithm': 'quickselect'}
I0716 16:53:01.068789 128977844405760 run.py:722] (val) algo quickselect step 850: {'median': 0.212646484375, 'score': 0.212646484375, 'examples_seen': 27431, 'step': 850, 'algorithm': 'quickselect'}
I0716 16:53:09.893535 128977844405760 run.py:722] (val) algo quickselect step 900: {'median': 0.19921875, 'score': 0.19921875, 'examples_seen': 29033, 'step': 900, 'algorithm': 'quickselect'}
I0716 16:53:18.771880 128977844405760 run.py:722] (val) algo quickselect step 950: {'median': 0.228515625, 'score': 0.228515625, 'examples_seen': 30646, 'step': 950, 'algorithm': 'quickselect'}
I0716 16:53:27.649270 128977844405760 run.py:722] (val) algo quickselect step 1000: {'median': 0.234130859375, 'score': 0.234130859375, 'examples_seen': 32349, 'step': 1000, 'algorithm': 'quickselect'}
I0716 16:53:36.473680 128977844405760 run.py:722] (val) algo quickselect step 1050: {'median': 0.185546875, 'score': 0.185546875, 'examples_seen': 33968, 'step': 1050, 'algorithm': 'quickselect'}
I0716 16:53:45.342115 128977844405760 run.py:722] (val) algo quickselect step 1100: {'median': 0.193359375, 'score': 0.193359375, 'examples_seen': 35594, 'step': 1100, 'algorithm': 'quickselect'}
I0716 16:53:54.152923 128977844405760 run.py:722] (val) algo quickselect step 1150: {'median': 0.168701171875, 'score': 0.168701171875, 'examples_seen': 37192, 'step': 1150, 'algorithm': 'quickselect'}
I0716 16:54:02.940269 128977844405760 run.py:722] (val) algo quickselect step 1200: {'median': 0.20751953125, 'score': 0.20751953125, 'examples_seen': 38766, 'step': 1200, 'algorithm': 'quickselect'}
I0716 16:54:11.778057 128977844405760 run.py:722] (val) algo quickselect step 1250: {'median': 0.177490234375, 'score': 0.177490234375, 'examples_seen': 40371, 'step': 1250, 'algorithm': 'quickselect'}
I0716 16:54:20.582075 128977844405760 run.py:722] (val) algo quickselect step 1300: {'median': 0.19921875, 'score': 0.19921875, 'examples_seen': 41953, 'step': 1300, 'algorithm': 'quickselect'}
I0716 16:54:29.475610 128977844405760 run.py:722] (val) algo quickselect step 1350: {'median': 0.174560546875, 'score': 0.174560546875, 'examples_seen': 43643, 'step': 1350, 'algorithm': 'quickselect'}
I0716 16:54:38.352586 128977844405760 run.py:722] (val) algo quickselect step 1400: {'median': 0.181396484375, 'score': 0.181396484375, 'examples_seen': 45300, 'step': 1400, 'algorithm': 'quickselect'}
I0716 16:54:47.167115 128977844405760 run.py:722] (val) algo quickselect step 1450: {'median': 0.16748046875, 'score': 0.16748046875, 'examples_seen': 46902, 'step': 1450, 'algorithm': 'quickselect'}
I0716 16:54:55.966593 128977844405760 run.py:722] (val) algo quickselect step 1500: {'median': 0.11865234375, 'score': 0.11865234375, 'examples_seen': 48509, 'step': 1500, 'algorithm': 'quickselect'}
I0716 16:55:04.810318 128977844405760 run.py:722] (val) algo quickselect step 1550: {'median': 0.158935546875, 'score': 0.158935546875, 'examples_seen': 50107, 'step': 1550, 'algorithm': 'quickselect'}
I0716 16:55:13.608296 128977844405760 run.py:722] (val) algo quickselect step 1600: {'median': 0.178955078125, 'score': 0.178955078125, 'examples_seen': 51716, 'step': 1600, 'algorithm': 'quickselect'}
I0716 16:55:22.407413 128977844405760 run.py:722] (val) algo quickselect step 1650: {'median': 0.177734375, 'score': 0.177734375, 'examples_seen': 53287, 'step': 1650, 'algorithm': 'quickselect'}
I0716 16:55:31.240503 128977844405760 run.py:722] (val) algo quickselect step 1700: {'median': 0.16650390625, 'score': 0.16650390625, 'examples_seen': 54980, 'step': 1700, 'algorithm': 'quickselect'}
I0716 16:55:40.062947 128977844405760 run.py:722] (val) algo quickselect step 1750: {'median': 0.14013671875, 'score': 0.14013671875, 'examples_seen': 56623, 'step': 1750, 'algorithm': 'quickselect'}
I0716 16:55:48.808570 128977844405760 run.py:722] (val) algo quickselect step 1800: {'median': 0.19091796875, 'score': 0.19091796875, 'examples_seen': 58234, 'step': 1800, 'algorithm': 'quickselect'}
I0716 16:55:57.559722 128977844405760 run.py:722] (val) algo quickselect step 1850: {'median': 0.146728515625, 'score': 0.146728515625, 'examples_seen': 59815, 'step': 1850, 'algorithm': 'quickselect'}
I0716 16:56:06.369279 128977844405760 run.py:722] (val) algo quickselect step 1900: {'median': 0.146484375, 'score': 0.146484375, 'examples_seen': 61409, 'step': 1900, 'algorithm': 'quickselect'}
I0716 16:56:15.229536 128977844405760 run.py:722] (val) algo quickselect step 1950: {'median': 0.195556640625, 'score': 0.195556640625, 'examples_seen': 62998, 'step': 1950, 'algorithm': 'quickselect'}
I0716 16:56:24.084251 128977844405760 run.py:722] (val) algo quickselect step 2000: {'median': 0.175537109375, 'score': 0.175537109375, 'examples_seen': 64577, 'step': 2000, 'algorithm': 'quickselect'}
I0716 16:56:32.950149 128977844405760 run.py:722] (val) algo quickselect step 2050: {'median': 0.3271484375, 'score': 0.3271484375, 'examples_seen': 66280, 'step': 2050, 'algorithm': 'quickselect'}
I0716 16:56:41.797109 128977844405760 run.py:722] (val) algo quickselect step 2100: {'median': 0.256591796875, 'score': 0.256591796875, 'examples_seen': 67907, 'step': 2100, 'algorithm': 'quickselect'}
I0716 16:56:50.675413 128977844405760 run.py:722] (val) algo quickselect step 2150: {'median': 0.30810546875, 'score': 0.30810546875, 'examples_seen': 69528, 'step': 2150, 'algorithm': 'quickselect'}
I0716 16:56:59.483990 128977844405760 run.py:722] (val) algo quickselect step 2200: {'median': 0.171630859375, 'score': 0.171630859375, 'examples_seen': 71127, 'step': 2200, 'algorithm': 'quickselect'}
I0716 16:57:08.299158 128977844405760 run.py:722] (val) algo quickselect step 2250: {'median': 0.22412109375, 'score': 0.22412109375, 'examples_seen': 72720, 'step': 2250, 'algorithm': 'quickselect'}
I0716 16:57:17.070134 128977844405760 run.py:722] (val) algo quickselect step 2300: {'median': 0.248291015625, 'score': 0.248291015625, 'examples_seen': 74319, 'step': 2300, 'algorithm': 'quickselect'}
I0716 16:57:25.913506 128977844405760 run.py:722] (val) algo quickselect step 2350: {'median': 0.226318359375, 'score': 0.226318359375, 'examples_seen': 75922, 'step': 2350, 'algorithm': 'quickselect'}
I0716 16:57:34.796386 128977844405760 run.py:722] (val) algo quickselect step 2400: {'median': 0.16064453125, 'score': 0.16064453125, 'examples_seen': 77601, 'step': 2400, 'algorithm': 'quickselect'}
I0716 16:57:43.610815 128977844405760 run.py:722] (val) algo quickselect step 2450: {'median': 0.275390625, 'score': 0.275390625, 'examples_seen': 79240, 'step': 2450, 'algorithm': 'quickselect'}
I0716 16:57:52.386329 128977844405760 run.py:722] (val) algo quickselect step 2500: {'median': 0.135498046875, 'score': 0.135498046875, 'examples_seen': 80842, 'step': 2500, 'algorithm': 'quickselect'}
I0716 16:58:01.195722 128977844405760 run.py:722] (val) algo quickselect step 2550: {'median': 0.199462890625, 'score': 0.199462890625, 'examples_seen': 82446, 'step': 2550, 'algorithm': 'quickselect'}
I0716 16:58:09.940770 128977844405760 run.py:722] (val) algo quickselect step 2600: {'median': 0.265380859375, 'score': 0.265380859375, 'examples_seen': 84033, 'step': 2600, 'algorithm': 'quickselect'}
I0716 16:58:18.855046 128977844405760 run.py:722] (val) algo quickselect step 2650: {'median': 0.32177734375, 'score': 0.32177734375, 'examples_seen': 85629, 'step': 2650, 'algorithm': 'quickselect'}
I0716 16:58:27.686827 128977844405760 run.py:722] (val) algo quickselect step 2700: {'median': 0.24072265625, 'score': 0.24072265625, 'examples_seen': 87219, 'step': 2700, 'algorithm': 'quickselect'}
I0716 16:58:36.546836 128977844405760 run.py:722] (val) algo quickselect step 2750: {'median': 0.267333984375, 'score': 0.267333984375, 'examples_seen': 88901, 'step': 2750, 'algorithm': 'quickselect'}
I0716 16:58:45.355493 128977844405760 run.py:722] (val) algo quickselect step 2800: {'median': 0.337158203125, 'score': 0.337158203125, 'examples_seen': 90553, 'step': 2800, 'algorithm': 'quickselect'}
I0716 16:58:54.133538 128977844405760 run.py:722] (val) algo quickselect step 2850: {'median': 0.248046875, 'score': 0.248046875, 'examples_seen': 92169, 'step': 2850, 'algorithm': 'quickselect'}
I0716 16:59:02.937835 128977844405760 run.py:722] (val) algo quickselect step 2900: {'median': 0.329345703125, 'score': 0.329345703125, 'examples_seen': 93760, 'step': 2900, 'algorithm': 'quickselect'}
I0716 16:59:11.712276 128977844405760 run.py:722] (val) algo quickselect step 2950: {'median': 0.250732421875, 'score': 0.250732421875, 'examples_seen': 95361, 'step': 2950, 'algorithm': 'quickselect'}
I0716 16:59:20.500746 128977844405760 run.py:722] (val) algo quickselect step 3000: {'median': 0.265625, 'score': 0.265625, 'examples_seen': 96964, 'step': 3000, 'algorithm': 'quickselect'}
I0716 16:59:29.301869 128977844405760 run.py:722] (val) algo quickselect step 3050: {'median': 0.343505859375, 'score': 0.343505859375, 'examples_seen': 98545, 'step': 3050, 'algorithm': 'quickselect'}
I0716 16:59:38.146002 128977844405760 run.py:722] (val) algo quickselect step 3100: {'median': 0.2431640625, 'score': 0.2431640625, 'examples_seen': 100240, 'step': 3100, 'algorithm': 'quickselect'}
I0716 16:59:46.966223 128977844405760 run.py:722] (val) algo quickselect step 3150: {'median': 0.31982421875, 'score': 0.31982421875, 'examples_seen': 101873, 'step': 3150, 'algorithm': 'quickselect'}
I0716 16:59:55.805431 128977844405760 run.py:722] (val) algo quickselect step 3200: {'median': 0.22802734375, 'score': 0.22802734375, 'examples_seen': 103477, 'step': 3200, 'algorithm': 'quickselect'}
I0716 17:00:04.621866 128977844405760 run.py:722] (val) algo quickselect step 3250: {'median': 0.337158203125, 'score': 0.337158203125, 'examples_seen': 105081, 'step': 3250, 'algorithm': 'quickselect'}
I0716 17:00:13.419015 128977844405760 run.py:722] (val) algo quickselect step 3300: {'median': 0.330810546875, 'score': 0.330810546875, 'examples_seen': 106693, 'step': 3300, 'algorithm': 'quickselect'}
I0716 17:00:22.202557 128977844405760 run.py:722] (val) algo quickselect step 3350: {'median': 0.2998046875, 'score': 0.2998046875, 'examples_seen': 108284, 'step': 3350, 'algorithm': 'quickselect'}
I0716 17:00:31.009116 128977844405760 run.py:722] (val) algo quickselect step 3400: {'median': 0.27783203125, 'score': 0.27783203125, 'examples_seen': 109876, 'step': 3400, 'algorithm': 'quickselect'}
I0716 17:00:39.806755 128977844405760 run.py:722] (val) algo quickselect step 3450: {'median': 0.251708984375, 'score': 0.251708984375, 'examples_seen': 111568, 'step': 3450, 'algorithm': 'quickselect'}
I0716 17:00:48.636189 128977844405760 run.py:722] (val) algo quickselect step 3500: {'median': 0.296142578125, 'score': 0.296142578125, 'examples_seen': 113210, 'step': 3500, 'algorithm': 'quickselect'}
I0716 17:00:57.510707 128977844405760 run.py:722] (val) algo quickselect step 3550: {'median': 0.21826171875, 'score': 0.21826171875, 'examples_seen': 114837, 'step': 3550, 'algorithm': 'quickselect'}
I0716 17:01:06.313389 128977844405760 run.py:722] (val) algo quickselect step 3600: {'median': 0.359619140625, 'score': 0.359619140625, 'examples_seen': 116452, 'step': 3600, 'algorithm': 'quickselect'}
I0716 17:01:15.137011 128977844405760 run.py:722] (val) algo quickselect step 3650: {'median': 0.3359375, 'score': 0.3359375, 'examples_seen': 118059, 'step': 3650, 'algorithm': 'quickselect'}
I0716 17:01:23.979794 128977844405760 run.py:722] (val) algo quickselect step 3700: {'median': 0.241455078125, 'score': 0.241455078125, 'examples_seen': 119646, 'step': 3700, 'algorithm': 'quickselect'}
I0716 17:01:32.859859 128977844405760 run.py:722] (val) algo quickselect step 3750: {'median': 0.27685546875, 'score': 0.27685546875, 'examples_seen': 121242, 'step': 3750, 'algorithm': 'quickselect'}
I0716 17:01:41.752092 128977844405760 run.py:722] (val) algo quickselect step 3800: {'median': 0.22802734375, 'score': 0.22802734375, 'examples_seen': 122929, 'step': 3800, 'algorithm': 'quickselect'}
I0716 17:01:50.526992 128977844405760 run.py:722] (val) algo quickselect step 3850: {'median': 0.298095703125, 'score': 0.298095703125, 'examples_seen': 124559, 'step': 3850, 'algorithm': 'quickselect'}
I0716 17:01:59.337452 128977844405760 run.py:722] (val) algo quickselect step 3900: {'median': 0.138916015625, 'score': 0.138916015625, 'examples_seen': 126160, 'step': 3900, 'algorithm': 'quickselect'}
I0716 17:02:08.151370 128977844405760 run.py:722] (val) algo quickselect step 3950: {'median': 0.25048828125, 'score': 0.25048828125, 'examples_seen': 127760, 'step': 3950, 'algorithm': 'quickselect'}
I0716 17:02:16.981384 128977844405760 run.py:722] (val) algo quickselect step 4000: {'median': 0.1923828125, 'score': 0.1923828125, 'examples_seen': 129362, 'step': 4000, 'algorithm': 'quickselect'}
I0716 17:02:25.714268 128977844405760 run.py:722] (val) algo quickselect step 4050: {'median': 0.2158203125, 'score': 0.2158203125, 'examples_seen': 130946, 'step': 4050, 'algorithm': 'quickselect'}
I0716 17:02:34.513411 128977844405760 run.py:722] (val) algo quickselect step 4100: {'median': 0.091552734375, 'score': 0.091552734375, 'examples_seen': 132502, 'step': 4100, 'algorithm': 'quickselect'}
I0716 17:02:43.337454 128977844405760 run.py:722] (val) algo quickselect step 4150: {'median': 0.18994140625, 'score': 0.18994140625, 'examples_seen': 134189, 'step': 4150, 'algorithm': 'quickselect'}
I0716 17:02:52.181404 128977844405760 run.py:722] (val) algo quickselect step 4200: {'median': 0.156005859375, 'score': 0.156005859375, 'examples_seen': 135817, 'step': 4200, 'algorithm': 'quickselect'}
I0716 17:03:01.052761 128977844405760 run.py:722] (val) algo quickselect step 4250: {'median': 0.169189453125, 'score': 0.169189453125, 'examples_seen': 137434, 'step': 4250, 'algorithm': 'quickselect'}
I0716 17:03:09.855563 128977844405760 run.py:722] (val) algo quickselect step 4300: {'median': 0.16796875, 'score': 0.16796875, 'examples_seen': 139044, 'step': 4300, 'algorithm': 'quickselect'}
I0716 17:03:18.629801 128977844405760 run.py:722] (val) algo quickselect step 4350: {'median': 0.197021484375, 'score': 0.197021484375, 'examples_seen': 140610, 'step': 4350, 'algorithm': 'quickselect'}
I0716 17:03:27.493414 128977844405760 run.py:722] (val) algo quickselect step 4400: {'median': 0.274169921875, 'score': 0.274169921875, 'examples_seen': 142193, 'step': 4400, 'algorithm': 'quickselect'}
I0716 17:03:36.339850 128977844405760 run.py:722] (val) algo quickselect step 4450: {'median': 0.25537109375, 'score': 0.25537109375, 'examples_seen': 143774, 'step': 4450, 'algorithm': 'quickselect'}
I0716 17:03:45.211787 128977844405760 run.py:722] (val) algo quickselect step 4500: {'median': 0.302978515625, 'score': 0.302978515625, 'examples_seen': 145472, 'step': 4500, 'algorithm': 'quickselect'}
I0716 17:03:54.073670 128977844405760 run.py:722] (val) algo quickselect step 4550: {'median': 0.328857421875, 'score': 0.328857421875, 'examples_seen': 147128, 'step': 4550, 'algorithm': 'quickselect'}
I0716 17:04:02.926836 128977844405760 run.py:722] (val) algo quickselect step 4600: {'median': 0.266845703125, 'score': 0.266845703125, 'examples_seen': 148731, 'step': 4600, 'algorithm': 'quickselect'}
I0716 17:04:11.737042 128977844405760 run.py:722] (val) algo quickselect step 4650: {'median': 0.32568359375, 'score': 0.32568359375, 'examples_seen': 150349, 'step': 4650, 'algorithm': 'quickselect'}
I0716 17:04:20.572498 128977844405760 run.py:722] (val) algo quickselect step 4700: {'median': 0.291015625, 'score': 0.291015625, 'examples_seen': 151923, 'step': 4700, 'algorithm': 'quickselect'}
I0716 17:04:29.353970 128977844405760 run.py:722] (val) algo quickselect step 4750: {'median': 0.3544921875, 'score': 0.3544921875, 'examples_seen': 153491, 'step': 4750, 'algorithm': 'quickselect'}
I0716 17:04:38.237448 128977844405760 run.py:722] (val) algo quickselect step 4800: {'median': 0.29931640625, 'score': 0.29931640625, 'examples_seen': 155084, 'step': 4800, 'algorithm': 'quickselect'}
I0716 17:04:47.118444 128977844405760 run.py:722] (val) algo quickselect step 4850: {'median': 0.312255859375, 'score': 0.312255859375, 'examples_seen': 156776, 'step': 4850, 'algorithm': 'quickselect'}
I0716 17:04:55.946984 128977844405760 run.py:722] (val) algo quickselect step 4900: {'median': 0.270751953125, 'score': 0.270751953125, 'examples_seen': 158405, 'step': 4900, 'algorithm': 'quickselect'}
