I0716 17:24:35.927002 131698539693568 run.py:722] (val) algo quicksort step 0: {'pred': 0.10546875, 'score': 0.10546875, 'examples_seen': 55, 'step': 0, 'algorithm': 'quicksort'}
I0716 17:26:25.483593 131698539693568 run.py:722] (val) algo quicksort step 50: {'pred': 0.4462890625, 'score': 0.4462890625, 'examples_seen': 1782, 'step': 50, 'algorithm': 'quicksort'}
I0716 17:26:29.457963 131698539693568 run.py:722] (val) algo quicksort step 100: {'pred': 0.4697265625, 'score': 0.4697265625, 'examples_seen': 3499, 'step': 100, 'algorithm': 'quicksort'}
I0716 17:26:33.379837 131698539693568 run.py:722] (val) algo quicksort step 150: {'pred': 0.3701171875, 'score': 0.3701171875, 'examples_seen': 5209, 'step': 150, 'algorithm': 'quicksort'}
I0716 17:26:37.313418 131698539693568 run.py:722] (val) algo quicksort step 200: {'pred': 0.40625, 'score': 0.40625, 'examples_seen': 6915, 'step': 200, 'algorithm': 'quicksort'}
I0716 17:26:41.234156 131698539693568 run.py:722] (val) algo quicksort step 250: {'pred': 0.3369140625, 'score': 0.3369140625, 'examples_seen': 8625, 'step': 250, 'algorithm': 'quicksort'}
I0716 17:26:45.314954 131698539693568 run.py:722] (val) algo quicksort step 300: {'pred': 0.4228515625, 'score': 0.4228515625, 'examples_seen': 10448, 'step': 300, 'algorithm': 'quicksort'}
I0716 17:26:49.280566 131698539693568 run.py:722] (val) algo quicksort step 350: {'pred': 0.37890625, 'score': 0.37890625, 'examples_seen': 12202, 'step': 350, 'algorithm': 'quicksort'}
I0716 17:26:53.181626 131698539693568 run.py:722] (val) algo quicksort step 400: {'pred': 0.3828125, 'score': 0.3828125, 'examples_seen': 13931, 'step': 400, 'algorithm': 'quicksort'}
I0716 17:26:57.102061 131698539693568 run.py:722] (val) algo quicksort step 450: {'pred': 0.4921875, 'score': 0.4921875, 'examples_seen': 15630, 'step': 450, 'algorithm': 'quicksort'}
I0716 17:27:01.026352 131698539693568 run.py:722] (val) algo quicksort step 500: {'pred': 0.439453125, 'score': 0.439453125, 'examples_seen': 17352, 'step': 500, 'algorithm': 'quicksort'}
I0716 17:27:04.977787 131698539693568 run.py:722] (val) algo quicksort step 550: {'pred': 0.4130859375, 'score': 0.4130859375, 'examples_seen': 19054, 'step': 550, 'algorithm': 'quicksort'}
I0716 17:27:08.991780 131698539693568 run.py:722] (val) algo quicksort step 600: {'pred': 0.3798828125, 'score': 0.3798828125, 'examples_seen': 20764, 'step': 600, 'algorithm': 'quicksort'}
I0716 17:27:13.106994 131698539693568 run.py:722] (val) algo quicksort step 650: {'pred': 0.3427734375, 'score': 0.3427734375, 'examples_seen': 22594, 'step': 650, 'algorithm': 'quicksort'}
I0716 17:27:17.018040 131698539693568 run.py:722] (val) algo quicksort step 700: {'pred': 0.470703125, 'score': 0.470703125, 'examples_seen': 24344, 'step': 700, 'algorithm': 'quicksort'}
I0716 17:27:20.923174 131698539693568 run.py:722] (val) algo quicksort step 750: {'pred': 0.529296875, 'score': 0.529296875, 'examples_seen': 26065, 'step': 750, 'algorithm': 'quicksort'}
I0716 17:27:24.885126 131698539693568 run.py:722] (val) algo quicksort step 800: {'pred': 0.576171875, 'score': 0.576171875, 'examples_seen': 27785, 'step': 800, 'algorithm': 'quicksort'}
I0716 17:27:28.834708 131698539693568 run.py:722] (val) algo quicksort step 850: {'pred': 0.4140625, 'score': 0.4140625, 'examples_seen': 29491, 'step': 850, 'algorithm': 'quicksort'}
I0716 17:27:32.798385 131698539693568 run.py:722] (val) algo quicksort step 900: {'pred': 0.48828125, 'score': 0.48828125, 'examples_seen': 31189, 'step': 900, 'algorithm': 'quicksort'}
I0716 17:27:36.768252 131698539693568 run.py:722] (val) algo quicksort step 950: {'pred': 0.64453125, 'score': 0.64453125, 'examples_seen': 32894, 'step': 950, 'algorithm': 'quicksort'}
I0716 17:27:40.938859 131698539693568 run.py:722] (val) algo quicksort step 1000: {'pred': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 34734, 'step': 1000, 'algorithm': 'quicksort'}
