I0716 17:40:58.732805 124054970734080 run.py:722] (val) algo segments_intersect step 0: {'intersect': 0.6509321019326151, 'score': 0.6509321019326151, 'examples_seen': 48, 'step': 0, 'algorithm': 'segments_intersect'}
I0716 17:41:00.544856 124054970734080 run.py:722] (val) algo segments_intersect step 50: {'intersect': 0.25772016774685474, 'score': 0.25772016774685474, 'examples_seen': 2560, 'step': 50, 'algorithm': 'segments_intersect'}
I0716 17:41:02.343188 124054970734080 run.py:722] (val) algo segments_intersect step 100: {'intersect': 0.6489120974760662, 'score': 0.6489120974760662, 'examples_seen': 5184, 'step': 100, 'algorithm': 'segments_intersect'}
I0716 17:41:04.138330 124054970734080 run.py:722] (val) algo segments_intersect step 150: {'intersect': 0.03885291396854764, 'score': 0.03885291396854764, 'examples_seen': 7696, 'step': 150, 'algorithm': 'segments_intersect'}
I0716 17:41:05.939313 124054970734080 run.py:722] (val) algo segments_intersect step 200: {'intersect': 0.6280367104552816, 'score': 0.6280367104552816, 'examples_seen': 10304, 'step': 200, 'algorithm': 'segments_intersect'}
I0716 17:41:07.742461 124054970734080 run.py:722] (val) algo segments_intersect step 250: {'intersect': 0.4506329113924051, 'score': 0.4506329113924051, 'examples_seen': 12832, 'step': 250, 'algorithm': 'segments_intersect'}
I0716 17:41:09.539658 124054970734080 run.py:722] (val) algo segments_intersect step 300: {'intersect': 0.6703746114837232, 'score': 0.6703746114837232, 'examples_seen': 15360, 'step': 300, 'algorithm': 'segments_intersect'}
I0716 17:41:11.392621 124054970734080 run.py:722] (val) algo segments_intersect step 350: {'intersect': 0.3836867862969005, 'score': 0.3836867862969005, 'examples_seen': 17968, 'step': 350, 'algorithm': 'segments_intersect'}
I0716 17:41:13.191107 124054970734080 run.py:722] (val) algo segments_intersect step 400: {'intersect': 0.6395452122934802, 'score': 0.6395452122934802, 'examples_seen': 20480, 'step': 400, 'algorithm': 'segments_intersect'}
I0716 17:41:15.003423 124054970734080 run.py:722] (val) algo segments_intersect step 450: {'intersect': 0.6738989637305699, 'score': 0.6738989637305699, 'examples_seen': 23104, 'step': 450, 'algorithm': 'segments_intersect'}
I0716 17:41:16.816592 124054970734080 run.py:722] (val) algo segments_intersect step 500: {'intersect': 0.649299317283507, 'score': 0.649299317283507, 'examples_seen': 25616, 'step': 500, 'algorithm': 'segments_intersect'}
I0716 17:41:18.603286 124054970734080 run.py:722] (val) algo segments_intersect step 550: {'intersect': 0.0019733596447952637, 'score': 0.0019733596447952637, 'examples_seen': 28224, 'step': 550, 'algorithm': 'segments_intersect'}
I0716 17:41:20.441347 124054970734080 run.py:722] (val) algo segments_intersect step 600: {'intersect': 0.4074576271186441, 'score': 0.4074576271186441, 'examples_seen': 30752, 'step': 600, 'algorithm': 'segments_intersect'}
I0716 17:41:22.231981 124054970734080 run.py:722] (val) algo segments_intersect step 650: {'intersect': 0.3165033911077619, 'score': 0.3165033911077619, 'examples_seen': 33280, 'step': 650, 'algorithm': 'segments_intersect'}
I0716 17:41:24.076630 124054970734080 run.py:722] (val) algo segments_intersect step 700: {'intersect': 0.6614014451352714, 'score': 0.6614014451352714, 'examples_seen': 35888, 'step': 700, 'algorithm': 'segments_intersect'}
I0716 17:41:25.869843 124054970734080 run.py:722] (val) algo segments_intersect step 750: {'intersect': 0.681251129994576, 'score': 0.681251129994576, 'examples_seen': 38400, 'step': 750, 'algorithm': 'segments_intersect'}
I0716 17:41:27.704081 124054970734080 run.py:722] (val) algo segments_intersect step 800: {'intersect': 0.6458381907204477, 'score': 0.6458381907204477, 'examples_seen': 41024, 'step': 800, 'algorithm': 'segments_intersect'}
I0716 17:41:29.522866 124054970734080 run.py:722] (val) algo segments_intersect step 850: {'intersect': 0.6786010276810874, 'score': 0.6786010276810874, 'examples_seen': 43536, 'step': 850, 'algorithm': 'segments_intersect'}
I0716 17:41:31.337307 124054970734080 run.py:722] (val) algo segments_intersect step 900: {'intersect': 0.6916406520985086, 'score': 0.6916406520985086, 'examples_seen': 46144, 'step': 900, 'algorithm': 'segments_intersect'}
I0716 17:41:33.193173 124054970734080 run.py:722] (val) algo segments_intersect step 950: {'intersect': 0.6830940647096637, 'score': 0.6830940647096637, 'examples_seen': 48672, 'step': 950, 'algorithm': 'segments_intersect'}
I0716 17:41:35.019875 124054970734080 run.py:722] (val) algo segments_intersect step 1000: {'intersect': 0.6339103869653768, 'score': 0.6339103869653768, 'examples_seen': 51200, 'step': 1000, 'algorithm': 'segments_intersect'}
I0716 17:41:36.847641 124054970734080 run.py:722] (val) algo segments_intersect step 1050: {'intersect': 0.6730510752688172, 'score': 0.6730510752688172, 'examples_seen': 53808, 'step': 1050, 'algorithm': 'segments_intersect'}
I0716 17:41:38.639699 124054970734080 run.py:722] (val) algo segments_intersect step 1100: {'intersect': 0.6698434309053777, 'score': 0.6698434309053777, 'examples_seen': 56320, 'step': 1100, 'algorithm': 'segments_intersect'}
I0716 17:41:40.464964 124054970734080 run.py:722] (val) algo segments_intersect step 1150: {'intersect': 0.672735984666986, 'score': 0.672735984666986, 'examples_seen': 58944, 'step': 1150, 'algorithm': 'segments_intersect'}
I0716 17:41:42.278936 124054970734080 run.py:722] (val) algo segments_intersect step 1200: {'intersect': 0.6966345022358202, 'score': 0.6966345022358202, 'examples_seen': 61456, 'step': 1200, 'algorithm': 'segments_intersect'}
I0716 17:41:44.096224 124054970734080 run.py:722] (val) algo segments_intersect step 1250: {'intersect': 0.7200000000000001, 'score': 0.7200000000000001, 'examples_seen': 64064, 'step': 1250, 'algorithm': 'segments_intersect'}
I0716 17:41:45.960026 124054970734080 run.py:722] (val) algo segments_intersect step 1300: {'intersect': 0.5157430730478588, 'score': 0.5157430730478588, 'examples_seen': 66592, 'step': 1300, 'algorithm': 'segments_intersect'}
I0716 17:41:47.747750 124054970734080 run.py:722] (val) algo segments_intersect step 1350: {'intersect': 0.6832892998678995, 'score': 0.6832892998678995, 'examples_seen': 69120, 'step': 1350, 'algorithm': 'segments_intersect'}
I0716 17:41:49.567925 124054970734080 run.py:722] (val) algo segments_intersect step 1400: {'intersect': 0.6116876024030585, 'score': 0.6116876024030585, 'examples_seen': 71728, 'step': 1400, 'algorithm': 'segments_intersect'}
I0716 17:41:51.345554 124054970734080 run.py:722] (val) algo segments_intersect step 1450: {'intersect': 0.5491606714628298, 'score': 0.5491606714628298, 'examples_seen': 74240, 'step': 1450, 'algorithm': 'segments_intersect'}
I0716 17:41:53.136298 124054970734080 run.py:722] (val) algo segments_intersect step 1500: {'intersect': 0.729178578235182, 'score': 0.729178578235182, 'examples_seen': 76864, 'step': 1500, 'algorithm': 'segments_intersect'}
I0716 17:41:54.957226 124054970734080 run.py:722] (val) algo segments_intersect step 1550: {'intersect': 0.7367413363967069, 'score': 0.7367413363967069, 'examples_seen': 79376, 'step': 1550, 'algorithm': 'segments_intersect'}
I0716 17:41:56.770920 124054970734080 run.py:722] (val) algo segments_intersect step 1600: {'intersect': 0.6592207792207792, 'score': 0.6592207792207792, 'examples_seen': 81984, 'step': 1600, 'algorithm': 'segments_intersect'}
I0716 17:41:58.608228 124054970734080 run.py:722] (val) algo segments_intersect step 1650: {'intersect': 0.6215983958751075, 'score': 0.6215983958751075, 'examples_seen': 84512, 'step': 1650, 'algorithm': 'segments_intersect'}
I0716 17:42:00.413894 124054970734080 run.py:722] (val) algo segments_intersect step 1700: {'intersect': 0.7317777243204233, 'score': 0.7317777243204233, 'examples_seen': 87040, 'step': 1700, 'algorithm': 'segments_intersect'}
I0716 17:42:02.383756 124054970734080 run.py:722] (val) algo segments_intersect step 1750: {'intersect': 0.6603260869565217, 'score': 0.6603260869565217, 'examples_seen': 89648, 'step': 1750, 'algorithm': 'segments_intersect'}
I0716 17:42:04.186013 124054970734080 run.py:722] (val) algo segments_intersect step 1800: {'intersect': 0.7760017516969565, 'score': 0.7760017516969565, 'examples_seen': 92160, 'step': 1800, 'algorithm': 'segments_intersect'}
I0716 17:42:06.000777 124054970734080 run.py:722] (val) algo segments_intersect step 1850: {'intersect': 0.7624712202609363, 'score': 0.7624712202609363, 'examples_seen': 94784, 'step': 1850, 'algorithm': 'segments_intersect'}
I0716 17:42:07.823832 124054970734080 run.py:722] (val) algo segments_intersect step 1900: {'intersect': 0.7961285008237231, 'score': 0.7961285008237231, 'examples_seen': 97296, 'step': 1900, 'algorithm': 'segments_intersect'}
I0716 17:42:09.648591 124054970734080 run.py:722] (val) algo segments_intersect step 1950: {'intersect': 0.8033975554174436, 'score': 0.8033975554174436, 'examples_seen': 99904, 'step': 1950, 'algorithm': 'segments_intersect'}
I0716 17:42:11.512061 124054970734080 run.py:722] (val) algo segments_intersect step 2000: {'intersect': 0.7996293722492472, 'score': 0.7996293722492472, 'examples_seen': 102432, 'step': 2000, 'algorithm': 'segments_intersect'}
I0716 17:42:13.332885 124054970734080 run.py:722] (val) algo segments_intersect step 2050: {'intersect': 0.6854676258992806, 'score': 0.6854676258992806, 'examples_seen': 104960, 'step': 2050, 'algorithm': 'segments_intersect'}
I0716 17:42:15.163851 124054970734080 run.py:722] (val) algo segments_intersect step 2100: {'intersect': 0.7335989375830013, 'score': 0.7335989375830013, 'examples_seen': 107568, 'step': 2100, 'algorithm': 'segments_intersect'}
I0716 17:42:16.969388 124054970734080 run.py:722] (val) algo segments_intersect step 2150: {'intersect': 0.8098911070780398, 'score': 0.8098911070780398, 'examples_seen': 110080, 'step': 2150, 'algorithm': 'segments_intersect'}
I0716 17:42:18.816652 124054970734080 run.py:722] (val) algo segments_intersect step 2200: {'intersect': 0.8333333333333334, 'score': 0.8333333333333334, 'examples_seen': 112704, 'step': 2200, 'algorithm': 'segments_intersect'}
I0716 17:42:20.651273 124054970734080 run.py:722] (val) algo segments_intersect step 2250: {'intersect': 0.8176484393334899, 'score': 0.8176484393334899, 'examples_seen': 115216, 'step': 2250, 'algorithm': 'segments_intersect'}
I0716 17:42:22.465740 124054970734080 run.py:722] (val) algo segments_intersect step 2300: {'intersect': 0.8266860043509789, 'score': 0.8266860043509789, 'examples_seen': 117824, 'step': 2300, 'algorithm': 'segments_intersect'}
I0716 17:42:24.307559 124054970734080 run.py:722] (val) algo segments_intersect step 2350: {'intersect': 0.8369818351187703, 'score': 0.8369818351187703, 'examples_seen': 120352, 'step': 2350, 'algorithm': 'segments_intersect'}
I0716 17:42:26.105388 124054970734080 run.py:722] (val) algo segments_intersect step 2400: {'intersect': 0.7631920977384976, 'score': 0.7631920977384976, 'examples_seen': 122880, 'step': 2400, 'algorithm': 'segments_intersect'}
I0716 17:42:27.939188 124054970734080 run.py:722] (val) algo segments_intersect step 2450: {'intersect': 0.8311090658076391, 'score': 0.8311090658076391, 'examples_seen': 125488, 'step': 2450, 'algorithm': 'segments_intersect'}
I0716 17:42:29.732329 124054970734080 run.py:722] (val) algo segments_intersect step 2500: {'intersect': 0.8190284419833879, 'score': 0.8190284419833879, 'examples_seen': 128000, 'step': 2500, 'algorithm': 'segments_intersect'}
I0716 17:42:31.547269 124054970734080 run.py:722] (val) algo segments_intersect step 2550: {'intersect': 0.8207282913165267, 'score': 0.8207282913165267, 'examples_seen': 130624, 'step': 2550, 'algorithm': 'segments_intersect'}
I0716 17:42:33.367453 124054970734080 run.py:722] (val) algo segments_intersect step 2600: {'intersect': 0.847027972027972, 'score': 0.847027972027972, 'examples_seen': 133136, 'step': 2600, 'algorithm': 'segments_intersect'}
I0716 17:42:35.203964 124054970734080 run.py:722] (val) algo segments_intersect step 2650: {'intersect': 0.8427043022991122, 'score': 0.8427043022991122, 'examples_seen': 135744, 'step': 2650, 'algorithm': 'segments_intersect'}
I0716 17:42:37.041990 124054970734080 run.py:722] (val) algo segments_intersect step 2700: {'intersect': 0.85422314911366, 'score': 0.85422314911366, 'examples_seen': 138272, 'step': 2700, 'algorithm': 'segments_intersect'}
I0716 17:42:38.856025 124054970734080 run.py:722] (val) algo segments_intersect step 2750: {'intersect': 0.826771653543307, 'score': 0.826771653543307, 'examples_seen': 140800, 'step': 2750, 'algorithm': 'segments_intersect'}
I0716 17:42:40.699058 124054970734080 run.py:722] (val) algo segments_intersect step 2800: {'intersect': 0.8614809623919645, 'score': 0.8614809623919645, 'examples_seen': 143408, 'step': 2800, 'algorithm': 'segments_intersect'}
I0716 17:42:42.521838 124054970734080 run.py:722] (val) algo segments_intersect step 2850: {'intersect': 0.8543403629230015, 'score': 0.8543403629230015, 'examples_seen': 145920, 'step': 2850, 'algorithm': 'segments_intersect'}
I0716 17:42:44.348702 124054970734080 run.py:722] (val) algo segments_intersect step 2900: {'intersect': 0.825971261309207, 'score': 0.825971261309207, 'examples_seen': 148544, 'step': 2900, 'algorithm': 'segments_intersect'}
I0716 17:42:46.177254 124054970734080 run.py:722] (val) algo segments_intersect step 2950: {'intersect': 0.8624504278856189, 'score': 0.8624504278856189, 'examples_seen': 151056, 'step': 2950, 'algorithm': 'segments_intersect'}
I0716 17:42:48.018099 124054970734080 run.py:722] (val) algo segments_intersect step 3000: {'intersect': 0.8839753818098929, 'score': 0.8839753818098929, 'examples_seen': 153664, 'step': 3000, 'algorithm': 'segments_intersect'}
I0716 17:42:49.869077 124054970734080 run.py:722] (val) algo segments_intersect step 3050: {'intersect': 0.8707692307692309, 'score': 0.8707692307692309, 'examples_seen': 156192, 'step': 3050, 'algorithm': 'segments_intersect'}
I0716 17:42:51.654770 124054970734080 run.py:722] (val) algo segments_intersect step 3100: {'intersect': 0.8821978021978021, 'score': 0.8821978021978021, 'examples_seen': 158720, 'step': 3100, 'algorithm': 'segments_intersect'}
I0716 17:42:53.482833 124054970734080 run.py:722] (val) algo segments_intersect step 3150: {'intersect': 0.8639170165472956, 'score': 0.8639170165472956, 'examples_seen': 161328, 'step': 3150, 'algorithm': 'segments_intersect'}
I0716 17:42:55.292140 124054970734080 run.py:722] (val) algo segments_intersect step 3200: {'intersect': 0.8513238289205703, 'score': 0.8513238289205703, 'examples_seen': 163840, 'step': 3200, 'algorithm': 'segments_intersect'}
I0716 17:42:57.110251 124054970734080 run.py:722] (val) algo segments_intersect step 3250: {'intersect': 0.8982571832312766, 'score': 0.8982571832312766, 'examples_seen': 166464, 'step': 3250, 'algorithm': 'segments_intersect'}
I0716 17:42:58.938316 124054970734080 run.py:722] (val) algo segments_intersect step 3300: {'intersect': 0.8939603503918857, 'score': 0.8939603503918857, 'examples_seen': 168976, 'step': 3300, 'algorithm': 'segments_intersect'}
I0716 17:43:00.763262 124054970734080 run.py:722] (val) algo segments_intersect step 3350: {'intersect': 0.9, 'score': 0.9, 'examples_seen': 171584, 'step': 3350, 'algorithm': 'segments_intersect'}
I0716 17:43:02.601055 124054970734080 run.py:722] (val) algo segments_intersect step 3400: {'intersect': 0.9026974951830442, 'score': 0.9026974951830442, 'examples_seen': 174112, 'step': 3400, 'algorithm': 'segments_intersect'}
I0716 17:43:04.407037 124054970734080 run.py:722] (val) algo segments_intersect step 3450: {'intersect': 0.8923076923076922, 'score': 0.8923076923076922, 'examples_seen': 176640, 'step': 3450, 'algorithm': 'segments_intersect'}
I0716 17:43:06.246652 124054970734080 run.py:722] (val) algo segments_intersect step 3500: {'intersect': 0.9016900737919544, 'score': 0.9016900737919544, 'examples_seen': 179248, 'step': 3500, 'algorithm': 'segments_intersect'}
I0716 17:43:08.027209 124054970734080 run.py:722] (val) algo segments_intersect step 3550: {'intersect': 0.9003708281829418, 'score': 0.9003708281829418, 'examples_seen': 181760, 'step': 3550, 'algorithm': 'segments_intersect'}
I0716 17:43:09.860808 124054970734080 run.py:722] (val) algo segments_intersect step 3600: {'intersect': 0.891725768321513, 'score': 0.891725768321513, 'examples_seen': 184384, 'step': 3600, 'algorithm': 'segments_intersect'}
I0716 17:43:11.654979 124054970734080 run.py:722] (val) algo segments_intersect step 3650: {'intersect': 0.9062209842154131, 'score': 0.9062209842154131, 'examples_seen': 186896, 'step': 3650, 'algorithm': 'segments_intersect'}
I0716 17:43:13.469028 124054970734080 run.py:722] (val) algo segments_intersect step 3700: {'intersect': 0.9066604127579737, 'score': 0.9066604127579737, 'examples_seen': 189504, 'step': 3700, 'algorithm': 'segments_intersect'}
