{'selected': 0.030513176144244102, 'score': 0.030513176144244102, 'examples_seen': 64, 'step': 0, 'algorithm': 'task_scheduling'}
{'selected': 0.8229363579080026, 'score': 0.8229363579080026, 'examples_seen': 2080, 'step': 50, 'algorithm': 'task_scheduling'}
{'selected': 0.8710754843019373, 'score': 0.8710754843019373, 'examples_seen': 4064, 'step': 100, 'algorithm': 'task_scheduling'}
{'selected': 0.8944793850454228, 'score': 0.8944793850454228, 'examples_seen': 6016, 'step': 150, 'algorithm': 'task_scheduling'}
{'selected': 0.9079584775086507, 'score': 0.9079584775086507, 'examples_seen': 8016, 'step': 200, 'algorithm': 'task_scheduling'}
{'selected': 0.9067859806114839, 'score': 0.9067859806114839, 'examples_seen': 9952, 'step': 250, 'algorithm': 'task_scheduling'}
{'selected': 0.9046594982078852, 'score': 0.9046594982078852, 'examples_seen': 12000, 'step': 300, 'algorithm': 'task_scheduling'}
{'selected': 0.9314878892733564, 'score': 0.9314878892733564, 'examples_seen': 14032, 'step': 350, 'algorithm': 'task_scheduling'}
{'selected': 0.8730366492146596, 'score': 0.8730366492146596, 'examples_seen': 16000, 'step': 400, 'algorithm': 'task_scheduling'}
{'selected': 0.9288762446657184, 'score': 0.9288762446657184, 'examples_seen': 18000, 'step': 450, 'algorithm': 'task_scheduling'}
{'selected': 0.9379615952732643, 'score': 0.9379615952732643, 'examples_seen': 19952, 'step': 500, 'algorithm': 'task_scheduling'}
{'selected': 0.9190340909090909, 'score': 0.9190340909090909, 'examples_seen': 21920, 'step': 550, 'algorithm': 'task_scheduling'}
{'selected': 0.907702984038862, 'score': 0.907702984038862, 'examples_seen': 23904, 'step': 600, 'algorithm': 'task_scheduling'}
{'selected': 0.9224259520451341, 'score': 0.9224259520451341, 'examples_seen': 25920, 'step': 650, 'algorithm': 'task_scheduling'}
{'selected': 0.9383954154727794, 'score': 0.9383954154727794, 'examples_seen': 27952, 'step': 700, 'algorithm': 'task_scheduling'}
{'selected': 0.9344262295081969, 'score': 0.9344262295081969, 'examples_seen': 29936, 'step': 750, 'algorithm': 'task_scheduling'}
{'selected': 0.9335324869305451, 'score': 0.9335324869305451, 'examples_seen': 31920, 'step': 800, 'algorithm': 'task_scheduling'}
{'selected': 0.9116497263487099, 'score': 0.9116497263487099, 'examples_seen': 33904, 'step': 850, 'algorithm': 'task_scheduling'}
{'selected': 0.9508928571428571, 'score': 0.9508928571428571, 'examples_seen': 35856, 'step': 900, 'algorithm': 'task_scheduling'}
{'selected': 0.9290780141843972, 'score': 0.9290780141843972, 'examples_seen': 37808, 'step': 950, 'algorithm': 'task_scheduling'}
{'selected': 0.8819157720891826, 'score': 0.8819157720891826, 'examples_seen': 39872, 'step': 1000, 'algorithm': 'task_scheduling'}
{'selected': 0.9252199413489736, 'score': 0.9252199413489736, 'examples_seen': 41872, 'step': 1050, 'algorithm': 'task_scheduling'}
{'selected': 0.8896156991005724, 'score': 0.8896156991005724, 'examples_seen': 43872, 'step': 1100, 'algorithm': 'task_scheduling'}
{'selected': 0.9159663865546218, 'score': 0.9159663865546218, 'examples_seen': 45856, 'step': 1150, 'algorithm': 'task_scheduling'}
