I0716 17:54:54.831913 136905113048576 run.py:722] (val) algo topological_sort step 0: {'topo': 0.1552734375, 'topo_head': 0.09375, 'score': 0.12451171875, 'examples_seen': 19, 'step': 0, 'algorithm': 'topological_sort'}
I0716 17:56:36.427501 136905113048576 run.py:722] (val) algo topological_sort step 50: {'topo': 0.1435546875, 'topo_head': 0.875, 'score': 0.50927734375, 'examples_seen': 987, 'step': 50, 'algorithm': 'topological_sort'}
I0716 17:56:37.781395 136905113048576 run.py:722] (val) algo topological_sort step 100: {'topo': 0.3193359375, 'topo_head': 0.984375, 'score': 0.65185546875, 'examples_seen': 1935, 'step': 100, 'algorithm': 'topological_sort'}
I0716 17:56:39.139621 136905113048576 run.py:722] (val) algo topological_sort step 150: {'topo': 0.3779296875, 'topo_head': 0.9375, 'score': 0.65771484375, 'examples_seen': 2878, 'step': 150, 'algorithm': 'topological_sort'}
I0716 17:56:40.504015 136905113048576 run.py:722] (val) algo topological_sort step 200: {'topo': 0.3681640625, 'topo_head': 0.96875, 'score': 0.66845703125, 'examples_seen': 3826, 'step': 200, 'algorithm': 'topological_sort'}
I0716 17:56:41.890269 136905113048576 run.py:722] (val) algo topological_sort step 250: {'topo': 0.3876953125, 'topo_head': 0.90625, 'score': 0.64697265625, 'examples_seen': 4762, 'step': 250, 'algorithm': 'topological_sort'}
I0716 17:56:43.265536 136905113048576 run.py:722] (val) algo topological_sort step 300: {'topo': 0.4619140625, 'topo_head': 0.84375, 'score': 0.65283203125, 'examples_seen': 5743, 'step': 300, 'algorithm': 'topological_sort'}
I0716 17:56:44.612087 136905113048576 run.py:722] (val) algo topological_sort step 350: {'topo': 0.43359375, 'topo_head': 0.90625, 'score': 0.669921875, 'examples_seen': 6705, 'step': 350, 'algorithm': 'topological_sort'}
I0716 17:56:45.960531 136905113048576 run.py:722] (val) algo topological_sort step 400: {'topo': 0.4482421875, 'topo_head': 0.9375, 'score': 0.69287109375, 'examples_seen': 7662, 'step': 400, 'algorithm': 'topological_sort'}
I0716 17:56:47.312442 136905113048576 run.py:722] (val) algo topological_sort step 450: {'topo': 0.34765625, 'topo_head': 0.84375, 'score': 0.595703125, 'examples_seen': 8603, 'step': 450, 'algorithm': 'topological_sort'}
I0716 17:56:48.652470 136905113048576 run.py:722] (val) algo topological_sort step 500: {'topo': 0.3349609375, 'topo_head': 0.953125, 'score': 0.64404296875, 'examples_seen': 9550, 'step': 500, 'algorithm': 'topological_sort'}
