{'score': 0.03894080996884735, 'examples_seen': 128, 'step': 0, 'algorithm': 'activity_selector'},
{'score': 0.5965770171149145, 'examples_seen': 2496, 'step': 50, 'algorithm': 'activity_selector'},
{'score': 0.6511627906976745, 'examples_seen': 5120, 'step': 100, 'algorithm': 'activity_selector'},
{'score': 0.5735694822888284, 'examples_seen': 7328, 'step': 150, 'algorithm': 'activity_selector'},
{'score': 0.5834633385335414, 'examples_seen': 9888, 'step': 200, 'algorithm': 'activity_selector'},
{'score': 0.6318407960199005, 'examples_seen': 12000, 'step': 250, 'algorithm': 'activity_selector'},
{'score': 0.7355450236966825, 'examples_seen': 14592, 'step': 300, 'algorithm': 'activity_selector'},
{'score': 0.6379114642451759, 'examples_seen': 16992, 'step': 350, 'algorithm': 'activity_selector'},
{'score': 0.7076923076923077, 'examples_seen': 19456, 'step': 400, 'algorithm': 'activity_selector'},
{'score': 0.7063414634146341, 'examples_seen': 21888, 'step': 450, 'algorithm': 'activity_selector'},
{'score': 0.6854838709677419, 'examples_seen': 24064, 'step': 500, 'algorithm': 'activity_selector'},
{'score': 0.7410281280310378, 'examples_seen': 26688, 'step': 550, 'algorithm': 'activity_selector'},
{'score': 0.6519944979367264, 'examples_seen': 28864, 'step': 600, 'algorithm': 'activity_selector'},
{'score': 0.7142857142857143, 'examples_seen': 31456, 'step': 650, 'algorithm': 'activity_selector'},
{'score': 0.7395264116575592, 'examples_seen': 33920, 'step': 700, 'algorithm': 'activity_selector'},
{'score': 0.6809210526315789, 'examples_seen': 36192, 'step': 750, 'algorithm': 'activity_selector'},
{'score': 0.7850834151128556, 'examples_seen': 38752, 'step': 800, 'algorithm': 'activity_selector'},
{'score': 0.8130252100840336, 'examples_seen': 40992, 'step': 850, 'algorithm': 'activity_selector'},
{'score': 0.7887029288702929, 'examples_seen': 43584, 'step': 900, 'algorithm': 'activity_selector'},
{'score': 0.8362369337979093, 'examples_seen': 45760, 'step': 950, 'algorithm': 'activity_selector'},
{'score': 0.8242548818088387, 'examples_seen': 48320, 'step': 1000, 'algorithm': 'activity_selector'},
{'score': 0.7517361111111112, 'examples_seen': 50688, 'step': 1050, 'algorithm': 'activity_selector'},
{'score': 0.7743362831858407, 'examples_seen': 53088, 'step': 1100, 'algorithm': 'activity_selector'},
{'score': 0.8665207877461708, 'examples_seen': 55584, 'step': 1150, 'algorithm': 'activity_selector'},
{'score': 0.8590021691973969, 'examples_seen': 57856, 'step': 1200, 'algorithm': 'activity_selector'},
{'score': 0.8431137724550899, 'examples_seen': 60480, 'step': 1250, 'algorithm': 'activity_selector'},
{'score': 0.8454106280193238, 'examples_seen': 62560, 'step': 1300, 'algorithm': 'activity_selector'},
{'score': 0.805668016194332, 'examples_seen': 65120, 'step': 1350, 'algorithm': 'activity_selector'},
{'score': 0.8364717542120911, 'examples_seen': 67552, 'step': 1400, 'algorithm': 'activity_selector'},
{'score': 0.8322981366459626, 'examples_seen': 70016, 'step': 1450, 'algorithm': 'activity_selector'},
{'score': 0.8926673751328374, 'examples_seen': 72512, 'step': 1500, 'algorithm': 'activity_selector'},
{'score': 0.8307692307692308, 'examples_seen': 74688, 'step': 1550, 'algorithm': 'activity_selector'},
{'score': 0.8316633266533066, 'examples_seen': 77248, 'step': 1600, 'algorithm': 'activity_selector'},
{'score': 0.9101382488479263, 'examples_seen': 79424, 'step': 1650, 'algorithm': 'activity_selector'},
{'score': 0.9122807017543859, 'examples_seen': 82080, 'step': 1700, 'algorithm': 'activity_selector'},
{'score': 0.8838643371017472, 'examples_seen': 84544, 'step': 1750, 'algorithm': 'activity_selector'},
{'score': 0.9065520945220192, 'examples_seen': 86784, 'step': 1800, 'algorithm': 'activity_selector'},
{'score': 0.9317919075144507, 'examples_seen': 89312, 'step': 1850, 'algorithm': 'activity_selector'},
{'score': 0.9275028768699655, 'examples_seen': 91488, 'step': 1900, 'algorithm': 'activity_selector'},
{'score': 0.8675995694294941, 'examples_seen': 94176, 'step': 1950, 'algorithm': 'activity_selector'},
{'score': 0.8404133180252583, 'examples_seen': 96320, 'step': 2000, 'algorithm': 'activity_selector'},
{'score': 0.9170403587443946, 'examples_seen': 98880, 'step': 2050, 'algorithm': 'activity_selector'},
{'score': 0.9142212189616253, 'examples_seen': 101248, 'step': 2100, 'algorithm': 'activity_selector'},
