{'pi': 0.4226371951219512, 'score': 0.4226371951219512, 'examples_seen': 154, 'step': 0, 'algorithm': 'bfs'},
{'pi': 0.9207317073170732, 'score': 0.9207317073170732, 'examples_seen': 4733, 'step': 50, 'algorithm': 'bfs'},
{'pi': 0.9763719512195121, 'score': 0.9763719512195121, 'examples_seen': 9468, 'step': 100, 'algorithm': 'bfs'},
{'pi': 0.9851371951219512, 'score': 0.9851371951219512, 'examples_seen': 14200, 'step': 150, 'algorithm': 'bfs'},
{'pi': 0.979420731707317, 'score': 0.979420731707317, 'examples_seen': 18961, 'step': 200, 'algorithm': 'bfs'},
{'pi': 0.9858993902439024, 'score': 0.9858993902439024, 'examples_seen': 23639, 'step': 250, 'algorithm': 'bfs'},
{'pi': 0.9919969512195121, 'score': 0.9919969512195121, 'examples_seen': 28298, 'step': 300, 'algorithm': 'bfs'},
{'pi': 0.9939024390243902, 'score': 0.9939024390243902, 'examples_seen': 32946, 'step': 350, 'algorithm': 'bfs'},
{'pi': 0.9916158536585366, 'score': 0.9916158536585366, 'examples_seen': 37647, 'step': 400, 'algorithm': 'bfs'},
{'pi': 0.9935213414634146, 'score': 0.9935213414634146, 'examples_seen': 42400, 'step': 450, 'algorithm': 'bfs'},
{'pi': 0.993140243902439, 'score': 0.993140243902439, 'examples_seen': 47060, 'step': 500, 'algorithm': 'bfs'},
{'pi': 0.993140243902439, 'score': 0.993140243902439, 'examples_seen': 51762, 'step': 550, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 56483, 'step': 600, 'algorithm': 'bfs'},
{'pi': 0.995045731707317, 'score': 0.995045731707317, 'examples_seen': 61236, 'step': 650, 'algorithm': 'bfs'},
{'pi': 0.993140243902439, 'score': 0.993140243902439, 'examples_seen': 65793, 'step': 700, 'algorithm': 'bfs'},
{'pi': 0.9942835365853658, 'score': 0.9942835365853658, 'examples_seen': 70599, 'step': 750, 'algorithm': 'bfs'},
{'pi': 0.9908536585365854, 'score': 0.9908536585365854, 'examples_seen': 75416, 'step': 800, 'algorithm': 'bfs'},
{'pi': 0.9923780487804879, 'score': 0.9923780487804879, 'examples_seen': 80182, 'step': 850, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 84946, 'step': 900, 'algorithm': 'bfs'},
{'pi': 0.9908536585365854, 'score': 0.9908536585365854, 'examples_seen': 89639, 'step': 950, 'algorithm': 'bfs'},
{'pi': 0.9954268292682927, 'score': 0.9954268292682927, 'examples_seen': 94228, 'step': 1000, 'algorithm': 'bfs'},
{'pi': 0.9889481707317073, 'score': 0.9889481707317073, 'examples_seen': 98847, 'step': 1050, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 103623, 'step': 1100, 'algorithm': 'bfs'},
{'pi': 0.9973323170731707, 'score': 0.9973323170731707, 'examples_seen': 108389, 'step': 1150, 'algorithm': 'bfs'},
{'pi': 0.991234756097561, 'score': 0.991234756097561, 'examples_seen': 113081, 'step': 1200, 'algorithm': 'bfs'},
{'pi': 0.9916158536585366, 'score': 0.9916158536585366, 'examples_seen': 117853, 'step': 1250, 'algorithm': 'bfs'},
{'pi': 0.9942835365853658, 'score': 0.9942835365853658, 'examples_seen': 122574, 'step': 1300, 'algorithm': 'bfs'},
{'pi': 0.9946646341463414, 'score': 0.9946646341463414, 'examples_seen': 127074, 'step': 1350, 'algorithm': 'bfs'},
{'pi': 0.9939024390243902, 'score': 0.9939024390243902, 'examples_seen': 131829, 'step': 1400, 'algorithm': 'bfs'},
{'pi': 0.9977134146341463, 'score': 0.9977134146341463, 'examples_seen': 136600, 'step': 1450, 'algorithm': 'bfs'},
{'pi': 0.9965701219512195, 'score': 0.9965701219512195, 'examples_seen': 141344, 'step': 1500, 'algorithm': 'bfs'},
{'pi': 0.9874237804878049, 'score': 0.9874237804878049, 'examples_seen': 146109, 'step': 1550, 'algorithm': 'bfs'},
{'pi': 0.991234756097561, 'score': 0.991234756097561, 'examples_seen': 150828, 'step': 1600, 'algorithm': 'bfs'},
