{'is_bridge': 0.10033116644180057, 'score': 0.10033116644180057, 'examples_seen': 32, 'step': 0, 'algorithm': 'bridges'},
{'is_bridge': 0.1310379746835443, 'score': 0.1310379746835443, 'examples_seen': 792, 'step': 50, 'algorithm': 'bridges'},
{'is_bridge': 0.1244918699186992, 'score': 0.1244918699186992, 'examples_seen': 1724, 'step': 100, 'algorithm': 'bridges'},
{'is_bridge': 0.5227750525578136, 'score': 0.5227750525578136, 'examples_seen': 2510, 'step': 150, 'algorithm': 'bridges'},
{'is_bridge': 0.7603222557905338, 'score': 0.7603222557905338, 'examples_seen': 3454, 'step': 200, 'algorithm': 'bridges'},
{'is_bridge': 0.7509176717357107, 'score': 0.7509176717357107, 'examples_seen': 4208, 'step': 250, 'algorithm': 'bridges'},
{'is_bridge': 0.8917431192660551, 'score': 0.8917431192660551, 'examples_seen': 5171, 'step': 300, 'algorithm': 'bridges'},
{'is_bridge': 0.7440450411433521, 'score': 0.7440450411433521, 'examples_seen': 6052, 'step': 350, 'algorithm': 'bridges'},
{'is_bridge': 0.6276150627615062, 'score': 0.6276150627615062, 'examples_seen': 6900, 'step': 400, 'algorithm': 'bridges'},
{'is_bridge': 0.6508704061895552, 'score': 0.6508704061895552, 'examples_seen': 7817, 'step': 450, 'algorithm': 'bridges'},
{'is_bridge': 0.7311827956989247, 'score': 0.7311827956989247, 'examples_seen': 8611, 'step': 500, 'algorithm': 'bridges'},
{'is_bridge': 0.7752090506640433, 'score': 0.7752090506640433, 'examples_seen': 9558, 'step': 550, 'algorithm': 'bridges'},
{'is_bridge': 0.6322444678609063, 'score': 0.6322444678609063, 'examples_seen': 10321, 'step': 600, 'algorithm': 'bridges'},
{'is_bridge': 0.7651646447140381, 'score': 0.7651646447140381, 'examples_seen': 11283, 'step': 650, 'algorithm': 'bridges'},
{'is_bridge': 0.8104749223257878, 'score': 0.8104749223257878, 'examples_seen': 12190, 'step': 700, 'algorithm': 'bridges'},
{'is_bridge': 0.6160670280926565, 'score': 0.6160670280926565, 'examples_seen': 13010, 'step': 750, 'algorithm': 'bridges'},
