{'pred': 0.10403963414634146, 'score': 0.10403963414634146, 'examples_seen': 64, 'step': 0, 'algorithm': 'bubble_sort'},
{'pred': 0.07850609756097561, 'score': 0.07850609756097561, 'examples_seen': 816, 'step': 50, 'algorithm': 'bubble_sort'},
{'pred': 0.10442073170731707, 'score': 0.10442073170731707, 'examples_seen': 1744, 'step': 100, 'algorithm': 'bubble_sort'},
{'pred': 0.1680640243902439, 'score': 0.1680640243902439, 'examples_seen': 2480, 'step': 150, 'algorithm': 'bubble_sort'},
{'pred': 0.14596036585365854, 'score': 0.14596036585365854, 'examples_seen': 3424, 'step': 200, 'algorithm': 'bubble_sort'},
{'pred': 0.1756859756097561, 'score': 0.1756859756097561, 'examples_seen': 4144, 'step': 250, 'algorithm': 'bubble_sort'},
{'pred': 0.22827743902439024, 'score': 0.22827743902439024, 'examples_seen': 5104, 'step': 300, 'algorithm': 'bubble_sort'},
{'pred': 0.15015243902439024, 'score': 0.15015243902439024, 'examples_seen': 6032, 'step': 350, 'algorithm': 'bubble_sort'},
{'pred': 0.24123475609756098, 'score': 0.24123475609756098, 'examples_seen': 6784, 'step': 400, 'algorithm': 'bubble_sort'},
{'pred': 0.1989329268292683, 'score': 0.1989329268292683, 'examples_seen': 7760, 'step': 450, 'algorithm': 'bubble_sort'},
{'pred': 0.22141768292682926, 'score': 0.22141768292682926, 'examples_seen': 8480, 'step': 500, 'algorithm': 'bubble_sort'},
{'pred': 0.18864329268292682, 'score': 0.18864329268292682, 'examples_seen': 9424, 'step': 550, 'algorithm': 'bubble_sort'},
{'pred': 0.3563262195121951, 'score': 0.3563262195121951, 'examples_seen': 10192, 'step': 600, 'algorithm': 'bubble_sort'},
{'pred': 0.3753810975609756, 'score': 0.3753810975609756, 'examples_seen': 11120, 'step': 650, 'algorithm': 'bubble_sort'},
{'pred': 0.39176829268292684, 'score': 0.39176829268292684, 'examples_seen': 12080, 'step': 700, 'algorithm': 'bubble_sort'},
{'pred': 0.38414634146341464, 'score': 0.38414634146341464, 'examples_seen': 12880, 'step': 750, 'algorithm': 'bubble_sort'},
{'pred': 0.22027439024390244, 'score': 0.22027439024390244, 'examples_seen': 13776, 'step': 800, 'algorithm': 'bubble_sort'},
{'pred': 0.2576219512195122, 'score': 0.2576219512195122, 'examples_seen': 14544, 'step': 850, 'algorithm': 'bubble_sort'},
{'pred': 0.25685975609756095, 'score': 0.25685975609756095, 'examples_seen': 15520, 'step': 900, 'algorithm': 'bubble_sort'},
{'pred': 0.36928353658536583, 'score': 0.36928353658536583, 'examples_seen': 16224, 'step': 950, 'algorithm': 'bubble_sort'},
{'pred': 0.42759146341463417, 'score': 0.42759146341463417, 'examples_seen': 17168, 'step': 1000, 'algorithm': 'bubble_sort'},
{'pred': 0.5171493902439024, 'score': 0.5171493902439024, 'examples_seen': 18080, 'step': 1050, 'algorithm': 'bubble_sort'},
{'pred': 0.3826219512195122, 'score': 0.3826219512195122, 'examples_seen': 18880, 'step': 1100, 'algorithm': 'bubble_sort'},
{'pred': 0.4249237804878049, 'score': 0.4249237804878049, 'examples_seen': 19808, 'step': 1150, 'algorithm': 'bubble_sort'},
{'pred': 0.38185975609756095, 'score': 0.38185975609756095, 'examples_seen': 20560, 'step': 1200, 'algorithm': 'bubble_sort'},
{'pred': 0.31097560975609756, 'score': 0.31097560975609756, 'examples_seen': 21536, 'step': 1250, 'algorithm': 'bubble_sort'},
{'pred': 0.13795731707317074, 'score': 0.13795731707317074, 'examples_seen': 22240, 'step': 1300, 'algorithm': 'bubble_sort'},
{'pred': 0.4847560975609756, 'score': 0.4847560975609756, 'examples_seen': 23232, 'step': 1350, 'algorithm': 'bubble_sort'},
{'pred': 0.4794207317073171, 'score': 0.4794207317073171, 'examples_seen': 24112, 'step': 1400, 'algorithm': 'bubble_sort'},
{'pred': 0.5064786585365854, 'score': 0.5064786585365854, 'examples_seen': 24928, 'step': 1450, 'algorithm': 'bubble_sort'},
{'pred': 0.24657012195121952, 'score': 0.24657012195121952, 'examples_seen': 25856, 'step': 1500, 'algorithm': 'bubble_sort'},
{'pred': 0.41501524390243905, 'score': 0.41501524390243905, 'examples_seen': 26608, 'step': 1550, 'algorithm': 'bubble_sort'},
{'pred': 0.4367378048780488, 'score': 0.4367378048780488, 'examples_seen': 27552, 'step': 1600, 'algorithm': 'bubble_sort'},
{'pred': 0.5091463414634146, 'score': 0.5091463414634146, 'examples_seen': 28304, 'step': 1650, 'algorithm': 'bubble_sort'},
{'pred': 0.5506859756097561, 'score': 0.5506859756097561, 'examples_seen': 29232, 'step': 1700, 'algorithm': 'bubble_sort'},
{'pred': 0.5796493902439024, 'score': 0.5796493902439024, 'examples_seen': 30160, 'step': 1750, 'algorithm': 'bubble_sort'},
{'pred': 0.2915396341463415, 'score': 0.2915396341463415, 'examples_seen': 30976, 'step': 1800, 'algorithm': 'bubble_sort'},
{'pred': 0.5788871951219512, 'score': 0.5788871951219512, 'examples_seen': 31888, 'step': 1850, 'algorithm': 'bubble_sort'},
{'pred': 0.3548018292682927, 'score': 0.3548018292682927, 'examples_seen': 32624, 'step': 1900, 'algorithm': 'bubble_sort'},
{'pred': 0.5350609756097561, 'score': 0.5350609756097561, 'examples_seen': 33600, 'step': 1950, 'algorithm': 'bubble_sort'},
{'pred': 0.6272865853658537, 'score': 0.6272865853658537, 'examples_seen': 34320, 'step': 2000, 'algorithm': 'bubble_sort'},
{'pred': 0.5278201219512195, 'score': 0.5278201219512195, 'examples_seen': 35280, 'step': 2050, 'algorithm': 'bubble_sort'},
{'pred': 0.5026676829268293, 'score': 0.5026676829268293, 'examples_seen': 36192, 'step': 2100, 'algorithm': 'bubble_sort'},
{'pred': 0.5632621951219512, 'score': 0.5632621951219512, 'examples_seen': 36992, 'step': 2150, 'algorithm': 'bubble_sort'},
{'pred': 0.6280487804878049, 'score': 0.6280487804878049, 'examples_seen': 37936, 'step': 2200, 'algorithm': 'bubble_sort'},
{'pred': 0.586890243902439, 'score': 0.586890243902439, 'examples_seen': 38656, 'step': 2250, 'algorithm': 'bubble_sort'},
{'pred': 0.5003810975609756, 'score': 0.5003810975609756, 'examples_seen': 39616, 'step': 2300, 'algorithm': 'bubble_sort'},
{'pred': 0.6238567073170732, 'score': 0.6238567073170732, 'examples_seen': 40336, 'step': 2350, 'algorithm': 'bubble_sort'},
{'pred': 0.22751524390243902, 'score': 0.22751524390243902, 'examples_seen': 41312, 'step': 2400, 'algorithm': 'bubble_sort'},
{'pred': 0.5323932926829268, 'score': 0.5323932926829268, 'examples_seen': 42256, 'step': 2450, 'algorithm': 'bubble_sort'},
{'pred': 0.5842225609756098, 'score': 0.5842225609756098, 'examples_seen': 43008, 'step': 2500, 'algorithm': 'bubble_sort'},
{'pred': 0.5716463414634146, 'score': 0.5716463414634146, 'examples_seen': 43968, 'step': 2550, 'algorithm': 'bubble_sort'},
{'pred': 0.5335365853658537, 'score': 0.5335365853658537, 'examples_seen': 44704, 'step': 2600, 'algorithm': 'bubble_sort'},
{'pred': 0.541920731707317, 'score': 0.541920731707317, 'examples_seen': 45632, 'step': 2650, 'algorithm': 'bubble_sort'},
{'pred': 0.6360518292682927, 'score': 0.6360518292682927, 'examples_seen': 46400, 'step': 2700, 'algorithm': 'bubble_sort'},
{'pred': 0.48589939024390244, 'score': 0.48589939024390244, 'examples_seen': 47360, 'step': 2750, 'algorithm': 'bubble_sort'},
{'pred': 0.6105182926829268, 'score': 0.6105182926829268, 'examples_seen': 48240, 'step': 2800, 'algorithm': 'bubble_sort'},
{'pred': 0.6993140243902439, 'score': 0.6993140243902439, 'examples_seen': 49040, 'step': 2850, 'algorithm': 'bubble_sort'},
{'pred': 0.5175304878048781, 'score': 0.5175304878048781, 'examples_seen': 50032, 'step': 2900, 'algorithm': 'bubble_sort'},
{'pred': 0.42835365853658536, 'score': 0.42835365853658536, 'examples_seen': 50736, 'step': 2950, 'algorithm': 'bubble_sort'},
{'pred': 0.5160060975609756, 'score': 0.5160060975609756, 'examples_seen': 51712, 'step': 3000, 'algorithm': 'bubble_sort'},
{'pred': 0.4759908536585366, 'score': 0.4759908536585366, 'examples_seen': 52416, 'step': 3050, 'algorithm': 'bubble_sort'},
{'pred': 0.6120426829268293, 'score': 0.6120426829268293, 'examples_seen': 53376, 'step': 3100, 'algorithm': 'bubble_sort'},
{'pred': 0.6589176829268293, 'score': 0.6589176829268293, 'examples_seen': 54288, 'step': 3150, 'algorithm': 'bubble_sort'},
{'pred': 0.6310975609756098, 'score': 0.6310975609756098, 'examples_seen': 55056, 'step': 3200, 'algorithm': 'bubble_sort'},
{'pred': 0.6375762195121951, 'score': 0.6375762195121951, 'examples_seen': 56048, 'step': 3250, 'algorithm': 'bubble_sort'},
{'pred': 0.7004573170731707, 'score': 0.7004573170731707, 'examples_seen': 56768, 'step': 3300, 'algorithm': 'bubble_sort'},
{'pred': 0.6352896341463414, 'score': 0.6352896341463414, 'examples_seen': 57728, 'step': 3350, 'algorithm': 'bubble_sort'},
{'pred': 0.6288109756097561, 'score': 0.6288109756097561, 'examples_seen': 58432, 'step': 3400, 'algorithm': 'bubble_sort'},
{'pred': 0.4771341463414634, 'score': 0.4771341463414634, 'examples_seen': 59392, 'step': 3450, 'algorithm': 'bubble_sort'},
{'pred': 0.7000762195121951, 'score': 0.7000762195121951, 'examples_seen': 60320, 'step': 3500, 'algorithm': 'bubble_sort'},
{'pred': 0.7214176829268293, 'score': 0.7214176829268293, 'examples_seen': 61088, 'step': 3550, 'algorithm': 'bubble_sort'},
{'pred': 0.6391006097560976, 'score': 0.6391006097560976, 'examples_seen': 62080, 'step': 3600, 'algorithm': 'bubble_sort'},
{'pred': 0.6150914634146342, 'score': 0.6150914634146342, 'examples_seen': 62800, 'step': 3650, 'algorithm': 'bubble_sort'},
{'pred': 0.5819359756097561, 'score': 0.5819359756097561, 'examples_seen': 63744, 'step': 3700, 'algorithm': 'bubble_sort'},
{'pred': 0.6410060975609756, 'score': 0.6410060975609756, 'examples_seen': 64480, 'step': 3750, 'algorithm': 'bubble_sort'},
{'pred': 0.6802591463414634, 'score': 0.6802591463414634, 'examples_seen': 65456, 'step': 3800, 'algorithm': 'bubble_sort'},
{'pred': 0.6570121951219512, 'score': 0.6570121951219512, 'examples_seen': 66336, 'step': 3850, 'algorithm': 'bubble_sort'},
{'pred': 0.6970274390243902, 'score': 0.6970274390243902, 'examples_seen': 67152, 'step': 3900, 'algorithm': 'bubble_sort'},
{'pred': 0.6916920731707317, 'score': 0.6916920731707317, 'examples_seen': 68096, 'step': 3950, 'algorithm': 'bubble_sort'},
{'pred': 0.6097560975609756, 'score': 0.6097560975609756, 'examples_seen': 68832, 'step': 4000, 'algorithm': 'bubble_sort'},
{'pred': 0.7511432926829268, 'score': 0.7511432926829268, 'examples_seen': 69760, 'step': 4050, 'algorithm': 'bubble_sort'},
{'pred': 0.649390243902439, 'score': 0.649390243902439, 'examples_seen': 70528, 'step': 4100, 'algorithm': 'bubble_sort'},
{'pred': 0.6265243902439024, 'score': 0.6265243902439024, 'examples_seen': 71472, 'step': 4150, 'algorithm': 'bubble_sort'},
{'pred': 0.7576219512195121, 'score': 0.7576219512195121, 'examples_seen': 72384, 'step': 4200, 'algorithm': 'bubble_sort'},
{'pred': 0.5464939024390244, 'score': 0.5464939024390244, 'examples_seen': 73152, 'step': 4250, 'algorithm': 'bubble_sort'},
{'pred': 0.678734756097561, 'score': 0.678734756097561, 'examples_seen': 74128, 'step': 4300, 'algorithm': 'bubble_sort'},
{'pred': 0.600609756097561, 'score': 0.600609756097561, 'examples_seen': 74864, 'step': 4350, 'algorithm': 'bubble_sort'},
{'pred': 0.7214176829268293, 'score': 0.7214176829268293, 'examples_seen': 75808, 'step': 4400, 'algorithm': 'bubble_sort'},
{'pred': 0.7065548780487805, 'score': 0.7065548780487805, 'examples_seen': 76560, 'step': 4450, 'algorithm': 'bubble_sort'},
