{'pi': 0.2774390243902439, 'score': 0.2774390243902439, 'examples_seen': 84, 'step': 0, 'algorithm': 'dijkstra'},
{'pi': 0.6352896341463414, 'score': 0.6352896341463414, 'examples_seen': 1745, 'step': 50, 'algorithm': 'dijkstra'},
{'pi': 0.7576219512195121, 'score': 0.7576219512195121, 'examples_seen': 3522, 'step': 100, 'algorithm': 'dijkstra'},
{'pi': 0.7820121951219512, 'score': 0.7820121951219512, 'examples_seen': 5070, 'step': 150, 'algorithm': 'dijkstra'},
{'pi': 0.8029725609756098, 'score': 0.8029725609756098, 'examples_seen': 6852, 'step': 200, 'algorithm': 'dijkstra'},
{'pi': 0.7625762195121951, 'score': 0.7625762195121951, 'examples_seen': 8368, 'step': 250, 'algorithm': 'dijkstra'},
{'pi': 0.8711890243902439, 'score': 0.8711890243902439, 'examples_seen': 10165, 'step': 300, 'algorithm': 'dijkstra'},
{'pi': 0.7397103658536586, 'score': 0.7397103658536586, 'examples_seen': 11846, 'step': 350, 'algorithm': 'dijkstra'},
{'pi': 0.8185975609756098, 'score': 0.8185975609756098, 'examples_seen': 13496, 'step': 400, 'algorithm': 'dijkstra'},
{'pi': 0.8102134146341463, 'score': 0.8102134146341463, 'examples_seen': 15236, 'step': 450, 'algorithm': 'dijkstra'},
{'pi': 0.8079268292682927, 'score': 0.8079268292682927, 'examples_seen': 16787, 'step': 500, 'algorithm': 'dijkstra'},
{'pi': 0.665015243902439, 'score': 0.665015243902439, 'examples_seen': 18606, 'step': 550, 'algorithm': 'dijkstra'},
{'pi': 0.8620426829268293, 'score': 0.8620426829268293, 'examples_seen': 20106, 'step': 600, 'algorithm': 'dijkstra'},
{'pi': 0.8273628048780488, 'score': 0.8273628048780488, 'examples_seen': 21957, 'step': 650, 'algorithm': 'dijkstra'},
{'pi': 0.8567073170731707, 'score': 0.8567073170731707, 'examples_seen': 23609, 'step': 700, 'algorithm': 'dijkstra'},
{'pi': 0.8391768292682927, 'score': 0.8391768292682927, 'examples_seen': 25254, 'step': 750, 'algorithm': 'dijkstra'},
{'pi': 0.8014481707317073, 'score': 0.8014481707317073, 'examples_seen': 26987, 'step': 800, 'algorithm': 'dijkstra'},
{'pi': 0.8635670731707317, 'score': 0.8635670731707317, 'examples_seen': 28513, 'step': 850, 'algorithm': 'dijkstra'},
{'pi': 0.8159298780487805, 'score': 0.8159298780487805, 'examples_seen': 30365, 'step': 900, 'algorithm': 'dijkstra'},
{'pi': 0.8346036585365854, 'score': 0.8346036585365854, 'examples_seen': 31846, 'step': 950, 'algorithm': 'dijkstra'},
{'pi': 0.8635670731707317, 'score': 0.8635670731707317, 'examples_seen': 33654, 'step': 1000, 'algorithm': 'dijkstra'},
{'pi': 0.8452743902439024, 'score': 0.8452743902439024, 'examples_seen': 35307, 'step': 1050, 'algorithm': 'dijkstra'},
{'pi': 0.9230182926829268, 'score': 0.9230182926829268, 'examples_seen': 36932, 'step': 1100, 'algorithm': 'dijkstra'},
{'pi': 0.8727134146341463, 'score': 0.8727134146341463, 'examples_seen': 38686, 'step': 1150, 'algorithm': 'dijkstra'},
{'pi': 0.8864329268292683, 'score': 0.8864329268292683, 'examples_seen': 40241, 'step': 1200, 'algorithm': 'dijkstra'},
{'pi': 0.9233993902439024, 'score': 0.9233993902439024, 'examples_seen': 42033, 'step': 1250, 'algorithm': 'dijkstra'},
{'pi': 0.8628048780487805, 'score': 0.8628048780487805, 'examples_seen': 43532, 'step': 1300, 'algorithm': 'dijkstra'},
{'pi': 0.897484756097561, 'score': 0.897484756097561, 'examples_seen': 45328, 'step': 1350, 'algorithm': 'dijkstra'},
{'pi': 0.8795731707317073, 'score': 0.8795731707317073, 'examples_seen': 46981, 'step': 1400, 'algorithm': 'dijkstra'},
{'pi': 0.8917682926829268, 'score': 0.8917682926829268, 'examples_seen': 48624, 'step': 1450, 'algorithm': 'dijkstra'},
{'pi': 0.8635670731707317, 'score': 0.8635670731707317, 'examples_seen': 50361, 'step': 1500, 'algorithm': 'dijkstra'},
{'pi': 0.881859756097561, 'score': 0.881859756097561, 'examples_seen': 51877, 'step': 1550, 'algorithm': 'dijkstra'},
{'pi': 0.9123475609756098, 'score': 0.9123475609756098, 'examples_seen': 53620, 'step': 1600, 'algorithm': 'dijkstra'},
{'pi': 0.8528963414634146, 'score': 0.8528963414634146, 'examples_seen': 55134, 'step': 1650, 'algorithm': 'dijkstra'},
{'pi': 0.7896341463414634, 'score': 0.7896341463414634, 'examples_seen': 56967, 'step': 1700, 'algorithm': 'dijkstra'},
{'pi': 0.9455030487804879, 'score': 0.9455030487804879, 'examples_seen': 58624, 'step': 1750, 'algorithm': 'dijkstra'},
{'pi': 0.9272103658536586, 'score': 0.9272103658536586, 'examples_seen': 60241, 'step': 1800, 'algorithm': 'dijkstra'},
{'pi': 0.680640243902439, 'score': 0.680640243902439, 'examples_seen': 61969, 'step': 1850, 'algorithm': 'dijkstra'},
{'pi': 0.8967225609756098, 'score': 0.8967225609756098, 'examples_seen': 63531, 'step': 1900, 'algorithm': 'dijkstra'},
{'pi': 0.8399390243902439, 'score': 0.8399390243902439, 'examples_seen': 65331, 'step': 1950, 'algorithm': 'dijkstra'},
{'pi': 0.8997713414634146, 'score': 0.8997713414634146, 'examples_seen': 66820, 'step': 2000, 'algorithm': 'dijkstra'},
{'pi': 0.926829268292683, 'score': 0.926829268292683, 'examples_seen': 68617, 'step': 2050, 'algorithm': 'dijkstra'},
{'pi': 0.9230182926829268, 'score': 0.9230182926829268, 'examples_seen': 70278, 'step': 2100, 'algorithm': 'dijkstra'},
{'pi': 0.9336890243902439, 'score': 0.9336890243902439, 'examples_seen': 71936, 'step': 2150, 'algorithm': 'dijkstra'},
