{'end': 0.01025390625, 'score': 0.005126953125, 'examples_seen': 80, 'step': 0, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.26220703125, 'score': 0.243408203125, 'examples_seen': 1536, 'step': 50, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.287109375, 'score': 0.27880859375, 'examples_seen': 3120, 'step': 100, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.28271484375, 'score': 0.324951171875, 'examples_seen': 4512, 'step': 150, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.23046875, 'score': 0.346435546875, 'examples_seen': 6112, 'step': 200, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.27880859375, 'score': 0.39306640625, 'examples_seen': 7440, 'step': 250, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.328125, 'score': 0.41015625, 'examples_seen': 9088, 'step': 300, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.369140625, 'score': 0.416015625, 'examples_seen': 10624, 'step': 350, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.3291015625, 'score': 0.441650390625, 'examples_seen': 12032, 'step': 400, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.38330078125, 'score': 0.426025390625, 'examples_seen': 13632, 'step': 450, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.34326171875, 'score': 0.42578125, 'examples_seen': 15008, 'step': 500, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.3876953125, 'score': 0.451904296875, 'examples_seen': 16608, 'step': 550, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.29833984375, 'score': 0.43603515625, 'examples_seen': 17984, 'step': 600, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.29736328125, 'score': 0.40234375, 'examples_seen': 19600, 'step': 650, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.46484375, 'score': 0.524169921875, 'examples_seen': 21120, 'step': 700, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.46728515625, 'score': 0.51611328125, 'examples_seen': 22576, 'step': 750, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.490234375, 'score': 0.50244140625, 'examples_seen': 24128, 'step': 800, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.52880859375, 'score': 0.593017578125, 'examples_seen': 25536, 'step': 850, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.5439453125, 'score': 0.5556640625, 'examples_seen': 27152, 'step': 900, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.396484375, 'score': 0.512939453125, 'examples_seen': 28464, 'step': 950, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.62060546875, 'score': 0.636474609375, 'examples_seen': 30112, 'step': 1000, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.35498046875, 'score': 0.468505859375, 'examples_seen': 31616, 'step': 1050, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.67724609375, 'score': 0.67626953125, 'examples_seen': 33072, 'step': 1100, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.57763671875, 'score': 0.534912109375, 'examples_seen': 34656, 'step': 1150, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.44970703125, 'score': 0.5078125, 'examples_seen': 36032, 'step': 1200, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.5263671875, 'score': 0.5732421875, 'examples_seen': 37648, 'step': 1250, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.533203125, 'score': 0.604736328125, 'examples_seen': 38960, 'step': 1300, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.625, 'score': 0.564453125, 'examples_seen': 40608, 'step': 1350, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.435546875, 'score': 0.51708984375, 'examples_seen': 42160, 'step': 1400, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.6455078125, 'score': 0.639892578125, 'examples_seen': 43584, 'step': 1450, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.6484375, 'score': 0.6611328125, 'examples_seen': 45168, 'step': 1500, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.71044921875, 'score': 0.699951171875, 'examples_seen': 46528, 'step': 1550, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.716796875, 'score': 0.688720703125, 'examples_seen': 48160, 'step': 1600, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.486328125, 'score': 0.457763671875, 'examples_seen': 49504, 'step': 1650, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.6845703125, 'score': 0.711669921875, 'examples_seen': 51120, 'step': 1700, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.5947265625, 'score': 0.605224609375, 'examples_seen': 52688, 'step': 1750, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.74072265625, 'score': 0.73486328125, 'examples_seen': 54112, 'step': 1800, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.4912109375, 'score': 0.484619140625, 'examples_seen': 55680, 'step': 1850, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.6328125, 'score': 0.661865234375, 'examples_seen': 57056, 'step': 1900, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.57470703125, 'score': 0.624755859375, 'examples_seen': 58688, 'step': 1950, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.62109375, 'score': 0.6630859375, 'examples_seen': 60048, 'step': 2000, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7119140625, 'score': 0.68603515625, 'examples_seen': 61664, 'step': 2050, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.70751953125, 'score': 0.704833984375, 'examples_seen': 63168, 'step': 2100, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.5859375, 'score': 0.636474609375, 'examples_seen': 64608, 'step': 2150, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.423828125, 'score': 0.482666015625, 'examples_seen': 66192, 'step': 2200, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.486328125, 'score': 0.519287109375, 'examples_seen': 67584, 'step': 2250, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.51123046875, 'score': 0.5234375, 'examples_seen': 69200, 'step': 2300, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.6552734375, 'score': 0.716064453125, 'examples_seen': 70544, 'step': 2350, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.58349609375, 'score': 0.63427734375, 'examples_seen': 72128, 'step': 2400, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7041015625, 'score': 0.679443359375, 'examples_seen': 73712, 'step': 2450, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.763671875, 'score': 0.74755859375, 'examples_seen': 75136, 'step': 2500, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.65185546875, 'score': 0.6845703125, 'examples_seen': 76736, 'step': 2550, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.763671875, 'score': 0.771240234375, 'examples_seen': 78112, 'step': 2600, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7841796875, 'score': 0.7626953125, 'examples_seen': 79712, 'step': 2650, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.73974609375, 'score': 0.734375, 'examples_seen': 81024, 'step': 2700, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7490234375, 'score': 0.748779296875, 'examples_seen': 82672, 'step': 2750, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.26513671875, 'score': 0.4384765625, 'examples_seen': 84192, 'step': 2800, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.69970703125, 'score': 0.719482421875, 'examples_seen': 85648, 'step': 2850, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.64599609375, 'score': 0.688232421875, 'examples_seen': 87216, 'step': 2900, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.76513671875, 'score': 0.761962890625, 'examples_seen': 88576, 'step': 2950, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.765625, 'score': 0.79052734375, 'examples_seen': 90208, 'step': 3000, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7783203125, 'score': 0.78173828125, 'examples_seen': 91552, 'step': 3050, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.68359375, 'score': 0.705322265625, 'examples_seen': 93184, 'step': 3100, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.65966796875, 'score': 0.6953125, 'examples_seen': 94704, 'step': 3150, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.64697265625, 'score': 0.69970703125, 'examples_seen': 96160, 'step': 3200, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.62890625, 'score': 0.70166015625, 'examples_seen': 97728, 'step': 3250, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7919921875, 'score': 0.7880859375, 'examples_seen': 99104, 'step': 3300, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.66455078125, 'score': 0.680419921875, 'examples_seen': 100704, 'step': 3350, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.67333984375, 'score': 0.68408203125, 'examples_seen': 102048, 'step': 3400, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.75830078125, 'score': 0.770751953125, 'examples_seen': 103680, 'step': 3450, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.71337890625, 'score': 0.746337890625, 'examples_seen': 105216, 'step': 3500, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7900390625, 'score': 0.77734375, 'examples_seen': 106672, 'step': 3550, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.72119140625, 'score': 0.7548828125, 'examples_seen': 108256, 'step': 3600, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.77392578125, 'score': 0.773193359375, 'examples_seen': 109632, 'step': 3650, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.50146484375, 'score': 0.606201171875, 'examples_seen': 111248, 'step': 3700, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.72216796875, 'score': 0.697021484375, 'examples_seen': 112576, 'step': 3750, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.75439453125, 'score': 0.764404296875, 'examples_seen': 114240, 'step': 3800, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.6904296875, 'score': 0.732177734375, 'examples_seen': 115744, 'step': 3850, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.76123046875, 'score': 0.730712890625, 'examples_seen': 117184, 'step': 3900, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.56591796875, 'score': 0.656982421875, 'examples_seen': 118784, 'step': 3950, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.615234375, 'score': 0.68896484375, 'examples_seen': 120160, 'step': 4000, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7568359375, 'score': 0.76513671875, 'examples_seen': 121776, 'step': 4050, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7626953125, 'score': 0.779296875, 'examples_seen': 123088, 'step': 4100, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7216796875, 'score': 0.721923828125, 'examples_seen': 124704, 'step': 4150, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.734375, 'score': 0.70654296875, 'examples_seen': 126272, 'step': 4200, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.67724609375, 'score': 0.698974609375, 'examples_seen': 127696, 'step': 4250, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.78759765625, 'score': 0.805908203125, 'examples_seen': 129296, 'step': 4300, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.76611328125, 'score': 0.78466796875, 'examples_seen': 130672, 'step': 4350, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7529296875, 'score': 0.76611328125, 'examples_seen': 132272, 'step': 4400, 'algorithm': 'find_maximum_subarray_kadane'},
{'end': 0.7783203125, 'score': 0.805908203125, 'examples_seen': 133600, 'step': 4450, 'algorithm': 'find_maximum_subarray_kadane'},
